Year,Géographie,Type d'événement,Sexe,GeoCode,Value
2018,Saskatchewan,Accidental apparent opioid toxicity deaths,Homme,47,10.6
2019,Saskatchewan,Accidental apparent opioid toxicity deaths,Femme,47,6.4
2019,Saskatchewan,Accidental apparent opioid toxicity deaths,Homme,47,11.9
2020,Saskatchewan,Accidental apparent opioid toxicity deaths,Femme,47,14.0
2020,Saskatchewan,Accidental apparent opioid toxicity deaths,Homme,47,26.5
2021,Saskatchewan,Accidental apparent opioid toxicity deaths,Femme,47,18.8
2021,Saskatchewan,Accidental apparent opioid toxicity deaths,Homme,47,35.2
2022,Saskatchewan,Accidental apparent opioid toxicity deaths,Femme,47,17.1
2022,Saskatchewan,Accidental apparent opioid toxicity deaths,Homme,47,30.3
2023,Saskatchewan,Accidental apparent opioid toxicity deaths,Femme,47,16.7
2023,Saskatchewan,Accidental apparent opioid toxicity deaths,Homme,47,30.4
2016,Manitoba,Accidental apparent opioid toxicity deaths,Femme,46,3.6
2016,Manitoba,Accidental apparent opioid toxicity deaths,Homme,46,5.6
2017,Manitoba,Accidental apparent opioid toxicity deaths,Femme,46,4.3
2017,Manitoba,Accidental apparent opioid toxicity deaths,Homme,46,8.7
2018,Manitoba,Accidental apparent opioid toxicity deaths,Femme,46,5.2
2018,Manitoba,Accidental apparent opioid toxicity deaths,Homme,46,6.3
2019,Manitoba,Accidental apparent opioid toxicity deaths,Femme,46,2.5
2019,Manitoba,Accidental apparent opioid toxicity deaths,Homme,46,5.4
2020,Manitoba,Accidental apparent opioid toxicity deaths,Femme,46,13.4
2020,Manitoba,Accidental apparent opioid toxicity deaths,Homme,46,22.6
2021,Manitoba,Accidental apparent opioid toxicity deaths,Femme,46,13.9
2021,Manitoba,Accidental apparent opioid toxicity deaths,Homme,46,23.9
2022,Manitoba,Accidental apparent opioid toxicity deaths,Femme,46,2.4
2022,Manitoba,Accidental apparent opioid toxicity deaths,Homme,46,4.8
2016,Ontario,Accidental apparent opioid toxicity deaths,Femme,35,3.0
2016,Ontario,Accidental apparent opioid toxicity deaths,Homme,35,7.5
2017,Ontario,Accidental apparent opioid toxicity deaths,Femme,35,4.0
2017,Ontario,Accidental apparent opioid toxicity deaths,Homme,35,12.1
2018,Ontario,Accidental apparent opioid toxicity deaths,Femme,35,5.1
2018,Ontario,Accidental apparent opioid toxicity deaths,Homme,35,13.7
2019,Ontario,Accidental apparent opioid toxicity deaths,Femme,35,5.4
2019,Ontario,Accidental apparent opioid toxicity deaths,Homme,35,14.3
2020,Ontario,Accidental apparent opioid toxicity deaths,Femme,35,7.3
2020,Ontario,Accidental apparent opioid toxicity deaths,Homme,35,24.4
2021,Ontario,Accidental apparent opioid toxicity deaths,Femme,35,9.2
2021,Ontario,Accidental apparent opioid toxicity deaths,Homme,35,27.5
2022,Ontario,Accidental apparent opioid toxicity deaths,Femme,35,7.4
2022,Ontario,Accidental apparent opioid toxicity deaths,Homme,35,24.0
2023,Ontario,Accidental apparent opioid toxicity deaths,Femme,35,8.4
2023,Ontario,Accidental apparent opioid toxicity deaths,Homme,35,23.6
2016,Québec,Accidental apparent opioid toxicity deaths,Femme,24,1.4
2016,Québec,Accidental apparent opioid toxicity deaths,Homme,24,2.9
2017,Québec,Accidental apparent opioid toxicity deaths,Femme,24,1.4
2017,Québec,Accidental apparent opioid toxicity deaths,Homme,24,3.1
2018,Québec,Accidental apparent opioid toxicity deaths,Femme,24,1.3
2018,Québec,Accidental apparent opioid toxicity deaths,Homme,24,2.2
2019,Québec,Accidental apparent opioid toxicity deaths,Femme,24,1.2
2019,Québec,Accidental apparent opioid toxicity deaths,Homme,24,2.6
2020,Québec,Accidental apparent opioid toxicity deaths,Femme,24,1.6
2020,Québec,Accidental apparent opioid toxicity deaths,Homme,24,3.7
2021,Québec,Accidental apparent opioid toxicity deaths,Femme,24,1.4
2021,Québec,Accidental apparent opioid toxicity deaths,Homme,24,3.6
2022,Québec,Accidental apparent opioid toxicity deaths,Femme,24,2.6
2022,Québec,Accidental apparent opioid toxicity deaths,Homme,24,9.8
2023,Québec,Accidental apparent opioid toxicity deaths,Femme,24,3.1
2023,Québec,Accidental apparent opioid toxicity deaths,Homme,24,9.0
2016,Nouveau-Brunswick,Accidental apparent opioid toxicity deaths,Femme,13,2.6
2016,Nouveau-Brunswick,Accidental apparent opioid toxicity deaths,Homme,13,4.5
2017,Nouveau-Brunswick,Accidental apparent opioid toxicity deaths,Femme,13,3.4
2017,Nouveau-Brunswick,Accidental apparent opioid toxicity deaths,Homme,13,5.0
2018,Nouveau-Brunswick,Accidental apparent opioid toxicity deaths,Femme,13,3.3
2018,Nouveau-Brunswick,Accidental apparent opioid toxicity deaths,Homme,13,2.6
2019,Nouveau-Brunswick,Accidental apparent opioid toxicity deaths,Femme,13,3.6
2019,Nouveau-Brunswick,Accidental apparent opioid toxicity deaths,Homme,13,3.4
2020,Nouveau-Brunswick,Accidental apparent opioid toxicity deaths,Femme,13,4.3
2020,Nouveau-Brunswick,Accidental apparent opioid toxicity deaths,Homme,13,5.4
2021,Nouveau-Brunswick,Accidental apparent opioid toxicity deaths,Femme,13,4.2
2021,Nouveau-Brunswick,Accidental apparent opioid toxicity deaths,Homme,13,6.4
2022,Nouveau-Brunswick,Accidental apparent opioid toxicity deaths,Femme,13,6.1
2022,Nouveau-Brunswick,Accidental apparent opioid toxicity deaths,Homme,13,10.7
2023,Nouveau-Brunswick,Accidental apparent opioid toxicity deaths,Femme,13,6.2
2023,Nouveau-Brunswick,Accidental apparent opioid toxicity deaths,Homme,13,10.9
2016,Nouvelle-Écosse,Accidental apparent opioid toxicity deaths,Femme,12,1.9
2016,Nouvelle-Écosse,Accidental apparent opioid toxicity deaths,Homme,12,6.7
2017,Nouvelle-Écosse,Accidental apparent opioid toxicity deaths,Femme,12,3.5
2017,Nouvelle-Écosse,Accidental apparent opioid toxicity deaths,Homme,12,8.8
2018,Nouvelle-Écosse,Accidental apparent opioid toxicity deaths,Femme,12,3.5
2018,Nouvelle-Écosse,Accidental apparent opioid toxicity deaths,Homme,12,7.0
2019,Nouvelle-Écosse,Accidental apparent opioid toxicity deaths,Femme,12,2.4
2019,Nouvelle-Écosse,Accidental apparent opioid toxicity deaths,Homme,12,6.7
2020,Nouvelle-Écosse,Accidental apparent opioid toxicity deaths,Femme,12,2.6
2020,Nouvelle-Écosse,Accidental apparent opioid toxicity deaths,Homme,12,5.7
2021,Nouvelle-Écosse,Accidental apparent opioid toxicity deaths,Femme,12,1.8
2021,Nouvelle-Écosse,Accidental apparent opioid toxicity deaths,Homme,12,5.1
2022,Nouvelle-Écosse,Accidental apparent opioid toxicity deaths,Femme,12,2.7
2022,Nouvelle-Écosse,Accidental apparent opioid toxicity deaths,Homme,12,6.7
2023,Nouvelle-Écosse,Accidental apparent opioid toxicity deaths,Femme,12,2.6
2023,Nouvelle-Écosse,Accidental apparent opioid toxicity deaths,Homme,12,9.9
2016,Terre-Neuve-et-Labrador,Accidental apparent opioid toxicity deaths,Femme,10,1.9
2016,Terre-Neuve-et-Labrador,Accidental apparent opioid toxicity deaths,Homme,10,3.0
2017,Terre-Neuve-et-Labrador,Accidental apparent opioid toxicity deaths,Femme,10,2.6
2017,Terre-Neuve-et-Labrador,Accidental apparent opioid toxicity deaths,Homme,10,6.1
2018,Terre-Neuve-et-Labrador,Accidental apparent opioid toxicity deaths,Femme,10,1.9
2018,Terre-Neuve-et-Labrador,Accidental apparent opioid toxicity deaths,Homme,10,1.9
2020,Terre-Neuve-et-Labrador,Accidental apparent opioid toxicity deaths,Femme,10,2.3
2020,Terre-Neuve-et-Labrador,Accidental apparent opioid toxicity deaths,Homme,10,5.0
2021,Terre-Neuve-et-Labrador,Accidental apparent opioid toxicity deaths,Femme,10,3.0
2021,Terre-Neuve-et-Labrador,Accidental apparent opioid toxicity deaths,Homme,10,6.1
2022,Terre-Neuve-et-Labrador,Accidental apparent opioid toxicity deaths,Femme,10,3.7
2022,Terre-Neuve-et-Labrador,Accidental apparent opioid toxicity deaths,Homme,10,4.9
2023,Terre-Neuve-et-Labrador,Accidental apparent opioid toxicity deaths,Femme,10,5.1
2023,Terre-Neuve-et-Labrador,Accidental apparent opioid toxicity deaths,Homme,10,7.5
2021,Yukon,Accidental apparent opioid toxicity deaths,Femme,60,42.1
2021,Yukon,Accidental apparent opioid toxicity deaths,Homme,60,64.9
2022,Yukon,Accidental apparent opioid toxicity deaths,Femme,60,45.7
2022,Yukon,Accidental apparent opioid toxicity deaths,Homme,60,40.8
2023,Yukon,Accidental apparent opioid toxicity deaths,Femme,60,22.4
2023,Yukon,Accidental apparent opioid toxicity deaths,Homme,60,53.1
