Year,Units,Géographie,Type d'événement,GeoCode,Value
2019,Taux par 100 000 personnes,Alberta,Décès totaux apparemment liés à une intoxication aux opioïdes,48,14.3
2019,Nombre,Alberta,Décès totaux apparemment liés à une intoxication aux opioïdes,48,626
2020,Taux par 100 000 personnes,Alberta,Décès totaux apparemment liés à une intoxication aux opioïdes,48,26.8
2020,Nombre,Alberta,Décès totaux apparemment liés à une intoxication aux opioïdes,48,1184
2021,Taux par 100 000 personnes,Alberta,Décès totaux apparemment liés à une intoxication aux opioïdes,48,36.5
2021,Nombre,Alberta,Décès totaux apparemment liés à une intoxication aux opioïdes,48,1621
2016,Taux par 100 000 personnes,Saskatchewan,Décès totaux apparemment liés à une intoxication aux opioïdes,47,7.3
2016,Nombre,Saskatchewan,Décès totaux apparemment liés à une intoxication aux opioïdes,47,83
2017,Taux par 100 000 personnes,Saskatchewan,Décès totaux apparemment liés à une intoxication aux opioïdes,47,7.4
2017,Nombre,Saskatchewan,Décès totaux apparemment liés à une intoxication aux opioïdes,47,85
2018,Taux par 100 000 personnes,Saskatchewan,Décès totaux apparemment liés à une intoxication aux opioïdes,47,10.8
2018,Nombre,Saskatchewan,Décès totaux apparemment liés à une intoxication aux opioïdes,47,126
2019,Taux par 100 000 personnes,Saskatchewan,Décès totaux apparemment liés à une intoxication aux opioïdes,47,10
2019,Nombre,Saskatchewan,Décès totaux apparemment liés à une intoxication aux opioïdes,47,117
2020,Taux par 100 000 personnes,Saskatchewan,Décès totaux apparemment liés à une intoxication aux opioïdes,47,22.7
2020,Nombre,Saskatchewan,Décès totaux apparemment liés à une intoxication aux opioïdes,47,268
2021,Taux par 100 000 personnes,Saskatchewan,Décès totaux apparemment liés à une intoxication aux opioïdes,47,28
2021,Nombre,Saskatchewan,Décès totaux apparemment liés à une intoxication aux opioïdes,47,331
2016,Taux par 100 000 personnes,Manitoba,Décès totaux apparemment liés à une intoxication aux opioïdes,46,6.7
2016,Nombre,Manitoba,Décès totaux apparemment liés à une intoxication aux opioïdes,46,88
2017,Taux par 100 000 personnes,Manitoba,Décès totaux apparemment liés à une intoxication aux opioïdes,46,7.9
2017,Nombre,Manitoba,Décès totaux apparemment liés à une intoxication aux opioïdes,46,106
2018,Taux par 100 000 personnes,Manitoba,Décès totaux apparemment liés à une intoxication aux opioïdes,46,6.9
2018,Nombre,Manitoba,Décès totaux apparemment liés à une intoxication aux opioïdes,46,93
2019,Taux par 100 000 personnes,Manitoba,Décès totaux apparemment liés à une intoxication aux opioïdes,46,4.5
2019,Nombre,Manitoba,Décès totaux apparemment liés à une intoxication aux opioïdes,46,62
2020,Taux par 100 000 personnes,Manitoba,Décès totaux apparemment liés à une intoxication aux opioïdes,46,18.8
2020,Nombre,Manitoba,Décès totaux apparemment liés à une intoxication aux opioïdes,46,260
2021,Taux par 100 000 personnes,Manitoba,Décès totaux apparemment liés à une intoxication aux opioïdes,46,18.7
2021,Nombre,Manitoba,Décès totaux apparemment liés à une intoxication aux opioïdes,46,260
2016,Taux par 100 000 personnes,Ontario,Décès totaux apparemment liés à une intoxication aux opioïdes,35,6.2
2016,Nombre,Ontario,Décès totaux apparemment liés à une intoxication aux opioïdes,35,867
2017,Taux par 100 000 personnes,Ontario,Décès totaux apparemment liés à une intoxication aux opioïdes,35,9
2017,Nombre,Ontario,Décès totaux apparemment liés à une intoxication aux opioïdes,35,1265
2018,Taux par 100 000 personnes,Ontario,Décès totaux apparemment liés à une intoxication aux opioïdes,35,10.5
2018,Nombre,Ontario,Décès totaux apparemment liés à une intoxication aux opioïdes,35,1507
2019,Taux par 100 000 personnes,Ontario,Décès totaux apparemment liés à une intoxication aux opioïdes,35,10.7
2019,Nombre,Ontario,Décès totaux apparemment liés à une intoxication aux opioïdes,35,1558
2020,Taux par 100 000 personnes,Ontario,Décès totaux apparemment liés à une intoxication aux opioïdes,35,16.7
2020,Nombre,Ontario,Décès totaux apparemment liés à une intoxication aux opioïdes,35,2461
2021,Taux par 100 000 personnes,Ontario,Décès totaux apparemment liés à une intoxication aux opioïdes,35,19.3
2021,Nombre,Ontario,Décès totaux apparemment liés à une intoxication aux opioïdes,35,2864
2016,Taux par 100 000 personnes,Québec,Décès totaux apparemment liés à une intoxication aux opioïdes,24,3.2
2016,Nombre,Québec,Décès totaux apparemment liés à une intoxication aux opioïdes,24,263
2017,Taux par 100 000 personnes,Québec,Décès totaux apparemment liés à une intoxication aux opioïdes,24,3.4
2017,Nombre,Québec,Décès totaux apparemment liés à une intoxication aux opioïdes,24,280
2018,Taux par 100 000 personnes,Québec,Décès totaux apparemment liés à une intoxication aux opioïdes,24,2.5
2018,Nombre,Québec,Décès totaux apparemment liés à une intoxication aux opioïdes,24,211
2019,Taux par 100 000 personnes,Québec,Décès totaux apparemment liés à une intoxication aux opioïdes,24,2.4
2019,Nombre,Québec,Décès totaux apparemment liés à une intoxication aux opioïdes,24,208
2020,Taux par 100 000 personnes,Québec,Décès totaux apparemment liés à une intoxication aux opioïdes,24,3.7
2020,Nombre,Québec,Décès totaux apparemment liés à une intoxication aux opioïdes,24,316
2021,Taux par 100 000 personnes,Québec,Décès totaux apparemment liés à une intoxication aux opioïdes,24,5.2
2021,Nombre,Québec,Décès totaux apparemment liés à une intoxication aux opioïdes,24,450
2016,Taux par 100 000 personnes,Nouveau-Brunswick,Décès totaux apparemment liés à une intoxication aux opioïdes,13,4.5
2016,Nombre,Nouveau-Brunswick,Décès totaux apparemment liés à une intoxication aux opioïdes,13,34
2017,Taux par 100 000 personnes,Nouveau-Brunswick,Décès totaux apparemment liés à une intoxication aux opioïdes,13,5
2017,Nombre,Nouveau-Brunswick,Décès totaux apparemment liés à une intoxication aux opioïdes,13,38
2018,Taux par 100 000 personnes,Nouveau-Brunswick,Décès totaux apparemment liés à une intoxication aux opioïdes,13,3.9
2018,Nombre,Nouveau-Brunswick,Décès totaux apparemment liés à une intoxication aux opioïdes,13,30
2019,Taux par 100 000 personnes,Nouveau-Brunswick,Décès totaux apparemment liés à une intoxication aux opioïdes,13,4.5
2019,Nombre,Nouveau-Brunswick,Décès totaux apparemment liés à une intoxication aux opioïdes,13,35
2020,Taux par 100 000 personnes,Nouveau-Brunswick,Décès totaux apparemment liés à une intoxication aux opioïdes,13,5.7
2020,Nombre,Nouveau-Brunswick,Décès totaux apparemment liés à une intoxication aux opioïdes,13,45
2021,Taux par 100 000 personnes,Nouveau-Brunswick,Décès totaux apparemment liés à une intoxication aux opioïdes,13,5.6
2021,Nombre,Nouveau-Brunswick,Décès totaux apparemment liés à une intoxication aux opioïdes,13,44
2016,Taux par 100 000 personnes,Nouvelle-Écosse,Décès totaux apparemment liés à une intoxication aux opioïdes,12,5.6
2016,Nombre,Nouvelle-Écosse,Décès totaux apparemment liés à une intoxication aux opioïdes,12,53
2017,Taux par 100 000 personnes,Nouvelle-Écosse,Décès totaux apparemment liés à une intoxication aux opioïdes,12,6.7
2017,Nombre,Nouvelle-Écosse,Décès totaux apparemment liés à une intoxication aux opioïdes,12,64
2018,Taux par 100 000 personnes,Nouvelle-Écosse,Décès totaux apparemment liés à une intoxication aux opioïdes,12,5.6
2018,Nombre,Nouvelle-Écosse,Décès totaux apparemment liés à une intoxication aux opioïdes,12,54
2019,Taux par 100 000 personnes,Nouvelle-Écosse,Décès totaux apparemment liés à une intoxication aux opioïdes,12,5.9
2019,Nombre,Nouvelle-Écosse,Décès totaux apparemment liés à une intoxication aux opioïdes,12,57
2020,Taux par 100 000 personnes,Nouvelle-Écosse,Décès totaux apparemment liés à une intoxication aux opioïdes,12,5.1
2020,Nombre,Nouvelle-Écosse,Décès totaux apparemment liés à une intoxication aux opioïdes,12,50
2021,Taux par 100 000 personnes,Nouvelle-Écosse,Décès totaux apparemment liés à une intoxication aux opioïdes,12,3.9
2021,Nombre,Nouvelle-Écosse,Décès totaux apparemment liés à une intoxication aux opioïdes,12,39
2016,Taux par 100 000 personnes,Île-du-Prince-Édouard,Décès totaux apparemment liés à une intoxication aux opioïdes,11,3.4
2016,Nombre,Île-du-Prince-Édouard,Décès totaux apparemment liés à une intoxication aux opioïdes,11,5
2017,Taux par 100 000 personnes,Île-du-Prince-Édouard,Décès totaux apparemment liés à une intoxication aux opioïdes,11,3.3
2017,Nombre,Île-du-Prince-Édouard,Décès totaux apparemment liés à une intoxication aux opioïdes,11,5
2018,Taux par 100 000 personnes,Île-du-Prince-Édouard,Décès totaux apparemment liés à une intoxication aux opioïdes,11,5.2
2018,Nombre,Île-du-Prince-Édouard,Décès totaux apparemment liés à une intoxication aux opioïdes,11,8
2019,Taux par 100 000 personnes,Île-du-Prince-Édouard,Décès totaux apparemment liés à une intoxication aux opioïdes,11,3.2
2019,Nombre,Île-du-Prince-Édouard,Décès totaux apparemment liés à une intoxication aux opioïdes,11,5
2020,Taux par 100 000 personnes,Île-du-Prince-Édouard,Décès totaux apparemment liés à une intoxication aux opioïdes,11,5
2020,Nombre,Île-du-Prince-Édouard,Décès totaux apparemment liés à une intoxication aux opioïdes,11,8
2021,Taux par 100 000 personnes,Île-du-Prince-Édouard,Décès totaux apparemment liés à une intoxication aux opioïdes,11,7.3
2021,Nombre,Île-du-Prince-Édouard,Décès totaux apparemment liés à une intoxication aux opioïdes,11,12
2016,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,Décès totaux apparemment liés à une intoxication aux opioïdes,10,3.4
2016,Nombre,Terre-Neuve-et-Labrador,Décès totaux apparemment liés à une intoxication aux opioïdes,10,18
2017,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,Décès totaux apparemment liés à une intoxication aux opioïdes,10,6.2
2017,Nombre,Terre-Neuve-et-Labrador,Décès totaux apparemment liés à une intoxication aux opioïdes,10,33
2018,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,Décès totaux apparemment liés à une intoxication aux opioïdes,10,2.3
2018,Nombre,Terre-Neuve-et-Labrador,Décès totaux apparemment liés à une intoxication aux opioïdes,10,12
2019,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,Décès totaux apparemment liés à une intoxication aux opioïdes,10,3.4
2019,Nombre,Terre-Neuve-et-Labrador,Décès totaux apparemment liés à une intoxication aux opioïdes,10,18
2020,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,Décès totaux apparemment liés à une intoxication aux opioïdes,10,4.6
2020,Nombre,Terre-Neuve-et-Labrador,Décès totaux apparemment liés à une intoxication aux opioïdes,10,24
2021,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,Décès totaux apparemment liés à une intoxication aux opioïdes,10,4.8
2021,Nombre,Terre-Neuve-et-Labrador,Décès totaux apparemment liés à une intoxication aux opioïdes,10,25
2016,Taux par 100 000 personnes,Yukon,Décès totaux apparemment liés à une intoxication aux opioïdes,60,18.2
2016,Nombre,Yukon,Décès totaux apparemment liés à une intoxication aux opioïdes,60,7
2017,Taux par 100 000 personnes,Yukon,Décès totaux apparemment liés à une intoxication aux opioïdes,60,17.7
2017,Nombre,Yukon,Décès totaux apparemment liés à une intoxication aux opioïdes,60,7
2018,Taux par 100 000 personnes,Yukon,Décès totaux apparemment liés à une intoxication aux opioïdes,60,12.3
2018,Nombre,Yukon,Décès totaux apparemment liés à une intoxication aux opioïdes,60,5
2019,Taux par 100 000 personnes,Yukon,Décès totaux apparemment liés à une intoxication aux opioïdes,60,9.7
2019,Nombre,Yukon,Décès totaux apparemment liés à une intoxication aux opioïdes,60,4
2020,Taux par 100 000 personnes,Yukon,Décès totaux apparemment liés à une intoxication aux opioïdes,60,23.7
2020,Nombre,Yukon,Décès totaux apparemment liés à une intoxication aux opioïdes,60,10
2021,Taux par 100 000 personnes,Yukon,Décès totaux apparemment liés à une intoxication aux opioïdes,60,53.2
2021,Nombre,Yukon,Décès totaux apparemment liés à une intoxication aux opioïdes,60,23
2016,Taux par 100 000 personnes,Territoires du Nord-Ouest,Décès totaux apparemment liés à une intoxication aux opioïdes,61,11.2
2016,Nombre,Territoires du Nord-Ouest,Décès totaux apparemment liés à une intoxication aux opioïdes,61,5
2017,Taux par 100 000 personnes,Territoires du Nord-Ouest,Décès totaux apparemment liés à une intoxication aux opioïdes,61,2.2
2017,Nombre,Territoires du Nord-Ouest,Décès totaux apparemment liés à une intoxication aux opioïdes,61,1
2018,Taux par 100 000 personnes,Territoires du Nord-Ouest,Décès totaux apparemment liés à une intoxication aux opioïdes,61,4.4
2018,Nombre,Territoires du Nord-Ouest,Décès totaux apparemment liés à une intoxication aux opioïdes,61,2
2019,Taux par 100 000 personnes,Territoires du Nord-Ouest,Décès totaux apparemment liés à une intoxication aux opioïdes,61,2.2
2019,Nombre,Territoires du Nord-Ouest,Décès totaux apparemment liés à une intoxication aux opioïdes,61,1
2020,Taux par 100 000 personnes,Territoires du Nord-Ouest,Décès totaux apparemment liés à une intoxication aux opioïdes,61,6.6
2020,Nombre,Territoires du Nord-Ouest,Décès totaux apparemment liés à une intoxication aux opioïdes,61,3
2021,Taux par 100 000 personnes,Territoires du Nord-Ouest,Décès totaux apparemment liés à une intoxication aux opioïdes,61,8.8
2021,Nombre,Territoires du Nord-Ouest,Décès totaux apparemment liés à une intoxication aux opioïdes,61,4
2016,Taux par 100 000 personnes,Nunavut,Décès totaux apparemment liés à une intoxication aux opioïdes,62,Suppr.
2016,Nombre,Nunavut,Décès totaux apparemment liés à une intoxication aux opioïdes,62,Suppr.
2017,Taux par 100 000 personnes,Nunavut,Décès totaux apparemment liés à une intoxication aux opioïdes,62,Suppr.
2017,Nombre,Nunavut,Décès totaux apparemment liés à une intoxication aux opioïdes,62,Suppr.
2018,Taux par 100 000 personnes,Nunavut,Décès totaux apparemment liés à une intoxication aux opioïdes,62,Suppr.
2018,Nombre,Nunavut,Décès totaux apparemment liés à une intoxication aux opioïdes,62,Suppr.
2019,Taux par 100 000 personnes,Nunavut,Décès totaux apparemment liés à une intoxication aux opioïdes,62,Suppr.
2019,Nombre,Nunavut,Décès totaux apparemment liés à une intoxication aux opioïdes,62,Suppr.
2020,Taux par 100 000 personnes,Nunavut,Décès totaux apparemment liés à une intoxication aux opioïdes,62,Suppr.
2020,Nombre,Nunavut,Décès totaux apparemment liés à une intoxication aux opioïdes,62,Suppr.
2021,Taux par 100 000 personnes,Nunavut,Décès totaux apparemment liés à une intoxication aux opioïdes,62,Suppr.
2021,Nombre,Nunavut,Décès totaux apparemment liés à une intoxication aux opioïdes,62,Suppr.
2016,Taux par 100 000 personnes,Canada,Hospitalisations pour intoxication aux opioïdes,,16.8
2016,Nombre,Canada,Hospitalisations pour intoxication aux opioïdes,,4687
2017,Taux par 100 000 personnes,Canada,Hospitalisations pour intoxication aux opioïdes,,18.4
2017,Nombre,Canada,Hospitalisations pour intoxication aux opioïdes,,5203
2018,Taux par 100 000 personnes,Canada,Hospitalisations pour intoxication aux opioïdes,,17.6
2018,Nombre,Canada,Hospitalisations pour intoxication aux opioïdes,,5052
2019,Taux par 100 000 personnes,Canada,Hospitalisations pour intoxication aux opioïdes,,15.5
2019,Nombre,Canada,Hospitalisations pour intoxication aux opioïdes,,4514
2020,Taux par 100 000 personnes,Canada,Hospitalisations pour intoxication aux opioïdes,,17.8
2020,Nombre,Canada,Hospitalisations pour intoxication aux opioïdes,,5240
2021,Taux par 100 000 personnes,Canada,Hospitalisations pour intoxication aux opioïdes,,21.2
2021,Nombre,Canada,Hospitalisations pour intoxication aux opioïdes,,6273
2016,Taux par 100 000 personnes,Colombie-Britannique,Hospitalisations pour intoxication aux opioïdes,59,23.8
2016,Nombre,Colombie-Britannique,Hospitalisations pour intoxication aux opioïdes,59,1156
2017,Taux par 100 000 personnes,Colombie-Britannique,Hospitalisations pour intoxication aux opioïdes,59,28.5
2017,Nombre,Colombie-Britannique,Hospitalisations pour intoxication aux opioïdes,59,1407
2018,Taux par 100 000 personnes,Colombie-Britannique,Hospitalisations pour intoxication aux opioïdes,59,28.3
2018,Nombre,Colombie-Britannique,Hospitalisations pour intoxication aux opioïdes,59,1418
2019,Taux par 100 000 personnes,Colombie-Britannique,Hospitalisations pour intoxication aux opioïdes,59,23.5
2019,Nombre,Colombie-Britannique,Hospitalisations pour intoxication aux opioïdes,59,1196
2020,Taux par 100 000 personnes,Colombie-Britannique,Hospitalisations pour intoxication aux opioïdes,59,30.7
2020,Nombre,Colombie-Britannique,Hospitalisations pour intoxication aux opioïdes,59,1586
2021,Taux par 100 000 personnes,Colombie-Britannique,Hospitalisations pour intoxication aux opioïdes,59,37.6
2021,Nombre,Colombie-Britannique,Hospitalisations pour intoxication aux opioïdes,59,1955
2016,Taux par 100 000 personnes,Alberta,Hospitalisations pour intoxication aux opioïdes,48,22.2
2016,Nombre,Alberta,Hospitalisations pour intoxication aux opioïdes,48,930
2017,Taux par 100 000 personnes,Alberta,Hospitalisations pour intoxication aux opioïdes,48,22.3
2017,Nombre,Alberta,Hospitalisations pour intoxication aux opioïdes,48,947
2018,Taux par 100 000 personnes,Alberta,Hospitalisations pour intoxication aux opioïdes,48,21.5
2018,Nombre,Alberta,Hospitalisations pour intoxication aux opioïdes,48,922
2019,Taux par 100 000 personnes,Alberta,Hospitalisations pour intoxication aux opioïdes,48,16.3
2019,Nombre,Alberta,Hospitalisations pour intoxication aux opioïdes,48,709
2020,Taux par 100 000 personnes,Alberta,Hospitalisations pour intoxication aux opioïdes,48,20.1
2020,Nombre,Alberta,Hospitalisations pour intoxication aux opioïdes,48,890
2021,Taux par 100 000 personnes,Alberta,Hospitalisations pour intoxication aux opioïdes,48,25.7
2021,Nombre,Alberta,Hospitalisations pour intoxication aux opioïdes,48,1144
2016,Taux par 100 000 personnes,Saskatchewan,Hospitalisations pour intoxication aux opioïdes,47,23.2
2016,Nombre,Saskatchewan,Hospitalisations pour intoxication aux opioïdes,47,264
2017,Taux par 100 000 personnes,Saskatchewan,Hospitalisations pour intoxication aux opioïdes,47,21.2
2017,Nombre,Saskatchewan,Hospitalisations pour intoxication aux opioïdes,47,244
2018,Taux par 100 000 personnes,Saskatchewan,Hospitalisations pour intoxication aux opioïdes,47,19.7
2018,Nombre,Saskatchewan,Hospitalisations pour intoxication aux opioïdes,47,229
2019,Taux par 100 000 personnes,Saskatchewan,Hospitalisations pour intoxication aux opioïdes,47,22.5
2019,Nombre,Saskatchewan,Hospitalisations pour intoxication aux opioïdes,47,264
2020,Taux par 100 000 personnes,Saskatchewan,Hospitalisations pour intoxication aux opioïdes,47,26.7
2020,Nombre,Saskatchewan,Hospitalisations pour intoxication aux opioïdes,47,315
2021,Taux par 100 000 personnes,Saskatchewan,Hospitalisations pour intoxication aux opioïdes,47,27.2
2021,Nombre,Saskatchewan,Hospitalisations pour intoxication aux opioïdes,47,321
2016,Taux par 100 000 personnes,Manitoba,Hospitalisations pour intoxication aux opioïdes,46,9.4
2016,Nombre,Manitoba,Hospitalisations pour intoxication aux opioïdes,46,123
2017,Taux par 100 000 personnes,Manitoba,Hospitalisations pour intoxication aux opioïdes,46,12.1
2017,Nombre,Manitoba,Hospitalisations pour intoxication aux opioïdes,46,161
2018,Taux par 100 000 personnes,Manitoba,Hospitalisations pour intoxication aux opioïdes,46,8
2018,Nombre,Manitoba,Hospitalisations pour intoxication aux opioïdes,46,108
2019,Taux par 100 000 personnes,Manitoba,Hospitalisations pour intoxication aux opioïdes,46,6.1
2019,Nombre,Manitoba,Hospitalisations pour intoxication aux opioïdes,46,84
2020,Taux par 100 000 personnes,Manitoba,Hospitalisations pour intoxication aux opioïdes,46,9.1
2020,Nombre,Manitoba,Hospitalisations pour intoxication aux opioïdes,46,126
2021,Taux par 100 000 personnes,Manitoba,Hospitalisations pour intoxication aux opioïdes,46,8.8
2021,Nombre,Manitoba,Hospitalisations pour intoxication aux opioïdes,46,122
2016,Taux par 100 000 personnes,Ontario,Hospitalisations pour intoxication aux opioïdes,35,13.5
2016,Nombre,Ontario,Hospitalisations pour intoxication aux opioïdes,35,1875
2017,Taux par 100 000 personnes,Ontario,Hospitalisations pour intoxication aux opioïdes,35,15.1
2017,Nombre,Ontario,Hospitalisations pour intoxication aux opioïdes,35,2124
2018,Taux par 100 000 personnes,Ontario,Hospitalisations pour intoxication aux opioïdes,35,14.6
2018,Nombre,Ontario,Hospitalisations pour intoxication aux opioïdes,35,2095
2019,Taux par 100 000 personnes,Ontario,Hospitalisations pour intoxication aux opioïdes,35,13.6
2019,Nombre,Ontario,Hospitalisations pour intoxication aux opioïdes,35,1981
2020,Taux par 100 000 personnes,Ontario,Hospitalisations pour intoxication aux opioïdes,35,13.9
2020,Nombre,Ontario,Hospitalisations pour intoxication aux opioïdes,35,2044
2021,Taux par 100 000 personnes,Ontario,Hospitalisations pour intoxication aux opioïdes,35,16.5
2021,Nombre,Ontario,Hospitalisations pour intoxication aux opioïdes,35,2446
2016,Taux par 100 000 personnes,Québec,Hospitalisations pour intoxication aux opioïdes,24,
2016,Nombre,Québec,Hospitalisations pour intoxication aux opioïdes,24,
2017,Taux par 100 000 personnes,Québec,Hospitalisations pour intoxication aux opioïdes,24,
2017,Nombre,Québec,Hospitalisations pour intoxication aux opioïdes,24,
2018,Taux par 100 000 personnes,Québec,Hospitalisations pour intoxication aux opioïdes,24,
2018,Nombre,Québec,Hospitalisations pour intoxication aux opioïdes,24,
2019,Taux par 100 000 personnes,Québec,Hospitalisations pour intoxication aux opioïdes,24,
2019,Nombre,Québec,Hospitalisations pour intoxication aux opioïdes,24,
2020,Taux par 100 000 personnes,Québec,Hospitalisations pour intoxication aux opioïdes,24,
2020,Nombre,Québec,Hospitalisations pour intoxication aux opioïdes,24,
2021,Taux par 100 000 personnes,Québec,Hospitalisations pour intoxication aux opioïdes,24,
2021,Nombre,Québec,Hospitalisations pour intoxication aux opioïdes,24,
2016,Taux par 100 000 personnes,Nouveau-Brunswick,Hospitalisations pour intoxication aux opioïdes,13,16.9
2016,Nombre,Nouveau-Brunswick,Hospitalisations pour intoxication aux opioïdes,13,129
2017,Taux par 100 000 personnes,Nouveau-Brunswick,Hospitalisations pour intoxication aux opioïdes,13,13.2
2017,Nombre,Nouveau-Brunswick,Hospitalisations pour intoxication aux opioïdes,13,101
2018,Taux par 100 000 personnes,Nouveau-Brunswick,Hospitalisations pour intoxication aux opioïdes,13,11.3
2018,Nombre,Nouveau-Brunswick,Hospitalisations pour intoxication aux opioïdes,13,87
2019,Taux par 100 000 personnes,Nouveau-Brunswick,Hospitalisations pour intoxication aux opioïdes,13,13.4
2019,Nombre,Nouveau-Brunswick,Hospitalisations pour intoxication aux opioïdes,13,104
2020,Taux par 100 000 personnes,Nouveau-Brunswick,Hospitalisations pour intoxication aux opioïdes,13,13.4
2020,Nombre,Nouveau-Brunswick,Hospitalisations pour intoxication aux opioïdes,13,105
2021,Taux par 100 000 personnes,Nouveau-Brunswick,Hospitalisations pour intoxication aux opioïdes,13,12.4
2021,Nombre,Nouveau-Brunswick,Hospitalisations pour intoxication aux opioïdes,13,98
2016,Taux par 100 000 personnes,Nouvelle-Écosse,Hospitalisations pour intoxication aux opioïdes,12,10.7
2016,Nombre,Nouvelle-Écosse,Hospitalisations pour intoxication aux opioïdes,12,101
2017,Taux par 100 000 personnes,Nouvelle-Écosse,Hospitalisations pour intoxication aux opioïdes,12,8.7
2017,Nombre,Nouvelle-Écosse,Hospitalisations pour intoxication aux opioïdes,12,83
2018,Taux par 100 000 personnes,Nouvelle-Écosse,Hospitalisations pour intoxication aux opioïdes,12,8.3
2018,Nombre,Nouvelle-Écosse,Hospitalisations pour intoxication aux opioïdes,12,80
2019,Taux par 100 000 personnes,Nouvelle-Écosse,Hospitalisations pour intoxication aux opioïdes,12,8.1
2019,Nombre,Nouvelle-Écosse,Hospitalisations pour intoxication aux opioïdes,12,79
2020,Taux par 100 000 personnes,Nouvelle-Écosse,Hospitalisations pour intoxication aux opioïdes,12,7.3
2020,Nombre,Nouvelle-Écosse,Hospitalisations pour intoxication aux opioïdes,12,72
2021,Taux par 100 000 personnes,Nouvelle-Écosse,Hospitalisations pour intoxication aux opioïdes,12,7.2
2021,Nombre,Nouvelle-Écosse,Hospitalisations pour intoxication aux opioïdes,12,71
2016,Taux par 100 000 personnes,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux opioïdes,11,15
2016,Nombre,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux opioïdes,11,22
2017,Taux par 100 000 personnes,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux opioïdes,11,10.6
2017,Nombre,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux opioïdes,11,16
2018,Taux par 100 000 personnes,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux opioïdes,11,13
2018,Nombre,Île-du-Prince-Édouard,Hospitalisations pour intoxication aux opioïdes,11,20
