Year,Units,Geography,Fuel type,Demand characteristics,Value
2015,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Total industrial,57444
2016,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Total industrial,52922
2017,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Total industrial,60254
2018,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Total industrial,71476
2019,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Total industrial,71829
2015,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Total transportation,10716
2016,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Total transportation,12076
2017,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Total transportation,11960
2018,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Total transportation,11699
2019,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Total transportation,11605
2015,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Agriculture,9065
2016,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Agriculture,10301
2017,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Agriculture,
2018,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Agriculture,9810
2019,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Agriculture,10456
2015,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Residential,
2016,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Residential,
2017,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Residential,
2018,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Residential,15019
2019,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Residential,16258
2015,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Public administration,
2016,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Public administration,
2015,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Commercial and other institutional,
2016,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Commercial and other institutional,38208
2017,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Commercial and other institutional,36005
2018,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Commercial and other institutional,34212
2019,Terajoules,Canada,Gas plant natural gas liquids (NGL's),Commercial and other institutional,38306
2015,Terajoules,Canada,Hydroelectricity,Energy use - final demand,1496685.577
2016,Terajoules,Canada,Hydroelectricity,Energy use - final demand,1510145.029
2017,Terajoules,Canada,Hydroelectricity,Energy use - final demand,1551668.578
2018,Terajoules,Canada,Hydroelectricity,Energy use - final demand,1575462.146
2019,Terajoules,Canada,Hydroelectricity,Energy use - final demand,1580194.533
2015,Terajoules,Canada,Hydroelectricity,Total industrial,567375.2568
2016,Terajoules,Canada,Hydroelectricity,Total industrial,590262.9629
2017,Terajoules,Canada,Hydroelectricity,Total industrial,592545.69
2018,Terajoules,Canada,Hydroelectricity,Total industrial,595744.651
2019,Terajoules,Canada,Hydroelectricity,Total industrial,602506.7001
2015,Terajoules,Canada,Hydroelectricity,Total transportation,18678.91905
2016,Terajoules,Canada,Hydroelectricity,Total transportation,20997.12379
2017,Terajoules,Canada,Hydroelectricity,Total transportation,22750.07515
2018,Terajoules,Canada,Hydroelectricity,Total transportation,22952.34342
2019,Terajoules,Canada,Hydroelectricity,Total transportation,22047.66442
2015,Terajoules,Canada,Hydroelectricity,Agriculture,29073.99792
2016,Terajoules,Canada,Hydroelectricity,Agriculture,27565.47122
2017,Terajoules,Canada,Hydroelectricity,Agriculture,28303.00901
2018,Terajoules,Canada,Hydroelectricity,Agriculture,29618.61371
2019,Terajoules,Canada,Hydroelectricity,Agriculture,30282.64173
2015,Terajoules,Canada,Hydroelectricity,Residential,489246.664
2016,Terajoules,Canada,Hydroelectricity,Residential,478268.4416
2017,Terajoules,Canada,Hydroelectricity,Residential,485559.9142
2018,Terajoules,Canada,Hydroelectricity,Residential,497318.6597
2019,Terajoules,Canada,Hydroelectricity,Residential,494629.7733
2015,Terajoules,Canada,Hydroelectricity,Public administration,38295.81192
2016,Terajoules,Canada,Hydroelectricity,Public administration,38727.26431
2017,Terajoules,Canada,Hydroelectricity,Public administration,38071.86588
2018,Terajoules,Canada,Hydroelectricity,Public administration,39891.10879
2019,Terajoules,Canada,Hydroelectricity,Public administration,39317.5108
2015,Terajoules,Canada,Hydroelectricity,Commercial and other institutional,354015.7247
2016,Terajoules,Canada,Hydroelectricity,Commercial and other institutional,354322.9659
2017,Terajoules,Canada,Hydroelectricity,Commercial and other institutional,384438.0237
2018,Terajoules,Canada,Hydroelectricity,Commercial and other institutional,389936.7697
2019,Terajoules,Canada,Hydroelectricity,Commercial and other institutional,391410.2422
2015,Terajoules,Canada,Nuclear,Energy use - final demand,379808.4232
2016,Terajoules,Canada,Nuclear,Energy use - final demand,378585.9707
2017,Terajoules,Canada,Nuclear,Energy use - final demand,379487.422
2018,Terajoules,Canada,Nuclear,Energy use - final demand,391776.8537
2019,Terajoules,Canada,Nuclear,Energy use - final demand,401242.4675
2015,Terajoules,Canada,Nuclear,Total industrial,143980.7432
2016,Terajoules,Canada,Nuclear,Total industrial,147976.0371
2017,Terajoules,Canada,Nuclear,Total industrial,144917.31
2018,Terajoules,Canada,Nuclear,Total industrial,148146.349
2019,Terajoules,Canada,Nuclear,Total industrial,152988.2999
2015,Terajoules,Canada,Nuclear,Total transportation,4740.08095
2016,Terajoules,Canada,Nuclear,Total transportation,5263.876209
2017,Terajoules,Canada,Nuclear,Total transportation,5563.924854
2018,Terajoules,Canada,Nuclear,Total transportation,5707.656582
2019,Terajoules,Canada,Nuclear,Total transportation,5598.335579
2015,Terajoules,Canada,Nuclear,Agriculture,7378.002084
2016,Terajoules,Canada,Nuclear,Agriculture,6910.528776
2017,Terajoules,Canada,Nuclear,Agriculture,6921.990993
2018,Terajoules,Canada,Nuclear,Agriculture,7365.386289
2019,Terajoules,Canada,Nuclear,Agriculture,7689.358266
2015,Terajoules,Canada,Nuclear,Residential,124154.336
2016,Terajoules,Canada,Nuclear,Residential,119899.5584
2017,Terajoules,Canada,Nuclear,Residential,118752.0858
2018,Terajoules,Canada,Nuclear,Residential,123670.3403
2019,Terajoules,Canada,Nuclear,Residential,125596.2267
2015,Terajoules,Canada,Nuclear,Public administration,9718.188084
2016,Terajoules,Canada,Nuclear,Public administration,9708.735695
2017,Terajoules,Canada,Nuclear,Public administration,9311.134116
2018,Terajoules,Canada,Nuclear,Public administration,9919.891208
2019,Terajoules,Canada,Nuclear,Public administration,9983.489199
2015,Terajoules,Canada,Nuclear,Commercial and other institutional,89837.27529
2016,Terajoules,Canada,Nuclear,Commercial and other institutional,88827.03409
2017,Terajoules,Canada,Nuclear,Commercial and other institutional,94020.97626
2018,Terajoules,Canada,Nuclear,Commercial and other institutional,96967.2303
2019,Terajoules,Canada,Nuclear,Commercial and other institutional,99386.75784
2015,Terajoules,Canada,Steam,Energy use - final demand,26828
2016,Terajoules,Canada,Steam,Energy use - final demand,25351
2017,Terajoules,Canada,Steam,Energy use - final demand,27505
2018,Terajoules,Canada,Steam,Energy use - final demand,27679
2019,Terajoules,Canada,Steam,Energy use - final demand,24576
2015,Terajoules,Canada,Steam,Total industrial,24566
2016,Terajoules,Canada,Steam,Total industrial,23395
2017,Terajoules,Canada,Steam,Total industrial,26060
2018,Terajoules,Canada,Steam,Total industrial,26375
2019,Terajoules,Canada,Steam,Total industrial,24284
2015,Terajoules,Canada,Steam,Agriculture,3
2016,Terajoules,Canada,Steam,Agriculture,
2017,Terajoules,Canada,Steam,Agriculture,1
2018,Terajoules,Canada,Steam,Agriculture,0
2019,Terajoules,Canada,Steam,Agriculture,0
2015,Terajoules,Canada,Steam,Residential,0
2016,Terajoules,Canada,Steam,Residential,0
2017,Terajoules,Canada,Steam,Residential,0
2018,Terajoules,Canada,Steam,Residential,0
2019,Terajoules,Canada,Steam,Residential,0
2015,Terajoules,Canada,Steam,Public administration,0
2016,Terajoules,Canada,Steam,Public administration,0
2017,Terajoules,Canada,Steam,Public administration,0
2018,Terajoules,Canada,Steam,Public administration,0
2019,Terajoules,Canada,Steam,Public administration,0
2015,Terajoules,Canada,Steam,Commercial and other institutional,2260
2016,Terajoules,Canada,Steam,Commercial and other institutional,1954
2017,Terajoules,Canada,Steam,Commercial and other institutional,1444
2018,Terajoules,Canada,Steam,Commercial and other institutional,1304
2019,Terajoules,Canada,Steam,Commercial and other institutional,292
2015,Terajoules,Canada,Coke,Energy use - final demand,73871
2016,Terajoules,Canada,Coke,Energy use - final demand,81829
2017,Terajoules,Canada,Coke,Energy use - final demand,83205
2018,Terajoules,Canada,Coke,Energy use - final demand,90661
2019,Terajoules,Canada,Coke,Energy use - final demand,84156
2015,Terajoules,Canada,Coke,Total industrial,73871
2016,Terajoules,Canada,Coke,Total industrial,81829
2017,Terajoules,Canada,Coke,Total industrial,
2018,Terajoules,Canada,Coke,Total industrial,90661
2019,Terajoules,Canada,Coke,Total industrial,84156
2015,Terajoules,Canada,Coke oven gas,Energy use - final demand,21181
2016,Terajoules,Canada,Coke oven gas,Energy use - final demand,19994
2017,Terajoules,Canada,Coke oven gas,Energy use - final demand,19744
2018,Terajoules,Canada,Coke oven gas,Energy use - final demand,23235
2019,Terajoules,Canada,Coke oven gas,Energy use - final demand,22119
2015,Terajoules,Canada,Coke oven gas,Total industrial,21181
2016,Terajoules,Canada,Coke oven gas,Total industrial,19994
2017,Terajoules,Canada,Coke oven gas,Total industrial,19744
2018,Terajoules,Canada,Coke oven gas,Total industrial,23235
2019,Terajoules,Canada,Coke oven gas,Total industrial,22119
2015,Terajoules,Canada,Total refined petroleum products,Energy use - final demand,3200543
2016,Terajoules,Canada,Total refined petroleum products,Energy use - final demand,3182887
2017,Terajoules,Canada,Total refined petroleum products,Energy use - final demand,3292346
2018,Terajoules,Canada,Total refined petroleum products,Energy use - final demand,3410601
2019,Terajoules,Canada,Total refined petroleum products,Energy use - final demand,3435410
2015,Terajoules,Canada,Total refined petroleum products,Total industrial,295720
2016,Terajoules,Canada,Total refined petroleum products,Total industrial,296507
2017,Terajoules,Canada,Total refined petroleum products,Total industrial,328818
2018,Terajoules,Canada,Total refined petroleum products,Total industrial,335328
2019,Terajoules,Canada,Total refined petroleum products,Total industrial,344520
2015,Terajoules,Canada,Total refined petroleum products,Total transportation,2488883
2016,Terajoules,Canada,Total refined petroleum products,Total transportation,2476074
2017,Terajoules,Canada,Total refined petroleum products,Total transportation,2531706
2018,Terajoules,Canada,Total refined petroleum products,Total transportation,2627385
2019,Terajoules,Canada,Total refined petroleum products,Total transportation,2651233
2015,Terajoules,Canada,Total refined petroleum products,Agriculture,213018
2016,Terajoules,Canada,Total refined petroleum products,Agriculture,214533
2017,Terajoules,Canada,Total refined petroleum products,Agriculture,221481
2018,Terajoules,Canada,Total refined petroleum products,Agriculture,228148
2019,Terajoules,Canada,Total refined petroleum products,Agriculture,216034
2015,Terajoules,Canada,Total refined petroleum products,Residential,69779
2016,Terajoules,Canada,Total refined petroleum products,Residential,63494
2017,Terajoules,Canada,Total refined petroleum products,Residential,57868
2018,Terajoules,Canada,Total refined petroleum products,Residential,58671
2019,Terajoules,Canada,Total refined petroleum products,Residential,54552
2015,Terajoules,Canada,Total refined petroleum products,Public administration,50670
2016,Terajoules,Canada,Total refined petroleum products,Public administration,
2017,Terajoules,Canada,Total refined petroleum products,Public administration,54286
2018,Terajoules,Canada,Total refined petroleum products,Public administration,55258
2019,Terajoules,Canada,Total refined petroleum products,Public administration,54510
2015,Terajoules,Canada,Total refined petroleum products,Commercial and other institutional,82474
2016,Terajoules,Canada,Total refined petroleum products,Commercial and other institutional,
2017,Terajoules,Canada,Total refined petroleum products,Commercial and other institutional,98188
2018,Terajoules,Canada,Total refined petroleum products,Commercial and other institutional,105812
2019,Terajoules,Canada,Total refined petroleum products,Commercial and other institutional,114561
2015,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Energy use - final demand,125892
2016,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Energy use - final demand,126046
2017,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Energy use - final demand,125286
2018,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Energy use - final demand,127159
2019,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Energy use - final demand,127535
2015,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,29455
2016,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,27647
2017,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,27712
2018,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,29865
2019,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,31245
2015,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,52475
2016,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,53222
2017,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,53746
2018,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,53278
2019,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,52382
2015,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,352
2016,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,368
2017,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,304
2018,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,298
2019,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,394
2015,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Residential,19717
2016,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Residential,20040
2017,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Residential,21128
2018,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Residential,20820
2019,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Residential,20442
2015,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Public administration,4789
2016,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Public administration,4151
2017,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Public administration,4149
2018,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Public administration,3617
2019,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Public administration,3404
2015,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,19105
2016,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,20619
2017,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,18259
2018,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,19282
2019,Terajoules,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,19668
2015,Terajoules,Newfoundland and Labrador,Total coal,Energy use - final demand,
2016,Terajoules,Newfoundland and Labrador,Total coal,Energy use - final demand,
2017,Terajoules,Newfoundland and Labrador,Total coal,Energy use - final demand,
2018,Terajoules,Newfoundland and Labrador,Total coal,Energy use - final demand,2749
2019,Terajoules,Newfoundland and Labrador,Total coal,Energy use - final demand,3687
2015,Terajoules,Newfoundland and Labrador,Total coal,Total industrial,
2016,Terajoules,Newfoundland and Labrador,Total coal,Total industrial,
2017,Terajoules,Newfoundland and Labrador,Total coal,Total industrial,
2018,Terajoules,Newfoundland and Labrador,Total coal,Total industrial,2749
2019,Terajoules,Newfoundland and Labrador,Total coal,Total industrial,3687
2015,Terajoules,Newfoundland and Labrador,Natural gas,Energy use - final demand,0
2016,Terajoules,Newfoundland and Labrador,Natural gas,Energy use - final demand,
2017,Terajoules,Newfoundland and Labrador,Natural gas,Energy use - final demand,
2018,Terajoules,Newfoundland and Labrador,Natural gas,Energy use - final demand,304
2019,Terajoules,Newfoundland and Labrador,Natural gas,Energy use - final demand,392
2015,Terajoules,Newfoundland and Labrador,Natural gas,Total industrial,0
2016,Terajoules,Newfoundland and Labrador,Natural gas,Total industrial,
2017,Terajoules,Newfoundland and Labrador,Natural gas,Total industrial,
2018,Terajoules,Newfoundland and Labrador,Natural gas,Total industrial,304
2019,Terajoules,Newfoundland and Labrador,Natural gas,Total industrial,392
2015,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Energy use - final demand,1723
2016,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Energy use - final demand,
2017,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Energy use - final demand,1583
2018,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Energy use - final demand,1636
2019,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Energy use - final demand,1572
2015,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,122
2016,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,138
2017,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,132
2018,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,113
2019,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,184
2015,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,15
2016,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,13
2017,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,15
2018,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,16
2019,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,14
2015,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Agriculture,6
2016,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Agriculture,6
2017,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Agriculture,5
2018,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Agriculture,0
2019,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Agriculture,0
2015,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,429
2016,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,375
2017,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,390
2018,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,408
2019,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,372
2015,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Public administration,
2016,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Public administration,
2015,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,1151
2016,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,1003
2017,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,1051
2018,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,1099
2019,Terajoules,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,1002
2015,Terajoules,Newfoundland and Labrador,Hydroelectricity,Energy use - final demand,36640
2016,Terajoules,Newfoundland and Labrador,Hydroelectricity,Energy use - final demand,36243
2017,Terajoules,Newfoundland and Labrador,Hydroelectricity,Energy use - final demand,37651
2018,Terajoules,Newfoundland and Labrador,Hydroelectricity,Energy use - final demand,37648
2019,Terajoules,Newfoundland and Labrador,Hydroelectricity,Energy use - final demand,37693
2015,Terajoules,Newfoundland and Labrador,Hydroelectricity,Total industrial,11804
2016,Terajoules,Newfoundland and Labrador,Hydroelectricity,Total industrial,11756
2017,Terajoules,Newfoundland and Labrador,Hydroelectricity,Total industrial,12885
2018,Terajoules,Newfoundland and Labrador,Hydroelectricity,Total industrial,13059
2019,Terajoules,Newfoundland and Labrador,Hydroelectricity,Total industrial,13140
2015,Terajoules,Newfoundland and Labrador,Hydroelectricity,Total transportation,2
2016,Terajoules,Newfoundland and Labrador,Hydroelectricity,Total transportation,4
2017,Terajoules,Newfoundland and Labrador,Hydroelectricity,Total transportation,4
2018,Terajoules,Newfoundland and Labrador,Hydroelectricity,Total transportation,9
2019,Terajoules,Newfoundland and Labrador,Hydroelectricity,Total transportation,9
2015,Terajoules,Newfoundland and Labrador,Hydroelectricity,Agriculture,108
2016,Terajoules,Newfoundland and Labrador,Hydroelectricity,Agriculture,123
2017,Terajoules,Newfoundland and Labrador,Hydroelectricity,Agriculture,117
2018,Terajoules,Newfoundland and Labrador,Hydroelectricity,Agriculture,122
2019,Terajoules,Newfoundland and Labrador,Hydroelectricity,Agriculture,123
2015,Terajoules,Newfoundland and Labrador,Hydroelectricity,Residential,15714
2016,Terajoules,Newfoundland and Labrador,Hydroelectricity,Residential,15514
2017,Terajoules,Newfoundland and Labrador,Hydroelectricity,Residential,15418
2018,Terajoules,Newfoundland and Labrador,Hydroelectricity,Residential,15349
2019,Terajoules,Newfoundland and Labrador,Hydroelectricity,Residential,15272
2015,Terajoules,Newfoundland and Labrador,Hydroelectricity,Public administration,602
2016,Terajoules,Newfoundland and Labrador,Hydroelectricity,Public administration,600
2017,Terajoules,Newfoundland and Labrador,Hydroelectricity,Public administration,775
2018,Terajoules,Newfoundland and Labrador,Hydroelectricity,Public administration,819
2019,Terajoules,Newfoundland and Labrador,Hydroelectricity,Public administration,820
2015,Terajoules,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,8410
2016,Terajoules,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,8245
2017,Terajoules,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,8452
2018,Terajoules,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,8290
