Year,Geography,Selected diseases,Age,Value
2021,Quebec,Hepatitis B,by 2 years of age,80.6
2017,Yukon,Hepatitis B,by 2 years of age,62.8
2021,Yukon,Hepatitis B,by 2 years of age,71.3
2021,Canada,Hepatitis B,by 7 years of age,78.4
2019,Canada,Human Papillomavirus (HPV),by 14 years of age,80.2
2021,Canada,Human Papillomavirus (HPV),by 14 years of age,84.0
2017,Alberta,Measles,by 2 years of age,91.7
2021,Alberta,Measles,by 2 years of age,88.4
2017,British Columbia,Measles,by 2 years of age,86.1
2021,British Columbia,Measles,by 2 years of age,91.3
2017,Canada,Measles,by 2 years of age,90.2
2019,Canada,Measles,by 2 years of age,90.2
2021,Canada,Measles,by 2 years of age,91.6
2017,Manitoba,Measles,by 2 years of age,86.1
2021,Manitoba,Measles,by 2 years of age,87.1
2017,New Brunswick,Measles,by 2 years of age,92.0
2021,New Brunswick,Measles,by 2 years of age,94.3
2017,Newfoundland and Labrador,Measles,by 2 years of age,96.9
2021,Newfoundland and Labrador,Measles,by 2 years of age,97.0
2017,Northwest Territories,Measles,by 2 years of age,91.8
2021,Northwest Territories,Measles,by 2 years of age,90.8
2017,Nova Scotia,Measles,by 2 years of age,87.1
2021,Nova Scotia,Measles,by 2 years of age,93.6
2017,Nunavut,Measles,by 2 years of age,88.7
2021,Nunavut,Measles,by 2 years of age,34.6
2017,Ontario,Measles,by 2 years of age,90.9
2021,Ontario,Measles,by 2 years of age,92.0
2017,Prince Edward Island,Measles,by 2 years of age,93.2
2021,Prince Edward Island,Measles,by 2 years of age,98.0
2017,Quebec,Measles,by 2 years of age,91.0
2021,Quebec,Measles,by 2 years of age,93.2
2017,Saskatchewan,Measles,by 2 years of age,89.5
2021,Saskatchewan,Measles,by 2 years of age,91.4
2017,Yukon,Measles,by 2 years of age,91.0
2021,Yukon,Measles,by 2 years of age,85.3
2017,Canada,Measles,by 7 years of age,87.0
2019,Canada,Measles,by 7 years of age,83.3
2021,Canada,Measles,by 7 years of age,79.2
2019,Canada,Meningococcal type C,by 17 years of age,89.3
2021,Canada,Meningococcal type C,by 17 years of age,89.0
2017,Alberta,Meningococcal type C,by 2 years of age,91.0
2021,Alberta,Meningococcal type C,by 2 years of age,89.8
2017,British Columbia,Meningococcal type C,by 2 years of age,89.3
2021,British Columbia,Meningococcal type C,by 2 years of age,94.2
2017,Canada,Meningococcal type C,by 2 years of age,87.6
2019,Canada,Meningococcal type C,by 2 years of age,91.1
2021,Canada,Meningococcal type C,by 2 years of age,90.5
2017,Manitoba,Meningococcal type C,by 2 years of age,82.2
2021,Manitoba,Meningococcal type C,by 2 years of age,88.8
2017,New Brunswick,Meningococcal type C,by 2 years of age,88.3
2021,New Brunswick,Meningococcal type C,by 2 years of age,90.6
2017,Newfoundland and Labrador,Meningococcal type C,by 2 years of age,93.2
2021,Newfoundland and Labrador,Meningococcal type C,by 2 years of age,93.6
2017,Northwest Territories,Meningococcal type C,by 2 years of age,95.2
2021,Northwest Territories,Meningococcal type C,by 2 years of age,88.8
2017,Nova Scotia,Meningococcal type C,by 2 years of age,81.8
2021,Nova Scotia,Meningococcal type C,by 2 years of age,89.4
2017,Nunavut,Meningococcal type C,by 2 years of age,80.1
2021,Nunavut,Meningococcal type C,by 2 years of age,34.5
2017,Ontario,Meningococcal type C,by 2 years of age,85.7
2021,Ontario,Meningococcal type C,by 2 years of age,90.1
2017,Prince Edward Island,Meningococcal type C,by 2 years of age,92.7
2017,Quebec,Meningococcal type C,by 2 years of age,89.9
2021,Quebec,Meningococcal type C,by 2 years of age,90.2
2017,Saskatchewan,Meningococcal type C,by 2 years of age,81.1
2021,Saskatchewan,Meningococcal type C,by 2 years of age,89.1
2017,Yukon,Meningococcal type C,by 2 years of age,93.7
2021,Yukon,Meningococcal type C,by 2 years of age,90.0
2017,Alberta,Mumps,by 2 years of age,91.4
2021,Alberta,Mumps,by 2 years of age,88.4
2017,British Columbia,Mumps,by 2 years of age,86.1
2021,British Columbia,Mumps,by 2 years of age,91.3
2017,Canada,Mumps,by 2 years of age,89.9
2019,Canada,Mumps,by 2 years of age,89.2
2021,Canada,Mumps,by 2 years of age,91.5
2017,Manitoba,Mumps,by 2 years of age,85.9
2021,Manitoba,Mumps,by 2 years of age,86.6
2017,New Brunswick,Mumps,by 2 years of age,92.0
2021,New Brunswick,Mumps,by 2 years of age,94.3
2017,Newfoundland and Labrador,Mumps,by 2 years of age,96.9
2021,Newfoundland and Labrador,Mumps,by 2 years of age,97.0
2017,Northwest Territories,Mumps,by 2 years of age,91.8
2021,Northwest Territories,Mumps,by 2 years of age,89.5
2017,Nova Scotia,Mumps,by 2 years of age,86.8
2021,Nova Scotia,Mumps,by 2 years of age,93.6
2017,Nunavut,Mumps,by 2 years of age,88.7
2021,Nunavut,Mumps,by 2 years of age,34.6
2017,Ontario,Mumps,by 2 years of age,90.5
2021,Ontario,Mumps,by 2 years of age,91.7
2017,Prince Edward Island,Mumps,by 2 years of age,92.6
2021,Prince Edward Island,Mumps,by 2 years of age,98.0
2017,Quebec,Mumps,by 2 years of age,90.5
2021,Quebec,Mumps,by 2 years of age,93.2
2017,Saskatchewan,Mumps,by 2 years of age,89.5
2021,Saskatchewan,Mumps,by 2 years of age,91.0
2017,Yukon,Mumps,by 2 years of age,91.0
2021,Yukon,Mumps,by 2 years of age,85.3
2017,Canada,Mumps,by 7 years of age,86.4
2019,Canada,Mumps,by 7 years of age,83.1
2021,Canada,Mumps,by 7 years of age,79.5
2017,Alberta,Pertussis (whooping cough),by 2 years of age,79.9
2021,Alberta,Pertussis (whooping cough),by 2 years of age,74.6
2017,British Columbia,Pertussis (whooping cough),by 2 years of age,76.6
2021,British Columbia,Pertussis (whooping cough),by 2 years of age,83.6
2017,Canada,Pertussis (whooping cough),by 2 years of age,75.8
2019,Canada,Pertussis (whooping cough),by 2 years of age,77.5
2021,Canada,Pertussis (whooping cough),by 2 years of age,77.1
2017,Manitoba,Pertussis (whooping cough),by 2 years of age,67.5
2021,Manitoba,Pertussis (whooping cough),by 2 years of age,75.5
2017,New Brunswick,Pertussis (whooping cough),by 2 years of age,75.5
2021,New Brunswick,Pertussis (whooping cough),by 2 years of age,78.1
2017,Newfoundland and Labrador,Pertussis (whooping cough),by 2 years of age,88.9
2021,Newfoundland and Labrador,Pertussis (whooping cough),by 2 years of age,80.0
2017,Northwest Territories,Pertussis (whooping cough),by 2 years of age,76.7
2021,Northwest Territories,Pertussis (whooping cough),by 2 years of age,66.0
2017,Nova Scotia,Pertussis (whooping cough),by 2 years of age,73.8
2021,Nova Scotia,Pertussis (whooping cough),by 2 years of age,70.3
2017,Nunavut,Pertussis (whooping cough),by 2 years of age,63.8
2021,Nunavut,Pertussis (whooping cough),by 2 years of age,24.1
2017,Ontario,Pertussis (whooping cough),by 2 years of age,75.7
2021,Ontario,Pertussis (whooping cough),by 2 years of age,76.7
2017,Prince Edward Island,Pertussis (whooping cough),by 2 years of age,81.2
2021,Prince Edward Island,Pertussis (whooping cough),by 2 years of age,95.8
2017,Quebec,Pertussis (whooping cough),by 2 years of age,73.7
2021,Quebec,Pertussis (whooping cough),by 2 years of age,76.2
2017,Saskatchewan,Pertussis (whooping cough),by 2 years of age,78.6
2021,Saskatchewan,Pertussis (whooping cough),by 2 years of age,80.9
2017,Yukon,Pertussis (whooping cough),by 2 years of age,70.7
2021,Yukon,Pertussis (whooping cough),by 2 years of age,66.6
2017,Canada,Pertussis (whooping cough),by 7 years of age,80.5
2019,Canada,Pertussis (whooping cough),by 7 years of age,78.1
2021,Canada,Pertussis (whooping cough),by 7 years of age,71.9
2017,Alberta,Pneumococcal,by 2 years of age,82.6
2021,Alberta,Pneumococcal,by 2 years of age,81.3
2017,British Columbia,Pneumococcal,by 2 years of age,80.3
2021,British Columbia,Pneumococcal,by 2 years of age,88.2
2017,Canada,Pneumococcal,by 2 years of age,81.4
2019,Canada,Pneumococcal,by 2 years of age,84.4
2021,Canada,Pneumococcal,by 2 years of age,85.1
2017,Manitoba,Pneumococcal,by 2 years of age,74.6
2021,Manitoba,Pneumococcal,by 2 years of age,81.7
2017,New Brunswick,Pneumococcal,by 2 years of age,82.2
2021,New Brunswick,Pneumococcal,by 2 years of age,86.7
2017,Newfoundland and Labrador,Pneumococcal,by 2 years of age,90.2
2021,Newfoundland and Labrador,Pneumococcal,by 2 years of age,87.8
2017,Northwest Territories,Pneumococcal,by 2 years of age,63.8
2021,Northwest Territories,Pneumococcal,by 2 years of age,59.9
2017,Nova Scotia,Pneumococcal,by 2 years of age,80.4
2021,Nova Scotia,Pneumococcal,by 2 years of age,79.0
2017,Nunavut,Pneumococcal,by 2 years of age,62.4
2021,Nunavut,Pneumococcal,by 2 years of age,21.0
2017,Ontario,Pneumococcal,by 2 years of age,80.5
2021,Ontario,Pneumococcal,by 2 years of age,86.1
2017,Prince Edward Island,Pneumococcal,by 2 years of age,89.5
2021,Prince Edward Island,Pneumococcal,by 2 years of age,97.4
2017,Quebec,Pneumococcal,by 2 years of age,83.3
2021,Quebec,Pneumococcal,by 2 years of age,85.3
2017,Saskatchewan,Pneumococcal,by 2 years of age,83.7
2021,Saskatchewan,Pneumococcal,by 2 years of age,83.7
2017,Yukon,Pneumococcal,by 2 years of age,83.2
2021,Yukon,Pneumococcal,by 2 years of age,73.2
2017,Alberta,Polio,by 2 years of age,93.0
2021,Alberta,Polio,by 2 years of age,85.7
2017,British Columbia,Polio,by 2 years of age,87.5
2021,British Columbia,Polio,by 2 years of age,92.6
2017,Canada,Polio,by 2 years of age,90.7
2019,Canada,Polio,by 2 years of age,91.9
2021,Canada,Polio,by 2 years of age,91.8
2017,Manitoba,Polio,by 2 years of age,85.6
2021,Manitoba,Polio,by 2 years of age,87.9
2017,New Brunswick,Polio,by 2 years of age,90.1
2021,New Brunswick,Polio,by 2 years of age,89.6
2017,Newfoundland and Labrador,Polio,by 2 years of age,96.9
2021,Newfoundland and Labrador,Polio,by 2 years of age,95.4
2017,Northwest Territories,Polio,by 2 years of age,91.1
2021,Northwest Territories,Polio,by 2 years of age,80.4
2017,Nova Scotia,Polio,by 2 years of age,93.5
2021,Nova Scotia,Polio,by 2 years of age,87.9
2017,Nunavut,Polio,by 2 years of age,82.1
2021,Nunavut,Polio,by 2 years of age,33.5
2017,Ontario,Polio,by 2 years of age,91.0
2021,Ontario,Polio,by 2 years of age,94.4
2017,Prince Edward Island,Polio,by 2 years of age,93.9
2017,Quebec,Polio,by 2 years of age,90.9
2021,Quebec,Polio,by 2 years of age,91.7
2017,Saskatchewan,Polio,by 2 years of age,90.0
2021,Saskatchewan,Polio,by 2 years of age,91.0
2017,Yukon,Polio,by 2 years of age,93.7
2021,Yukon,Polio,by 2 years of age,86.3
2017,Canada,Polio,by 7 years of age,92.3
2019,Canada,Polio,by 7 years of age,89.3
2021,Canada,Polio,by 7 years of age,87.3
2021,Alberta,Rotavirus,by 2 years of age,84.8
2017,British Columbia,Rotavirus,by 2 years of age,80.2
2021,British Columbia,Rotavirus,by 2 years of age,91.2
2017,Canada,Rotavirus,by 2 years of age,78.8
2019,Canada,Rotavirus,by 2 years of age,84.5
2021,Canada,Rotavirus,by 2 years of age,85.6
2017,Manitoba,Rotavirus,by 2 years of age,68.4
2021,Manitoba,Rotavirus,by 2 years of age,82.2
2021,New Brunswick,Rotavirus,by 2 years of age,66.6
2021,Newfoundland and Labrador,Rotavirus,by 2 years of age,93.3
2017,Northwest Territories,Rotavirus,by 2 years of age,66.3
2021,Northwest Territories,Rotavirus,by 2 years of age,75.6
2017,Ontario,Rotavirus,by 2 years of age,77.7
2021,Ontario,Rotavirus,by 2 years of age,84.7
2017,Prince Edward Island,Rotavirus,by 2 years of age,85.9
2021,Prince Edward Island,Rotavirus,by 2 years of age,96.4
2017,Quebec,Rotavirus,by 2 years of age,81.0
2021,Quebec,Rotavirus,by 2 years of age,86.0
2017,Saskatchewan,Rotavirus,by 2 years of age,84.0
2021,Saskatchewan,Rotavirus,by 2 years of age,88.2
2017,Yukon,Rotavirus,by 2 years of age,76.6
2021,Yukon,Rotavirus,by 2 years of age,86.7
2017,Alberta,Rubella,by 2 years of age,91.4
2021,Alberta,Rubella,by 2 years of age,88.4
2017,British Columbia,Rubella,by 2 years of age,86.1
2021,British Columbia,Rubella,by 2 years of age,91.3
2017,Canada,Rubella,by 2 years of age,90.0
2019,Canada,Rubella,by 2 years of age,89.4
2021,Canada,Rubella,by 2 years of age,91.5
2017,Manitoba,Rubella,by 2 years of age,86.2
2021,Manitoba,Rubella,by 2 years of age,86.6
2017,New Brunswick,Rubella,by 2 years of age,92.0
2021,New Brunswick,Rubella,by 2 years of age,94.3
2017,Newfoundland and Labrador,Rubella,by 2 years of age,96.9
2021,Newfoundland and Labrador,Rubella,by 2 years of age,97.0
2017,Northwest Territories,Rubella,by 2 years of age,91.8
2021,Northwest Territories,Rubella,by 2 years of age,88.2
2017,Nova Scotia,Rubella,by 2 years of age,86.8
2021,Nova Scotia,Rubella,by 2 years of age,93.6
2017,Nunavut,Rubella,by 2 years of age,88.7
2021,Nunavut,Rubella,by 2 years of age,34.6
2017,Ontario,Rubella,by 2 years of age,90.5
2021,Ontario,Rubella,by 2 years of age,91.7
2017,Prince Edward Island,Rubella,by 2 years of age,92.6
2021,Prince Edward Island,Rubella,by 2 years of age,98.0
2017,Quebec,Rubella,by 2 years of age,90.5
2021,Quebec,Rubella,by 2 years of age,93.2
2017,Saskatchewan,Rubella,by 2 years of age,89.5
2021,Saskatchewan,Rubella,by 2 years of age,91.0
2017,Yukon,Rubella,by 2 years of age,91.0
2021,Yukon,Rubella,by 2 years of age,85.3
2017,Canada,Rubella,by 7 years of age,94.5
2019,Canada,Rubella,by 7 years of age,95.9
2021,Canada,Rubella,by 7 years of age,94.0
2017,Alberta,Tetanus,by 2 years of age,79.9
2021,Alberta,Tetanus,by 2 years of age,74.6
2017,British Columbia,Tetanus,by 2 years of age,76.6
2021,British Columbia,Tetanus,by 2 years of age,83.6
2017,Canada,Tetanus,by 2 years of age,75.8
2019,Canada,Tetanus,by 2 years of age,77.5
2021,Canada,Tetanus,by 2 years of age,77.1
2017,Manitoba,Tetanus,by 2 years of age,67.5
2021,Manitoba,Tetanus,by 2 years of age,75.5
2017,New Brunswick,Tetanus,by 2 years of age,75.5
2021,New Brunswick,Tetanus,by 2 years of age,78.1
2017,Newfoundland and Labrador,Tetanus,by 2 years of age,88.9
2021,Newfoundland and Labrador,Tetanus,by 2 years of age,80.0
2017,Northwest Territories,Tetanus,by 2 years of age,76.7
2021,Northwest Territories,Tetanus,by 2 years of age,66.0
2017,Nova Scotia,Tetanus,by 2 years of age,73.8
2021,Nova Scotia,Tetanus,by 2 years of age,70.3
2017,Nunavut,Tetanus,by 2 years of age,63.8
2021,Nunavut,Tetanus,by 2 years of age,24.1
2017,Ontario,Tetanus,by 2 years of age,75.7
2021,Ontario,Tetanus,by 2 years of age,76.7
2017,Prince Edward Island,Tetanus,by 2 years of age,81.2
2021,Prince Edward Island,Tetanus,by 2 years of age,95.8
2017,Quebec,Tetanus,by 2 years of age,73.7
2021,Quebec,Tetanus,by 2 years of age,76.2
2017,Saskatchewan,Tetanus,by 2 years of age,78.6
2021,Saskatchewan,Tetanus,by 2 years of age,80.9
2017,Yukon,Tetanus,by 2 years of age,70.7
2021,Yukon,Tetanus,by 2 years of age,66.6
2017,Canada,Tetanus,by 7 years of age,80.5
2019,Canada,Tetanus,by 7 years of age,78.1
2021,Canada,Tetanus,by 7 years of age,71.9
2017,Alberta,Varicella,by 2 years of age,86.7
2021,Alberta,Varicella,by 2 years of age,83.3
2017,British Columbia,Varicella,by 2 years of age,83.7
2021,British Columbia,Varicella,by 2 years of age,91.0
2017,Canada,Varicella,by 2 years of age,82.9
2019,Canada,Varicella,by 2 years of age,82.7
2021,Canada,Varicella,by 2 years of age,87.5
2017,Manitoba,Varicella,by 2 years of age,81.6
2021,Manitoba,Varicella,by 2 years of age,86.9
2017,New Brunswick,Varicella,by 2 years of age,90.9
2021,New Brunswick,Varicella,by 2 years of age,91.2
2017,Newfoundland and Labrador,Varicella,by 2 years of age,95.1
2021,Newfoundland and Labrador,Varicella,by 2 years of age,96.4
2017,Northwest Territories,Varicella,by 2 years of age,88.9
2021,Northwest Territories,Varicella,by 2 years of age,80.2
2017,Nova Scotia,Varicella,by 2 years of age,84.8
2021,Nova Scotia,Varicella,by 2 years of age,93.2
2017,Nunavut,Varicella,by 2 years of age,82.1
2021,Nunavut,Varicella,by 2 years of age,21.2
2017,Ontario,Varicella,by 2 years of age,84.3
2021,Ontario,Varicella,by 2 years of age,85.9
2017,Prince Edward Island,Varicella,by 2 years of age,92.0
2021,Prince Edward Island,Varicella,by 2 years of age,96.7
2017,Quebec,Varicella,by 2 years of age,76.1
2021,Quebec,Varicella,by 2 years of age,89.9
2017,Saskatchewan,Varicella,by 2 years of age,84.8
2021,Saskatchewan,Varicella,by 2 years of age,80.9
2017,Yukon,Varicella,by 2 years of age,85.5
2021,Yukon,Varicella,by 2 years of age,81.8
2021,Canada,Varicella,by 7 years of age,90.7
