Year,Geography,Sex,Age group,GeoCode,Value
2021,Newfoundland and Labrador,Total,Total,10,32.95
2022,Newfoundland and Labrador,Total,Total,10,32.56
2015,Northwest Territories,Total,Total,61,12.38
2016,Northwest Territories,Total,Total,61,11.05
2017,Northwest Territories,Total,Total,61,9.92
2018,Northwest Territories,Total,Total,61,12.67
2019,Northwest Territories,Total,Total,61,12.2
2020,Northwest Territories,Total,Total,61,11.72
2021,Northwest Territories,Total,Total,61,12.52
2022,Northwest Territories,Total,Total,61,12.6
2015,Nova Scotia,Total,Total,12,38.65
2016,Nova Scotia,Total,Total,12,36.75
2017,Nova Scotia,Total,Total,12,35.94
2018,Nova Scotia,Total,Total,12,38.09
2019,Nova Scotia,Total,Total,12,37.88
2020,Nova Scotia,Total,Total,12,37.72
2021,Nova Scotia,Total,Total,12,38.26
2022,Nova Scotia,Total,Total,12,35.36
2015,Nunavut,Total,Total,62,15.64
2016,Nunavut,Total,Total,62,15.97
2017,Nunavut,Total,Total,62,15.18
2018,Nunavut,Total,Total,62,15.03
2019,Nunavut,Total,Total,62,14.15
2020,Nunavut,Total,Total,62,17.62
2021,Nunavut,Total,Total,62,11.68
2022,Nunavut,Total,Total,62,13.92
2015,Ontario,Total,Total,35,31.78
2016,Ontario,Total,Total,35,30.69
2017,Ontario,Total,Total,35,30.69
2018,Ontario,Total,Total,35,29.46
2019,Ontario,Total,Total,35,27.95
2020,Ontario,Total,Total,35,26.78
2021,Ontario,Total,Total,35,27.7
2022,Ontario,Total,Total,35,25.24
2015,Prince Edward Island,Total,Total,11,41.83
2016,Prince Edward Island,Total,Total,11,41.03
2017,Prince Edward Island,Total,Total,11,39.31
2018,Prince Edward Island,Total,Total,11,41.09
2019,Prince Edward Island,Total,Total,11,40.66
2020,Prince Edward Island,Total,Total,11,38.99
2021,Prince Edward Island,Total,Total,11,39.66
2022,Prince Edward Island,Total,Total,11,36.33
2015,Quebec,Total,Total,24,32.16
2016,Quebec,Total,Total,24,30.52
2017,Quebec,Total,Total,24,28.82
2018,Quebec,Total,Total,24,29.83
2019,Quebec,Total,Total,24,28.14
2020,Quebec,Total,Total,24,26.43
2021,Quebec,Total,Total,24,26.37
2022,Quebec,Total,Total,24,22.94
2015,Saskatchewan,Total,Total,47,25.37
2016,Saskatchewan,Total,Total,47,24.2
2017,Saskatchewan,Total,Total,47,24.11
2018,Saskatchewan,Total,Total,47,25.71
2019,Saskatchewan,Total,Total,47,26.44
2020,Saskatchewan,Total,Total,47,26.18
2021,Saskatchewan,Total,Total,47,27.44
2022,Saskatchewan,Total,Total,47,26.83
2015,Yukon,Total,Total,60,15.36
2016,Yukon,Total,Total,60,16.0
2017,Yukon,Total,Total,60,16.65
2018,Yukon,Total,Total,60,14.53
2019,Yukon,Total,Total,60,15.27
2020,Yukon,Total,Total,60,16.03
2021,Yukon,Total,Total,60,14.18
2022,Yukon,Total,Total,60,11.45
