Year,Geography,Industry,Value
2018,New Brunswick,"Administrative and support, waste management and remediation services",4.9542218
2019,New Brunswick,"Administrative and support, waste management and remediation services",4.3494959
2015,New Brunswick,Other industries,0.4074629
2016,New Brunswick,Other industries,0.3943996
2017,New Brunswick,Other industries,0.3663711
2018,New Brunswick,Other industries,0.4095357
2019,New Brunswick,Other industries,0.4166982
2015,Quebec,All industries,1.999177
2016,Quebec,All industries,1.9087271
2017,Quebec,All industries,1.840727
2018,Quebec,All industries,1.9244995
2019,Quebec,All industries,1.9318729
2015,Quebec,Utilities,74.9229802
2016,Quebec,Utilities,74.6728972
2017,Quebec,Utilities,75.1965201
2018,Quebec,Utilities,70.6541499
2019,Quebec,Utilities,72.8706429
2015,Quebec,Construction,8.4460151
2016,Quebec,Construction,7.2194984
2017,Quebec,Construction,5.8301307
2018,Quebec,Construction,4.9718108
2019,Quebec,Construction,4.7601351
2015,Quebec,Manufacturing,2.2079037
2016,Quebec,Manufacturing,2.1003239
2017,Quebec,Manufacturing,2.0599871
2018,Quebec,Manufacturing,2.817546
2019,Quebec,Manufacturing,2.8122914
2015,Quebec,"Professional, scientific and technical services",2.9106418
2016,Quebec,"Professional, scientific and technical services",2.9771356
2017,Quebec,"Professional, scientific and technical services",3.568277
2018,Quebec,"Professional, scientific and technical services",4.331775
2019,Quebec,"Professional, scientific and technical services",4.7377272
2015,Quebec,"Administrative and support, waste management and remediation services",4.6117037
2016,Quebec,"Administrative and support, waste management and remediation services",4.7563973
2017,Quebec,"Administrative and support, waste management and remediation services",4.6897879
2018,Quebec,"Administrative and support, waste management and remediation services",4.5326474
2019,Quebec,"Administrative and support, waste management and remediation services",4.3449815
2015,Quebec,Other industries,0.336545
2016,Quebec,Other industries,0.318089
2017,Quebec,Other industries,0.313824
2018,Quebec,Other industries,0.3354942
2019,Quebec,Other industries,0.3377376
2015,Ontario,All industries,1.7188971
2016,Ontario,All industries,1.6570702
2017,Ontario,All industries,1.6729579
2018,Ontario,All industries,1.6890291
2019,Ontario,All industries,1.7616068
2015,Ontario,Utilities,64.0287611
2016,Ontario,Utilities,65.0615302
2017,Ontario,Utilities,68.6552297
2018,Ontario,Utilities,70.1803468
2019,Ontario,Utilities,72.8840436
2015,Ontario,Construction,5.0240516
2016,Ontario,Construction,3.9561424
2017,Ontario,Construction,3.7540255
2018,Ontario,Construction,3.1288502
2019,Ontario,Construction,3.1657638
2015,Ontario,Manufacturing,2.1826994
2016,Ontario,Manufacturing,1.569433
2017,Ontario,Manufacturing,2.1113293
2018,Ontario,Manufacturing,2.0828812
2019,Ontario,Manufacturing,2.1589009
2015,Ontario,"Professional, scientific and technical services",3.2161993
2016,Ontario,"Professional, scientific and technical services",3.4678651
2017,Ontario,"Professional, scientific and technical services",3.0884284
2018,Ontario,"Professional, scientific and technical services",3.5511656
2019,Ontario,"Professional, scientific and technical services",3.684036
2015,Ontario,"Administrative and support, waste management and remediation services",3.0925943
2016,Ontario,"Administrative and support, waste management and remediation services",3.4785841
2017,Ontario,"Administrative and support, waste management and remediation services",3.5152703
2018,Ontario,"Administrative and support, waste management and remediation services",3.8495795
2019,Ontario,"Administrative and support, waste management and remediation services",3.8909572
2015,Ontario,Other industries,0.4857034
2016,Ontario,Other industries,0.5019584
2017,Ontario,Other industries,0.5016791
2018,Ontario,Other industries,0.5259388
2019,Ontario,Other industries,0.5392758
2015,Manitoba,All industries,2.3479038
2016,Manitoba,All industries,2.5333623
2017,Manitoba,All industries,2.7356823
2018,Manitoba,All industries,2.5758331
2019,Manitoba,All industries,2.5046346
2015,Manitoba,Utilities,79.0079365
2016,Manitoba,Utilities,79.962963
2017,Manitoba,Utilities,77.1616541
2018,Manitoba,Utilities,81.4880952
2019,Manitoba,Utilities,76.9398907
2015,Manitoba,Construction,15.056287
2016,Manitoba,Construction,16.1515588
2017,Manitoba,Construction,18.3908918
2018,Manitoba,Construction,14.9806523
2019,Manitoba,Construction,13.738378
2015,Manitoba,Manufacturing,1.2280102
2016,Manitoba,Manufacturing,1.571013
2017,Manitoba,Manufacturing,2.0183486
2018,Manitoba,Manufacturing,1.8842018
2019,Manitoba,Manufacturing,1.9152176
2015,Manitoba,"Professional, scientific and technical services",3.1254133
2016,Manitoba,"Professional, scientific and technical services",3.3235046
2017,Manitoba,"Professional, scientific and technical services",4.1332788
2018,Manitoba,"Professional, scientific and technical services",4.1803113
2019,Manitoba,"Professional, scientific and technical services",4.4273884
2015,Manitoba,"Administrative and support, waste management and remediation services",3.1601942
2016,Manitoba,"Administrative and support, waste management and remediation services",3.7050523
2017,Manitoba,"Administrative and support, waste management and remediation services",3.0046551
2018,Manitoba,"Administrative and support, waste management and remediation services",5.1277857
2019,Manitoba,"Administrative and support, waste management and remediation services",5.5002042
2015,Manitoba,Other industries,0.3310094
2016,Manitoba,Other industries,0.3330086
2017,Manitoba,Other industries,0.3540929
2018,Manitoba,Other industries,0.3727579
2019,Manitoba,Other industries,0.3685699
2015,Saskatchewan,All industries,1.2674212
2016,Saskatchewan,All industries,1.1534857
2017,Saskatchewan,All industries,1.2383922
2018,Saskatchewan,All industries,1.1297212
2019,Saskatchewan,All industries,1.133806
2015,Saskatchewan,Utilities,11.9025522
2016,Saskatchewan,Utilities,11.2529002
2017,Saskatchewan,Utilities,12.1799308
2018,Saskatchewan,Utilities,12.5199544
2019,Saskatchewan,Utilities,12.2947368
2015,Saskatchewan,Construction,3.00087
2016,Saskatchewan,Construction,2.2534974
2017,Saskatchewan,Construction,2.0100332
2018,Saskatchewan,Construction,1.7798471
2019,Saskatchewan,Construction,2.191021
2015,Saskatchewan,Manufacturing,3.4039523
2016,Saskatchewan,Manufacturing,1.8229557
2017,Saskatchewan,Manufacturing,1.3164274
2018,Saskatchewan,Manufacturing,2.3249149
2019,Saskatchewan,Manufacturing,1.805264
2015,Saskatchewan,"Professional, scientific and technical services",2.929776
2016,Saskatchewan,"Professional, scientific and technical services",3.1511254
2017,Saskatchewan,"Professional, scientific and technical services",5.2847945
2018,Saskatchewan,"Professional, scientific and technical services",3.2326733
2019,Saskatchewan,"Professional, scientific and technical services",3.7349693
2015,Saskatchewan,"Administrative and support, waste management and remediation services",8.6996198
2016,Saskatchewan,"Administrative and support, waste management and remediation services",9.7055838
2017,Saskatchewan,"Administrative and support, waste management and remediation services",9.1409635
2018,Saskatchewan,"Administrative and support, waste management and remediation services",9.5449949
2019,Saskatchewan,"Administrative and support, waste management and remediation services",8.8087935
2015,Saskatchewan,Other industries,0.4090455
2016,Saskatchewan,Other industries,0.4191715
2017,Saskatchewan,Other industries,0.5157549
2018,Saskatchewan,Other industries,0.4187227
2019,Saskatchewan,Other industries,0.4144085
2015,Alberta,All industries,1.1422049
2016,Alberta,All industries,1.2498632
2017,Alberta,All industries,1.3718227
2018,Alberta,All industries,1.2752063
2019,Alberta,All industries,1.3165713
2015,Alberta,Utilities,5.7495373
2016,Alberta,Utilities,6.6117879
2017,Alberta,Utilities,6.8147208
2018,Alberta,Utilities,8.5446009
2019,Alberta,Utilities,8.5200379
2015,Alberta,Construction,1.7901019
2016,Alberta,Construction,2.5164744
2017,Alberta,Construction,2.5458738
2018,Alberta,Construction,2.5008778
2019,Alberta,Construction,2.7944104
2015,Alberta,Manufacturing,1.35363
2016,Alberta,Manufacturing,1.388449
2017,Alberta,Manufacturing,1.7722952
2018,Alberta,Manufacturing,1.9254032
2019,Alberta,Manufacturing,1.7300932
2015,Alberta,"Professional, scientific and technical services",3.5667304
2016,Alberta,"Professional, scientific and technical services",3.8443098
2017,Alberta,"Professional, scientific and technical services",5.0088921
2018,Alberta,"Professional, scientific and technical services",3.5271637
2019,Alberta,"Professional, scientific and technical services",3.8432608
2015,Alberta,"Administrative and support, waste management and remediation services",6.3264867
2016,Alberta,"Administrative and support, waste management and remediation services",7.0444989
2017,Alberta,"Administrative and support, waste management and remediation services",7.78649
2018,Alberta,"Administrative and support, waste management and remediation services",8.47712
2019,Alberta,"Administrative and support, waste management and remediation services",8.7934015
2015,Alberta,Other industries,0.376857
2016,Alberta,Other industries,0.3668595
2017,Alberta,Other industries,0.4277981
2018,Alberta,Other industries,0.3653914
2019,Alberta,Other industries,0.362923
2015,British Columbia,All industries,1.5086028
2016,British Columbia,All industries,1.4401199
2017,British Columbia,All industries,1.5964448
2018,British Columbia,All industries,1.5369666
2019,British Columbia,All industries,1.5842058
2015,British Columbia,Utilities,57.9577465
2016,British Columbia,Utilities,53.1391261
2017,British Columbia,Utilities,64.6067986
2018,British Columbia,Utilities,73.4795918
2019,British Columbia,Utilities,77.3066522
2015,British Columbia,Construction,3.8131544
2016,British Columbia,Construction,3.9076792
2017,British Columbia,Construction,4.132713
2018,British Columbia,Construction,3.1041828
2019,British Columbia,Construction,3.3270001
2015,British Columbia,Manufacturing,3.2347876
2016,British Columbia,Manufacturing,3.1638304
2017,British Columbia,Manufacturing,3.8596837
2018,British Columbia,Manufacturing,3.4160776
2019,British Columbia,Manufacturing,3.4192801
2015,British Columbia,"Professional, scientific and technical services",3.0448507
2016,British Columbia,"Professional, scientific and technical services",3.1560361
2017,British Columbia,"Professional, scientific and technical services",3.5980706
2018,British Columbia,"Professional, scientific and technical services",3.6197621
2019,British Columbia,"Professional, scientific and technical services",4.0080872
2015,British Columbia,"Administrative and support, waste management and remediation services",5.2794055
2016,British Columbia,"Administrative and support, waste management and remediation services",4.9385093
2017,British Columbia,"Administrative and support, waste management and remediation services",5.0891354
2018,British Columbia,"Administrative and support, waste management and remediation services",5.1267582
2019,British Columbia,"Administrative and support, waste management and remediation services",5.2340652
2015,British Columbia,Other industries,0.3694136
2016,British Columbia,Other industries,0.3736316
2017,British Columbia,Other industries,0.3874503
2018,British Columbia,Other industries,0.4013189
2019,British Columbia,Other industries,0.3911451
2015,Yukon,All industries,1.309631
2016,Yukon,All industries,1.1505312
2017,Yukon,All industries,1.2602322
2018,Yukon,All industries,1.1939729
2019,Yukon,All industries,1.2
2015,Yukon,Utilities,82.1052632
2016,Yukon,Utilities,82.6086957
2017,Yukon,Utilities,79.2307692
2018,Yukon,Utilities,72.3076923
2019,Yukon,Utilities,71.5384615
2015,Yukon,Construction,9.3280632
2016,Yukon,Construction,6.1386139
2017,Yukon,Construction,4.3478261
2018,Yukon,Construction,2.9501085
2019,Yukon,Construction,3.1355932
2015,Yukon,Manufacturing,
2016,Yukon,Manufacturing,
2017,Yukon,Manufacturing,
2018,Yukon,Manufacturing,
2019,Yukon,Manufacturing,
2015,Yukon,"Professional, scientific and technical services",
2016,Yukon,"Professional, scientific and technical services",
2017,Yukon,"Professional, scientific and technical services",
2018,Yukon,"Professional, scientific and technical services",
2019,Yukon,"Professional, scientific and technical services",
2015,Yukon,"Administrative and support, waste management and remediation services",0.115909091
2016,Yukon,"Administrative and support, waste management and remediation services",0.077876106
2017,Yukon,"Administrative and support, waste management and remediation services",0.086206897
2018,Yukon,"Administrative and support, waste management and remediation services",0.069026549
2019,Yukon,"Administrative and support, waste management and remediation services",0.065
2015,Yukon,Other industries,0.001285678
2016,Yukon,Other industries,0.001582499
2017,Yukon,Other industries,0.002066023
2018,Yukon,Other industries,0.002330363
2019,Yukon,Other industries,0.002272727
2015,Northwest Territories,All industries,0.032237197
2016,Northwest Territories,All industries,0.025572449
2017,Northwest Territories,All industries,0.011434109
2018,Northwest Territories,All industries,0.010414658
2019,Northwest Territories,All industries,0.010546649
2015,Northwest Territories,Utilities,
2016,Northwest Territories,Utilities,
2017,Northwest Territories,Utilities,
2018,Northwest Territories,Utilities,
2019,Northwest Territories,Utilities,
2015,Northwest Territories,Construction,0.233333333
2016,Northwest Territories,Construction,0.196483516
2017,Northwest Territories,Construction,0.056291391
2018,Northwest Territories,Construction,0.031325301
2019,Northwest Territories,Construction,0.036990596
2015,Northwest Territories,Manufacturing,
2016,Northwest Territories,Manufacturing,
2017,Northwest Territories,Manufacturing,
2018,Northwest Territories,Manufacturing,
2019,Northwest Territories,Manufacturing,
2015,Northwest Territories,"Professional, scientific and technical services",0.05786802
2016,Northwest Territories,"Professional, scientific and technical services",0.051813472
2017,Northwest Territories,"Professional, scientific and technical services",0.031764706
2018,Northwest Territories,"Professional, scientific and technical services",0.048407643
2019,Northwest Territories,"Professional, scientific and technical services",0.050632911
2015,Northwest Territories,"Administrative and support, waste management and remediation services",0.080193237
2016,Northwest Territories,"Administrative and support, waste management and remediation services",0.068235294
2017,Northwest Territories,"Administrative and support, waste management and remediation services",0.062411348
2018,Northwest Territories,"Administrative and support, waste management and remediation services",0.058441558
2019,Northwest Territories,"Administrative and support, waste management and remediation services",0.059722222
2015,Northwest Territories,Other industries,0.003810775
2016,Northwest Territories,Other industries,0.004026258
2017,Northwest Territories,Other industries,0.003573024
2018,Northwest Territories,Other industries,0.003663986
2019,Northwest Territories,Other industries,0.003780298
2015,Nunavut,All industries,0.007809748
2016,Nunavut,All industries,0.00970547
2017,Nunavut,All industries,0.00673788
2018,Nunavut,All industries,0.006385833
2019,Nunavut,All industries,0.005306015
2015,Nunavut,Utilities,
2016,Nunavut,Utilities,
2017,Nunavut,Utilities,
2018,Nunavut,Utilities,
2019,Nunavut,Utilities,
2015,Nunavut,Construction,0.01023622
2016,Nunavut,Construction,0.041304348
2017,Nunavut,Construction,0.009493671
2018,Nunavut,Construction,0.024725275
2019,Nunavut,Construction,0.012394366
2015,Nunavut,Manufacturing,
2016,Nunavut,Manufacturing,
2017,Nunavut,Manufacturing,
2018,Nunavut,Manufacturing,
2019,Nunavut,Manufacturing,
2015,Nunavut,"Professional, scientific and technical services",0.048275862
2016,Nunavut,"Professional, scientific and technical services",0.053968254
2017,Nunavut,"Professional, scientific and technical services",0.029333333
2018,Nunavut,"Professional, scientific and technical services",
2019,Nunavut,"Professional, scientific and technical services",
2015,Nunavut,"Administrative and support, waste management and remediation services",0.082706767
2016,Nunavut,"Administrative and support, waste management and remediation services",0.065648855
2017,Nunavut,"Administrative and support, waste management and remediation services",0.061417323
2018,Nunavut,"Administrative and support, waste management and remediation services",0.01512605
2019,Nunavut,"Administrative and support, waste management and remediation services",0.014754098
2015,Nunavut,Other industries,0.003290165
2016,Nunavut,Other industries,0.003670337
2017,Nunavut,Other industries,0.003741385
2018,Nunavut,Other industries,0.0038262
2019,Nunavut,Other industries,0.003989867
