Year,Geography,Selected demographic characteristics,Gender,Value
2018,Canada,Visible minority population,Female gender,18.75
2018,Canada,Visible minority population,Gender diverse,
2018,Canada,Not a visible minority,Total - gender,21.56
2018,Canada,Not a visible minority,Male gender,8.96
2018,Canada,Not a visible minority,Female gender,33.3
2018,Canada,Not a visible minority,Gender diverse,
2018,Canada,Not stated - visible minority population,Total - gender,10.84
2018,Canada,Not stated - visible minority population,Male gender,6.37
2018,Canada,Not stated - visible minority population,Female gender,14.75
2018,Canada,Not stated - visible minority population,Gender diverse,
2018,Canada,Total - population by indigenous identity,Total - gender,19.38
2018,Canada,Total - population by indigenous identity,Male gender,8.23
2018,Canada,Total - population by indigenous identity,Female gender,30.24
2018,Canada,Total - population by indigenous identity,Gender diverse,
2018,Canada,Indigenous identity,Total - gender,28.45
2018,Canada,Indigenous identity,Male gender,12.34
2018,Canada,Indigenous identity,Female gender,43.18
2018,Canada,Indigenous identity,Gender diverse,
2018,Canada,First Nations (North American Indian),Total - gender,28.76
2018,Canada,First Nations (North American Indian),Male gender,9.08
2018,Canada,First Nations (North American Indian),Female gender,45.3
2018,Canada,First Nations (North American Indian),Gender diverse,
2018,Canada,data.M�tis,Total - gender,29.51
2018,Canada,data.M�tis,Male gender,16.05
2018,Canada,data.M�tis,Female gender,43.64
2018,Canada,data.M�tis,Gender diverse,
2018,Canada,Inuk (Inuit),Total - gender,17.42
2018,Canada,Inuk (Inuit),Male gender,7.77
2018,Canada,Inuk (Inuit),Female gender,25.59
2018,Canada,Inuk (Inuit),Gender diverse,
2018,Canada,Other indigenous identity,Total - gender,25.7
2018,Canada,Other indigenous identity,Male gender,
2018,Canada,Other indigenous identity,Female gender,
2018,Canada,Other indigenous identity,Gender diverse,
2018,Canada,Non-indigenous identity,Total - gender,19.12
2018,Canada,Non-indigenous identity,Male gender,8.09
2018,Canada,Non-indigenous identity,Female gender,29.87
2018,Canada,Non-indigenous identity,Gender diverse,
2018,Canada,Not stated - population by indigenous identity,Total - gender,15.64
2018,Canada,Not stated - population by indigenous identity,Male gender,8.7
2018,Canada,Not stated - population by indigenous identity,Female gender,22.96
2018,Canada,Not stated - population by indigenous identity,Gender diverse,
2018,Canada,Total - disability status,Total - gender,19.38
2018,Canada,Total - disability status,Male gender,8.23
2018,Canada,Total - disability status,Female gender,30.24
2018,Canada,Total - disability status,Gender diverse,
2018,Canada,Has a disability,Total - gender,27.8
2018,Canada,Has a disability,Male gender,12.75
2018,Canada,Has a disability,Female gender,39.21
2018,Canada,Has a disability,Gender diverse,
2018,Canada,Does not have a disability,Total - gender,14.81
2018,Canada,Does not have a disability,Male gender,6.22
2018,Canada,Does not have a disability,Female gender,24.4
2018,Canada,Does not have a disability,Gender diverse,
2018,Canada,Total - sexual orientation,Total - gender,19.38
2018,Canada,Total - sexual orientation,Male gender,8.23
2018,Canada,Total - sexual orientation,Female gender,30.24
2018,Canada,Total - sexual orientation,Gender diverse,
2018,Canada,Heterosexual,Total - gender,18.85
2018,Canada,Heterosexual,Male gender,7.72
2018,Canada,Heterosexual,Female gender,29.78
2018,Canada,Heterosexual,Gender diverse,
2018,Canada,Sexual minority,Total - gender,38.57
2018,Canada,Sexual minority,Male gender,25.46
2018,Canada,Sexual minority,Female gender,50.41
2018,Canada,Sexual minority,Gender diverse,
2018,Canada,Lesbian or gay,Total - gender,31.19
2018,Canada,Lesbian or gay,Male gender,26.56
2018,Canada,Lesbian or gay,Female gender,39.37
2018,Canada,Lesbian or gay,Gender diverse,
2018,Canada,Bisexual or pansexual,Total - gender,44.99
2018,Canada,Bisexual or pansexual,Male gender,25.41
2018,Canada,Bisexual or pansexual,Female gender,55.41
2018,Canada,Bisexual or pansexual,Gender diverse,
2018,Canada,Sexual orientation not elsewhere classified,Total - gender,37.47
2018,Canada,Sexual orientation not elsewhere classified,Male gender,
2018,Canada,Sexual orientation not elsewhere classified,Female gender,
2018,Canada,Sexual orientation not elsewhere classified,Gender diverse,
2018,Canada,Not stated - sexual orientation,Total - gender,11.58
2018,Canada,Not stated - sexual orientation,Male gender,4.57
2018,Canada,Not stated - sexual orientation,Female gender,17.48
2018,Canada,Not stated - sexual orientation,Gender diverse,
2018,Newfoundland and Labrador,Total - age,Total - gender,17.03
2018,Newfoundland and Labrador,Total - age,Male gender,8.18
2018,Newfoundland and Labrador,Total - age,Female gender,25.43
2018,Newfoundland and Labrador,Total - age,Gender diverse,
2018,Newfoundland and Labrador,15 to 24 years,Total - gender,18.21
2018,Newfoundland and Labrador,15 to 24 years,Male gender,
2018,Newfoundland and Labrador,15 to 24 years,Female gender,22.26
2018,Newfoundland and Labrador,15 to 24 years,Gender diverse,
2018,Newfoundland and Labrador,25 to 34 years,Total - gender,24.7
2018,Newfoundland and Labrador,25 to 34 years,Male gender,
2018,Newfoundland and Labrador,25 to 34 years,Female gender,43.71
2018,Newfoundland and Labrador,25 to 34 years,Gender diverse,
2018,Newfoundland and Labrador,35 to 44 years,Total - gender,20.89
2018,Newfoundland and Labrador,35 to 44 years,Male gender,12.13
2018,Newfoundland and Labrador,35 to 44 years,Female gender,28.9
2018,Newfoundland and Labrador,35 to 44 years,Gender diverse,
2018,Newfoundland and Labrador,45 to 54 years,Total - gender,18.39
2018,Newfoundland and Labrador,45 to 54 years,Male gender,7.11
2018,Newfoundland and Labrador,45 to 54 years,Female gender,28.96
2018,Newfoundland and Labrador,45 to 54 years,Gender diverse,
2018,Newfoundland and Labrador,55 years and over,Total - gender,12.42
2018,Newfoundland and Labrador,55 years and over,Male gender,6.26
2018,Newfoundland and Labrador,55 years and over,Female gender,18.13
2018,Newfoundland and Labrador,55 years and over,Gender diverse,
2018,Newfoundland and Labrador,Total - immigrant status,Total - gender,17.03
2018,Newfoundland and Labrador,Total - immigrant status,Male gender,8.18
2018,Newfoundland and Labrador,Total - immigrant status,Female gender,25.43
2018,Newfoundland and Labrador,Total - immigrant status,Gender diverse,
2018,Newfoundland and Labrador,Non-immigrants,Total - gender,16.29
2018,Newfoundland and Labrador,Non-immigrants,Male gender,7.28
2018,Newfoundland and Labrador,Non-immigrants,Female gender,24.62
2018,Newfoundland and Labrador,Non-immigrants,Gender diverse,
2018,Newfoundland and Labrador,Immigrants,Total - gender,32.74
2018,Newfoundland and Labrador,Immigrants,Male gender,
2018,Newfoundland and Labrador,Immigrants,Female gender,
2018,Newfoundland and Labrador,Immigrants,Gender diverse,
2018,Newfoundland and Labrador,Not stated - immigrant status,Total - gender,
2018,Newfoundland and Labrador,Not stated - immigrant status,Male gender,
2018,Newfoundland and Labrador,Not stated - immigrant status,Female gender,
2018,Newfoundland and Labrador,Not stated - immigrant status,Gender diverse,
2018,Newfoundland and Labrador,Total - visible minority population,Total - gender,17.03
2018,Newfoundland and Labrador,Total - visible minority population,Male gender,8.18
2018,Newfoundland and Labrador,Total - visible minority population,Female gender,25.43
2018,Newfoundland and Labrador,Total - visible minority population,Gender diverse,
2018,Newfoundland and Labrador,Visible minority population,Total - gender,
2018,Newfoundland and Labrador,Visible minority population,Male gender,
2018,Newfoundland and Labrador,Visible minority population,Female gender,
2018,Newfoundland and Labrador,Visible minority population,Gender diverse,
2018,Newfoundland and Labrador,Not a visible minority,Total - gender,16.76
2018,Newfoundland and Labrador,Not a visible minority,Male gender,7.22
2018,Newfoundland and Labrador,Not a visible minority,Female gender,25.53
2018,Newfoundland and Labrador,Not a visible minority,Gender diverse,
2018,Newfoundland and Labrador,Not stated - visible minority population,Total - gender,
2018,Newfoundland and Labrador,Not stated - visible minority population,Male gender,
2018,Newfoundland and Labrador,Not stated - visible minority population,Female gender,
2018,Newfoundland and Labrador,Not stated - visible minority population,Gender diverse,
2018,Newfoundland and Labrador,Total - population by indigenous identity,Total - gender,17.03
2018,Newfoundland and Labrador,Total - population by indigenous identity,Male gender,8.18
2018,Newfoundland and Labrador,Total - population by indigenous identity,Female gender,25.43
2018,Newfoundland and Labrador,Total - population by indigenous identity,Gender diverse,
2018,Newfoundland and Labrador,Indigenous identity,Total - gender,23.67
2018,Newfoundland and Labrador,Indigenous identity,Male gender,
2018,Newfoundland and Labrador,Indigenous identity,Female gender,
2018,Newfoundland and Labrador,Indigenous identity,Gender diverse,
2018,Newfoundland and Labrador,First Nations (North American Indian),Total - gender,
2018,Newfoundland and Labrador,First Nations (North American Indian),Male gender,
2018,Newfoundland and Labrador,First Nations (North American Indian),Female gender,
2018,Newfoundland and Labrador,First Nations (North American Indian),Gender diverse,
2018,Newfoundland and Labrador,data.M�tis,Total - gender,
2018,Newfoundland and Labrador,data.M�tis,Male gender,
2018,Newfoundland and Labrador,data.M�tis,Female gender,
2018,Newfoundland and Labrador,data.M�tis,Gender diverse,
2018,Newfoundland and Labrador,Inuk (Inuit),Total - gender,
2018,Newfoundland and Labrador,Inuk (Inuit),Male gender,
2018,Newfoundland and Labrador,Inuk (Inuit),Female gender,
2018,Newfoundland and Labrador,Inuk (Inuit),Gender diverse,
2018,Newfoundland and Labrador,Other indigenous identity,Total - gender,
2018,Newfoundland and Labrador,Other indigenous identity,Male gender,
2018,Newfoundland and Labrador,Other indigenous identity,Female gender,
2018,Newfoundland and Labrador,Other indigenous identity,Gender diverse,
2018,Newfoundland and Labrador,Non-indigenous identity,Total - gender,16.71
2018,Newfoundland and Labrador,Non-indigenous identity,Male gender,8.43
2018,Newfoundland and Labrador,Non-indigenous identity,Female gender,24.36
2018,Newfoundland and Labrador,Non-indigenous identity,Gender diverse,
2018,Newfoundland and Labrador,Not stated - population by indigenous identity,Total - gender,
2018,Newfoundland and Labrador,Not stated - population by indigenous identity,Male gender,
2018,Newfoundland and Labrador,Not stated - population by indigenous identity,Female gender,
2018,Newfoundland and Labrador,Not stated - population by indigenous identity,Gender diverse,
2018,Newfoundland and Labrador,Total - disability status,Total - gender,17.03
2018,Newfoundland and Labrador,Total - disability status,Male gender,8.18
2018,Newfoundland and Labrador,Total - disability status,Female gender,25.43
2018,Newfoundland and Labrador,Total - disability status,Gender diverse,
2018,Newfoundland and Labrador,Has a disability,Total - gender,25.46
2018,Newfoundland and Labrador,Has a disability,Male gender,12.0
2018,Newfoundland and Labrador,Has a disability,Female gender,34.35
2018,Newfoundland and Labrador,Has a disability,Gender diverse,
2018,Newfoundland and Labrador,Does not have a disability,Total - gender,12.58
2018,Newfoundland and Labrador,Does not have a disability,Male gender,6.68
2018,Newfoundland and Labrador,Does not have a disability,Female gender,19.34
2018,Newfoundland and Labrador,Does not have a disability,Gender diverse,
2018,Newfoundland and Labrador,Total - sexual orientation,Total - gender,17.03
2018,Newfoundland and Labrador,Total - sexual orientation,Male gender,8.18
2018,Newfoundland and Labrador,Total - sexual orientation,Female gender,25.43
2018,Newfoundland and Labrador,Total - sexual orientation,Gender diverse,
2018,Newfoundland and Labrador,Heterosexual,Total - gender,16.63
2018,Newfoundland and Labrador,Heterosexual,Male gender,7.32
2018,Newfoundland and Labrador,Heterosexual,Female gender,25.58
2018,Newfoundland and Labrador,Heterosexual,Gender diverse,
2018,Newfoundland and Labrador,Sexual minority,Total - gender,
2018,Newfoundland and Labrador,Sexual minority,Male gender,
2018,Newfoundland and Labrador,Sexual minority,Female gender,
2018,Newfoundland and Labrador,Sexual minority,Gender diverse,
2018,Newfoundland and Labrador,Lesbian or gay,Total - gender,
2018,Newfoundland and Labrador,Lesbian or gay,Male gender,
2018,Newfoundland and Labrador,Lesbian or gay,Female gender,
2018,Newfoundland and Labrador,Lesbian or gay,Gender diverse,
2018,Newfoundland and Labrador,Bisexual or pansexual,Total - gender,
2018,Newfoundland and Labrador,Bisexual or pansexual,Male gender,
2018,Newfoundland and Labrador,Bisexual or pansexual,Female gender,
2018,Newfoundland and Labrador,Bisexual or pansexual,Gender diverse,
2018,Newfoundland and Labrador,Sexual orientation not elsewhere classified,Total - gender,
2018,Newfoundland and Labrador,Sexual orientation not elsewhere classified,Male gender,
2018,Newfoundland and Labrador,Sexual orientation not elsewhere classified,Female gender,
2018,Newfoundland and Labrador,Sexual orientation not elsewhere classified,Gender diverse,
2018,Newfoundland and Labrador,Not stated - sexual orientation,Total - gender,
2018,Newfoundland and Labrador,Not stated - sexual orientation,Male gender,
2018,Newfoundland and Labrador,Not stated - sexual orientation,Female gender,
2018,Newfoundland and Labrador,Not stated - sexual orientation,Gender diverse,
2018,Prince Edward Island,Total - age,Total - gender,20.43
2018,Prince Edward Island,Total - age,Male gender,6.11
2018,Prince Edward Island,Total - age,Female gender,34.57
2018,Prince Edward Island,Total - age,Gender diverse,
2018,Prince Edward Island,15 to 24 years,Total - gender,
2018,Prince Edward Island,15 to 24 years,Male gender,
2018,Prince Edward Island,15 to 24 years,Female gender,
2018,Prince Edward Island,15 to 24 years,Gender diverse,
2018,Prince Edward Island,25 to 34 years,Total - gender,25.0
2018,Prince Edward Island,25 to 34 years,Male gender,
2018,Prince Edward Island,25 to 34 years,Female gender,41.02
2018,Prince Edward Island,25 to 34 years,Gender diverse,
2018,Prince Edward Island,35 to 44 years,Total - gender,23.91
2018,Prince Edward Island,35 to 44 years,Male gender,
2018,Prince Edward Island,35 to 44 years,Female gender,42.17
2018,Prince Edward Island,35 to 44 years,Gender diverse,
2018,Prince Edward Island,45 to 54 years,Total - gender,21.03
2018,Prince Edward Island,45 to 54 years,Male gender,
2018,Prince Edward Island,45 to 54 years,Female gender,36.81
2018,Prince Edward Island,45 to 54 years,Gender diverse,
2018,Prince Edward Island,55 years and over,Total - gender,17.48
2018,Prince Edward Island,55 years and over,Male gender,6.52
2018,Prince Edward Island,55 years and over,Female gender,27.23
2018,Prince Edward Island,55 years and over,Gender diverse,
2018,Prince Edward Island,Total - immigrant status,Total - gender,20.43
2018,Prince Edward Island,Total - immigrant status,Male gender,6.11
2018,Prince Edward Island,Total - immigrant status,Female gender,34.57
2018,Prince Edward Island,Total - immigrant status,Gender diverse,
2018,Prince Edward Island,Non-immigrants,Total - gender,21.22
2018,Prince Edward Island,Non-immigrants,Male gender,6.83
2018,Prince Edward Island,Non-immigrants,Female gender,35.29
2018,Prince Edward Island,Non-immigrants,Gender diverse,
2018,Prince Edward Island,Immigrants,Total - gender,15.75
2018,Prince Edward Island,Immigrants,Male gender,
2018,Prince Edward Island,Immigrants,Female gender,30.28
2018,Prince Edward Island,Immigrants,Gender diverse,
2018,Prince Edward Island,Not stated - immigrant status,Total - gender,
2018,Prince Edward Island,Not stated - immigrant status,Male gender,
2018,Prince Edward Island,Not stated - immigrant status,Female gender,
2018,Prince Edward Island,Not stated - immigrant status,Gender diverse,
2018,Prince Edward Island,Total - visible minority population,Total - gender,20.43
2018,Prince Edward Island,Total - visible minority population,Male gender,6.11
2018,Prince Edward Island,Total - visible minority population,Female gender,34.57
2018,Prince Edward Island,Total - visible minority population,Gender diverse,
2018,Prince Edward Island,Visible minority population,Total - gender,
2018,Prince Edward Island,Visible minority population,Male gender,
2018,Prince Edward Island,Visible minority population,Female gender,
2018,Prince Edward Island,Visible minority population,Gender diverse,
2018,Prince Edward Island,Not a visible minority,Total - gender,20.84
2018,Prince Edward Island,Not a visible minority,Male gender,6.62
2018,Prince Edward Island,Not a visible minority,Female gender,35.09
2018,Prince Edward Island,Not a visible minority,Gender diverse,
2018,Prince Edward Island,Not stated - visible minority population,Total - gender,
2018,Prince Edward Island,Not stated - visible minority population,Male gender,
2018,Prince Edward Island,Not stated - visible minority population,Female gender,
2018,Prince Edward Island,Not stated - visible minority population,Gender diverse,
2018,Prince Edward Island,Total - population by indigenous identity,Total - gender,20.43
2018,Prince Edward Island,Total - population by indigenous identity,Male gender,6.11
2018,Prince Edward Island,Total - population by indigenous identity,Female gender,34.57
2018,Prince Edward Island,Total - population by indigenous identity,Gender diverse,
2018,Prince Edward Island,Indigenous identity,Total - gender,
2018,Prince Edward Island,Indigenous identity,Male gender,
2018,Prince Edward Island,Indigenous identity,Female gender,
2018,Prince Edward Island,Indigenous identity,Gender diverse,
2018,Prince Edward Island,First Nations (North American Indian),Total - gender,
2018,Prince Edward Island,First Nations (North American Indian),Male gender,
2018,Prince Edward Island,First Nations (North American Indian),Female gender,
2018,Prince Edward Island,First Nations (North American Indian),Gender diverse,
2018,Prince Edward Island,data.M�tis,Total - gender,
2018,Prince Edward Island,data.M�tis,Male gender,
2018,Prince Edward Island,data.M�tis,Female gender,
2018,Prince Edward Island,data.M�tis,Gender diverse,
2018,Prince Edward Island,Inuk (Inuit),Total - gender,
2018,Prince Edward Island,Inuk (Inuit),Male gender,
2018,Prince Edward Island,Inuk (Inuit),Female gender,
2018,Prince Edward Island,Inuk (Inuit),Gender diverse,
2018,Prince Edward Island,Other indigenous identity,Total - gender,
2018,Prince Edward Island,Other indigenous identity,Male gender,
2018,Prince Edward Island,Other indigenous identity,Female gender,
2018,Prince Edward Island,Other indigenous identity,Gender diverse,
2018,Prince Edward Island,Non-indigenous identity,Total - gender,20.6
2018,Prince Edward Island,Non-indigenous identity,Male gender,6.3
2018,Prince Edward Island,Non-indigenous identity,Female gender,34.75
2018,Prince Edward Island,Non-indigenous identity,Gender diverse,
2018,Prince Edward Island,Not stated - population by indigenous identity,Total - gender,
2018,Prince Edward Island,Not stated - population by indigenous identity,Male gender,
2018,Prince Edward Island,Not stated - population by indigenous identity,Female gender,
2018,Prince Edward Island,Not stated - population by indigenous identity,Gender diverse,
2018,Prince Edward Island,Total - disability status,Total - gender,20.43
2018,Prince Edward Island,Total - disability status,Male gender,6.11
2018,Prince Edward Island,Total - disability status,Female gender,34.57
2018,Prince Edward Island,Total - disability status,Gender diverse,
2018,Prince Edward Island,Has a disability,Total - gender,27.25
2018,Prince Edward Island,Has a disability,Male gender,8.08
2018,Prince Edward Island,Has a disability,Female gender,43.1
2018,Prince Edward Island,Has a disability,Gender diverse,
2018,Prince Edward Island,Does not have a disability,Total - gender,16.61
2018,Prince Edward Island,Does not have a disability,Male gender,5.15
2018,Prince Edward Island,Does not have a disability,Female gender,29.11
2018,Prince Edward Island,Does not have a disability,Gender diverse,
2018,Prince Edward Island,Total - sexual orientation,Total - gender,20.43
2018,Prince Edward Island,Total - sexual orientation,Male gender,6.11
2018,Prince Edward Island,Total - sexual orientation,Female gender,34.57
2018,Prince Edward Island,Total - sexual orientation,Gender diverse,
2018,Prince Edward Island,Heterosexual,Total - gender,19.52
2018,Prince Edward Island,Heterosexual,Male gender,5.49
2018,Prince Edward Island,Heterosexual,Female gender,33.76
2018,Prince Edward Island,Heterosexual,Gender diverse,
2018,Prince Edward Island,Sexual minority,Total - gender,
2018,Prince Edward Island,Sexual minority,Male gender,
2018,Prince Edward Island,Sexual minority,Female gender,
2018,Prince Edward Island,Sexual minority,Gender diverse,
2018,Prince Edward Island,Lesbian or gay,Total - gender,
2018,Prince Edward Island,Lesbian or gay,Male gender,
2018,Prince Edward Island,Lesbian or gay,Female gender,
2018,Prince Edward Island,Lesbian or gay,Gender diverse,
2018,Prince Edward Island,Bisexual or pansexual,Total - gender,
2018,Prince Edward Island,Bisexual or pansexual,Male gender,
2018,Prince Edward Island,Bisexual or pansexual,Female gender,
2018,Prince Edward Island,Bisexual or pansexual,Gender diverse,
2018,Prince Edward Island,Sexual orientation not elsewhere classified,Total - gender,
2018,Prince Edward Island,Sexual orientation not elsewhere classified,Male gender,
2018,Prince Edward Island,Sexual orientation not elsewhere classified,Female gender,
2018,Prince Edward Island,Sexual orientation not elsewhere classified,Gender diverse,
2018,Prince Edward Island,Not stated - sexual orientation,Total - gender,
2018,Prince Edward Island,Not stated - sexual orientation,Male gender,
2018,Prince Edward Island,Not stated - sexual orientation,Female gender,
2018,Prince Edward Island,Not stated - sexual orientation,Gender diverse,
2018,Nova Scotia,Total - age,Total - gender,21.67
2018,Nova Scotia,Total - age,Male gender,9.61
2018,Nova Scotia,Total - age,Female gender,33.1
2018,Nova Scotia,Total - age,Gender diverse,
2018,Nova Scotia,15 to 24 years,Total - gender,14.04
2018,Nova Scotia,15 to 24 years,Male gender,
2018,Nova Scotia,15 to 24 years,Female gender,25.15
2018,Nova Scotia,15 to 24 years,Gender diverse,
2018,Nova Scotia,25 to 34 years,Total - gender,28.57
2018,Nova Scotia,25 to 34 years,Male gender,11.98
2018,Nova Scotia,25 to 34 years,Female gender,46.32
2018,Nova Scotia,25 to 34 years,Gender diverse,
2018,Nova Scotia,35 to 44 years,Total - gender,21.57
2018,Nova Scotia,35 to 44 years,Male gender,10.07
2018,Nova Scotia,35 to 44 years,Female gender,32.48
2018,Nova Scotia,35 to 44 years,Gender diverse,
2018,Nova Scotia,45 to 54 years,Total - gender,26.25
2018,Nova Scotia,45 to 54 years,Male gender,10.51
2018,Nova Scotia,45 to 54 years,Female gender,40.53
2018,Nova Scotia,45 to 54 years,Gender diverse,
2018,Nova Scotia,55 years and over,Total - gender,19.94
2018,Nova Scotia,55 years and over,Male gender,10.34
2018,Nova Scotia,55 years and over,Female gender,28.55
2018,Nova Scotia,55 years and over,Gender diverse,
2018,Nova Scotia,Total - immigrant status,Total - gender,21.67
2018,Nova Scotia,Total - immigrant status,Male gender,9.61
2018,Nova Scotia,Total - immigrant status,Female gender,33.1
2018,Nova Scotia,Total - immigrant status,Gender diverse,
2018,Nova Scotia,Non-immigrants,Total - gender,22.67
2018,Nova Scotia,Non-immigrants,Male gender,10.07
2018,Nova Scotia,Non-immigrants,Female gender,34.42
2018,Nova Scotia,Non-immigrants,Gender diverse,
2018,Nova Scotia,Immigrants,Total - gender,12.74
2018,Nova Scotia,Immigrants,Male gender,
2018,Nova Scotia,Immigrants,Female gender,20.31
2018,Nova Scotia,Immigrants,Gender diverse,
2018,Nova Scotia,Not stated - immigrant status,Total - gender,
2018,Nova Scotia,Not stated - immigrant status,Male gender,
2018,Nova Scotia,Not stated - immigrant status,Female gender,
2018,Nova Scotia,Not stated - immigrant status,Gender diverse,
2018,Nova Scotia,Total - visible minority population,Total - gender,21.67
2018,Nova Scotia,Total - visible minority population,Male gender,9.61
2018,Nova Scotia,Total - visible minority population,Female gender,33.1
2018,Nova Scotia,Total - visible minority population,Gender diverse,
2018,Nova Scotia,Visible minority population,Total - gender,13.71
2018,Nova Scotia,Visible minority population,Male gender,
2018,Nova Scotia,Visible minority population,Female gender,20.77
2018,Nova Scotia,Visible minority population,Gender diverse,
2018,Nova Scotia,Not a visible minority,Total - gender,22.24
2018,Nova Scotia,Not a visible minority,Male gender,9.83
2018,Nova Scotia,Not a visible minority,Female gender,33.92
2018,Nova Scotia,Not a visible minority,Gender diverse,
2018,Nova Scotia,Not stated - visible minority population,Total - gender,
2018,Nova Scotia,Not stated - visible minority population,Male gender,
2018,Nova Scotia,Not stated - visible minority population,Female gender,
2018,Nova Scotia,Not stated - visible minority population,Gender diverse,
2018,Nova Scotia,Total - population by indigenous identity,Total - gender,21.67
2018,Nova Scotia,Total - population by indigenous identity,Male gender,9.61
2018,Nova Scotia,Total - population by indigenous identity,Female gender,33.1
2018,Nova Scotia,Total - population by indigenous identity,Gender diverse,
2018,Nova Scotia,Indigenous identity,Total - gender,30.18
2018,Nova Scotia,Indigenous identity,Male gender,
2018,Nova Scotia,Indigenous identity,Female gender,46.54
2018,Nova Scotia,Indigenous identity,Gender diverse,
2018,Nova Scotia,First Nations (North American Indian),Total - gender,
2018,Nova Scotia,First Nations (North American Indian),Male gender,
2018,Nova Scotia,First Nations (North American Indian),Female gender,
2018,Nova Scotia,First Nations (North American Indian),Gender diverse,
2018,Nova Scotia,data.M�tis,Total - gender,25.4
2018,Nova Scotia,data.M�tis,Male gender,
2018,Nova Scotia,data.M�tis,Female gender,
2018,Nova Scotia,data.M�tis,Gender diverse,
2018,Nova Scotia,Inuk (Inuit),Total - gender,
2018,Nova Scotia,Inuk (Inuit),Male gender,
2018,Nova Scotia,Inuk (Inuit),Female gender,
2018,Nova Scotia,Inuk (Inuit),Gender diverse,
2018,Nova Scotia,Other indigenous identity,Total - gender,
2018,Nova Scotia,Other indigenous identity,Male gender,
2018,Nova Scotia,Other indigenous identity,Female gender,
2018,Nova Scotia,Other indigenous identity,Gender diverse,
2018,Nova Scotia,Non-indigenous identity,Total - gender,21.23
2018,Nova Scotia,Non-indigenous identity,Male gender,9.49
2018,Nova Scotia,Non-indigenous identity,Female gender,32.44
2018,Nova Scotia,Non-indigenous identity,Gender diverse,
2018,Nova Scotia,Not stated - population by indigenous identity,Total - gender,
2018,Nova Scotia,Not stated - population by indigenous identity,Male gender,
2018,Nova Scotia,Not stated - population by indigenous identity,Female gender,
2018,Nova Scotia,Not stated - population by indigenous identity,Gender diverse,
2018,Nova Scotia,Total - disability status,Total - gender,21.67
2018,Nova Scotia,Total - disability status,Male gender,9.61
2018,Nova Scotia,Total - disability status,Female gender,33.1
2018,Nova Scotia,Total - disability status,Gender diverse,
2018,Nova Scotia,Has a disability,Total - gender,28.26
2018,Nova Scotia,Has a disability,Male gender,11.23
2018,Nova Scotia,Has a disability,Female gender,41.59
2018,Nova Scotia,Has a disability,Gender diverse,
2018,Nova Scotia,Does not have a disability,Total - gender,17.07
2018,Nova Scotia,Does not have a disability,Male gender,8.64
2018,Nova Scotia,Does not have a disability,Female gender,26.21
2018,Nova Scotia,Does not have a disability,Gender diverse,
2018,Nova Scotia,Total - sexual orientation,Total - gender,21.67
2018,Nova Scotia,Total - sexual orientation,Male gender,9.61
2018,Nova Scotia,Total - sexual orientation,Female gender,33.1
2018,Nova Scotia,Total - sexual orientation,Gender diverse,
2018,Nova Scotia,Heterosexual,Total - gender,21.02
2018,Nova Scotia,Heterosexual,Male gender,9.07
2018,Nova Scotia,Heterosexual,Female gender,32.53
