Year,Units,Geography,data.Core public infrastructure assets,data.Type of municipality by population size,Value
2016,Number,British Columbia,data.Social and affordable housing,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,British Columbia,data.Solid waste,data.All municipalities,19.0
2016,Number,British Columbia,data.Solid waste,data.All urban municipalities,12.0
2016,Number,British Columbia,data.Solid waste,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,British Columbia,data.Solid waste,"data.Urban municipalities, population 5,000 to 29,999",4.0
2016,Number,British Columbia,data.Solid waste,"data.Urban municipalities, population 30,000 or more",8.0
2016,Number,British Columbia,data.Solid waste,data.All rural municipalities,7.0
2016,Number,British Columbia,data.Solid waste,"data.Rural municipalities, population 1 to 4,999",5.0
2016,Number,British Columbia,data.Solid waste,"data.Rural municipalities, population 5,000 or more",3.0
2016,Number,British Columbia,data.Stormwater,data.All municipalities,98.0
2016,Number,British Columbia,data.Stormwater,data.All urban municipalities,61.0
2016,Number,British Columbia,data.Stormwater,"data.Urban municipalities, population 1 to 4,999",8.0
2016,Number,British Columbia,data.Stormwater,"data.Urban municipalities, population 5,000 to 29,999",30.0
2016,Number,British Columbia,data.Stormwater,"data.Urban municipalities, population 30,000 or more",24.0
2016,Number,British Columbia,data.Stormwater,data.All rural municipalities,37.0
2016,Number,British Columbia,data.Stormwater,"data.Rural municipalities, population 1 to 4,999",25.0
2016,Number,British Columbia,data.Stormwater,"data.Rural municipalities, population 5,000 or more",12.0
2016,Number,British Columbia,data.Wastewater,data.All municipalities,69.0
2016,Number,British Columbia,data.Wastewater,data.All urban municipalities,41.0
2016,Number,British Columbia,data.Wastewater,"data.Urban municipalities, population 1 to 4,999",3.0
2016,Number,British Columbia,data.Wastewater,"data.Urban municipalities, population 5,000 to 29,999",20.0
2016,Number,British Columbia,data.Wastewater,"data.Urban municipalities, population 30,000 or more",18.0
2016,Number,British Columbia,data.Wastewater,data.All rural municipalities,27.0
2016,Number,British Columbia,data.Wastewater,"data.Rural municipalities, population 1 to 4,999",22.0
2016,Number,British Columbia,data.Wastewater,"data.Rural municipalities, population 5,000 or more",5.0
2016,Number,Canada,data.Bridges and tunnels,data.All municipalities,299.0
2016,Number,Canada,data.Bridges and tunnels,data.All urban municipalities,135.0
2016,Number,Canada,data.Bridges and tunnels,"data.Urban municipalities, population 1 to 4,999",33.0
2016,Number,Canada,data.Bridges and tunnels,"data.Urban municipalities, population 5,000 to 29,999",45.0
2016,Number,Canada,data.Bridges and tunnels,"data.Urban municipalities, population 30,000 or more",58.0
2016,Number,Canada,data.Bridges and tunnels,data.All rural municipalities,164.0
2016,Number,Canada,data.Bridges and tunnels,"data.Rural municipalities, population 1 to 4,999",122.0
2016,Number,Canada,data.Bridges and tunnels,"data.Rural municipalities, population 5,000 or more",41.0
2016,Number,Canada,"data.Culture, recreation and sports facilities",data.All municipalities,366.0
2016,Number,Canada,"data.Culture, recreation and sports facilities",data.All urban municipalities,130.0
2016,Number,Canada,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 1 to 4,999",38.0
2016,Number,Canada,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 5,000 to 29,999",48.0
2016,Number,Canada,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 30,000 or more",44.0
2016,Number,Canada,"data.Culture, recreation and sports facilities",data.All rural municipalities,236.0
2016,Number,Canada,"data.Culture, recreation and sports facilities","data.Rural municipalities, population 1 to 4,999",188.0
2016,Number,Canada,"data.Culture, recreation and sports facilities","data.Rural municipalities, population 5,000 or more",48.0
2016,Number,Canada,data.Potable water,data.All municipalities,440.0
2016,Number,Canada,data.Potable water,data.All urban municipalities,180.0
2016,Number,Canada,data.Potable water,"data.Urban municipalities, population 1 to 4,999",42.0
2016,Number,Canada,data.Potable water,"data.Urban municipalities, population 5,000 to 29,999",84.0
2016,Number,Canada,data.Potable water,"data.Urban municipalities, population 30,000 or more",55.0
2016,Number,Canada,data.Potable water,data.All rural municipalities,259.0
2016,Number,Canada,data.Potable water,"data.Rural municipalities, population 1 to 4,999",190.0
2016,Number,Canada,data.Potable water,"data.Rural municipalities, population 5,000 or more",69.0
2016,Number,Canada,Public transit,data.All municipalities,50.0
2016,Number,Canada,Public transit,data.All urban municipalities,44.0
2016,Number,Canada,Public transit,"data.Urban municipalities, population 1 to 4,999",2.0
2016,Number,Canada,Public transit,"data.Urban municipalities, population 5,000 to 29,999",12.0
2016,Number,Canada,Public transit,"data.Urban municipalities, population 30,000 or more",30.0
2016,Number,Canada,Public transit,data.All rural municipalities,6.0
2016,Number,Canada,Public transit,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,Canada,Public transit,"data.Rural municipalities, population 5,000 or more",6.0
2016,Number,Canada,data.Roads,data.All municipalities,709.0
2016,Number,Canada,data.Roads,data.All urban municipalities,263.0
2016,Number,Canada,data.Roads,"data.Urban municipalities, population 1 to 4,999",98.0
2016,Number,Canada,data.Roads,"data.Urban municipalities, population 5,000 to 29,999",103.0
2016,Number,Canada,data.Roads,"data.Urban municipalities, population 30,000 or more",62.0
2016,Number,Canada,data.Roads,data.All rural municipalities,445.0
2016,Number,Canada,data.Roads,"data.Rural municipalities, population 1 to 4,999",343.0
2016,Number,Canada,data.Roads,"data.Rural municipalities, population 5,000 or more",102.0
2016,Number,Canada,data.Social and affordable housing,data.All municipalities,10.0
2016,Number,Canada,data.Social and affordable housing,data.All urban municipalities,7.0
2016,Number,Canada,data.Social and affordable housing,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,Canada,data.Social and affordable housing,"data.Urban municipalities, population 5,000 to 29,999",1.0
2016,Number,Canada,data.Social and affordable housing,"data.Urban municipalities, population 30,000 or more",6.0
2016,Number,Canada,data.Social and affordable housing,data.All rural municipalities,3.0
2016,Number,Canada,data.Social and affordable housing,"data.Rural municipalities, population 1 to 4,999",3.0
2016,Number,Canada,data.Social and affordable housing,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,Canada,data.Solid waste,data.All municipalities,142.0
2016,Number,Canada,data.Solid waste,data.All urban municipalities,60.0
2016,Number,Canada,data.Solid waste,"data.Urban municipalities, population 1 to 4,999",12.0
2016,Number,Canada,data.Solid waste,"data.Urban municipalities, population 5,000 to 29,999",25.0
2016,Number,Canada,data.Solid waste,"data.Urban municipalities, population 30,000 or more",23.0
2016,Number,Canada,data.Solid waste,data.All rural municipalities,82.0
2016,Number,Canada,data.Solid waste,"data.Rural municipalities, population 1 to 4,999",71.0
2016,Number,Canada,data.Solid waste,"data.Rural municipalities, population 5,000 or more",11.0
2016,Number,Canada,data.Stormwater,data.All municipalities,736.0
2016,Number,Canada,data.Stormwater,data.All urban municipalities,347.0
2016,Number,Canada,data.Stormwater,"data.Urban municipalities, population 1 to 4,999",69.0
2016,Number,Canada,data.Stormwater,"data.Urban municipalities, population 5,000 to 29,999",162.0
2016,Number,Canada,data.Stormwater,"data.Urban municipalities, population 30,000 or more",115.0
2016,Number,Canada,data.Stormwater,data.All rural municipalities,389.0
2016,Number,Canada,data.Stormwater,"data.Rural municipalities, population 1 to 4,999",280.0
2016,Number,Canada,data.Stormwater,"data.Rural municipalities, population 5,000 or more",109.0
2016,Number,Canada,data.Wastewater,data.All municipalities,539.0
2016,Number,Canada,data.Wastewater,data.All urban municipalities,226.0
2016,Number,Canada,data.Wastewater,"data.Urban municipalities, population 1 to 4,999",55.0
2016,Number,Canada,data.Wastewater,"data.Urban municipalities, population 5,000 to 29,999",102.0
2016,Number,Canada,data.Wastewater,"data.Urban municipalities, population 30,000 or more",69.0
2016,Number,Canada,data.Wastewater,data.All rural municipalities,314.0
2016,Number,Canada,data.Wastewater,"data.Rural municipalities, population 1 to 4,999",237.0
2016,Number,Canada,data.Wastewater,"data.Rural municipalities, population 5,000 or more",76.0
2016,Number,Manitoba,data.Bridges and tunnels,data.All municipalities,32.0
2016,Number,Manitoba,data.Bridges and tunnels,data.All urban municipalities,4.0
2016,Number,Manitoba,data.Bridges and tunnels,"data.Urban municipalities, population 1 to 4,999",3.0
2016,Number,Manitoba,data.Bridges and tunnels,"data.Urban municipalities, population 5,000 to 29,999",1.0
2016,Number,Manitoba,data.Bridges and tunnels,"data.Urban municipalities, population 30,000 or more",0.0
2016,Number,Manitoba,data.Bridges and tunnels,data.All rural municipalities,28.0
2016,Number,Manitoba,data.Bridges and tunnels,"data.Rural municipalities, population 1 to 4,999",26.0
2016,Number,Manitoba,data.Bridges and tunnels,"data.Rural municipalities, population 5,000 or more",2.0
2016,Number,Manitoba,"data.Culture, recreation and sports facilities",data.All municipalities,23.0
2016,Number,Manitoba,"data.Culture, recreation and sports facilities",data.All urban municipalities,3.0
2016,Number,Manitoba,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,Manitoba,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 5,000 to 29,999",3.0
2016,Number,Manitoba,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 30,000 or more",0.0
2016,Number,Manitoba,"data.Culture, recreation and sports facilities",data.All rural municipalities,20.0
2016,Number,Manitoba,"data.Culture, recreation and sports facilities","data.Rural municipalities, population 1 to 4,999",19.0
2016,Number,Manitoba,"data.Culture, recreation and sports facilities","data.Rural municipalities, population 5,000 or more",1.0
2016,Number,Manitoba,data.Potable water,data.All municipalities,26.0
2016,Number,Manitoba,data.Potable water,data.All urban municipalities,7.0
2016,Number,Manitoba,data.Potable water,"data.Urban municipalities, population 1 to 4,999",1.0
2016,Number,Manitoba,data.Potable water,"data.Urban municipalities, population 5,000 to 29,999",5.0
2016,Number,Manitoba,data.Potable water,"data.Urban municipalities, population 30,000 or more",1.0
2016,Number,Manitoba,data.Potable water,data.All rural municipalities,19.0
2016,Number,Manitoba,data.Potable water,"data.Rural municipalities, population 1 to 4,999",17.0
2016,Number,Manitoba,data.Potable water,"data.Rural municipalities, population 5,000 or more",2.0
2016,Number,Manitoba,Public transit,data.All municipalities,2.0
2016,Number,Manitoba,Public transit,data.All urban municipalities,1.0
2016,Number,Manitoba,Public transit,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,Manitoba,Public transit,"data.Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Manitoba,Public transit,"data.Urban municipalities, population 30,000 or more",1.0
2016,Number,Manitoba,Public transit,data.All rural municipalities,1.0
2016,Number,Manitoba,Public transit,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,Manitoba,Public transit,"data.Rural municipalities, population 5,000 or more",1.0
2016,Number,Manitoba,data.Roads,data.All municipalities,58.0
2016,Number,Manitoba,data.Roads,data.All urban municipalities,10.0
2016,Number,Manitoba,data.Roads,"data.Urban municipalities, population 1 to 4,999",3.0
2016,Number,Manitoba,data.Roads,"data.Urban municipalities, population 5,000 to 29,999",6.0
2016,Number,Manitoba,data.Roads,"data.Urban municipalities, population 30,000 or more",1.0
2016,Number,Manitoba,data.Roads,data.All rural municipalities,48.0
2016,Number,Manitoba,data.Roads,"data.Rural municipalities, population 1 to 4,999",41.0
2016,Number,Manitoba,data.Roads,"data.Rural municipalities, population 5,000 or more",6.0
2016,Number,Manitoba,data.Social and affordable housing,data.All municipalities,0.0
2016,Number,Manitoba,data.Social and affordable housing,data.All urban municipalities,0.0
2016,Number,Manitoba,data.Social and affordable housing,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,Manitoba,data.Social and affordable housing,"data.Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,Manitoba,data.Social and affordable housing,"data.Urban municipalities, population 30,000 or more",0.0
2016,Number,Manitoba,data.Social and affordable housing,data.All rural municipalities,0.0
2016,Number,Manitoba,data.Social and affordable housing,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,Manitoba,data.Social and affordable housing,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,Manitoba,data.Solid waste,data.All municipalities,16.0
2016,Number,Manitoba,data.Solid waste,data.All urban municipalities,5.0
2016,Number,Manitoba,data.Solid waste,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,Manitoba,data.Solid waste,"data.Urban municipalities, population 5,000 to 29,999",5.0
2016,Number,Manitoba,data.Solid waste,"data.Urban municipalities, population 30,000 or more",0.0
2016,Number,Manitoba,data.Solid waste,data.All rural municipalities,0.0
2016,Number,Manitoba,data.Solid waste,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,Manitoba,data.Solid waste,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,Manitoba,data.Stormwater,data.All municipalities,51.0
2016,Number,Manitoba,data.Stormwater,data.All urban municipalities,10.0
2016,Number,Manitoba,data.Stormwater,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,Manitoba,data.Stormwater,"data.Urban municipalities, population 5,000 to 29,999",8.0
2016,Number,Manitoba,data.Stormwater,"data.Urban municipalities, population 30,000 or more",2.0
2016,Number,Manitoba,data.Stormwater,data.All rural municipalities,41.0
2016,Number,Manitoba,data.Stormwater,"data.Rural municipalities, population 1 to 4,999",36.0
2016,Number,Manitoba,data.Stormwater,"data.Rural municipalities, population 5,000 or more",5.0
2016,Number,Manitoba,data.Wastewater,data.All municipalities,37.0
2016,Number,Manitoba,data.Wastewater,data.All urban municipalities,6.0
2016,Number,Manitoba,data.Wastewater,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,Manitoba,data.Wastewater,"data.Urban municipalities, population 5,000 to 29,999",5.0
2016,Number,Manitoba,data.Wastewater,"data.Urban municipalities, population 30,000 or more",1.0
2016,Number,Manitoba,data.Wastewater,data.All rural municipalities,31.0
2016,Number,Manitoba,data.Wastewater,"data.Rural municipalities, population 1 to 4,999",27.0
2016,Number,Manitoba,data.Wastewater,"data.Rural municipalities, population 5,000 or more",4.0
2016,Number,data.New Brunswick ,data.Bridges and tunnels,data.All municipalities,1.0
2016,Number,data.New Brunswick ,data.Bridges and tunnels,data.All urban municipalities,1.0
2016,Number,data.New Brunswick ,data.Bridges and tunnels,"data.Urban municipalities, population 1 to 4,999",1.0
2016,Number,data.New Brunswick ,data.Bridges and tunnels,"data.Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,data.New Brunswick ,data.Bridges and tunnels,"data.Urban municipalities, population 30,000 or more",0.0
2016,Number,data.New Brunswick ,data.Bridges and tunnels,data.All rural municipalities,0.0
2016,Number,data.New Brunswick ,data.Bridges and tunnels,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,data.New Brunswick ,data.Bridges and tunnels,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,data.New Brunswick ,"data.Culture, recreation and sports facilities",data.All municipalities,13.0
2016,Number,data.New Brunswick ,"data.Culture, recreation and sports facilities",data.All urban municipalities,6.0
2016,Number,data.New Brunswick ,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 1 to 4,999",4.0
2016,Number,data.New Brunswick ,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 5,000 to 29,999",2.0
2016,Number,data.New Brunswick ,"data.Culture, recreation and sports facilities","data.Urban municipalities, population 30,000 or more",0.0
2016,Number,data.New Brunswick ,"data.Culture, recreation and sports facilities",data.All rural municipalities,7.0
2016,Number,data.New Brunswick ,"data.Culture, recreation and sports facilities","data.Rural municipalities, population 1 to 4,999",6.0
2016,Number,data.New Brunswick ,"data.Culture, recreation and sports facilities","data.Rural municipalities, population 5,000 or more",1.0
2016,Number,data.New Brunswick ,data.Potable water,data.All municipalities,22.0
2016,Number,data.New Brunswick ,data.Potable water,data.All urban municipalities,9.0
2016,Number,data.New Brunswick ,data.Potable water,"data.Urban municipalities, population 1 to 4,999",5.0
2016,Number,data.New Brunswick ,data.Potable water,"data.Urban municipalities, population 5,000 to 29,999",4.0
2016,Number,data.New Brunswick ,data.Potable water,"data.Urban municipalities, population 30,000 or more",0.0
2016,Number,data.New Brunswick ,data.Potable water,data.All rural municipalities,13.0
2016,Number,data.New Brunswick ,data.Potable water,"data.Rural municipalities, population 1 to 4,999",11.0
2016,Number,data.New Brunswick ,data.Potable water,"data.Rural municipalities, population 5,000 or more",1.0
2016,Number,data.New Brunswick ,Public transit,data.All municipalities,1.0
2016,Number,data.New Brunswick ,Public transit,data.All urban municipalities,1.0
2016,Number,data.New Brunswick ,Public transit,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,data.New Brunswick ,Public transit,"data.Urban municipalities, population 5,000 to 29,999",1.0
2016,Number,data.New Brunswick ,Public transit,"data.Urban municipalities, population 30,000 or more",0.0
2016,Number,data.New Brunswick ,Public transit,data.All rural municipalities,0.0
2016,Number,data.New Brunswick ,Public transit,"data.Rural municipalities, population 1 to 4,999",0.0
2016,Number,data.New Brunswick ,Public transit,"data.Rural municipalities, population 5,000 or more",0.0
2016,Number,data.New Brunswick ,data.Roads,data.All municipalities,28.0
2016,Number,data.New Brunswick ,data.Roads,data.All urban municipalities,13.0
2016,Number,data.New Brunswick ,data.Roads,"data.Urban municipalities, population 1 to 4,999",7.0
2016,Number,data.New Brunswick ,data.Roads,"data.Urban municipalities, population 5,000 to 29,999",6.0
2016,Number,data.New Brunswick ,data.Roads,"data.Urban municipalities, population 30,000 or more",0.0
2016,Number,data.New Brunswick ,data.Roads,data.All rural municipalities,15.0
2016,Number,data.New Brunswick ,data.Roads,"data.Rural municipalities, population 1 to 4,999",14.0
2016,Number,data.New Brunswick ,data.Roads,"data.Rural municipalities, population 5,000 or more",1.0
2016,Number,data.New Brunswick ,data.Social and affordable housing,data.All municipalities,0.0
2016,Number,data.New Brunswick ,data.Social and affordable housing,data.All urban municipalities,0.0
2016,Number,data.New Brunswick ,data.Social and affordable housing,"data.Urban municipalities, population 1 to 4,999",0.0
2016,Number,data.New Brunswick ,data.Social and affordable housing,"data.Urban municipalities, population 5,000 to 29,999",0.0
2016,Number,data.New Brunswick ,data.Social and affordable housing,"data.Urban municipalities, population 30,000 or more",0.0
2016,Number,data.New Brunswick ,data.Social and affordable housing,data.All rural municipalities,0.0
