Year,Geography,data.Educational attainment level,Age group,Sex,Value
2019,Canada,data.Tertiary education,25 to 34 years,Both sexes,63.0
2020,Canada,data.Tertiary education,25 to 34 years,Both sexes,64.0
2010,Canada,data.Tertiary education,25 to 34 years,Male,49.0
2011,Canada,data.Tertiary education,25 to 34 years,Male,49.0
2012,Canada,data.Tertiary education,25 to 34 years,Male,48.0
2013,Canada,data.Tertiary education,25 to 34 years,Male,49.0
2014,Canada,data.Tertiary education,25 to 34 years,Male,50.0
2015,Canada,data.Tertiary education,25 to 34 years,Male,50.0
2016,Canada,data.Tertiary education,25 to 34 years,Male,52.0
2017,Canada,data.Tertiary education,25 to 34 years,Male,52.0
2018,Canada,data.Tertiary education,25 to 34 years,Male,53.0
2019,Canada,data.Tertiary education,25 to 34 years,Male,55.0
2020,Canada,data.Tertiary education,25 to 34 years,Male,56.0
2010,Canada,data.Tertiary education,25 to 34 years,Female,64.0
2011,Canada,data.Tertiary education,25 to 34 years,Female,65.0
2012,Canada,data.Tertiary education,25 to 34 years,Female,66.0
2013,Canada,data.Tertiary education,25 to 34 years,Female,67.0
2014,Canada,data.Tertiary education,25 to 34 years,Female,66.0
2015,Canada,data.Tertiary education,25 to 34 years,Female,68.0
2016,Canada,data.Tertiary education,25 to 34 years,Female,70.0
2017,Canada,data.Tertiary education,25 to 34 years,Female,70.0
2018,Canada,data.Tertiary education,25 to 34 years,Female,71.0
2019,Canada,data.Tertiary education,25 to 34 years,Female,71.0
2020,Canada,data.Tertiary education,25 to 34 years,Female,73.0
2010,Canada,data.Tertiary education,30 to 34 years,Both sexes,58.0
2011,Canada,data.Tertiary education,30 to 34 years,Both sexes,58.0
2012,Canada,data.Tertiary education,30 to 34 years,Both sexes,58.0
2013,Canada,data.Tertiary education,30 to 34 years,Both sexes,59.0
2014,Canada,data.Tertiary education,30 to 34 years,Both sexes,59.0
2015,Canada,data.Tertiary education,30 to 34 years,Both sexes,61.0
2016,Canada,data.Tertiary education,30 to 34 years,Both sexes,62.0
2017,Canada,data.Tertiary education,30 to 34 years,Both sexes,62.0
2018,Canada,data.Tertiary education,30 to 34 years,Both sexes,63.0
2019,Canada,data.Tertiary education,30 to 34 years,Both sexes,64.0
2020,Canada,data.Tertiary education,30 to 34 years,Both sexes,66.0
2010,Canada,data.Tertiary education,30 to 34 years,Male,51.0
2011,Canada,data.Tertiary education,30 to 34 years,Male,50.0
2012,Canada,data.Tertiary education,30 to 34 years,Male,49.0
2013,Canada,data.Tertiary education,30 to 34 years,Male,50.0
2014,Canada,data.Tertiary education,30 to 34 years,Male,51.0
2015,Canada,data.Tertiary education,30 to 34 years,Male,52.0
2016,Canada,data.Tertiary education,30 to 34 years,Male,53.0
2017,Canada,data.Tertiary education,30 to 34 years,Male,53.0
2018,Canada,data.Tertiary education,30 to 34 years,Male,55.0
2019,Canada,data.Tertiary education,30 to 34 years,Male,56.0
2020,Canada,data.Tertiary education,30 to 34 years,Male,58.0
2010,Canada,data.Tertiary education,30 to 34 years,Female,65.0
2011,Canada,data.Tertiary education,30 to 34 years,Female,66.0
2012,Canada,data.Tertiary education,30 to 34 years,Female,67.0
2013,Canada,data.Tertiary education,30 to 34 years,Female,68.0
2014,Canada,data.Tertiary education,30 to 34 years,Female,68.0
2015,Canada,data.Tertiary education,30 to 34 years,Female,70.0
2016,Canada,data.Tertiary education,30 to 34 years,Female,71.0
2017,Canada,data.Tertiary education,30 to 34 years,Female,71.0
2018,Canada,data.Tertiary education,30 to 34 years,Female,71.0
2019,Canada,data.Tertiary education,30 to 34 years,Female,73.0
2020,Canada,data.Tertiary education,30 to 34 years,Female,75.0
2010,Canada,data.Tertiary education,35 to 44 years,Both sexes,56.0
2011,Canada,data.Tertiary education,35 to 44 years,Both sexes,57.0
2012,Canada,data.Tertiary education,35 to 44 years,Both sexes,58.0
2013,Canada,data.Tertiary education,35 to 44 years,Both sexes,60.0
2014,Canada,data.Tertiary education,35 to 44 years,Both sexes,60.0
2015,Canada,data.Tertiary education,35 to 44 years,Both sexes,62.0
2016,Canada,data.Tertiary education,35 to 44 years,Both sexes,62.0
2017,Canada,data.Tertiary education,35 to 44 years,Both sexes,63.0
2018,Canada,data.Tertiary education,35 to 44 years,Both sexes,64.0
2019,Canada,data.Tertiary education,35 to 44 years,Both sexes,64.0
2020,Canada,data.Tertiary education,35 to 44 years,Both sexes,65.0
2010,Canada,data.Tertiary education,35 to 44 years,Male,50.0
2011,Canada,data.Tertiary education,35 to 44 years,Male,51.0
2012,Canada,data.Tertiary education,35 to 44 years,Male,52.0
2013,Canada,data.Tertiary education,35 to 44 years,Male,53.0
2014,Canada,data.Tertiary education,35 to 44 years,Male,53.0
2015,Canada,data.Tertiary education,35 to 44 years,Male,55.0
2016,Canada,data.Tertiary education,35 to 44 years,Male,55.0
2017,Canada,data.Tertiary education,35 to 44 years,Male,55.0
2018,Canada,data.Tertiary education,35 to 44 years,Male,55.0
2019,Canada,data.Tertiary education,35 to 44 years,Male,57.0
2020,Canada,data.Tertiary education,35 to 44 years,Male,57.0
2010,Canada,data.Tertiary education,35 to 44 years,Female,63.0
2011,Canada,data.Tertiary education,35 to 44 years,Female,64.0
2012,Canada,data.Tertiary education,35 to 44 years,Female,65.0
2013,Canada,data.Tertiary education,35 to 44 years,Female,67.0
2014,Canada,data.Tertiary education,35 to 44 years,Female,67.0
2015,Canada,data.Tertiary education,35 to 44 years,Female,69.0
2016,Canada,data.Tertiary education,35 to 44 years,Female,70.0
2017,Canada,data.Tertiary education,35 to 44 years,Female,71.0
2018,Canada,data.Tertiary education,35 to 44 years,Female,71.0
2019,Canada,data.Tertiary education,35 to 44 years,Female,72.0
2020,Canada,data.Tertiary education,35 to 44 years,Female,73.0
2010,Canada,data.Tertiary education,45 to 54 years,Both sexes,46.0
2011,Canada,data.Tertiary education,45 to 54 years,Both sexes,48.0
2012,Canada,data.Tertiary education,45 to 54 years,Both sexes,49.0
2013,Canada,data.Tertiary education,45 to 54 years,Both sexes,50.0
2014,Canada,data.Tertiary education,45 to 54 years,Both sexes,51.0
2015,Canada,data.Tertiary education,45 to 54 years,Both sexes,53.0
2016,Canada,data.Tertiary education,45 to 54 years,Both sexes,55.0
2017,Canada,data.Tertiary education,45 to 54 years,Both sexes,56.0
2018,Canada,data.Tertiary education,45 to 54 years,Both sexes,58.0
2019,Canada,data.Tertiary education,45 to 54 years,Both sexes,60.0
2020,Canada,data.Tertiary education,45 to 54 years,Both sexes,60.0
2010,Canada,data.Tertiary education,45 to 54 years,Male,42.0
2011,Canada,data.Tertiary education,45 to 54 years,Male,43.0
2012,Canada,data.Tertiary education,45 to 54 years,Male,45.0
2013,Canada,data.Tertiary education,45 to 54 years,Male,45.0
2014,Canada,data.Tertiary education,45 to 54 years,Male,46.0
2015,Canada,data.Tertiary education,45 to 54 years,Male,48.0
2016,Canada,data.Tertiary education,45 to 54 years,Male,51.0
2017,Canada,data.Tertiary education,45 to 54 years,Male,51.0
2018,Canada,data.Tertiary education,45 to 54 years,Male,53.0
2019,Canada,data.Tertiary education,45 to 54 years,Male,55.0
2020,Canada,data.Tertiary education,45 to 54 years,Male,54.0
2010,Canada,data.Tertiary education,45 to 54 years,Female,50.0
2011,Canada,data.Tertiary education,45 to 54 years,Female,52.0
2012,Canada,data.Tertiary education,45 to 54 years,Female,54.0
2013,Canada,data.Tertiary education,45 to 54 years,Female,54.0
2014,Canada,data.Tertiary education,45 to 54 years,Female,55.0
2015,Canada,data.Tertiary education,45 to 54 years,Female,58.0
2016,Canada,data.Tertiary education,45 to 54 years,Female,60.0
2017,Canada,data.Tertiary education,45 to 54 years,Female,61.0
2018,Canada,data.Tertiary education,45 to 54 years,Female,64.0
2019,Canada,data.Tertiary education,45 to 54 years,Female,65.0
2020,Canada,data.Tertiary education,45 to 54 years,Female,66.0
2010,Canada,data.Tertiary education,55 to 64 years,Both sexes,42.0
2011,Canada,data.Tertiary education,55 to 64 years,Both sexes,42.0
2012,Canada,data.Tertiary education,55 to 64 years,Both sexes,44.0
2013,Canada,data.Tertiary education,55 to 64 years,Both sexes,45.0
2014,Canada,data.Tertiary education,55 to 64 years,Both sexes,45.0
2015,Canada,data.Tertiary education,55 to 64 years,Both sexes,45.0
2016,Canada,data.Tertiary education,55 to 64 years,Both sexes,46.0
2017,Canada,data.Tertiary education,55 to 64 years,Both sexes,46.0
2018,Canada,data.Tertiary education,55 to 64 years,Both sexes,48.0
2019,Canada,data.Tertiary education,55 to 64 years,Both sexes,50.0
2020,Canada,data.Tertiary education,55 to 64 years,Both sexes,50.0
2010,Canada,data.Tertiary education,55 to 64 years,Male,41.0
2011,Canada,data.Tertiary education,55 to 64 years,Male,41.0
2012,Canada,data.Tertiary education,55 to 64 years,Male,42.0
2013,Canada,data.Tertiary education,55 to 64 years,Male,42.0
2014,Canada,data.Tertiary education,55 to 64 years,Male,42.0
2015,Canada,data.Tertiary education,55 to 64 years,Male,42.0
2016,Canada,data.Tertiary education,55 to 64 years,Male,43.0
2017,Canada,data.Tertiary education,55 to 64 years,Male,43.0
2018,Canada,data.Tertiary education,55 to 64 years,Male,44.0
2019,Canada,data.Tertiary education,55 to 64 years,Male,46.0
2020,Canada,data.Tertiary education,55 to 64 years,Male,46.0
2010,Canada,data.Tertiary education,55 to 64 years,Female,43.0
2011,Canada,data.Tertiary education,55 to 64 years,Female,43.0
2012,Canada,data.Tertiary education,55 to 64 years,Female,47.0
2013,Canada,data.Tertiary education,55 to 64 years,Female,47.0
2014,Canada,data.Tertiary education,55 to 64 years,Female,47.0
2015,Canada,data.Tertiary education,55 to 64 years,Female,49.0
2016,Canada,data.Tertiary education,55 to 64 years,Female,49.0
2017,Canada,data.Tertiary education,55 to 64 years,Female,50.0
2018,Canada,data.Tertiary education,55 to 64 years,Female,51.0
2019,Canada,data.Tertiary education,55 to 64 years,Female,53.0
2020,Canada,data.Tertiary education,55 to 64 years,Female,54.0
2010,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Both sexes,24.0
2011,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Both sexes,24.0
2012,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Both sexes,25.0
2013,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Both sexes,25.0
2014,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Both sexes,25.0
2015,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Both sexes,26.0
2016,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Both sexes,26.0
2017,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Both sexes,26.0
2018,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Both sexes,26.0
2019,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Both sexes,26.0
2020,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Both sexes,26.0
2010,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,20.0
2011,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,21.0
2012,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,21.0
2013,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,21.0
2014,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,21.0
2015,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,22.0
2016,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,22.0
2017,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,22.0
2018,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,22.0
2019,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,23.0
2020,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,22.0
2010,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,28.0
2011,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,28.0
2012,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,29.0
2013,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,29.0
2014,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,29.0
2015,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,29.0
2016,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,29.0
2017,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,29.0
2018,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,30.0
2019,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,30.0
2020,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,29.0
2010,Canada,data.Short-cycle tertiary,25 to 34 years,Both sexes,26.0
2011,Canada,data.Short-cycle tertiary,25 to 34 years,Both sexes,26.0
2012,Canada,data.Short-cycle tertiary,25 to 34 years,Both sexes,25.0
2013,Canada,data.Short-cycle tertiary,25 to 34 years,Both sexes,25.0
2014,Canada,data.Short-cycle tertiary,25 to 34 years,Both sexes,24.0
2015,Canada,data.Short-cycle tertiary,25 to 34 years,Both sexes,25.0
2016,Canada,data.Short-cycle tertiary,25 to 34 years,Both sexes,25.0
2017,Canada,data.Short-cycle tertiary,25 to 34 years,Both sexes,25.0
2018,Canada,data.Short-cycle tertiary,25 to 34 years,Both sexes,25.0
2019,Canada,data.Short-cycle tertiary,25 to 34 years,Both sexes,24.0
2020,Canada,data.Short-cycle tertiary,25 to 34 years,Both sexes,24.0
2010,Canada,data.Short-cycle tertiary,25 to 34 years,Male,22.0
2011,Canada,data.Short-cycle tertiary,25 to 34 years,Male,22.0
2012,Canada,data.Short-cycle tertiary,25 to 34 years,Male,22.0
2013,Canada,data.Short-cycle tertiary,25 to 34 years,Male,21.0
2014,Canada,data.Short-cycle tertiary,25 to 34 years,Male,21.0
2015,Canada,data.Short-cycle tertiary,25 to 34 years,Male,22.0
2016,Canada,data.Short-cycle tertiary,25 to 34 years,Male,22.0
2017,Canada,data.Short-cycle tertiary,25 to 34 years,Male,22.0
2018,Canada,data.Short-cycle tertiary,25 to 34 years,Male,22.0
2019,Canada,data.Short-cycle tertiary,25 to 34 years,Male,22.0
2020,Canada,data.Short-cycle tertiary,25 to 34 years,Male,21.0
2010,Canada,data.Short-cycle tertiary,25 to 34 years,Female,29.0
2011,Canada,data.Short-cycle tertiary,25 to 34 years,Female,29.0
2012,Canada,data.Short-cycle tertiary,25 to 34 years,Female,29.0
2013,Canada,data.Short-cycle tertiary,25 to 34 years,Female,28.0
2014,Canada,data.Short-cycle tertiary,25 to 34 years,Female,28.0
2015,Canada,data.Short-cycle tertiary,25 to 34 years,Female,28.0
2016,Canada,data.Short-cycle tertiary,25 to 34 years,Female,28.0
2017,Canada,data.Short-cycle tertiary,25 to 34 years,Female,27.0
2018,Canada,data.Short-cycle tertiary,25 to 34 years,Female,28.0
2019,Canada,data.Short-cycle tertiary,25 to 34 years,Female,27.0
2020,Canada,data.Short-cycle tertiary,25 to 34 years,Female,27.0
2010,Canada,data.Short-cycle tertiary,30 to 34 years,Both sexes,27.0
2011,Canada,data.Short-cycle tertiary,30 to 34 years,Both sexes,26.0
2012,Canada,data.Short-cycle tertiary,30 to 34 years,Both sexes,26.0
2013,Canada,data.Short-cycle tertiary,30 to 34 years,Both sexes,26.0
2014,Canada,data.Short-cycle tertiary,30 to 34 years,Both sexes,25.0
2015,Canada,data.Short-cycle tertiary,30 to 34 years,Both sexes,26.0
2016,Canada,data.Short-cycle tertiary,30 to 34 years,Both sexes,25.0
2017,Canada,data.Short-cycle tertiary,30 to 34 years,Both sexes,25.0
2018,Canada,data.Short-cycle tertiary,30 to 34 years,Both sexes,25.0
2019,Canada,data.Short-cycle tertiary,30 to 34 years,Both sexes,25.0
2020,Canada,data.Short-cycle tertiary,30 to 34 years,Both sexes,25.0
2010,Canada,data.Short-cycle tertiary,30 to 34 years,Male,23.0
2011,Canada,data.Short-cycle tertiary,30 to 34 years,Male,23.0
2012,Canada,data.Short-cycle tertiary,30 to 34 years,Male,22.0
2013,Canada,data.Short-cycle tertiary,30 to 34 years,Male,22.0
2014,Canada,data.Short-cycle tertiary,30 to 34 years,Male,22.0
2015,Canada,data.Short-cycle tertiary,30 to 34 years,Male,23.0
2016,Canada,data.Short-cycle tertiary,30 to 34 years,Male,22.0
2017,Canada,data.Short-cycle tertiary,30 to 34 years,Male,22.0
2018,Canada,data.Short-cycle tertiary,30 to 34 years,Male,22.0
2019,Canada,data.Short-cycle tertiary,30 to 34 years,Male,22.0
2020,Canada,data.Short-cycle tertiary,30 to 34 years,Male,21.0
2010,Canada,data.Short-cycle tertiary,30 to 34 years,Female,31.0
2011,Canada,data.Short-cycle tertiary,30 to 34 years,Female,30.0
2012,Canada,data.Short-cycle tertiary,30 to 34 years,Female,30.0
2013,Canada,data.Short-cycle tertiary,30 to 34 years,Female,29.0
2014,Canada,data.Short-cycle tertiary,30 to 34 years,Female,28.0
2015,Canada,data.Short-cycle tertiary,30 to 34 years,Female,29.0
2016,Canada,data.Short-cycle tertiary,30 to 34 years,Female,28.0
2017,Canada,data.Short-cycle tertiary,30 to 34 years,Female,28.0
2018,Canada,data.Short-cycle tertiary,30 to 34 years,Female,28.0
2019,Canada,data.Short-cycle tertiary,30 to 34 years,Female,28.0
2020,Canada,data.Short-cycle tertiary,30 to 34 years,Female,29.0
2010,Canada,data.Short-cycle tertiary,35 to 44 years,Both sexes,26.0
2011,Canada,data.Short-cycle tertiary,35 to 44 years,Both sexes,26.0
2012,Canada,data.Short-cycle tertiary,35 to 44 years,Both sexes,27.0
2013,Canada,data.Short-cycle tertiary,35 to 44 years,Both sexes,27.0
2014,Canada,data.Short-cycle tertiary,35 to 44 years,Both sexes,27.0
2015,Canada,data.Short-cycle tertiary,35 to 44 years,Both sexes,28.0
2016,Canada,data.Short-cycle tertiary,35 to 44 years,Both sexes,27.0
2017,Canada,data.Short-cycle tertiary,35 to 44 years,Both sexes,27.0
2018,Canada,data.Short-cycle tertiary,35 to 44 years,Both sexes,27.0
2019,Canada,data.Short-cycle tertiary,35 to 44 years,Both sexes,27.0
2020,Canada,data.Short-cycle tertiary,35 to 44 years,Both sexes,26.0
2010,Canada,data.Short-cycle tertiary,35 to 44 years,Male,22.0
2011,Canada,data.Short-cycle tertiary,35 to 44 years,Male,22.0
2012,Canada,data.Short-cycle tertiary,35 to 44 years,Male,23.0
2013,Canada,data.Short-cycle tertiary,35 to 44 years,Male,23.0
2014,Canada,data.Short-cycle tertiary,35 to 44 years,Male,24.0
2015,Canada,data.Short-cycle tertiary,35 to 44 years,Male,24.0
2016,Canada,data.Short-cycle tertiary,35 to 44 years,Male,24.0
2017,Canada,data.Short-cycle tertiary,35 to 44 years,Male,24.0
2018,Canada,data.Short-cycle tertiary,35 to 44 years,Male,23.0
2019,Canada,data.Short-cycle tertiary,35 to 44 years,Male,24.0
2020,Canada,data.Short-cycle tertiary,35 to 44 years,Male,23.0
2010,Canada,data.Short-cycle tertiary,35 to 44 years,Female,30.0
2011,Canada,data.Short-cycle tertiary,35 to 44 years,Female,31.0
2012,Canada,data.Short-cycle tertiary,35 to 44 years,Female,30.0
2013,Canada,data.Short-cycle tertiary,35 to 44 years,Female,31.0
2014,Canada,data.Short-cycle tertiary,35 to 44 years,Female,30.0
2015,Canada,data.Short-cycle tertiary,35 to 44 years,Female,31.0
2016,Canada,data.Short-cycle tertiary,35 to 44 years,Female,30.0
2017,Canada,data.Short-cycle tertiary,35 to 44 years,Female,31.0
2018,Canada,data.Short-cycle tertiary,35 to 44 years,Female,31.0
2019,Canada,data.Short-cycle tertiary,35 to 44 years,Female,30.0
2020,Canada,data.Short-cycle tertiary,35 to 44 years,Female,29.0
2010,Canada,data.Short-cycle tertiary,45 to 54 years,Both sexes,24.0
2011,Canada,data.Short-cycle tertiary,45 to 54 years,Both sexes,25.0
2012,Canada,data.Short-cycle tertiary,45 to 54 years,Both sexes,25.0
2013,Canada,data.Short-cycle tertiary,45 to 54 years,Both sexes,25.0
2014,Canada,data.Short-cycle tertiary,45 to 54 years,Both sexes,26.0
2015,Canada,data.Short-cycle tertiary,45 to 54 years,Both sexes,27.0
2016,Canada,data.Short-cycle tertiary,45 to 54 years,Both sexes,27.0
2017,Canada,data.Short-cycle tertiary,45 to 54 years,Both sexes,26.0
2018,Canada,data.Short-cycle tertiary,45 to 54 years,Both sexes,28.0
2019,Canada,data.Short-cycle tertiary,45 to 54 years,Both sexes,28.0
2020,Canada,data.Short-cycle tertiary,45 to 54 years,Both sexes,27.0
2010,Canada,data.Short-cycle tertiary,45 to 54 years,Male,20.0
2011,Canada,data.Short-cycle tertiary,45 to 54 years,Male,21.0
2012,Canada,data.Short-cycle tertiary,45 to 54 years,Male,21.0
2013,Canada,data.Short-cycle tertiary,45 to 54 years,Male,21.0
2014,Canada,data.Short-cycle tertiary,45 to 54 years,Male,22.0
2015,Canada,data.Short-cycle tertiary,45 to 54 years,Male,23.0
2016,Canada,data.Short-cycle tertiary,45 to 54 years,Male,22.0
2017,Canada,data.Short-cycle tertiary,45 to 54 years,Male,22.0
2018,Canada,data.Short-cycle tertiary,45 to 54 years,Male,23.0
2019,Canada,data.Short-cycle tertiary,45 to 54 years,Male,24.0
2020,Canada,data.Short-cycle tertiary,45 to 54 years,Male,23.0
2010,Canada,data.Short-cycle tertiary,45 to 54 years,Female,28.0
2011,Canada,data.Short-cycle tertiary,45 to 54 years,Female,30.0
2012,Canada,data.Short-cycle tertiary,45 to 54 years,Female,30.0
2013,Canada,data.Short-cycle tertiary,45 to 54 years,Female,30.0
2014,Canada,data.Short-cycle tertiary,45 to 54 years,Female,30.0
2015,Canada,data.Short-cycle tertiary,45 to 54 years,Female,31.0
2016,Canada,data.Short-cycle tertiary,45 to 54 years,Female,31.0
2017,Canada,data.Short-cycle tertiary,45 to 54 years,Female,31.0
2018,Canada,data.Short-cycle tertiary,45 to 54 years,Female,32.0
2019,Canada,data.Short-cycle tertiary,45 to 54 years,Female,32.0
2020,Canada,data.Short-cycle tertiary,45 to 54 years,Female,31.0
2010,Canada,data.Short-cycle tertiary,55 to 64 years,Both sexes,20.0
2011,Canada,data.Short-cycle tertiary,55 to 64 years,Both sexes,21.0
2012,Canada,data.Short-cycle tertiary,55 to 64 years,Both sexes,22.0
2013,Canada,data.Short-cycle tertiary,55 to 64 years,Both sexes,22.0
2014,Canada,data.Short-cycle tertiary,55 to 64 years,Both sexes,23.0
2015,Canada,data.Short-cycle tertiary,55 to 64 years,Both sexes,23.0
2016,Canada,data.Short-cycle tertiary,55 to 64 years,Both sexes,24.0
2017,Canada,data.Short-cycle tertiary,55 to 64 years,Both sexes,24.0
2018,Canada,data.Short-cycle tertiary,55 to 64 years,Both sexes,25.0
2019,Canada,data.Short-cycle tertiary,55 to 64 years,Both sexes,26.0
2020,Canada,data.Short-cycle tertiary,55 to 64 years,Both sexes,25.0
2010,Canada,data.Short-cycle tertiary,55 to 64 years,Male,17.0
2011,Canada,data.Short-cycle tertiary,55 to 64 years,Male,18.0
2012,Canada,data.Short-cycle tertiary,55 to 64 years,Male,18.0
2013,Canada,data.Short-cycle tertiary,55 to 64 years,Male,18.0
2014,Canada,data.Short-cycle tertiary,55 to 64 years,Male,19.0
2015,Canada,data.Short-cycle tertiary,55 to 64 years,Male,19.0
2016,Canada,data.Short-cycle tertiary,55 to 64 years,Male,20.0
2017,Canada,data.Short-cycle tertiary,55 to 64 years,Male,20.0
2018,Canada,data.Short-cycle tertiary,55 to 64 years,Male,21.0
2019,Canada,data.Short-cycle tertiary,55 to 64 years,Male,22.0
2020,Canada,data.Short-cycle tertiary,55 to 64 years,Male,21.0
2010,Canada,data.Short-cycle tertiary,55 to 64 years,Female,24.0
2011,Canada,data.Short-cycle tertiary,55 to 64 years,Female,24.0
2012,Canada,data.Short-cycle tertiary,55 to 64 years,Female,26.0
2013,Canada,data.Short-cycle tertiary,55 to 64 years,Female,26.0
2014,Canada,data.Short-cycle tertiary,55 to 64 years,Female,26.0
2015,Canada,data.Short-cycle tertiary,55 to 64 years,Female,27.0
2016,Canada,data.Short-cycle tertiary,55 to 64 years,Female,28.0
2017,Canada,data.Short-cycle tertiary,55 to 64 years,Female,28.0
2018,Canada,data.Short-cycle tertiary,55 to 64 years,Female,29.0
2019,Canada,data.Short-cycle tertiary,55 to 64 years,Female,30.0
2020,Canada,data.Short-cycle tertiary,55 to 64 years,Female,29.0
2010,Canada,data.Bachelor's level,"data.Total, 25 to 64 years",Both sexes,18.0
2011,Canada,data.Bachelor's level,"data.Total, 25 to 64 years",Both sexes,18.0
2012,Canada,data.Bachelor's level,"data.Total, 25 to 64 years",Both sexes,19.0
2013,Canada,data.Bachelor's level,"data.Total, 25 to 64 years",Both sexes,19.0
2014,Canada,data.Bachelor's level,"data.Total, 25 to 64 years",Both sexes,19.0
2015,Canada,data.Bachelor's level,"data.Total, 25 to 64 years",Both sexes,20.0
2016,Canada,data.Bachelor's level,"data.Total, 25 to 64 years",Both sexes,20.0
2017,Canada,data.Bachelor's level,"data.Total, 25 to 64 years",Both sexes,21.0
