Year,Age,Generation,Type of household,Ownership status,Income quintile,Main source of household income,Value
2021 Q4,,,,Owner without mortgage,,,62.8
2021 Q4,,,,Renter,,,61.5
2022 Q4,,,,Owner,,,214.2
2022 Q4,,,,Owner with mortgage,,,324.0
2022 Q4,,,,Owner without mortgage,,,59.3
2022 Q4,,,,Renter,,,58.8
2023 Q4,,,,Owner,,,207.5
2023 Q4,,,,Owner with mortgage,,,315.4
2023 Q4,,,,Owner without mortgage,,,56.7
2023 Q4,,,,Renter,,,58.0
2024 Q4,,,,Owner,,,201.7
2024 Q4,,,,Owner with mortgage,,,299.8
2024 Q4,,,,Owner without mortgage,,,56.5
2024 Q4,,,,Renter,,,57.3
2025 Q4,,,,Owner,,,204.3
2025 Q4,,,,Owner with mortgage,,,306.1
2025 Q4,,,,Owner without mortgage,,,56.4
2025 Q4,,,,Renter,,,56.4
2015 Q4,,,,,Lowest income quintile,,273.1
2015 Q4,,,,,Second income quintile,,197.3
2015 Q4,,,,,Third income quintile,,206.2
2015 Q4,,,,,Fourth income quintile,,185.8
2015 Q4,,,,,Highest income quintile,,144.2
2015 Q4,,,,,"Lowest income quintile, less than 35 years",,244.3
2015 Q4,,,,,"Lowest income quintile, 35 to 44 years",,393.5
2015 Q4,,,,,"Lowest income quintile, 45 to 54 years",,443.6
2015 Q4,,,,,"Lowest income quintile, 55 to 64 years",,321.6
2015 Q4,,,,,"Lowest income quintile, 65 years and over",,92.3
2015 Q4,,,,,"Second income quintile, less than 35 years",,218.4
2015 Q4,,,,,"Second income quintile, 35 to 44 years",,248.8
2015 Q4,,,,,"Second income quintile, 45 to 54 years",,288.2
2015 Q4,,,,,"Second income quintile, 55 to 64 years",,198.5
2015 Q4,,,,,"Second income quintile, 65 years and over",,66.2
2015 Q4,,,,,"Third income quintile, less than 35 years",,239.4
2015 Q4,,,,,"Third income quintile, 35 to 44 years",,268.1
2015 Q4,,,,,"Third income quintile, 45 to 54 years",,232.3
2015 Q4,,,,,"Third income quintile, 55 to 64 years",,229.1
2015 Q4,,,,,"Third income quintile, 65 years and over",,61.0
2015 Q4,,,,,"Fourth income quintile, less than 35 years",,205.7
2015 Q4,,,,,"Fourth income quintile, 35 to 44 years",,258.8
2015 Q4,,,,,"Fourth income quintile, 45 to 54 years",,184.7
2015 Q4,,,,,"Fourth income quintile, 55 to 64 years",,171.4
2015 Q4,,,,,"Fourth income quintile, 65 years and over",,81.9
2015 Q4,,,,,"Highest income quintile, less than 35 years",,165.9
2015 Q4,,,,,"Highest income quintile, 35 to 44 years",,205.4
2015 Q4,,,,,"Highest income quintile, 45 to 54 years",,160.3
2015 Q4,,,,,"Highest income quintile, 55 to 64 years",,127.8
2015 Q4,,,,,"Highest income quintile, 65 years and over",,64.9
2016 Q4,,,,,Lowest income quintile,,262.5
2016 Q4,,,,,Second income quintile,,198.5
2016 Q4,,,,,Third income quintile,,218.8
2016 Q4,,,,,Fourth income quintile,,197.2
2016 Q4,,,,,Highest income quintile,,154.8
2016 Q4,,,,,"Lowest income quintile, less than 35 years",,249.8
2016 Q4,,,,,"Lowest income quintile, 35 to 44 years",,329.7
2016 Q4,,,,,"Lowest income quintile, 45 to 54 years",,440.4
2016 Q4,,,,,"Lowest income quintile, 55 to 64 years",,320.3
2016 Q4,,,,,"Lowest income quintile, 65 years and over",,90.7
2016 Q4,,,,,"Second income quintile, less than 35 years",,214.8
2016 Q4,,,,,"Second income quintile, 35 to 44 years",,218.1
2016 Q4,,,,,"Second income quintile, 45 to 54 years",,317.6
2016 Q4,,,,,"Second income quintile, 55 to 64 years",,233.5
2016 Q4,,,,,"Second income quintile, 65 years and over",,63.0
2016 Q4,,,,,"Third income quintile, less than 35 years",,257.6
2016 Q4,,,,,"Third income quintile, 35 to 44 years",,299.6
2016 Q4,,,,,"Third income quintile, 45 to 54 years",,259.1
2016 Q4,,,,,"Third income quintile, 55 to 64 years",,222.0
2016 Q4,,,,,"Third income quintile, 65 years and over",,54.4
2016 Q4,,,,,"Fourth income quintile, less than 35 years",,209.5
2016 Q4,,,,,"Fourth income quintile, 35 to 44 years",,257.4
2016 Q4,,,,,"Fourth income quintile, 45 to 54 years",,200.8
2016 Q4,,,,,"Fourth income quintile, 55 to 64 years",,194.7
2016 Q4,,,,,"Fourth income quintile, 65 years and over",,101.5
2016 Q4,,,,,"Highest income quintile, less than 35 years",,169.8
2016 Q4,,,,,"Highest income quintile, 35 to 44 years",,223.5
2016 Q4,,,,,"Highest income quintile, 45 to 54 years",,172.9
2016 Q4,,,,,"Highest income quintile, 55 to 64 years",,141.9
2016 Q4,,,,,"Highest income quintile, 65 years and over",,71.3
2017 Q4,,,,,Lowest income quintile,,256.3
2017 Q4,,,,,Second income quintile,,203.5
2017 Q4,,,,,Third income quintile,,228.1
2017 Q4,,,,,Fourth income quintile,,193.6
2017 Q4,,,,,Highest income quintile,,154.2
2017 Q4,,,,,"Lowest income quintile, less than 35 years",,259.8
2017 Q4,,,,,"Lowest income quintile, 35 to 44 years",,279.4
2017 Q4,,,,,"Lowest income quintile, 45 to 54 years",,454.9
2017 Q4,,,,,"Lowest income quintile, 55 to 64 years",,329.2
2017 Q4,,,,,"Lowest income quintile, 65 years and over",,89.1
2017 Q4,,,,,"Second income quintile, less than 35 years",,207.0
2017 Q4,,,,,"Second income quintile, 35 to 44 years",,220.7
2017 Q4,,,,,"Second income quintile, 45 to 54 years",,358.6
2017 Q4,,,,,"Second income quintile, 55 to 64 years",,233.2
2017 Q4,,,,,"Second income quintile, 65 years and over",,66.4
2017 Q4,,,,,"Third income quintile, less than 35 years",,257.8
2017 Q4,,,,,"Third income quintile, 35 to 44 years",,306.3
2017 Q4,,,,,"Third income quintile, 45 to 54 years",,282.8
2017 Q4,,,,,"Third income quintile, 55 to 64 years",,238.7
2017 Q4,,,,,"Third income quintile, 65 years and over",,63.9
2017 Q4,,,,,"Fourth income quintile, less than 35 years",,204.2
2017 Q4,,,,,"Fourth income quintile, 35 to 44 years",,260.4
2017 Q4,,,,,"Fourth income quintile, 45 to 54 years",,201.8
2017 Q4,,,,,"Fourth income quintile, 55 to 64 years",,180.6
2017 Q4,,,,,"Fourth income quintile, 65 years and over",,93.0
2017 Q4,,,,,"Highest income quintile, less than 35 years",,171.4
2017 Q4,,,,,"Highest income quintile, 35 to 44 years",,210.3
2017 Q4,,,,,"Highest income quintile, 45 to 54 years",,166.0
2017 Q4,,,,,"Highest income quintile, 55 to 64 years",,152.6
2017 Q4,,,,,"Highest income quintile, 65 years and over",,73.6
2018 Q4,,,,,Lowest income quintile,,270.5
2018 Q4,,,,,Second income quintile,,207.8
2018 Q4,,,,,Third income quintile,,229.3
2018 Q4,,,,,Fourth income quintile,,197.3
2018 Q4,,,,,Highest income quintile,,152.6
2018 Q4,,,,,"Lowest income quintile, less than 35 years",,246.2
2018 Q4,,,,,"Lowest income quintile, 35 to 44 years",,368.5
2018 Q4,,,,,"Lowest income quintile, 45 to 54 years",,512.1
2018 Q4,,,,,"Lowest income quintile, 55 to 64 years",,325.1
2018 Q4,,,,,"Lowest income quintile, 65 years and over",,83.8
2018 Q4,,,,,"Second income quintile, less than 35 years",,189.0
2018 Q4,,,,,"Second income quintile, 35 to 44 years",,275.1
2018 Q4,,,,,"Second income quintile, 45 to 54 years",,347.6
2018 Q4,,,,,"Second income quintile, 55 to 64 years",,252.9
2018 Q4,,,,,"Second income quintile, 65 years and over",,61.7
2018 Q4,,,,,"Third income quintile, less than 35 years",,261.4
2018 Q4,,,,,"Third income quintile, 35 to 44 years",,313.5
2018 Q4,,,,,"Third income quintile, 45 to 54 years",,280.2
2018 Q4,,,,,"Third income quintile, 55 to 64 years",,220.0
2018 Q4,,,,,"Third income quintile, 65 years and over",,78.8
2018 Q4,,,,,"Fourth income quintile, less than 35 years",,214.4
2018 Q4,,,,,"Fourth income quintile, 35 to 44 years",,254.3
2018 Q4,,,,,"Fourth income quintile, 45 to 54 years",,220.4
2018 Q4,,,,,"Fourth income quintile, 55 to 64 years",,175.6
2018 Q4,,,,,"Fourth income quintile, 65 years and over",,89.9
2018 Q4,,,,,"Highest income quintile, less than 35 years",,160.6
2018 Q4,,,,,"Highest income quintile, 35 to 44 years",,202.6
2018 Q4,,,,,"Highest income quintile, 45 to 54 years",,185.5
2018 Q4,,,,,"Highest income quintile, 55 to 64 years",,142.4
2018 Q4,,,,,"Highest income quintile, 65 years and over",,68.1
2019 Q4,,,,,Lowest income quintile,,296.6
2019 Q4,,,,,Second income quintile,,206.5
2019 Q4,,,,,Third income quintile,,221.5
2019 Q4,,,,,Fourth income quintile,,197.6
2019 Q4,,,,,Highest income quintile,,149.3
2019 Q4,,,,,"Lowest income quintile, less than 35 years",,245.6
2019 Q4,,,,,"Lowest income quintile, 35 to 44 years",,453.6
2019 Q4,,,,,"Lowest income quintile, 45 to 54 years",,592.0
2019 Q4,,,,,"Lowest income quintile, 55 to 64 years",,325.4
2019 Q4,,,,,"Lowest income quintile, 65 years and over",,82.6
2019 Q4,,,,,"Second income quintile, less than 35 years",,191.9
2019 Q4,,,,,"Second income quintile, 35 to 44 years",,290.3
2019 Q4,,,,,"Second income quintile, 45 to 54 years",,325.5
2019 Q4,,,,,"Second income quintile, 55 to 64 years",,256.7
2019 Q4,,,,,"Second income quintile, 65 years and over",,55.3
2019 Q4,,,,,"Third income quintile, less than 35 years",,257.4
2019 Q4,,,,,"Third income quintile, 35 to 44 years",,321.9
2019 Q4,,,,,"Third income quintile, 45 to 54 years",,260.9
2019 Q4,,,,,"Third income quintile, 55 to 64 years",,193.7
2019 Q4,,,,,"Third income quintile, 65 years and over",,82.1
2019 Q4,,,,,"Fourth income quintile, less than 35 years",,219.6
2019 Q4,,,,,"Fourth income quintile, 35 to 44 years",,248.3
2019 Q4,,,,,"Fourth income quintile, 45 to 54 years",,229.6
2019 Q4,,,,,"Fourth income quintile, 55 to 64 years",,178.7
2019 Q4,,,,,"Fourth income quintile, 65 years and over",,84.8
2019 Q4,,,,,"Highest income quintile, less than 35 years",,151.1
2019 Q4,,,,,"Highest income quintile, 35 to 44 years",,199.5
2019 Q4,,,,,"Highest income quintile, 45 to 54 years",,197.2
2019 Q4,,,,,"Highest income quintile, 55 to 64 years",,130.0
2019 Q4,,,,,"Highest income quintile, 65 years and over",,64.2
2020 Q4,,,,,Lowest income quintile,,408.9
2020 Q4,,,,,Second income quintile,,166.8
2020 Q4,,,,,Third income quintile,,169.1
2020 Q4,,,,,Fourth income quintile,,183.2
2020 Q4,,,,,Highest income quintile,,144.2
2020 Q4,,,,,"Lowest income quintile, less than 35 years",,366.1
2020 Q4,,,,,"Lowest income quintile, 35 to 44 years",,633.7
2020 Q4,,,,,"Lowest income quintile, 45 to 54 years",,856.8
2020 Q4,,,,,"Lowest income quintile, 55 to 64 years",,539.3
2020 Q4,,,,,"Lowest income quintile, 65 years and over",,98.6
2020 Q4,,,,,"Second income quintile, less than 35 years",,179.1
2020 Q4,,,,,"Second income quintile, 35 to 44 years",,194.3
2020 Q4,,,,,"Second income quintile, 45 to 54 years",,302.8
2020 Q4,,,,,"Second income quintile, 55 to 64 years",,176.3
2020 Q4,,,,,"Second income quintile, 65 years and over",,62.2
2020 Q4,,,,,"Third income quintile, less than 35 years",,145.7
2020 Q4,,,,,"Third income quintile, 35 to 44 years",,211.0
2020 Q4,,,,,"Third income quintile, 45 to 54 years",,205.5
2020 Q4,,,,,"Third income quintile, 55 to 64 years",,225.2
2020 Q4,,,,,"Third income quintile, 65 years and over",,76.1
2020 Q4,,,,,"Fourth income quintile, less than 35 years",,228.9
2020 Q4,,,,,"Fourth income quintile, 35 to 44 years",,224.3
2020 Q4,,,,,"Fourth income quintile, 45 to 54 years",,208.7
2020 Q4,,,,,"Fourth income quintile, 55 to 64 years",,136.8
2020 Q4,,,,,"Fourth income quintile, 65 years and over",,90.0
2020 Q4,,,,,"Highest income quintile, less than 35 years",,154.7
2020 Q4,,,,,"Highest income quintile, 35 to 44 years",,219.2
2020 Q4,,,,,"Highest income quintile, 45 to 54 years",,150.3
2020 Q4,,,,,"Highest income quintile, 55 to 64 years",,131.7
2020 Q4,,,,,"Highest income quintile, 65 years and over",,56.9
2021 Q4,,,,,Lowest income quintile,,403.5
2021 Q4,,,,,Second income quintile,,161.0
2021 Q4,,,,,Third income quintile,,168.0
2021 Q4,,,,,Fourth income quintile,,191.3
2021 Q4,,,,,Highest income quintile,,159.3
2021 Q4,,,,,"Lowest income quintile, less than 35 years",,364.1
2021 Q4,,,,,"Lowest income quintile, 35 to 44 years",,572.3
2021 Q4,,,,,"Lowest income quintile, 45 to 54 years",,954.7
2021 Q4,,,,,"Lowest income quintile, 55 to 64 years",,622.0
2021 Q4,,,,,"Lowest income quintile, 65 years and over",,101.3
2021 Q4,,,,,"Second income quintile, less than 35 years",,116.4
2021 Q4,,,,,"Second income quintile, 35 to 44 years",,218.6
2021 Q4,,,,,"Second income quintile, 45 to 54 years",,279.8
2021 Q4,,,,,"Second income quintile, 55 to 64 years",,160.7
2021 Q4,,,,,"Second income quintile, 65 years and over",,81.0
2021 Q4,,,,,"Third income quintile, less than 35 years",,177.6
2021 Q4,,,,,"Third income quintile, 35 to 44 years",,208.8
2021 Q4,,,,,"Third income quintile, 45 to 54 years",,192.1
2021 Q4,,,,,"Third income quintile, 55 to 64 years",,184.6
2021 Q4,,,,,"Third income quintile, 65 years and over",,75.2
2021 Q4,,,,,"Fourth income quintile, less than 35 years",,217.7
2021 Q4,,,,,"Fourth income quintile, 35 to 44 years",,235.2
2021 Q4,,,,,"Fourth income quintile, 45 to 54 years",,210.2
2021 Q4,,,,,"Fourth income quintile, 55 to 64 years",,161.7
2021 Q4,,,,,"Fourth income quintile, 65 years and over",,98.9
2021 Q4,,,,,"Highest income quintile, less than 35 years",,178.9
2021 Q4,,,,,"Highest income quintile, 35 to 44 years",,242.4
2021 Q4,,,,,"Highest income quintile, 45 to 54 years",,167.6
2021 Q4,,,,,"Highest income quintile, 55 to 64 years",,138.5
2021 Q4,,,,,"Highest income quintile, 65 years and over",,55.5
2022 Q4,,,,,Lowest income quintile,,431.1
2022 Q4,,,,,Second income quintile,,172.1
2022 Q4,,,,,Third income quintile,,163.9
2022 Q4,,,,,Fourth income quintile,,192.5
2022 Q4,,,,,Highest income quintile,,142.4
2022 Q4,,,,,"Lowest income quintile, less than 35 years",,364.8
2022 Q4,,,,,"Lowest income quintile, 35 to 44 years",,582.4
2022 Q4,,,,,"Lowest income quintile, 45 to 54 years",,946.8
2022 Q4,,,,,"Lowest income quintile, 55 to 64 years",,543.6
2022 Q4,,,,,"Lowest income quintile, 65 years and over",,127.6
2022 Q4,,,,,"Second income quintile, less than 35 years",,168.2
2022 Q4,,,,,"Second income quintile, 35 to 44 years",,248.3
2022 Q4,,,,,"Second income quintile, 45 to 54 years",,310.9
2022 Q4,,,,,"Second income quintile, 55 to 64 years",,151.8
2022 Q4,,,,,"Second income quintile, 65 years and over",,70.1
2022 Q4,,,,,"Third income quintile, less than 35 years",,169.3
2022 Q4,,,,,"Third income quintile, 35 to 44 years",,224.1
2022 Q4,,,,,"Third income quintile, 45 to 54 years",,186.0
2022 Q4,,,,,"Third income quintile, 55 to 64 years",,197.3
2022 Q4,,,,,"Third income quintile, 65 years and over",,64.5
2022 Q4,,,,,"Fourth income quintile, less than 35 years",,220.7
2022 Q4,,,,,"Fourth income quintile, 35 to 44 years",,281.1
2022 Q4,,,,,"Fourth income quintile, 45 to 54 years",,204.4
2022 Q4,,,,,"Fourth income quintile, 55 to 64 years",,147.8
2022 Q4,,,,,"Fourth income quintile, 65 years and over",,78.6
2022 Q4,,,,,"Highest income quintile, less than 35 years",,157.9
2022 Q4,,,,,"Highest income quintile, 35 to 44 years",,209.6
2022 Q4,,,,,"Highest income quintile, 45 to 54 years",,159.0
2022 Q4,,,,,"Highest income quintile, 55 to 64 years",,130.0
2022 Q4,,,,,"Highest income quintile, 65 years and over",,50.7
2023 Q4,,,,,Lowest income quintile,,498.3
2023 Q4,,,,,Second income quintile,,176.6
2023 Q4,,,,,Third income quintile,,164.5
2023 Q4,,,,,Fourth income quintile,,183.6
2023 Q4,,,,,Highest income quintile,,130.8
2023 Q4,,,,,"Lowest income quintile, less than 35 years",,468.1
2023 Q4,,,,,"Lowest income quintile, 35 to 44 years",,637.4
2023 Q4,,,,,"Lowest income quintile, 45 to 54 years",,1104.3
2023 Q4,,,,,"Lowest income quintile, 55 to 64 years",,655.5
2023 Q4,,,,,"Lowest income quintile, 65 years and over",,129.9
2023 Q4,,,,,"Second income quintile, less than 35 years",,131.3
2023 Q4,,,,,"Second income quintile, 35 to 44 years",,277.7
2023 Q4,,,,,"Second income quintile, 45 to 54 years",,284.2
2023 Q4,,,,,"Second income quintile, 55 to 64 years",,222.7
2023 Q4,,,,,"Second income quintile, 65 years and over",,72.7
2023 Q4,,,,,"Third income quintile, less than 35 years",,168.0
2023 Q4,,,,,"Third income quintile, 35 to 44 years",,224.4
2023 Q4,,,,,"Third income quintile, 45 to 54 years",,197.2
2023 Q4,,,,,"Third income quintile, 55 to 64 years",,189.1
2023 Q4,,,,,"Third income quintile, 65 years and over",,64.9
2023 Q4,,,,,"Fourth income quintile, less than 35 years",,190.9
2023 Q4,,,,,"Fourth income quintile, 35 to 44 years",,251.0
2023 Q4,,,,,"Fourth income quintile, 45 to 54 years",,224.8
2023 Q4,,,,,"Fourth income quintile, 55 to 64 years",,148.8
2023 Q4,,,,,"Fourth income quintile, 65 years and over",,73.8
2023 Q4,,,,,"Highest income quintile, less than 35 years",,135.3
2023 Q4,,,,,"Highest income quintile, 35 to 44 years",,210.5
2023 Q4,,,,,"Highest income quintile, 45 to 54 years",,141.3
2023 Q4,,,,,"Highest income quintile, 55 to 64 years",,125.7
2023 Q4,,,,,"Highest income quintile, 65 years and over",,49.6
2024 Q4,,,,,Lowest income quintile,,450.0
2024 Q4,,,,,Second income quintile,,170.1
2024 Q4,,,,,Third income quintile,,165.0
2024 Q4,,,,,Fourth income quintile,,179.7
2024 Q4,,,,,Highest income quintile,,129.2
2024 Q4,,,,,"Lowest income quintile, less than 35 years",,426.9
2024 Q4,,,,,"Lowest income quintile, 35 to 44 years",,582.2
2024 Q4,,,,,"Lowest income quintile, 45 to 54 years",,919.3
2024 Q4,,,,,"Lowest income quintile, 55 to 64 years",,621.1
2024 Q4,,,,,"Lowest income quintile, 65 years and over",,123.9
2024 Q4,,,,,"Second income quintile, less than 35 years",,120.4
2024 Q4,,,,,"Second income quintile, 35 to 44 years",,236.0
2024 Q4,,,,,"Second income quintile, 45 to 54 years",,287.0
2024 Q4,,,,,"Second income quintile, 55 to 64 years",,227.0
2024 Q4,,,,,"Second income quintile, 65 years and over",,76.4
2024 Q4,,,,,"Third income quintile, less than 35 years",,162.9
2024 Q4,,,,,"Third income quintile, 35 to 44 years",,219.9
2024 Q4,,,,,"Third income quintile, 45 to 54 years",,203.5
2024 Q4,,,,,"Third income quintile, 55 to 64 years",,186.8
2024 Q4,,,,,"Third income quintile, 65 years and over",,68.0
2024 Q4,,,,,"Fourth income quintile, less than 35 years",,174.4
2024 Q4,,,,,"Fourth income quintile, 35 to 44 years",,250.1
2024 Q4,,,,,"Fourth income quintile, 45 to 54 years",,217.3
2024 Q4,,,,,"Fourth income quintile, 55 to 64 years",,162.9
2024 Q4,,,,,"Fourth income quintile, 65 years and over",,71.6
2024 Q4,,,,,"Highest income quintile, less than 35 years",,139.9
2024 Q4,,,,,"Highest income quintile, 35 to 44 years",,207.3
2024 Q4,,,,,"Highest income quintile, 45 to 54 years",,141.8
2024 Q4,,,,,"Highest income quintile, 55 to 64 years",,127.7
2024 Q4,,,,,"Highest income quintile, 65 years and over",,47.1
2025 Q4,,,,,Lowest income quintile,,433.6
2025 Q4,,,,,Second income quintile,,172.7
2025 Q4,,,,,Third income quintile,,165.6
2025 Q4,,,,,Fourth income quintile,,179.8
2025 Q4,,,,,Highest income quintile,,134.7
2025 Q4,,,,,"Lowest income quintile, less than 35 years",,423.9
2025 Q4,,,,,"Lowest income quintile, 35 to 44 years",,626.6
2025 Q4,,,,,"Lowest income quintile, 45 to 54 years",,902.0
2025 Q4,,,,,"Lowest income quintile, 55 to 64 years",,612.5
2025 Q4,,,,,"Lowest income quintile, 65 years and over",,110.6
2025 Q4,,,,,"Second income quintile, less than 35 years",,132.5
2025 Q4,,,,,"Second income quintile, 35 to 44 years",,237.5
2025 Q4,,,,,"Second income quintile, 45 to 54 years",,295.9
2025 Q4,,,,,"Second income quintile, 55 to 64 years",,213.0
2025 Q4,,,,,"Second income quintile, 65 years and over",,77.2
2025 Q4,,,,,"Third income quintile, less than 35 years",,151.6
