Year,data.Geography,data.Selected diseases,data.Age,Value
2017,data.Quebec,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,71.3
2021,data.Quebec,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,75.8
2017,data.Saskatchewan,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,75.1
2021,data.Saskatchewan,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,80.6
2017,data.Yukon,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,69.3
2021,data.Yukon,data.Haemophilus influenzae type B (Hib),data.by 2 years of age,64.0
2017,data.Canada,data.Haemophilus influenzae type B (Hib),data.by 7 years of age,83.9
2019,data.Canada,data.Haemophilus influenzae type B (Hib),data.by 7 years of age,80.0
2021,data.Canada,data.Haemophilus influenzae type B (Hib),data.by 7 years of age,78.5
2017,data.Canada,data.Hepatitis B,data.by 14 years of age,83.1
2019,data.Canada,data.Hepatitis B,data.by 14 years of age,84.5
2021,data.Canada,data.Hepatitis B,data.by 14 years of age,89.0
2017,data.British Columbia,data.Hepatitis B,data.by 2 years of age,69.7
2021,data.British Columbia,data.Hepatitis B,data.by 2 years of age,87.1
2017,data.Canada,data.Hepatitis B,data.by 2 years of age,74.1
2019,data.Canada,data.Hepatitis B,data.by 2 years of age,83.6
2021,data.Canada,data.Hepatitis B,data.by 2 years of age,82.6
2017,data.New Brunswick,data.Hepatitis B,data.by 2 years of age,81.0
2021,data.New Brunswick,data.Hepatitis B,data.by 2 years of age,79.8
2017,data.Northwest Territories,data.Hepatitis B,data.by 2 years of age,80.5
2021,data.Northwest Territories,data.Hepatitis B,data.by 2 years of age,81.0
2017,data.Nunavut,data.Hepatitis B,data.by 2 years of age,70.8
2021,data.Nunavut,data.Hepatitis B,data.by 2 years of age,32.5
2017,data.Prince Edward Island,data.Hepatitis B,data.by 2 years of age,86.7
2021,data.Prince Edward Island,data.Hepatitis B,data.by 2 years of age,97.7
2017,data.Quebec,data.Hepatitis B,data.by 2 years of age,75.7
2021,data.Quebec,data.Hepatitis B,data.by 2 years of age,80.6
2017,data.Yukon,data.Hepatitis B,data.by 2 years of age,62.8
2021,data.Yukon,data.Hepatitis B,data.by 2 years of age,71.3
2021,data.Canada,data.Hepatitis B,data.by 7 years of age,78.4
2019,data.Canada,data.Human Papillomavirus (HPV),data.by 14 years of age,80.2
2021,data.Canada,data.Human Papillomavirus (HPV),data.by 14 years of age,84.0
2017,data.Alberta,data.Measles,data.by 2 years of age,91.7
2021,data.Alberta,data.Measles,data.by 2 years of age,88.4
2017,data.British Columbia,data.Measles,data.by 2 years of age,86.1
2021,data.British Columbia,data.Measles,data.by 2 years of age,91.3
2017,data.Canada,data.Measles,data.by 2 years of age,90.2
2019,data.Canada,data.Measles,data.by 2 years of age,90.2
2021,data.Canada,data.Measles,data.by 2 years of age,91.6
2017,data.Manitoba,data.Measles,data.by 2 years of age,86.1
2021,data.Manitoba,data.Measles,data.by 2 years of age,87.1
2017,data.New Brunswick,data.Measles,data.by 2 years of age,92.0
2021,data.New Brunswick,data.Measles,data.by 2 years of age,94.3
2017,data.Newfoundland and Labrador,data.Measles,data.by 2 years of age,96.9
2021,data.Newfoundland and Labrador,data.Measles,data.by 2 years of age,97.0
2017,data.Northwest Territories,data.Measles,data.by 2 years of age,91.8
2021,data.Northwest Territories,data.Measles,data.by 2 years of age,90.8
2017,data.Nova Scotia,data.Measles,data.by 2 years of age,87.1
2021,data.Nova Scotia,data.Measles,data.by 2 years of age,93.6
2017,data.Nunavut,data.Measles,data.by 2 years of age,88.7
2021,data.Nunavut,data.Measles,data.by 2 years of age,34.6
2017,data.Ontario,data.Measles,data.by 2 years of age,90.9
2021,data.Ontario,data.Measles,data.by 2 years of age,92.0
2017,data.Prince Edward Island,data.Measles,data.by 2 years of age,93.2
2021,data.Prince Edward Island,data.Measles,data.by 2 years of age,98.0
2017,data.Quebec,data.Measles,data.by 2 years of age,91.0
2021,data.Quebec,data.Measles,data.by 2 years of age,93.2
2017,data.Saskatchewan,data.Measles,data.by 2 years of age,89.5
2021,data.Saskatchewan,data.Measles,data.by 2 years of age,91.4
2017,data.Yukon,data.Measles,data.by 2 years of age,91.0
2021,data.Yukon,data.Measles,data.by 2 years of age,85.3
2017,data.Canada,data.Measles,data.by 7 years of age,87.0
2019,data.Canada,data.Measles,data.by 7 years of age,83.3
2021,data.Canada,data.Measles,data.by 7 years of age,79.2
2019,data.Canada,data.Meningococcal type C,data.by 17 years of age,89.3
2021,data.Canada,data.Meningococcal type C,data.by 17 years of age,89.0
2017,data.Alberta,data.Meningococcal type C,data.by 2 years of age,91.0
2021,data.Alberta,data.Meningococcal type C,data.by 2 years of age,89.8
2017,data.British Columbia,data.Meningococcal type C,data.by 2 years of age,89.3
2021,data.British Columbia,data.Meningococcal type C,data.by 2 years of age,94.2
2017,data.Canada,data.Meningococcal type C,data.by 2 years of age,87.6
2019,data.Canada,data.Meningococcal type C,data.by 2 years of age,91.1
2021,data.Canada,data.Meningococcal type C,data.by 2 years of age,90.5
2017,data.Manitoba,data.Meningococcal type C,data.by 2 years of age,82.2
2021,data.Manitoba,data.Meningococcal type C,data.by 2 years of age,88.8
2017,data.New Brunswick,data.Meningococcal type C,data.by 2 years of age,88.3
2021,data.New Brunswick,data.Meningococcal type C,data.by 2 years of age,90.6
2017,data.Newfoundland and Labrador,data.Meningococcal type C,data.by 2 years of age,93.2
2021,data.Newfoundland and Labrador,data.Meningococcal type C,data.by 2 years of age,93.6
2017,data.Northwest Territories,data.Meningococcal type C,data.by 2 years of age,95.2
2021,data.Northwest Territories,data.Meningococcal type C,data.by 2 years of age,88.8
2017,data.Nova Scotia,data.Meningococcal type C,data.by 2 years of age,81.8
2021,data.Nova Scotia,data.Meningococcal type C,data.by 2 years of age,89.4
2017,data.Nunavut,data.Meningococcal type C,data.by 2 years of age,80.1
2021,data.Nunavut,data.Meningococcal type C,data.by 2 years of age,34.5
2017,data.Ontario,data.Meningococcal type C,data.by 2 years of age,85.7
2021,data.Ontario,data.Meningococcal type C,data.by 2 years of age,90.1
2017,data.Prince Edward Island,data.Meningococcal type C,data.by 2 years of age,92.7
2017,data.Quebec,data.Meningococcal type C,data.by 2 years of age,89.9
2021,data.Quebec,data.Meningococcal type C,data.by 2 years of age,90.2
2017,data.Saskatchewan,data.Meningococcal type C,data.by 2 years of age,81.1
2021,data.Saskatchewan,data.Meningococcal type C,data.by 2 years of age,89.1
2017,data.Yukon,data.Meningococcal type C,data.by 2 years of age,93.7
2021,data.Yukon,data.Meningococcal type C,data.by 2 years of age,90.0
2017,data.Alberta,data.Mumps,data.by 2 years of age,91.4
2021,data.Alberta,data.Mumps,data.by 2 years of age,88.4
2017,data.British Columbia,data.Mumps,data.by 2 years of age,86.1
2021,data.British Columbia,data.Mumps,data.by 2 years of age,91.3
2017,data.Canada,data.Mumps,data.by 2 years of age,89.9
2019,data.Canada,data.Mumps,data.by 2 years of age,89.2
2021,data.Canada,data.Mumps,data.by 2 years of age,91.5
2017,data.Manitoba,data.Mumps,data.by 2 years of age,85.9
2021,data.Manitoba,data.Mumps,data.by 2 years of age,86.6
2017,data.New Brunswick,data.Mumps,data.by 2 years of age,92.0
2021,data.New Brunswick,data.Mumps,data.by 2 years of age,94.3
2017,data.Newfoundland and Labrador,data.Mumps,data.by 2 years of age,96.9
2021,data.Newfoundland and Labrador,data.Mumps,data.by 2 years of age,97.0
2017,data.Northwest Territories,data.Mumps,data.by 2 years of age,91.8
2021,data.Northwest Territories,data.Mumps,data.by 2 years of age,89.5
2017,data.Nova Scotia,data.Mumps,data.by 2 years of age,86.8
2021,data.Nova Scotia,data.Mumps,data.by 2 years of age,93.6
2017,data.Nunavut,data.Mumps,data.by 2 years of age,88.7
2021,data.Nunavut,data.Mumps,data.by 2 years of age,34.6
2017,data.Ontario,data.Mumps,data.by 2 years of age,90.5
2021,data.Ontario,data.Mumps,data.by 2 years of age,91.7
2017,data.Prince Edward Island,data.Mumps,data.by 2 years of age,92.6
2021,data.Prince Edward Island,data.Mumps,data.by 2 years of age,98.0
2017,data.Quebec,data.Mumps,data.by 2 years of age,90.5
2021,data.Quebec,data.Mumps,data.by 2 years of age,93.2
2017,data.Saskatchewan,data.Mumps,data.by 2 years of age,89.5
2021,data.Saskatchewan,data.Mumps,data.by 2 years of age,91.0
2017,data.Yukon,data.Mumps,data.by 2 years of age,91.0
2021,data.Yukon,data.Mumps,data.by 2 years of age,85.3
2017,data.Canada,data.Mumps,data.by 7 years of age,86.4
2019,data.Canada,data.Mumps,data.by 7 years of age,83.1
2021,data.Canada,data.Mumps,data.by 7 years of age,79.5
2017,data.Alberta,data.Pertussis (whooping cough),data.by 2 years of age,79.9
2021,data.Alberta,data.Pertussis (whooping cough),data.by 2 years of age,74.6
2017,data.British Columbia,data.Pertussis (whooping cough),data.by 2 years of age,76.6
2021,data.British Columbia,data.Pertussis (whooping cough),data.by 2 years of age,83.6
2017,data.Canada,data.Pertussis (whooping cough),data.by 2 years of age,75.8
2019,data.Canada,data.Pertussis (whooping cough),data.by 2 years of age,77.5
2021,data.Canada,data.Pertussis (whooping cough),data.by 2 years of age,77.1
2017,data.Manitoba,data.Pertussis (whooping cough),data.by 2 years of age,67.5
2021,data.Manitoba,data.Pertussis (whooping cough),data.by 2 years of age,75.5
2017,data.New Brunswick,data.Pertussis (whooping cough),data.by 2 years of age,75.5
2021,data.New Brunswick,data.Pertussis (whooping cough),data.by 2 years of age,78.1
2017,data.Newfoundland and Labrador,data.Pertussis (whooping cough),data.by 2 years of age,88.9
2021,data.Newfoundland and Labrador,data.Pertussis (whooping cough),data.by 2 years of age,80.0
2017,data.Northwest Territories,data.Pertussis (whooping cough),data.by 2 years of age,76.7
2021,data.Northwest Territories,data.Pertussis (whooping cough),data.by 2 years of age,66.0
2017,data.Nova Scotia,data.Pertussis (whooping cough),data.by 2 years of age,73.8
2021,data.Nova Scotia,data.Pertussis (whooping cough),data.by 2 years of age,70.3
2017,data.Nunavut,data.Pertussis (whooping cough),data.by 2 years of age,63.8
2021,data.Nunavut,data.Pertussis (whooping cough),data.by 2 years of age,24.1
2017,data.Ontario,data.Pertussis (whooping cough),data.by 2 years of age,75.7
2021,data.Ontario,data.Pertussis (whooping cough),data.by 2 years of age,76.7
2017,data.Prince Edward Island,data.Pertussis (whooping cough),data.by 2 years of age,81.2
2021,data.Prince Edward Island,data.Pertussis (whooping cough),data.by 2 years of age,95.8
2017,data.Quebec,data.Pertussis (whooping cough),data.by 2 years of age,73.7
2021,data.Quebec,data.Pertussis (whooping cough),data.by 2 years of age,76.2
2017,data.Saskatchewan,data.Pertussis (whooping cough),data.by 2 years of age,78.6
2021,data.Saskatchewan,data.Pertussis (whooping cough),data.by 2 years of age,80.9
2017,data.Yukon,data.Pertussis (whooping cough),data.by 2 years of age,70.7
2021,data.Yukon,data.Pertussis (whooping cough),data.by 2 years of age,66.6
2017,data.Canada,data.Pertussis (whooping cough),data.by 7 years of age,80.5
2019,data.Canada,data.Pertussis (whooping cough),data.by 7 years of age,78.1
2021,data.Canada,data.Pertussis (whooping cough),data.by 7 years of age,71.9
2017,data.Alberta,data.Pneumococcal,data.by 2 years of age,82.6
2021,data.Alberta,data.Pneumococcal,data.by 2 years of age,81.3
2017,data.British Columbia,data.Pneumococcal,data.by 2 years of age,80.3
2021,data.British Columbia,data.Pneumococcal,data.by 2 years of age,88.2
2017,data.Canada,data.Pneumococcal,data.by 2 years of age,81.4
2019,data.Canada,data.Pneumococcal,data.by 2 years of age,84.4
2021,data.Canada,data.Pneumococcal,data.by 2 years of age,85.1
2017,data.Manitoba,data.Pneumococcal,data.by 2 years of age,74.6
2021,data.Manitoba,data.Pneumococcal,data.by 2 years of age,81.7
2017,data.New Brunswick,data.Pneumococcal,data.by 2 years of age,82.2
2021,data.New Brunswick,data.Pneumococcal,data.by 2 years of age,86.7
2017,data.Newfoundland and Labrador,data.Pneumococcal,data.by 2 years of age,90.2
2021,data.Newfoundland and Labrador,data.Pneumococcal,data.by 2 years of age,87.8
2017,data.Northwest Territories,data.Pneumococcal,data.by 2 years of age,63.8
2021,data.Northwest Territories,data.Pneumococcal,data.by 2 years of age,59.9
2017,data.Nova Scotia,data.Pneumococcal,data.by 2 years of age,80.4
2021,data.Nova Scotia,data.Pneumococcal,data.by 2 years of age,79.0
2017,data.Nunavut,data.Pneumococcal,data.by 2 years of age,62.4
2021,data.Nunavut,data.Pneumococcal,data.by 2 years of age,21.0
2017,data.Ontario,data.Pneumococcal,data.by 2 years of age,80.5
2021,data.Ontario,data.Pneumococcal,data.by 2 years of age,86.1
2017,data.Prince Edward Island,data.Pneumococcal,data.by 2 years of age,89.5
2021,data.Prince Edward Island,data.Pneumococcal,data.by 2 years of age,97.4
2017,data.Quebec,data.Pneumococcal,data.by 2 years of age,83.3
2021,data.Quebec,data.Pneumococcal,data.by 2 years of age,85.3
2017,data.Saskatchewan,data.Pneumococcal,data.by 2 years of age,83.7
2021,data.Saskatchewan,data.Pneumococcal,data.by 2 years of age,83.7
2017,data.Yukon,data.Pneumococcal,data.by 2 years of age,83.2
2021,data.Yukon,data.Pneumococcal,data.by 2 years of age,73.2
2017,data.Alberta,data.Polio,data.by 2 years of age,93.0
2021,data.Alberta,data.Polio,data.by 2 years of age,85.7
2017,data.British Columbia,data.Polio,data.by 2 years of age,87.5
2021,data.British Columbia,data.Polio,data.by 2 years of age,92.6
2017,data.Canada,data.Polio,data.by 2 years of age,90.7
2019,data.Canada,data.Polio,data.by 2 years of age,91.9
2021,data.Canada,data.Polio,data.by 2 years of age,91.8
2017,data.Manitoba,data.Polio,data.by 2 years of age,85.6
2021,data.Manitoba,data.Polio,data.by 2 years of age,87.9
2017,data.New Brunswick,data.Polio,data.by 2 years of age,90.1
2021,data.New Brunswick,data.Polio,data.by 2 years of age,89.6
2017,data.Newfoundland and Labrador,data.Polio,data.by 2 years of age,96.9
2021,data.Newfoundland and Labrador,data.Polio,data.by 2 years of age,95.4
2017,data.Northwest Territories,data.Polio,data.by 2 years of age,91.1
2021,data.Northwest Territories,data.Polio,data.by 2 years of age,80.4
2017,data.Nova Scotia,data.Polio,data.by 2 years of age,93.5
2021,data.Nova Scotia,data.Polio,data.by 2 years of age,87.9
2017,data.Nunavut,data.Polio,data.by 2 years of age,82.1
2021,data.Nunavut,data.Polio,data.by 2 years of age,33.5
2017,data.Ontario,data.Polio,data.by 2 years of age,91.0
2021,data.Ontario,data.Polio,data.by 2 years of age,94.4
2017,data.Prince Edward Island,data.Polio,data.by 2 years of age,93.9
2017,data.Quebec,data.Polio,data.by 2 years of age,90.9
2021,data.Quebec,data.Polio,data.by 2 years of age,91.7
2017,data.Saskatchewan,data.Polio,data.by 2 years of age,90.0
2021,data.Saskatchewan,data.Polio,data.by 2 years of age,91.0
2017,data.Yukon,data.Polio,data.by 2 years of age,93.7
2021,data.Yukon,data.Polio,data.by 2 years of age,86.3
2017,data.Canada,data.Polio,data.by 7 years of age,92.3
2019,data.Canada,data.Polio,data.by 7 years of age,89.3
2021,data.Canada,data.Polio,data.by 7 years of age,87.3
2021,data.Alberta,data.Rotavirus,data.by 2 years of age,84.8
2017,data.British Columbia,data.Rotavirus,data.by 2 years of age,80.2
2021,data.British Columbia,data.Rotavirus,data.by 2 years of age,91.2
2017,data.Canada,data.Rotavirus,data.by 2 years of age,78.8
2019,data.Canada,data.Rotavirus,data.by 2 years of age,84.5
2021,data.Canada,data.Rotavirus,data.by 2 years of age,85.6
2017,data.Manitoba,data.Rotavirus,data.by 2 years of age,68.4
2021,data.Manitoba,data.Rotavirus,data.by 2 years of age,82.2
2021,data.New Brunswick,data.Rotavirus,data.by 2 years of age,66.6
2021,data.Newfoundland and Labrador,data.Rotavirus,data.by 2 years of age,93.3
2017,data.Northwest Territories,data.Rotavirus,data.by 2 years of age,66.3
2021,data.Northwest Territories,data.Rotavirus,data.by 2 years of age,75.6
2017,data.Ontario,data.Rotavirus,data.by 2 years of age,77.7
2021,data.Ontario,data.Rotavirus,data.by 2 years of age,84.7
2017,data.Prince Edward Island,data.Rotavirus,data.by 2 years of age,85.9
2021,data.Prince Edward Island,data.Rotavirus,data.by 2 years of age,96.4
2017,data.Quebec,data.Rotavirus,data.by 2 years of age,81.0
2021,data.Quebec,data.Rotavirus,data.by 2 years of age,86.0
2017,data.Saskatchewan,data.Rotavirus,data.by 2 years of age,84.0
2021,data.Saskatchewan,data.Rotavirus,data.by 2 years of age,88.2
2017,data.Yukon,data.Rotavirus,data.by 2 years of age,76.6
2021,data.Yukon,data.Rotavirus,data.by 2 years of age,86.7
2017,data.Alberta,data.Rubella,data.by 2 years of age,91.4
2021,data.Alberta,data.Rubella,data.by 2 years of age,88.4
2017,data.British Columbia,data.Rubella,data.by 2 years of age,86.1
2021,data.British Columbia,data.Rubella,data.by 2 years of age,91.3
2017,data.Canada,data.Rubella,data.by 2 years of age,90.0
2019,data.Canada,data.Rubella,data.by 2 years of age,89.4
2021,data.Canada,data.Rubella,data.by 2 years of age,91.5
2017,data.Manitoba,data.Rubella,data.by 2 years of age,86.2
2021,data.Manitoba,data.Rubella,data.by 2 years of age,86.6
2017,data.New Brunswick,data.Rubella,data.by 2 years of age,92.0
2021,data.New Brunswick,data.Rubella,data.by 2 years of age,94.3
2017,data.Newfoundland and Labrador,data.Rubella,data.by 2 years of age,96.9
2021,data.Newfoundland and Labrador,data.Rubella,data.by 2 years of age,97.0
2017,data.Northwest Territories,data.Rubella,data.by 2 years of age,91.8
2021,data.Northwest Territories,data.Rubella,data.by 2 years of age,88.2
2017,data.Nova Scotia,data.Rubella,data.by 2 years of age,86.8
2021,data.Nova Scotia,data.Rubella,data.by 2 years of age,93.6
2017,data.Nunavut,data.Rubella,data.by 2 years of age,88.7
2021,data.Nunavut,data.Rubella,data.by 2 years of age,34.6
2017,data.Ontario,data.Rubella,data.by 2 years of age,90.5
2021,data.Ontario,data.Rubella,data.by 2 years of age,91.7
2017,data.Prince Edward Island,data.Rubella,data.by 2 years of age,92.6
2021,data.Prince Edward Island,data.Rubella,data.by 2 years of age,98.0
2017,data.Quebec,data.Rubella,data.by 2 years of age,90.5
2021,data.Quebec,data.Rubella,data.by 2 years of age,93.2
2017,data.Saskatchewan,data.Rubella,data.by 2 years of age,89.5
2021,data.Saskatchewan,data.Rubella,data.by 2 years of age,91.0
2017,data.Yukon,data.Rubella,data.by 2 years of age,91.0
2021,data.Yukon,data.Rubella,data.by 2 years of age,85.3
2017,data.Canada,data.Rubella,data.by 7 years of age,94.5
2019,data.Canada,data.Rubella,data.by 7 years of age,95.9
2021,data.Canada,data.Rubella,data.by 7 years of age,94.0
2017,data.Alberta,data.Tetanus,data.by 2 years of age,79.9
2021,data.Alberta,data.Tetanus,data.by 2 years of age,74.6
2017,data.British Columbia,data.Tetanus,data.by 2 years of age,76.6
2021,data.British Columbia,data.Tetanus,data.by 2 years of age,83.6
2017,data.Canada,data.Tetanus,data.by 2 years of age,75.8
2019,data.Canada,data.Tetanus,data.by 2 years of age,77.5
2021,data.Canada,data.Tetanus,data.by 2 years of age,77.1
2017,data.Manitoba,data.Tetanus,data.by 2 years of age,67.5
2021,data.Manitoba,data.Tetanus,data.by 2 years of age,75.5
2017,data.New Brunswick,data.Tetanus,data.by 2 years of age,75.5
2021,data.New Brunswick,data.Tetanus,data.by 2 years of age,78.1
2017,data.Newfoundland and Labrador,data.Tetanus,data.by 2 years of age,88.9
2021,data.Newfoundland and Labrador,data.Tetanus,data.by 2 years of age,80.0
2017,data.Northwest Territories,data.Tetanus,data.by 2 years of age,76.7
2021,data.Northwest Territories,data.Tetanus,data.by 2 years of age,66.0
2017,data.Nova Scotia,data.Tetanus,data.by 2 years of age,73.8
2021,data.Nova Scotia,data.Tetanus,data.by 2 years of age,70.3
2017,data.Nunavut,data.Tetanus,data.by 2 years of age,63.8
2021,data.Nunavut,data.Tetanus,data.by 2 years of age,24.1
2017,data.Ontario,data.Tetanus,data.by 2 years of age,75.7
2021,data.Ontario,data.Tetanus,data.by 2 years of age,76.7
2017,data.Prince Edward Island,data.Tetanus,data.by 2 years of age,81.2
2021,data.Prince Edward Island,data.Tetanus,data.by 2 years of age,95.8
2017,data.Quebec,data.Tetanus,data.by 2 years of age,73.7
2021,data.Quebec,data.Tetanus,data.by 2 years of age,76.2
2017,data.Saskatchewan,data.Tetanus,data.by 2 years of age,78.6
2021,data.Saskatchewan,data.Tetanus,data.by 2 years of age,80.9
2017,data.Yukon,data.Tetanus,data.by 2 years of age,70.7
2021,data.Yukon,data.Tetanus,data.by 2 years of age,66.6
2017,data.Canada,data.Tetanus,data.by 7 years of age,80.5
2019,data.Canada,data.Tetanus,data.by 7 years of age,78.1
2021,data.Canada,data.Tetanus,data.by 7 years of age,71.9
2017,data.Alberta,data.Varicella,data.by 2 years of age,86.7
2021,data.Alberta,data.Varicella,data.by 2 years of age,83.3
2017,data.British Columbia,data.Varicella,data.by 2 years of age,83.7
2021,data.British Columbia,data.Varicella,data.by 2 years of age,91.0
2017,data.Canada,data.Varicella,data.by 2 years of age,82.9
2019,data.Canada,data.Varicella,data.by 2 years of age,82.7
2021,data.Canada,data.Varicella,data.by 2 years of age,87.5
2017,data.Manitoba,data.Varicella,data.by 2 years of age,81.6
2021,data.Manitoba,data.Varicella,data.by 2 years of age,86.9
2017,data.New Brunswick,data.Varicella,data.by 2 years of age,90.9
2021,data.New Brunswick,data.Varicella,data.by 2 years of age,91.2
2017,data.Newfoundland and Labrador,data.Varicella,data.by 2 years of age,95.1
2021,data.Newfoundland and Labrador,data.Varicella,data.by 2 years of age,96.4
2017,data.Northwest Territories,data.Varicella,data.by 2 years of age,88.9
2021,data.Northwest Territories,data.Varicella,data.by 2 years of age,80.2
2017,data.Nova Scotia,data.Varicella,data.by 2 years of age,84.8
2021,data.Nova Scotia,data.Varicella,data.by 2 years of age,93.2
2017,data.Nunavut,data.Varicella,data.by 2 years of age,82.1
2021,data.Nunavut,data.Varicella,data.by 2 years of age,21.2
2017,data.Ontario,data.Varicella,data.by 2 years of age,84.3
2021,data.Ontario,data.Varicella,data.by 2 years of age,85.9
2017,data.Prince Edward Island,data.Varicella,data.by 2 years of age,92.0
2021,data.Prince Edward Island,data.Varicella,data.by 2 years of age,96.7
2017,data.Quebec,data.Varicella,data.by 2 years of age,76.1
2021,data.Quebec,data.Varicella,data.by 2 years of age,89.9
2017,data.Saskatchewan,data.Varicella,data.by 2 years of age,84.8
2021,data.Saskatchewan,data.Varicella,data.by 2 years of age,80.9
2017,data.Yukon,data.Varicella,data.by 2 years of age,85.5
2021,data.Yukon,data.Varicella,data.by 2 years of age,81.8
2021,data.Canada,data.Varicella,data.by 7 years of age,90.7
