Year,Geography,Fuel type,Demand characteristics,Unit of measure,Value
2017,Canada,Total primary and secondary energy,Public administration,Terajoules,130095.0
2018,Canada,Total primary and secondary energy,Public administration,Terajoules,134171.0
2019,Canada,Total primary and secondary energy,Public administration,Terajoules,134978.0
2015,Canada,Total primary and secondary energy,Commercial and other institutional,Terajoules,1048046.0
2016,Canada,Total primary and secondary energy,Commercial and other institutional,Terajoules,1048549.0
2017,Canada,Total primary and secondary energy,Commercial and other institutional,Terajoules,1148803.0
2018,Canada,Total primary and secondary energy,Commercial and other institutional,Terajoules,1185457.0
2019,Canada,Total primary and secondary energy,Commercial and other institutional,Terajoules,1212605.0
2015,Canada,Total coal,"Energy use, final demand",Terajoules,46410.0
2016,Canada,Total coal,"Energy use, final demand",Terajoules,40275.0
2017,Canada,Total coal,"Energy use, final demand",Terajoules,39664.0
2018,Canada,Total coal,"Energy use, final demand",Terajoules,38972.0
2019,Canada,Total coal,"Energy use, final demand",Terajoules,39237.0
2015,Canada,Total coal,Total industrial,Terajoules,45006.0
2016,Canada,Total coal,Total industrial,Terajoules,
2017,Canada,Total coal,Total industrial,Terajoules,38411.0
2018,Canada,Total coal,Total industrial,Terajoules,37989.0
2019,Canada,Total coal,Total industrial,Terajoules,39237.0
2015,Canada,Total coal,Agriculture,Terajoules,
2016,Canada,Total coal,Agriculture,Terajoules,
2017,Canada,Total coal,Agriculture,Terajoules,
2018,Canada,Total coal,Agriculture,Terajoules,
2015,Canada,Total coal,Residential,Terajoules,55.0
2016,Canada,Total coal,Residential,Terajoules,
2017,Canada,Total coal,Residential,Terajoules,
2018,Canada,Total coal,Residential,Terajoules,0.0
2015,Canada,Total coal,Commercial and other institutional,Terajoules,
2016,Canada,Total coal,Commercial and other institutional,Terajoules,
2017,Canada,Total coal,Commercial and other institutional,Terajoules,
2018,Canada,Total coal,Commercial and other institutional,Terajoules,0.0
2019,Canada,Total coal,Commercial and other institutional,Terajoules,0.0
2015,Canada,Natural gas,"Energy use, final demand",Terajoules,2875528.0
2016,Canada,Natural gas,"Energy use, final demand",Terajoules,2785651.0
2017,Canada,Natural gas,"Energy use, final demand",Terajoules,2939389.0
2018,Canada,Natural gas,"Energy use, final demand",Terajoules,3146045.0
2019,Canada,Natural gas,"Energy use, final demand",Terajoules,3170754.0
2015,Canada,Natural gas,Total industrial,Terajoules,1485959.0
2016,Canada,Natural gas,Total industrial,Terajoules,1414041.0
2017,Canada,Natural gas,Total industrial,Terajoules,1488661.0
2018,Canada,Natural gas,Total industrial,Terajoules,1614300.0
2019,Canada,Natural gas,Total industrial,Terajoules,1627365.0
2015,Canada,Natural gas,Total transportation,Terajoules,167166.0
2016,Canada,Natural gas,Total transportation,Terajoules,170861.0
2017,Canada,Natural gas,Total transportation,Terajoules,151132.0
2018,Canada,Natural gas,Total transportation,Terajoules,167409.0
2019,Canada,Natural gas,Total transportation,Terajoules,169080.0
2015,Canada,Natural gas,Agriculture,Terajoules,39125.0
2016,Canada,Natural gas,Agriculture,Terajoules,41293.0
2017,Canada,Natural gas,Agriculture,Terajoules,39621.0
2018,Canada,Natural gas,Agriculture,Terajoules,43077.0
2019,Canada,Natural gas,Agriculture,Terajoules,43438.0
2015,Canada,Natural gas,Residential,Terajoules,676325.0
2016,Canada,Natural gas,Residential,Terajoules,649265.0
2017,Canada,Natural gas,Residential,Terajoules,696843.0
2018,Canada,Natural gas,Residential,Terajoules,734933.0
2019,Canada,Natural gas,Residential,Terajoules,731054.0
2015,Canada,Natural gas,Public administration,Terajoules,23260.0
2016,Canada,Natural gas,Public administration,Terajoules,24475.0
2017,Canada,Natural gas,Public administration,Terajoules,28425.0
2018,Canada,Natural gas,Public administration,Terajoules,29102.0
2019,Canada,Natural gas,Public administration,Terajoules,31167.0
2015,Canada,Natural gas,Commercial and other institutional,Terajoules,483693.0
2016,Canada,Natural gas,Commercial and other institutional,Terajoules,485716.0
2017,Canada,Natural gas,Commercial and other institutional,Terajoules,534707.0
2018,Canada,Natural gas,Commercial and other institutional,Terajoules,557225.0
2019,Canada,Natural gas,Commercial and other institutional,Terajoules,568649.0
2015,Canada,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,126133.0
2016,Canada,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,130540.0
2017,Canada,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,139562.0
2018,Canada,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,147619.0
2019,Canada,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,148907.0
2015,Canada,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,57444.0
2016,Canada,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,52922.0
2017,Canada,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,60254.0
2018,Canada,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,71476.0
2019,Canada,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,71829.0
2015,Canada,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,10716.0
2016,Canada,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,12076.0
2017,Canada,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,11960.0
2018,Canada,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,11699.0
2019,Canada,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,11605.0
2015,Canada,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,9065.0
2016,Canada,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,10301.0
2017,Canada,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,
2018,Canada,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,9810.0
2019,Canada,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,10456.0
2015,Canada,Gas plant natural gas liquids (NGL's),Residential,Terajoules,
2016,Canada,Gas plant natural gas liquids (NGL's),Residential,Terajoules,
2017,Canada,Gas plant natural gas liquids (NGL's),Residential,Terajoules,
2018,Canada,Gas plant natural gas liquids (NGL's),Residential,Terajoules,15019.0
2019,Canada,Gas plant natural gas liquids (NGL's),Residential,Terajoules,16258.0
2015,Canada,Gas plant natural gas liquids (NGL's),Public administration,Terajoules,
2016,Canada,Gas plant natural gas liquids (NGL's),Public administration,Terajoules,
2015,Canada,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,
2016,Canada,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,38208.0
2017,Canada,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,36005.0
2018,Canada,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,34212.0
2019,Canada,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,38306.0
2015,Canada,Hydroelectricity,"Energy use, final demand",Terajoules,1496685.577
2016,Canada,Hydroelectricity,"Energy use, final demand",Terajoules,1510145.029
2017,Canada,Hydroelectricity,"Energy use, final demand",Terajoules,1551668.578
2018,Canada,Hydroelectricity,"Energy use, final demand",Terajoules,1575462.146
2019,Canada,Hydroelectricity,"Energy use, final demand",Terajoules,1580194.533
2015,Canada,Hydroelectricity,Total industrial,Terajoules,567375.2568
2016,Canada,Hydroelectricity,Total industrial,Terajoules,590262.9629
2017,Canada,Hydroelectricity,Total industrial,Terajoules,592545.69
2018,Canada,Hydroelectricity,Total industrial,Terajoules,595744.651
2019,Canada,Hydroelectricity,Total industrial,Terajoules,602506.7001
2015,Canada,Hydroelectricity,Total transportation,Terajoules,18678.91905
2016,Canada,Hydroelectricity,Total transportation,Terajoules,20997.12379
2017,Canada,Hydroelectricity,Total transportation,Terajoules,22750.07515
2018,Canada,Hydroelectricity,Total transportation,Terajoules,22952.34342
2019,Canada,Hydroelectricity,Total transportation,Terajoules,22047.66442
2015,Canada,Hydroelectricity,Agriculture,Terajoules,29073.99792
2016,Canada,Hydroelectricity,Agriculture,Terajoules,27565.47122
2017,Canada,Hydroelectricity,Agriculture,Terajoules,28303.00901
2018,Canada,Hydroelectricity,Agriculture,Terajoules,29618.61371
2019,Canada,Hydroelectricity,Agriculture,Terajoules,30282.64173
2015,Canada,Hydroelectricity,Residential,Terajoules,489246.664
2016,Canada,Hydroelectricity,Residential,Terajoules,478268.4416
2017,Canada,Hydroelectricity,Residential,Terajoules,485559.9142
2018,Canada,Hydroelectricity,Residential,Terajoules,497318.6597
2019,Canada,Hydroelectricity,Residential,Terajoules,494629.7733
2015,Canada,Hydroelectricity,Public administration,Terajoules,38295.81192
2016,Canada,Hydroelectricity,Public administration,Terajoules,38727.26431
2017,Canada,Hydroelectricity,Public administration,Terajoules,38071.86588
2018,Canada,Hydroelectricity,Public administration,Terajoules,39891.10879
2019,Canada,Hydroelectricity,Public administration,Terajoules,39317.5108
2015,Canada,Hydroelectricity,Commercial and other institutional,Terajoules,354015.7247
2016,Canada,Hydroelectricity,Commercial and other institutional,Terajoules,354322.9659
2017,Canada,Hydroelectricity,Commercial and other institutional,Terajoules,384438.0237
2018,Canada,Hydroelectricity,Commercial and other institutional,Terajoules,389936.7697
2019,Canada,Hydroelectricity,Commercial and other institutional,Terajoules,391410.2422
2015,Canada,Nuclear,"Energy use, final demand",Terajoules,379808.4232
2016,Canada,Nuclear,"Energy use, final demand",Terajoules,378585.9707
2017,Canada,Nuclear,"Energy use, final demand",Terajoules,379487.422
2018,Canada,Nuclear,"Energy use, final demand",Terajoules,391776.8537
2019,Canada,Nuclear,"Energy use, final demand",Terajoules,401242.4675
2015,Canada,Nuclear,Total industrial,Terajoules,143980.7432
2016,Canada,Nuclear,Total industrial,Terajoules,147976.0371
2017,Canada,Nuclear,Total industrial,Terajoules,144917.31
2018,Canada,Nuclear,Total industrial,Terajoules,148146.349
2019,Canada,Nuclear,Total industrial,Terajoules,152988.2999
2015,Canada,Nuclear,Total transportation,Terajoules,4740.08095
2016,Canada,Nuclear,Total transportation,Terajoules,5263.876209
2017,Canada,Nuclear,Total transportation,Terajoules,5563.924854
2018,Canada,Nuclear,Total transportation,Terajoules,5707.656582
2019,Canada,Nuclear,Total transportation,Terajoules,5598.335579
2015,Canada,Nuclear,Agriculture,Terajoules,7378.002084
2016,Canada,Nuclear,Agriculture,Terajoules,6910.528776
2017,Canada,Nuclear,Agriculture,Terajoules,6921.990993
2018,Canada,Nuclear,Agriculture,Terajoules,7365.386289
2019,Canada,Nuclear,Agriculture,Terajoules,7689.358266
2015,Canada,Nuclear,Residential,Terajoules,124154.336
2016,Canada,Nuclear,Residential,Terajoules,119899.5584
2017,Canada,Nuclear,Residential,Terajoules,118752.0858
2018,Canada,Nuclear,Residential,Terajoules,123670.3403
2019,Canada,Nuclear,Residential,Terajoules,125596.2267
2015,Canada,Nuclear,Public administration,Terajoules,9718.188084
2016,Canada,Nuclear,Public administration,Terajoules,9708.735695
2017,Canada,Nuclear,Public administration,Terajoules,9311.134116
2018,Canada,Nuclear,Public administration,Terajoules,9919.891208
2019,Canada,Nuclear,Public administration,Terajoules,9983.489199
2015,Canada,Nuclear,Commercial and other institutional,Terajoules,89837.27529
2016,Canada,Nuclear,Commercial and other institutional,Terajoules,88827.03409
2017,Canada,Nuclear,Commercial and other institutional,Terajoules,94020.97626
2018,Canada,Nuclear,Commercial and other institutional,Terajoules,96967.2303
2019,Canada,Nuclear,Commercial and other institutional,Terajoules,99386.75784
2015,Canada,Steam,"Energy use, final demand",Terajoules,26828.0
2016,Canada,Steam,"Energy use, final demand",Terajoules,25351.0
2017,Canada,Steam,"Energy use, final demand",Terajoules,27505.0
2018,Canada,Steam,"Energy use, final demand",Terajoules,27679.0
2019,Canada,Steam,"Energy use, final demand",Terajoules,24576.0
2015,Canada,Steam,Total industrial,Terajoules,24566.0
2016,Canada,Steam,Total industrial,Terajoules,23395.0
2017,Canada,Steam,Total industrial,Terajoules,26060.0
2018,Canada,Steam,Total industrial,Terajoules,26375.0
2019,Canada,Steam,Total industrial,Terajoules,24284.0
2015,Canada,Steam,Agriculture,Terajoules,3.0
2016,Canada,Steam,Agriculture,Terajoules,
2017,Canada,Steam,Agriculture,Terajoules,1.0
2018,Canada,Steam,Agriculture,Terajoules,0.0
2019,Canada,Steam,Agriculture,Terajoules,0.0
2015,Canada,Steam,Residential,Terajoules,0.0
2016,Canada,Steam,Residential,Terajoules,0.0
2017,Canada,Steam,Residential,Terajoules,0.0
2018,Canada,Steam,Residential,Terajoules,0.0
2019,Canada,Steam,Residential,Terajoules,0.0
2015,Canada,Steam,Public administration,Terajoules,0.0
2016,Canada,Steam,Public administration,Terajoules,0.0
2017,Canada,Steam,Public administration,Terajoules,0.0
2018,Canada,Steam,Public administration,Terajoules,0.0
2019,Canada,Steam,Public administration,Terajoules,0.0
2015,Canada,Steam,Commercial and other institutional,Terajoules,2260.0
2016,Canada,Steam,Commercial and other institutional,Terajoules,1954.0
2017,Canada,Steam,Commercial and other institutional,Terajoules,1444.0
2018,Canada,Steam,Commercial and other institutional,Terajoules,1304.0
2019,Canada,Steam,Commercial and other institutional,Terajoules,292.0
2015,Canada,Coke,"Energy use, final demand",Terajoules,73871.0
2016,Canada,Coke,"Energy use, final demand",Terajoules,81829.0
2017,Canada,Coke,"Energy use, final demand",Terajoules,83205.0
2018,Canada,Coke,"Energy use, final demand",Terajoules,90661.0
2019,Canada,Coke,"Energy use, final demand",Terajoules,84156.0
2015,Canada,Coke,Total industrial,Terajoules,73871.0
2016,Canada,Coke,Total industrial,Terajoules,81829.0
2017,Canada,Coke,Total industrial,Terajoules,
2018,Canada,Coke,Total industrial,Terajoules,90661.0
2019,Canada,Coke,Total industrial,Terajoules,84156.0
2015,Canada,Coke oven gas,"Energy use, final demand",Terajoules,21181.0
2016,Canada,Coke oven gas,"Energy use, final demand",Terajoules,19994.0
2017,Canada,Coke oven gas,"Energy use, final demand",Terajoules,19744.0
2018,Canada,Coke oven gas,"Energy use, final demand",Terajoules,23235.0
2019,Canada,Coke oven gas,"Energy use, final demand",Terajoules,22119.0
2015,Canada,Coke oven gas,Total industrial,Terajoules,21181.0
2016,Canada,Coke oven gas,Total industrial,Terajoules,19994.0
2017,Canada,Coke oven gas,Total industrial,Terajoules,19744.0
2018,Canada,Coke oven gas,Total industrial,Terajoules,23235.0
2019,Canada,Coke oven gas,Total industrial,Terajoules,22119.0
2015,Canada,Total refined petroleum products,"Energy use, final demand",Terajoules,3200543.0
2016,Canada,Total refined petroleum products,"Energy use, final demand",Terajoules,3182887.0
2017,Canada,Total refined petroleum products,"Energy use, final demand",Terajoules,3292346.0
2018,Canada,Total refined petroleum products,"Energy use, final demand",Terajoules,3410601.0
2019,Canada,Total refined petroleum products,"Energy use, final demand",Terajoules,3435410.0
2015,Canada,Total refined petroleum products,Total industrial,Terajoules,295720.0
2016,Canada,Total refined petroleum products,Total industrial,Terajoules,296507.0
2017,Canada,Total refined petroleum products,Total industrial,Terajoules,328818.0
2018,Canada,Total refined petroleum products,Total industrial,Terajoules,335328.0
2019,Canada,Total refined petroleum products,Total industrial,Terajoules,344520.0
2015,Canada,Total refined petroleum products,Total transportation,Terajoules,2488883.0
2016,Canada,Total refined petroleum products,Total transportation,Terajoules,2476074.0
2017,Canada,Total refined petroleum products,Total transportation,Terajoules,2531706.0
2018,Canada,Total refined petroleum products,Total transportation,Terajoules,2627385.0
2019,Canada,Total refined petroleum products,Total transportation,Terajoules,2651233.0
2015,Canada,Total refined petroleum products,Agriculture,Terajoules,213018.0
2016,Canada,Total refined petroleum products,Agriculture,Terajoules,214533.0
2017,Canada,Total refined petroleum products,Agriculture,Terajoules,221481.0
2018,Canada,Total refined petroleum products,Agriculture,Terajoules,228148.0
2019,Canada,Total refined petroleum products,Agriculture,Terajoules,216034.0
2015,Canada,Total refined petroleum products,Residential,Terajoules,69779.0
2016,Canada,Total refined petroleum products,Residential,Terajoules,63494.0
2017,Canada,Total refined petroleum products,Residential,Terajoules,57868.0
2018,Canada,Total refined petroleum products,Residential,Terajoules,58671.0
2019,Canada,Total refined petroleum products,Residential,Terajoules,54552.0
2015,Canada,Total refined petroleum products,Public administration,Terajoules,50670.0
2016,Canada,Total refined petroleum products,Public administration,Terajoules,
2017,Canada,Total refined petroleum products,Public administration,Terajoules,54286.0
2018,Canada,Total refined petroleum products,Public administration,Terajoules,55258.0
2019,Canada,Total refined petroleum products,Public administration,Terajoules,54510.0
2015,Canada,Total refined petroleum products,Commercial and other institutional,Terajoules,82474.0
2016,Canada,Total refined petroleum products,Commercial and other institutional,Terajoules,
2017,Canada,Total refined petroleum products,Commercial and other institutional,Terajoules,98188.0
2018,Canada,Total refined petroleum products,Commercial and other institutional,Terajoules,105812.0
2019,Canada,Total refined petroleum products,Commercial and other institutional,Terajoules,114561.0
2015,Newfoundland and Labrador,Total primary and secondary energy,"Energy use, final demand",Terajoules,125892.0
2016,Newfoundland and Labrador,Total primary and secondary energy,"Energy use, final demand",Terajoules,126046.0
2017,Newfoundland and Labrador,Total primary and secondary energy,"Energy use, final demand",Terajoules,125286.0
2018,Newfoundland and Labrador,Total primary and secondary energy,"Energy use, final demand",Terajoules,127159.0
2019,Newfoundland and Labrador,Total primary and secondary energy,"Energy use, final demand",Terajoules,127535.0
2015,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,Terajoules,29455.0
2016,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,Terajoules,27647.0
2017,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,Terajoules,27712.0
2018,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,Terajoules,29865.0
2019,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,Terajoules,31245.0
2015,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,Terajoules,52475.0
2016,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,Terajoules,53222.0
2017,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,Terajoules,53746.0
2018,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,Terajoules,53278.0
2019,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,Terajoules,52382.0
2015,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,Terajoules,352.0
2016,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,Terajoules,368.0
2017,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,Terajoules,304.0
2018,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,Terajoules,298.0
2019,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,Terajoules,394.0
2015,Newfoundland and Labrador,Total primary and secondary energy,Residential,Terajoules,19717.0
2016,Newfoundland and Labrador,Total primary and secondary energy,Residential,Terajoules,20040.0
2017,Newfoundland and Labrador,Total primary and secondary energy,Residential,Terajoules,21128.0
2018,Newfoundland and Labrador,Total primary and secondary energy,Residential,Terajoules,20820.0
2019,Newfoundland and Labrador,Total primary and secondary energy,Residential,Terajoules,20442.0
2015,Newfoundland and Labrador,Total primary and secondary energy,Public administration,Terajoules,4789.0
2016,Newfoundland and Labrador,Total primary and secondary energy,Public administration,Terajoules,4151.0
2017,Newfoundland and Labrador,Total primary and secondary energy,Public administration,Terajoules,4149.0
2018,Newfoundland and Labrador,Total primary and secondary energy,Public administration,Terajoules,3617.0
2019,Newfoundland and Labrador,Total primary and secondary energy,Public administration,Terajoules,3404.0
2015,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,Terajoules,19105.0
2016,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,Terajoules,20619.0
2017,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,Terajoules,18259.0
2018,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,Terajoules,19282.0
2019,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,Terajoules,19668.0
2015,Newfoundland and Labrador,Total coal,"Energy use, final demand",Terajoules,
2016,Newfoundland and Labrador,Total coal,"Energy use, final demand",Terajoules,
2017,Newfoundland and Labrador,Total coal,"Energy use, final demand",Terajoules,
2018,Newfoundland and Labrador,Total coal,"Energy use, final demand",Terajoules,2749.0
2019,Newfoundland and Labrador,Total coal,"Energy use, final demand",Terajoules,3687.0
2015,Newfoundland and Labrador,Total coal,Total industrial,Terajoules,
2016,Newfoundland and Labrador,Total coal,Total industrial,Terajoules,
2017,Newfoundland and Labrador,Total coal,Total industrial,Terajoules,
2018,Newfoundland and Labrador,Total coal,Total industrial,Terajoules,2749.0
2019,Newfoundland and Labrador,Total coal,Total industrial,Terajoules,3687.0
2015,Newfoundland and Labrador,Natural gas,"Energy use, final demand",Terajoules,0.0
2016,Newfoundland and Labrador,Natural gas,"Energy use, final demand",Terajoules,
2017,Newfoundland and Labrador,Natural gas,"Energy use, final demand",Terajoules,
2018,Newfoundland and Labrador,Natural gas,"Energy use, final demand",Terajoules,304.0
2019,Newfoundland and Labrador,Natural gas,"Energy use, final demand",Terajoules,392.0
2015,Newfoundland and Labrador,Natural gas,Total industrial,Terajoules,0.0
2016,Newfoundland and Labrador,Natural gas,Total industrial,Terajoules,
2017,Newfoundland and Labrador,Natural gas,Total industrial,Terajoules,
2018,Newfoundland and Labrador,Natural gas,Total industrial,Terajoules,304.0
2019,Newfoundland and Labrador,Natural gas,Total industrial,Terajoules,392.0
2015,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,1723.0
2016,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,
2017,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,1583.0
2018,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,1636.0
2019,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Terajoules,1572.0
2015,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,122.0
2016,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,138.0
2017,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,132.0
2018,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,113.0
2019,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,Terajoules,184.0
2015,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,15.0
2016,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,13.0
2017,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,15.0
2018,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,16.0
2019,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,Terajoules,14.0
2015,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,6.0
2016,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,6.0
2017,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,5.0
2018,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,0.0
2019,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Agriculture,Terajoules,0.0
2015,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,Terajoules,429.0
2016,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,Terajoules,375.0
2017,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,Terajoules,390.0
2018,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,Terajoules,408.0
2019,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,Terajoules,372.0
2015,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Public administration,Terajoules,
2016,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Public administration,Terajoules,
2015,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,1151.0
2016,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,1003.0
2017,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,1051.0
2018,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,1099.0
2019,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Terajoules,1002.0
2015,Newfoundland and Labrador,Hydroelectricity,"Energy use, final demand",Terajoules,36640.0
2016,Newfoundland and Labrador,Hydroelectricity,"Energy use, final demand",Terajoules,36243.0
2017,Newfoundland and Labrador,Hydroelectricity,"Energy use, final demand",Terajoules,37651.0
2018,Newfoundland and Labrador,Hydroelectricity,"Energy use, final demand",Terajoules,37648.0
2019,Newfoundland and Labrador,Hydroelectricity,"Energy use, final demand",Terajoules,37693.0
2015,Newfoundland and Labrador,Hydroelectricity,Total industrial,Terajoules,11804.0
2016,Newfoundland and Labrador,Hydroelectricity,Total industrial,Terajoules,11756.0
2017,Newfoundland and Labrador,Hydroelectricity,Total industrial,Terajoules,12885.0
2018,Newfoundland and Labrador,Hydroelectricity,Total industrial,Terajoules,13059.0
2019,Newfoundland and Labrador,Hydroelectricity,Total industrial,Terajoules,13140.0
2015,Newfoundland and Labrador,Hydroelectricity,Total transportation,Terajoules,2.0
2016,Newfoundland and Labrador,Hydroelectricity,Total transportation,Terajoules,4.0
2017,Newfoundland and Labrador,Hydroelectricity,Total transportation,Terajoules,4.0
2018,Newfoundland and Labrador,Hydroelectricity,Total transportation,Terajoules,9.0
2019,Newfoundland and Labrador,Hydroelectricity,Total transportation,Terajoules,9.0
2015,Newfoundland and Labrador,Hydroelectricity,Agriculture,Terajoules,108.0
