Year,data.Geography,data.Selected demographic characteristics,data.Gender,Value
2018,data.Canada,data.Total - visible minority population,data.Male gender,8.23
2018,data.Canada,data.Total - visible minority population,data.Female gender,30.24
2018,data.Canada,data.Total - visible minority population,data.Gender diverse,
2018,data.Canada,data.Visible minority population,data.Total - gender,11.89
2018,data.Canada,data.Visible minority population,data.Male gender,5.88
2018,data.Canada,data.Visible minority population,data.Female gender,18.75
2018,data.Canada,data.Visible minority population,data.Gender diverse,
2018,data.Canada,data.Not a visible minority,data.Total - gender,21.56
2018,data.Canada,data.Not a visible minority,data.Male gender,8.96
2018,data.Canada,data.Not a visible minority,data.Female gender,33.3
2018,data.Canada,data.Not a visible minority,data.Gender diverse,
2018,data.Canada,data.Not stated - visible minority population,data.Total - gender,10.84
2018,data.Canada,data.Not stated - visible minority population,data.Male gender,6.37
2018,data.Canada,data.Not stated - visible minority population,data.Female gender,14.75
2018,data.Canada,data.Not stated - visible minority population,data.Gender diverse,
2018,data.Canada,data.Total - population by indigenous identity,data.Total - gender,19.38
2018,data.Canada,data.Total - population by indigenous identity,data.Male gender,8.23
2018,data.Canada,data.Total - population by indigenous identity,data.Female gender,30.24
2018,data.Canada,data.Total - population by indigenous identity,data.Gender diverse,
2018,data.Canada,data.Indigenous identity,data.Total - gender,28.45
2018,data.Canada,data.Indigenous identity,data.Male gender,12.34
2018,data.Canada,data.Indigenous identity,data.Female gender,43.18
2018,data.Canada,data.Indigenous identity,data.Gender diverse,
2018,data.Canada,data.First Nations (North American Indian),data.Total - gender,28.76
2018,data.Canada,data.First Nations (North American Indian),data.Male gender,9.08
2018,data.Canada,data.First Nations (North American Indian),data.Female gender,45.3
2018,data.Canada,data.First Nations (North American Indian),data.Gender diverse,
2018,data.Canada,data.M�tis,data.Total - gender,29.51
2018,data.Canada,data.M�tis,data.Male gender,16.05
2018,data.Canada,data.M�tis,data.Female gender,43.64
2018,data.Canada,data.M�tis,data.Gender diverse,
2018,data.Canada,data.Inuk (Inuit),data.Total - gender,17.42
2018,data.Canada,data.Inuk (Inuit),data.Male gender,7.77
2018,data.Canada,data.Inuk (Inuit),data.Female gender,25.59
2018,data.Canada,data.Inuk (Inuit),data.Gender diverse,
2018,data.Canada,data.Other indigenous identity,data.Total - gender,25.7
2018,data.Canada,data.Other indigenous identity,data.Male gender,
2018,data.Canada,data.Other indigenous identity,data.Female gender,
2018,data.Canada,data.Other indigenous identity,data.Gender diverse,
2018,data.Canada,data.Non-indigenous identity,data.Total - gender,19.12
2018,data.Canada,data.Non-indigenous identity,data.Male gender,8.09
2018,data.Canada,data.Non-indigenous identity,data.Female gender,29.87
2018,data.Canada,data.Non-indigenous identity,data.Gender diverse,
2018,data.Canada,data.Not stated - population by indigenous identity,data.Total - gender,15.64
2018,data.Canada,data.Not stated - population by indigenous identity,data.Male gender,8.7
2018,data.Canada,data.Not stated - population by indigenous identity,data.Female gender,22.96
2018,data.Canada,data.Not stated - population by indigenous identity,data.Gender diverse,
2018,data.Canada,data.Total - disability status,data.Total - gender,19.38
2018,data.Canada,data.Total - disability status,data.Male gender,8.23
2018,data.Canada,data.Total - disability status,data.Female gender,30.24
2018,data.Canada,data.Total - disability status,data.Gender diverse,
2018,data.Canada,data.Has a disability,data.Total - gender,27.8
2018,data.Canada,data.Has a disability,data.Male gender,12.75
2018,data.Canada,data.Has a disability,data.Female gender,39.21
2018,data.Canada,data.Has a disability,data.Gender diverse,
2018,data.Canada,data.Does not have a disability,data.Total - gender,14.81
2018,data.Canada,data.Does not have a disability,data.Male gender,6.22
2018,data.Canada,data.Does not have a disability,data.Female gender,24.4
2018,data.Canada,data.Does not have a disability,data.Gender diverse,
2018,data.Canada,data.Total - sexual orientation,data.Total - gender,19.38
2018,data.Canada,data.Total - sexual orientation,data.Male gender,8.23
2018,data.Canada,data.Total - sexual orientation,data.Female gender,30.24
2018,data.Canada,data.Total - sexual orientation,data.Gender diverse,
2018,data.Canada,data.Heterosexual,data.Total - gender,18.85
2018,data.Canada,data.Heterosexual,data.Male gender,7.72
2018,data.Canada,data.Heterosexual,data.Female gender,29.78
2018,data.Canada,data.Heterosexual,data.Gender diverse,
2018,data.Canada,data.Sexual minority,data.Total - gender,38.57
2018,data.Canada,data.Sexual minority,data.Male gender,25.46
2018,data.Canada,data.Sexual minority,data.Female gender,50.41
2018,data.Canada,data.Sexual minority,data.Gender diverse,
2018,data.Canada,data.Lesbian or gay,data.Total - gender,31.19
2018,data.Canada,data.Lesbian or gay,data.Male gender,26.56
2018,data.Canada,data.Lesbian or gay,data.Female gender,39.37
2018,data.Canada,data.Lesbian or gay,data.Gender diverse,
2018,data.Canada,data.Bisexual or pansexual,data.Total - gender,44.99
2018,data.Canada,data.Bisexual or pansexual,data.Male gender,25.41
2018,data.Canada,data.Bisexual or pansexual,data.Female gender,55.41
2018,data.Canada,data.Bisexual or pansexual,data.Gender diverse,
2018,data.Canada,data.Sexual orientation not elsewhere classified,data.Total - gender,37.47
2018,data.Canada,data.Sexual orientation not elsewhere classified,data.Male gender,
2018,data.Canada,data.Sexual orientation not elsewhere classified,data.Female gender,
2018,data.Canada,data.Sexual orientation not elsewhere classified,data.Gender diverse,
2018,data.Canada,data.Not stated - sexual orientation,data.Total - gender,11.58
2018,data.Canada,data.Not stated - sexual orientation,data.Male gender,4.57
2018,data.Canada,data.Not stated - sexual orientation,data.Female gender,17.48
2018,data.Canada,data.Not stated - sexual orientation,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Total - age,data.Total - gender,17.03
2018,data.Newfoundland and Labrador,data.Total - age,data.Male gender,8.18
2018,data.Newfoundland and Labrador,data.Total - age,data.Female gender,25.43
2018,data.Newfoundland and Labrador,data.Total - age,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.15 to 24 years,data.Total - gender,18.21
2018,data.Newfoundland and Labrador,data.15 to 24 years,data.Male gender,
2018,data.Newfoundland and Labrador,data.15 to 24 years,data.Female gender,22.26
2018,data.Newfoundland and Labrador,data.15 to 24 years,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.25 to 34 years,data.Total - gender,24.7
2018,data.Newfoundland and Labrador,data.25 to 34 years,data.Male gender,
2018,data.Newfoundland and Labrador,data.25 to 34 years,data.Female gender,43.71
2018,data.Newfoundland and Labrador,data.25 to 34 years,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.35 to 44 years,data.Total - gender,20.89
2018,data.Newfoundland and Labrador,data.35 to 44 years,data.Male gender,12.13
2018,data.Newfoundland and Labrador,data.35 to 44 years,data.Female gender,28.9
2018,data.Newfoundland and Labrador,data.35 to 44 years,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.45 to 54 years,data.Total - gender,18.39
2018,data.Newfoundland and Labrador,data.45 to 54 years,data.Male gender,7.11
2018,data.Newfoundland and Labrador,data.45 to 54 years,data.Female gender,28.96
2018,data.Newfoundland and Labrador,data.45 to 54 years,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.55 years and over,data.Total - gender,12.42
2018,data.Newfoundland and Labrador,data.55 years and over,data.Male gender,6.26
2018,data.Newfoundland and Labrador,data.55 years and over,data.Female gender,18.13
2018,data.Newfoundland and Labrador,data.55 years and over,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Total - immigrant status,data.Total - gender,17.03
2018,data.Newfoundland and Labrador,data.Total - immigrant status,data.Male gender,8.18
2018,data.Newfoundland and Labrador,data.Total - immigrant status,data.Female gender,25.43
2018,data.Newfoundland and Labrador,data.Total - immigrant status,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Non-immigrants,data.Total - gender,16.29
2018,data.Newfoundland and Labrador,data.Non-immigrants,data.Male gender,7.28
2018,data.Newfoundland and Labrador,data.Non-immigrants,data.Female gender,24.62
2018,data.Newfoundland and Labrador,data.Non-immigrants,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Immigrants,data.Total - gender,32.74
2018,data.Newfoundland and Labrador,data.Immigrants,data.Male gender,
2018,data.Newfoundland and Labrador,data.Immigrants,data.Female gender,
2018,data.Newfoundland and Labrador,data.Immigrants,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Not stated - immigrant status,data.Total - gender,
2018,data.Newfoundland and Labrador,data.Not stated - immigrant status,data.Male gender,
2018,data.Newfoundland and Labrador,data.Not stated - immigrant status,data.Female gender,
2018,data.Newfoundland and Labrador,data.Not stated - immigrant status,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Total - visible minority population,data.Total - gender,17.03
2018,data.Newfoundland and Labrador,data.Total - visible minority population,data.Male gender,8.18
2018,data.Newfoundland and Labrador,data.Total - visible minority population,data.Female gender,25.43
2018,data.Newfoundland and Labrador,data.Total - visible minority population,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Visible minority population,data.Total - gender,
2018,data.Newfoundland and Labrador,data.Visible minority population,data.Male gender,
2018,data.Newfoundland and Labrador,data.Visible minority population,data.Female gender,
2018,data.Newfoundland and Labrador,data.Visible minority population,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Not a visible minority,data.Total - gender,16.76
2018,data.Newfoundland and Labrador,data.Not a visible minority,data.Male gender,7.22
2018,data.Newfoundland and Labrador,data.Not a visible minority,data.Female gender,25.53
2018,data.Newfoundland and Labrador,data.Not a visible minority,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Not stated - visible minority population,data.Total - gender,
2018,data.Newfoundland and Labrador,data.Not stated - visible minority population,data.Male gender,
2018,data.Newfoundland and Labrador,data.Not stated - visible minority population,data.Female gender,
2018,data.Newfoundland and Labrador,data.Not stated - visible minority population,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Total - population by indigenous identity,data.Total - gender,17.03
2018,data.Newfoundland and Labrador,data.Total - population by indigenous identity,data.Male gender,8.18
2018,data.Newfoundland and Labrador,data.Total - population by indigenous identity,data.Female gender,25.43
2018,data.Newfoundland and Labrador,data.Total - population by indigenous identity,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Indigenous identity,data.Total - gender,23.67
2018,data.Newfoundland and Labrador,data.Indigenous identity,data.Male gender,
2018,data.Newfoundland and Labrador,data.Indigenous identity,data.Female gender,
2018,data.Newfoundland and Labrador,data.Indigenous identity,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.First Nations (North American Indian),data.Total - gender,
2018,data.Newfoundland and Labrador,data.First Nations (North American Indian),data.Male gender,
2018,data.Newfoundland and Labrador,data.First Nations (North American Indian),data.Female gender,
2018,data.Newfoundland and Labrador,data.First Nations (North American Indian),data.Gender diverse,
2018,data.Newfoundland and Labrador,data.M�tis,data.Total - gender,
2018,data.Newfoundland and Labrador,data.M�tis,data.Male gender,
2018,data.Newfoundland and Labrador,data.M�tis,data.Female gender,
2018,data.Newfoundland and Labrador,data.M�tis,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Inuk (Inuit),data.Total - gender,
2018,data.Newfoundland and Labrador,data.Inuk (Inuit),data.Male gender,
2018,data.Newfoundland and Labrador,data.Inuk (Inuit),data.Female gender,
2018,data.Newfoundland and Labrador,data.Inuk (Inuit),data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Other indigenous identity,data.Total - gender,
2018,data.Newfoundland and Labrador,data.Other indigenous identity,data.Male gender,
2018,data.Newfoundland and Labrador,data.Other indigenous identity,data.Female gender,
2018,data.Newfoundland and Labrador,data.Other indigenous identity,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Non-indigenous identity,data.Total - gender,16.71
2018,data.Newfoundland and Labrador,data.Non-indigenous identity,data.Male gender,8.43
2018,data.Newfoundland and Labrador,data.Non-indigenous identity,data.Female gender,24.36
2018,data.Newfoundland and Labrador,data.Non-indigenous identity,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Not stated - population by indigenous identity,data.Total - gender,
2018,data.Newfoundland and Labrador,data.Not stated - population by indigenous identity,data.Male gender,
2018,data.Newfoundland and Labrador,data.Not stated - population by indigenous identity,data.Female gender,
2018,data.Newfoundland and Labrador,data.Not stated - population by indigenous identity,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Total - disability status,data.Total - gender,17.03
2018,data.Newfoundland and Labrador,data.Total - disability status,data.Male gender,8.18
2018,data.Newfoundland and Labrador,data.Total - disability status,data.Female gender,25.43
2018,data.Newfoundland and Labrador,data.Total - disability status,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Has a disability,data.Total - gender,25.46
2018,data.Newfoundland and Labrador,data.Has a disability,data.Male gender,12.0
2018,data.Newfoundland and Labrador,data.Has a disability,data.Female gender,34.35
2018,data.Newfoundland and Labrador,data.Has a disability,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Does not have a disability,data.Total - gender,12.58
2018,data.Newfoundland and Labrador,data.Does not have a disability,data.Male gender,6.68
2018,data.Newfoundland and Labrador,data.Does not have a disability,data.Female gender,19.34
2018,data.Newfoundland and Labrador,data.Does not have a disability,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Total - sexual orientation,data.Total - gender,17.03
2018,data.Newfoundland and Labrador,data.Total - sexual orientation,data.Male gender,8.18
2018,data.Newfoundland and Labrador,data.Total - sexual orientation,data.Female gender,25.43
2018,data.Newfoundland and Labrador,data.Total - sexual orientation,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Heterosexual,data.Total - gender,16.63
2018,data.Newfoundland and Labrador,data.Heterosexual,data.Male gender,7.32
2018,data.Newfoundland and Labrador,data.Heterosexual,data.Female gender,25.58
2018,data.Newfoundland and Labrador,data.Heterosexual,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Sexual minority,data.Total - gender,
2018,data.Newfoundland and Labrador,data.Sexual minority,data.Male gender,
2018,data.Newfoundland and Labrador,data.Sexual minority,data.Female gender,
2018,data.Newfoundland and Labrador,data.Sexual minority,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Lesbian or gay,data.Total - gender,
2018,data.Newfoundland and Labrador,data.Lesbian or gay,data.Male gender,
2018,data.Newfoundland and Labrador,data.Lesbian or gay,data.Female gender,
2018,data.Newfoundland and Labrador,data.Lesbian or gay,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Bisexual or pansexual,data.Total - gender,
2018,data.Newfoundland and Labrador,data.Bisexual or pansexual,data.Male gender,
2018,data.Newfoundland and Labrador,data.Bisexual or pansexual,data.Female gender,
2018,data.Newfoundland and Labrador,data.Bisexual or pansexual,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Sexual orientation not elsewhere classified,data.Total - gender,
2018,data.Newfoundland and Labrador,data.Sexual orientation not elsewhere classified,data.Male gender,
2018,data.Newfoundland and Labrador,data.Sexual orientation not elsewhere classified,data.Female gender,
2018,data.Newfoundland and Labrador,data.Sexual orientation not elsewhere classified,data.Gender diverse,
2018,data.Newfoundland and Labrador,data.Not stated - sexual orientation,data.Total - gender,
2018,data.Newfoundland and Labrador,data.Not stated - sexual orientation,data.Male gender,
2018,data.Newfoundland and Labrador,data.Not stated - sexual orientation,data.Female gender,
2018,data.Newfoundland and Labrador,data.Not stated - sexual orientation,data.Gender diverse,
2018,data.Prince Edward Island,data.Total - age,data.Total - gender,20.43
2018,data.Prince Edward Island,data.Total - age,data.Male gender,6.11
2018,data.Prince Edward Island,data.Total - age,data.Female gender,34.57
2018,data.Prince Edward Island,data.Total - age,data.Gender diverse,
2018,data.Prince Edward Island,data.15 to 24 years,data.Total - gender,
2018,data.Prince Edward Island,data.15 to 24 years,data.Male gender,
2018,data.Prince Edward Island,data.15 to 24 years,data.Female gender,
2018,data.Prince Edward Island,data.15 to 24 years,data.Gender diverse,
2018,data.Prince Edward Island,data.25 to 34 years,data.Total - gender,25.0
2018,data.Prince Edward Island,data.25 to 34 years,data.Male gender,
2018,data.Prince Edward Island,data.25 to 34 years,data.Female gender,41.02
2018,data.Prince Edward Island,data.25 to 34 years,data.Gender diverse,
2018,data.Prince Edward Island,data.35 to 44 years,data.Total - gender,23.91
2018,data.Prince Edward Island,data.35 to 44 years,data.Male gender,
2018,data.Prince Edward Island,data.35 to 44 years,data.Female gender,42.17
2018,data.Prince Edward Island,data.35 to 44 years,data.Gender diverse,
2018,data.Prince Edward Island,data.45 to 54 years,data.Total - gender,21.03
2018,data.Prince Edward Island,data.45 to 54 years,data.Male gender,
2018,data.Prince Edward Island,data.45 to 54 years,data.Female gender,36.81
2018,data.Prince Edward Island,data.45 to 54 years,data.Gender diverse,
2018,data.Prince Edward Island,data.55 years and over,data.Total - gender,17.48
2018,data.Prince Edward Island,data.55 years and over,data.Male gender,6.52
2018,data.Prince Edward Island,data.55 years and over,data.Female gender,27.23
2018,data.Prince Edward Island,data.55 years and over,data.Gender diverse,
2018,data.Prince Edward Island,data.Total - immigrant status,data.Total - gender,20.43
2018,data.Prince Edward Island,data.Total - immigrant status,data.Male gender,6.11
2018,data.Prince Edward Island,data.Total - immigrant status,data.Female gender,34.57
2018,data.Prince Edward Island,data.Total - immigrant status,data.Gender diverse,
2018,data.Prince Edward Island,data.Non-immigrants,data.Total - gender,21.22
2018,data.Prince Edward Island,data.Non-immigrants,data.Male gender,6.83
2018,data.Prince Edward Island,data.Non-immigrants,data.Female gender,35.29
2018,data.Prince Edward Island,data.Non-immigrants,data.Gender diverse,
2018,data.Prince Edward Island,data.Immigrants,data.Total - gender,15.75
2018,data.Prince Edward Island,data.Immigrants,data.Male gender,
2018,data.Prince Edward Island,data.Immigrants,data.Female gender,30.28
2018,data.Prince Edward Island,data.Immigrants,data.Gender diverse,
2018,data.Prince Edward Island,data.Not stated - immigrant status,data.Total - gender,
2018,data.Prince Edward Island,data.Not stated - immigrant status,data.Male gender,
2018,data.Prince Edward Island,data.Not stated - immigrant status,data.Female gender,
2018,data.Prince Edward Island,data.Not stated - immigrant status,data.Gender diverse,
2018,data.Prince Edward Island,data.Total - visible minority population,data.Total - gender,20.43
2018,data.Prince Edward Island,data.Total - visible minority population,data.Male gender,6.11
2018,data.Prince Edward Island,data.Total - visible minority population,data.Female gender,34.57
2018,data.Prince Edward Island,data.Total - visible minority population,data.Gender diverse,
2018,data.Prince Edward Island,data.Visible minority population,data.Total - gender,
2018,data.Prince Edward Island,data.Visible minority population,data.Male gender,
2018,data.Prince Edward Island,data.Visible minority population,data.Female gender,
2018,data.Prince Edward Island,data.Visible minority population,data.Gender diverse,
2018,data.Prince Edward Island,data.Not a visible minority,data.Total - gender,20.84
2018,data.Prince Edward Island,data.Not a visible minority,data.Male gender,6.62
2018,data.Prince Edward Island,data.Not a visible minority,data.Female gender,35.09
2018,data.Prince Edward Island,data.Not a visible minority,data.Gender diverse,
2018,data.Prince Edward Island,data.Not stated - visible minority population,data.Total - gender,
2018,data.Prince Edward Island,data.Not stated - visible minority population,data.Male gender,
2018,data.Prince Edward Island,data.Not stated - visible minority population,data.Female gender,
2018,data.Prince Edward Island,data.Not stated - visible minority population,data.Gender diverse,
2018,data.Prince Edward Island,data.Total - population by indigenous identity,data.Total - gender,20.43
2018,data.Prince Edward Island,data.Total - population by indigenous identity,data.Male gender,6.11
2018,data.Prince Edward Island,data.Total - population by indigenous identity,data.Female gender,34.57
2018,data.Prince Edward Island,data.Total - population by indigenous identity,data.Gender diverse,
2018,data.Prince Edward Island,data.Indigenous identity,data.Total - gender,
2018,data.Prince Edward Island,data.Indigenous identity,data.Male gender,
2018,data.Prince Edward Island,data.Indigenous identity,data.Female gender,
2018,data.Prince Edward Island,data.Indigenous identity,data.Gender diverse,
2018,data.Prince Edward Island,data.First Nations (North American Indian),data.Total - gender,
2018,data.Prince Edward Island,data.First Nations (North American Indian),data.Male gender,
2018,data.Prince Edward Island,data.First Nations (North American Indian),data.Female gender,
2018,data.Prince Edward Island,data.First Nations (North American Indian),data.Gender diverse,
2018,data.Prince Edward Island,data.M�tis,data.Total - gender,
2018,data.Prince Edward Island,data.M�tis,data.Male gender,
2018,data.Prince Edward Island,data.M�tis,data.Female gender,
2018,data.Prince Edward Island,data.M�tis,data.Gender diverse,
2018,data.Prince Edward Island,data.Inuk (Inuit),data.Total - gender,
2018,data.Prince Edward Island,data.Inuk (Inuit),data.Male gender,
2018,data.Prince Edward Island,data.Inuk (Inuit),data.Female gender,
2018,data.Prince Edward Island,data.Inuk (Inuit),data.Gender diverse,
2018,data.Prince Edward Island,data.Other indigenous identity,data.Total - gender,
2018,data.Prince Edward Island,data.Other indigenous identity,data.Male gender,
2018,data.Prince Edward Island,data.Other indigenous identity,data.Female gender,
2018,data.Prince Edward Island,data.Other indigenous identity,data.Gender diverse,
2018,data.Prince Edward Island,data.Non-indigenous identity,data.Total - gender,20.6
2018,data.Prince Edward Island,data.Non-indigenous identity,data.Male gender,6.3
2018,data.Prince Edward Island,data.Non-indigenous identity,data.Female gender,34.75
2018,data.Prince Edward Island,data.Non-indigenous identity,data.Gender diverse,
2018,data.Prince Edward Island,data.Not stated - population by indigenous identity,data.Total - gender,
2018,data.Prince Edward Island,data.Not stated - population by indigenous identity,data.Male gender,
2018,data.Prince Edward Island,data.Not stated - population by indigenous identity,data.Female gender,
2018,data.Prince Edward Island,data.Not stated - population by indigenous identity,data.Gender diverse,
2018,data.Prince Edward Island,data.Total - disability status,data.Total - gender,20.43
2018,data.Prince Edward Island,data.Total - disability status,data.Male gender,6.11
2018,data.Prince Edward Island,data.Total - disability status,data.Female gender,34.57
2018,data.Prince Edward Island,data.Total - disability status,data.Gender diverse,
2018,data.Prince Edward Island,data.Has a disability,data.Total - gender,27.25
2018,data.Prince Edward Island,data.Has a disability,data.Male gender,8.08
2018,data.Prince Edward Island,data.Has a disability,data.Female gender,43.1
2018,data.Prince Edward Island,data.Has a disability,data.Gender diverse,
2018,data.Prince Edward Island,data.Does not have a disability,data.Total - gender,16.61
2018,data.Prince Edward Island,data.Does not have a disability,data.Male gender,5.15
2018,data.Prince Edward Island,data.Does not have a disability,data.Female gender,29.11
2018,data.Prince Edward Island,data.Does not have a disability,data.Gender diverse,
2018,data.Prince Edward Island,data.Total - sexual orientation,data.Total - gender,20.43
2018,data.Prince Edward Island,data.Total - sexual orientation,data.Male gender,6.11
2018,data.Prince Edward Island,data.Total - sexual orientation,data.Female gender,34.57
2018,data.Prince Edward Island,data.Total - sexual orientation,data.Gender diverse,
2018,data.Prince Edward Island,data.Heterosexual,data.Total - gender,19.52
2018,data.Prince Edward Island,data.Heterosexual,data.Male gender,5.49
2018,data.Prince Edward Island,data.Heterosexual,data.Female gender,33.76
2018,data.Prince Edward Island,data.Heterosexual,data.Gender diverse,
2018,data.Prince Edward Island,data.Sexual minority,data.Total - gender,
2018,data.Prince Edward Island,data.Sexual minority,data.Male gender,
2018,data.Prince Edward Island,data.Sexual minority,data.Female gender,
2018,data.Prince Edward Island,data.Sexual minority,data.Gender diverse,
2018,data.Prince Edward Island,data.Lesbian or gay,data.Total - gender,
2018,data.Prince Edward Island,data.Lesbian or gay,data.Male gender,
2018,data.Prince Edward Island,data.Lesbian or gay,data.Female gender,
2018,data.Prince Edward Island,data.Lesbian or gay,data.Gender diverse,
2018,data.Prince Edward Island,data.Bisexual or pansexual,data.Total - gender,
2018,data.Prince Edward Island,data.Bisexual or pansexual,data.Male gender,
2018,data.Prince Edward Island,data.Bisexual or pansexual,data.Female gender,
2018,data.Prince Edward Island,data.Bisexual or pansexual,data.Gender diverse,
2018,data.Prince Edward Island,data.Sexual orientation not elsewhere classified,data.Total - gender,
2018,data.Prince Edward Island,data.Sexual orientation not elsewhere classified,data.Male gender,
2018,data.Prince Edward Island,data.Sexual orientation not elsewhere classified,data.Female gender,
2018,data.Prince Edward Island,data.Sexual orientation not elsewhere classified,data.Gender diverse,
2018,data.Prince Edward Island,data.Not stated - sexual orientation,data.Total - gender,
2018,data.Prince Edward Island,data.Not stated - sexual orientation,data.Male gender,
2018,data.Prince Edward Island,data.Not stated - sexual orientation,data.Female gender,
2018,data.Prince Edward Island,data.Not stated - sexual orientation,data.Gender diverse,
2018,data.Nova Scotia,data.Total - age,data.Total - gender,21.67
2018,data.Nova Scotia,data.Total - age,data.Male gender,9.61
2018,data.Nova Scotia,data.Total - age,data.Female gender,33.1
2018,data.Nova Scotia,data.Total - age,data.Gender diverse,
2018,data.Nova Scotia,data.15 to 24 years,data.Total - gender,14.04
2018,data.Nova Scotia,data.15 to 24 years,data.Male gender,
2018,data.Nova Scotia,data.15 to 24 years,data.Female gender,25.15
2018,data.Nova Scotia,data.15 to 24 years,data.Gender diverse,
2018,data.Nova Scotia,data.25 to 34 years,data.Total - gender,28.57
2018,data.Nova Scotia,data.25 to 34 years,data.Male gender,11.98
2018,data.Nova Scotia,data.25 to 34 years,data.Female gender,46.32
2018,data.Nova Scotia,data.25 to 34 years,data.Gender diverse,
2018,data.Nova Scotia,data.35 to 44 years,data.Total - gender,21.57
2018,data.Nova Scotia,data.35 to 44 years,data.Male gender,10.07
2018,data.Nova Scotia,data.35 to 44 years,data.Female gender,32.48
2018,data.Nova Scotia,data.35 to 44 years,data.Gender diverse,
2018,data.Nova Scotia,data.45 to 54 years,data.Total - gender,26.25
2018,data.Nova Scotia,data.45 to 54 years,data.Male gender,10.51
2018,data.Nova Scotia,data.45 to 54 years,data.Female gender,40.53
2018,data.Nova Scotia,data.45 to 54 years,data.Gender diverse,
2018,data.Nova Scotia,data.55 years and over,data.Total - gender,19.94
