Year,data.Geography,data.Persons in low income,Value
2018,data.Newfoundland and Labrador,data.All persons,11.2
2019,data.Newfoundland and Labrador,data.All persons,10.7
2015,data.Newfoundland and Labrador,data.Persons under 18 years,15.3
2016,data.Newfoundland and Labrador,data.Persons under 18 years,13.4
2017,data.Newfoundland and Labrador,data.Persons under 18 years,12.0
2018,data.Newfoundland and Labrador,data.Persons under 18 years,11.2
2019,data.Newfoundland and Labrador,data.Persons under 18 years,14.6
2015,data.Newfoundland and Labrador,data.Persons 18 to 64 years,13.8
2016,data.Newfoundland and Labrador,data.Persons 18 to 64 years,13.4
2017,data.Newfoundland and Labrador,data.Persons 18 to 64 years,12.7
2018,data.Newfoundland and Labrador,data.Persons 18 to 64 years,13.6
2019,data.Newfoundland and Labrador,data.Persons 18 to 64 years,11.2
2015,data.Newfoundland and Labrador,data.Persons 65 years and over,8.6
2016,data.Newfoundland and Labrador,data.Persons 65 years and over,8.0
2017,data.Newfoundland and Labrador,data.Persons 65 years and over,6.7
2018,data.Newfoundland and Labrador,data.Persons 65 years and over,4.1
2019,data.Newfoundland and Labrador,data.Persons 65 years and over,6.0
2015,data.Newfoundland and Labrador,data.Males,11.6
2016,data.Newfoundland and Labrador,data.Males,11.1
2017,data.Newfoundland and Labrador,data.Males,9.9
2018,data.Newfoundland and Labrador,data.Males,11.6
2019,data.Newfoundland and Labrador,data.Males,9.6
2015,data.Newfoundland and Labrador,"data.Males, under 18 years",13.9
2016,data.Newfoundland and Labrador,"data.Males, under 18 years",13.9
2017,data.Newfoundland and Labrador,"data.Males, under 18 years",11.5
2018,data.Newfoundland and Labrador,"data.Males, under 18 years",10.3
2019,data.Newfoundland and Labrador,"data.Males, under 18 years",14.9
2015,data.Newfoundland and Labrador,"data.Males, 18 to 64 years",12.3
2016,data.Newfoundland and Labrador,"data.Males, 18 to 64 years",11.5
2017,data.Newfoundland and Labrador,"data.Males, 18 to 64 years",10.8
2018,data.Newfoundland and Labrador,"data.Males, 18 to 64 years",14.9
2019,data.Newfoundland and Labrador,"data.Males, 18 to 64 years",9.9
2015,data.Newfoundland and Labrador,"data.Males, 65 years and over",6.6
2016,data.Newfoundland and Labrador,"data.Males, 65 years and over",7.2
2017,data.Newfoundland and Labrador,"data.Males, 65 years and over",5.1
2018,data.Newfoundland and Labrador,"data.Males, 65 years and over",2.4
2019,data.Newfoundland and Labrador,"data.Males, 65 years and over",4.4
2015,data.Newfoundland and Labrador,data.Females,14.6
2016,data.Newfoundland and Labrador,data.Females,13.6
2017,data.Newfoundland and Labrador,data.Females,12.9
2018,data.Newfoundland and Labrador,data.Females,10.8
2019,data.Newfoundland and Labrador,data.Females,11.7
2015,data.Newfoundland and Labrador,"data.Females, under 18 years",16.9
2016,data.Newfoundland and Labrador,"data.Females, under 18 years",13.0
2017,data.Newfoundland and Labrador,"data.Females, under 18 years",12.6
2018,data.Newfoundland and Labrador,"data.Females, under 18 years",12.1
2019,data.Newfoundland and Labrador,"data.Females, under 18 years",14.4
2015,data.Newfoundland and Labrador,"data.Females, 18 to 64 years",15.3
2016,data.Newfoundland and Labrador,"data.Females, 18 to 64 years",15.3
2017,data.Newfoundland and Labrador,"data.Females, 18 to 64 years",14.5
2018,data.Newfoundland and Labrador,"data.Females, 18 to 64 years",12.3
2019,data.Newfoundland and Labrador,"data.Females, 18 to 64 years",12.6
2015,data.Newfoundland and Labrador,"data.Females, 65 years and over",10.3
2016,data.Newfoundland and Labrador,"data.Females, 65 years and over",8.7
2017,data.Newfoundland and Labrador,"data.Females, 65 years and over",8.1
2018,data.Newfoundland and Labrador,"data.Females, 65 years and over",5.7
2019,data.Newfoundland and Labrador,"data.Females, 65 years and over",7.4
2015,data.Prince Edward Island,data.All persons,14.8
2016,data.Prince Edward Island,data.All persons,11.8
2017,data.Prince Edward Island,data.All persons,13.3
2018,data.Prince Edward Island,data.All persons,11.9
2019,data.Prince Edward Island,data.All persons,10.9
2015,data.Prince Edward Island,data.Persons under 18 years,15.1
2016,data.Prince Edward Island,data.Persons under 18 years,14.9
2017,data.Prince Edward Island,data.Persons under 18 years,13.4
2018,data.Prince Edward Island,data.Persons under 18 years,9.8
2019,data.Prince Edward Island,data.Persons under 18 years,13.7
2015,data.Prince Edward Island,data.Persons 18 to 64 years,15.4
2016,data.Prince Edward Island,data.Persons 18 to 64 years,11.9
2017,data.Prince Edward Island,data.Persons 18 to 64 years,14.3
2018,data.Prince Edward Island,data.Persons 18 to 64 years,13.1
2019,data.Prince Edward Island,data.Persons 18 to 64 years,11.4
2015,data.Prince Edward Island,data.Persons 65 years and over,12.5
2016,data.Prince Edward Island,data.Persons 65 years and over,7.9
2017,data.Prince Edward Island,data.Persons 65 years and over,10.1
2018,data.Prince Edward Island,data.Persons 65 years and over,10.1
2019,data.Prince Edward Island,data.Persons 65 years and over,6.4
2015,data.Prince Edward Island,data.Males,14.2
2016,data.Prince Edward Island,data.Males,9.8
2017,data.Prince Edward Island,data.Males,13.3
2018,data.Prince Edward Island,data.Males,12.3
2019,data.Prince Edward Island,data.Males,10.2
2015,data.Prince Edward Island,"data.Males, under 18 years",15.3
2016,data.Prince Edward Island,"data.Males, under 18 years",11.9
2017,data.Prince Edward Island,"data.Males, under 18 years",15.1
2018,data.Prince Edward Island,"data.Males, under 18 years",10.4
2019,data.Prince Edward Island,"data.Males, under 18 years",16.8
2015,data.Prince Edward Island,"data.Males, 18 to 64 years",15.5
2016,data.Prince Edward Island,"data.Males, 18 to 64 years",10.9
2017,data.Prince Edward Island,"data.Males, 18 to 64 years",13.4
2018,data.Prince Edward Island,"data.Males, 18 to 64 years",14.4
2019,data.Prince Edward Island,"data.Males, 18 to 64 years",9.5
2015,data.Prince Edward Island,"data.Males, 65 years and over",8.5
2016,data.Prince Edward Island,"data.Males, 65 years and over",
2017,data.Prince Edward Island,"data.Males, 65 years and over",10.8
2018,data.Prince Edward Island,"data.Males, 65 years and over",7.3
2019,data.Prince Edward Island,"data.Males, 65 years and over",
2015,data.Prince Edward Island,data.Females,15.4
2016,data.Prince Edward Island,data.Females,13.6
2017,data.Prince Edward Island,data.Females,13.3
2018,data.Prince Edward Island,data.Females,11.5
2019,data.Prince Edward Island,data.Females,11.5
2015,data.Prince Edward Island,"data.Females, under 18 years",15.0
2016,data.Prince Edward Island,"data.Females, under 18 years",18.2
2017,data.Prince Edward Island,"data.Females, under 18 years",11.3
2018,data.Prince Edward Island,"data.Females, under 18 years",
2019,data.Prince Edward Island,"data.Females, under 18 years",
2015,data.Prince Edward Island,"data.Females, 18 to 64 years",15.4
2016,data.Prince Edward Island,"data.Females, 18 to 64 years",12.9
2017,data.Prince Edward Island,"data.Females, 18 to 64 years",15.1
2018,data.Prince Edward Island,"data.Females, 18 to 64 years",11.9
2019,data.Prince Edward Island,"data.Females, 18 to 64 years",13.3
2015,data.Prince Edward Island,"data.Females, 65 years and over",16.1
2016,data.Prince Edward Island,"data.Females, 65 years and over",11.7
2017,data.Prince Edward Island,"data.Females, 65 years and over",9.4
2018,data.Prince Edward Island,"data.Females, 65 years and over",12.6
2019,data.Prince Edward Island,"data.Females, 65 years and over",7.3
2015,data.Nova Scotia,data.All persons,17.0
2016,data.Nova Scotia,data.All persons,16.2
2017,data.Nova Scotia,data.All persons,15.0
2018,data.Nova Scotia,data.All persons,13.3
2019,data.Nova Scotia,data.All persons,12.1
2015,data.Nova Scotia,data.Persons under 18 years,20.7
2016,data.Nova Scotia,data.Persons under 18 years,19.1
2017,data.Nova Scotia,data.Persons under 18 years,19.4
2018,data.Nova Scotia,data.Persons under 18 years,14.8
2019,data.Nova Scotia,data.Persons under 18 years,11.7
2015,data.Nova Scotia,data.Persons 18 to 64 years,18.0
2016,data.Nova Scotia,data.Persons 18 to 64 years,18.0
2017,data.Nova Scotia,data.Persons 18 to 64 years,16.3
2018,data.Nova Scotia,data.Persons 18 to 64 years,14.6
2019,data.Nova Scotia,data.Persons 18 to 64 years,13.7
2015,data.Nova Scotia,data.Persons 65 years and over,10.5
2016,data.Nova Scotia,data.Persons 65 years and over,7.9
2017,data.Nova Scotia,data.Persons 65 years and over,6.9
2018,data.Nova Scotia,data.Persons 65 years and over,8.1
2019,data.Nova Scotia,data.Persons 65 years and over,7.8
2015,data.Nova Scotia,data.Males,16.5
2016,data.Nova Scotia,data.Males,17.0
2017,data.Nova Scotia,data.Males,13.5
2018,data.Nova Scotia,data.Males,13.0
2019,data.Nova Scotia,data.Males,10.9
2015,data.Nova Scotia,"data.Males, under 18 years",19.3
2016,data.Nova Scotia,"data.Males, under 18 years",20.4
2017,data.Nova Scotia,"data.Males, under 18 years",17.4
2018,data.Nova Scotia,"data.Males, under 18 years",16.2
2019,data.Nova Scotia,"data.Males, under 18 years",11.8
2015,data.Nova Scotia,"data.Males, 18 to 64 years",18.0
2016,data.Nova Scotia,"data.Males, 18 to 64 years",18.7
2017,data.Nova Scotia,"data.Males, 18 to 64 years",15.0
2018,data.Nova Scotia,"data.Males, 18 to 64 years",14.4
2019,data.Nova Scotia,"data.Males, 18 to 64 years",12.2
2015,data.Nova Scotia,"data.Males, 65 years and over",8.1
2016,data.Nova Scotia,"data.Males, 65 years and over",8.0
2017,data.Nova Scotia,"data.Males, 65 years and over",5.0
2018,data.Nova Scotia,"data.Males, 65 years and over",5.7
2019,data.Nova Scotia,"data.Males, 65 years and over",5.7
2015,data.Nova Scotia,data.Females,17.5
2016,data.Nova Scotia,data.Females,15.4
2017,data.Nova Scotia,data.Females,16.3
2018,data.Nova Scotia,data.Females,13.6
2019,data.Nova Scotia,data.Females,13.3
2015,data.Nova Scotia,"data.Females, under 18 years",22.3
2016,data.Nova Scotia,"data.Females, under 18 years",17.6
2017,data.Nova Scotia,"data.Females, under 18 years",21.6
2018,data.Nova Scotia,"data.Females, under 18 years",13.3
2019,data.Nova Scotia,"data.Females, under 18 years",11.6
2015,data.Nova Scotia,"data.Females, 18 to 64 years",18.0
2016,data.Nova Scotia,"data.Females, 18 to 64 years",17.3
2017,data.Nova Scotia,"data.Females, 18 to 64 years",17.5
2018,data.Nova Scotia,"data.Females, 18 to 64 years",14.8
2019,data.Nova Scotia,"data.Females, 18 to 64 years",15.1
2015,data.Nova Scotia,"data.Females, 65 years and over",12.4
2016,data.Nova Scotia,"data.Females, 65 years and over",7.8
2017,data.Nova Scotia,"data.Females, 65 years and over",8.6
2018,data.Nova Scotia,"data.Females, 65 years and over",10.2
2019,data.Nova Scotia,"data.Females, 65 years and over",9.7
2015,data.New Brunswick,data.All persons,16.1
2016,data.New Brunswick,data.All persons,13.6
2017,data.New Brunswick,data.All persons,12.1
2018,data.New Brunswick,data.All persons,10.0
2019,data.New Brunswick,data.All persons,9.4
2015,data.New Brunswick,data.Persons under 18 years,20.3
2016,data.New Brunswick,data.Persons under 18 years,16.5
2017,data.New Brunswick,data.Persons under 18 years,15.4
2018,data.New Brunswick,data.Persons under 18 years,11.5
2019,data.New Brunswick,data.Persons under 18 years,12.4
2015,data.New Brunswick,data.Persons 18 to 64 years,16.5
2016,data.New Brunswick,data.Persons 18 to 64 years,14.0
2017,data.New Brunswick,data.Persons 18 to 64 years,13.1
2018,data.New Brunswick,data.Persons 18 to 64 years,11.1
2019,data.New Brunswick,data.Persons 18 to 64 years,9.9
2015,data.New Brunswick,data.Persons 65 years and over,10.8
2016,data.New Brunswick,data.Persons 65 years and over,9.6
2017,data.New Brunswick,data.Persons 65 years and over,6.3
2018,data.New Brunswick,data.Persons 65 years and over,5.3
2019,data.New Brunswick,data.Persons 65 years and over,5.6
2015,data.New Brunswick,data.Males,15.9
2016,data.New Brunswick,data.Males,12.1
2017,data.New Brunswick,data.Males,11.2
2018,data.New Brunswick,data.Males,9.7
2019,data.New Brunswick,data.Males,7.8
2015,data.New Brunswick,"data.Males, under 18 years",21.8
2016,data.New Brunswick,"data.Males, under 18 years",17.2
2017,data.New Brunswick,"data.Males, under 18 years",14.9
2018,data.New Brunswick,"data.Males, under 18 years",11.1
2019,data.New Brunswick,"data.Males, under 18 years",9.7
2015,data.New Brunswick,"data.Males, 18 to 64 years",16.1
2016,data.New Brunswick,"data.Males, 18 to 64 years",12.1
2017,data.New Brunswick,"data.Males, 18 to 64 years",12.0
2018,data.New Brunswick,"data.Males, 18 to 64 years",10.9
2019,data.New Brunswick,"data.Males, 18 to 64 years",8.8
2015,data.New Brunswick,"data.Males, 65 years and over",8.5
2016,data.New Brunswick,"data.Males, 65 years and over",7.0
2017,data.New Brunswick,"data.Males, 65 years and over",5.1
2018,data.New Brunswick,"data.Males, 65 years and over",4.4
2019,data.New Brunswick,"data.Males, 65 years and over",3.2
2015,data.New Brunswick,data.Females,16.3
2016,data.New Brunswick,data.Females,14.9
2017,data.New Brunswick,data.Females,13.0
2018,data.New Brunswick,data.Females,10.3
2019,data.New Brunswick,data.Females,11.0
2015,data.New Brunswick,"data.Females, under 18 years",18.5
2016,data.New Brunswick,"data.Females, under 18 years",15.7
2017,data.New Brunswick,"data.Females, under 18 years",15.8
2018,data.New Brunswick,"data.Females, under 18 years",12.1
2019,data.New Brunswick,"data.Females, under 18 years",15.2
2015,data.New Brunswick,"data.Females, 18 to 64 years",16.8
2016,data.New Brunswick,"data.Females, 18 to 64 years",15.8
2017,data.New Brunswick,"data.Females, 18 to 64 years",14.1
2018,data.New Brunswick,"data.Females, 18 to 64 years",11.3
2019,data.New Brunswick,"data.Females, 18 to 64 years",10.9
2015,data.New Brunswick,"data.Females, 65 years and over",12.7
2016,data.New Brunswick,"data.Females, 65 years and over",11.8
2017,data.New Brunswick,"data.Females, 65 years and over",7.4
2018,data.New Brunswick,"data.Females, 65 years and over",6.1
2019,data.New Brunswick,"data.Females, 65 years and over",7.8
2015,data.Manitoba,data.All persons,14.0
2016,data.Manitoba,data.All persons,12.3
2017,data.Manitoba,data.All persons,11.0
2018,data.Manitoba,data.All persons,10.9
2019,data.Manitoba,data.All persons,11.4
2015,data.Manitoba,data.Persons under 18 years,19.2
2016,data.Manitoba,data.Persons under 18 years,15.6
2017,data.Manitoba,data.Persons under 18 years,12.7
2018,data.Manitoba,data.Persons under 18 years,13.1
2019,data.Manitoba,data.Persons under 18 years,14.4
2015,data.Manitoba,data.Persons 18 to 64 years,14.1
2016,data.Manitoba,data.Persons 18 to 64 years,13.0
2017,data.Manitoba,data.Persons 18 to 64 years,11.9
2018,data.Manitoba,data.Persons 18 to 64 years,11.4
2019,data.Manitoba,data.Persons 18 to 64 years,11.8
2015,data.Manitoba,data.Persons 65 years and over,5.9
2016,data.Manitoba,data.Persons 65 years and over,4.9
2017,data.Manitoba,data.Persons 65 years and over,5.4
2018,data.Manitoba,data.Persons 65 years and over,5.8
2019,data.Manitoba,data.Persons 65 years and over,5.4
2015,data.Manitoba,data.Males,14.4
2016,data.Manitoba,data.Males,12.4
2017,data.Manitoba,data.Males,10.7
2018,data.Manitoba,data.Males,11.0
2019,data.Manitoba,data.Males,11.8
2015,data.Manitoba,"data.Males, under 18 years",22.8
2016,data.Manitoba,"data.Males, under 18 years",16.7
2017,data.Manitoba,"data.Males, under 18 years",11.5
2018,data.Manitoba,"data.Males, under 18 years",13.9
2019,data.Manitoba,"data.Males, under 18 years",15.7
2015,data.Manitoba,"data.Males, 18 to 64 years",13.8
2016,data.Manitoba,"data.Males, 18 to 64 years",12.8
2017,data.Manitoba,"data.Males, 18 to 64 years",11.7
2018,data.Manitoba,"data.Males, 18 to 64 years",11.4
2019,data.Manitoba,"data.Males, 18 to 64 years",12.0
2015,data.Manitoba,"data.Males, 65 years and over",3.8
2016,data.Manitoba,"data.Males, 65 years and over",3.9
2017,data.Manitoba,"data.Males, 65 years and over",4.6
2018,data.Manitoba,"data.Males, 65 years and over",4.9
2019,data.Manitoba,"data.Males, 65 years and over",5.2
2015,data.Manitoba,data.Females,13.5
2016,data.Manitoba,data.Females,12.2
2017,data.Manitoba,data.Females,11.4
2018,data.Manitoba,data.Females,10.7
2019,data.Manitoba,data.Females,10.9
2015,data.Manitoba,"data.Females, under 18 years",15.4
2016,data.Manitoba,"data.Females, under 18 years",14.3
2017,data.Manitoba,"data.Females, under 18 years",13.8
2018,data.Manitoba,"data.Females, under 18 years",12.2
2019,data.Manitoba,"data.Females, under 18 years",13.1
2015,data.Manitoba,"data.Females, 18 to 64 years",14.3
2016,data.Manitoba,"data.Females, 18 to 64 years",13.2
2017,data.Manitoba,"data.Females, 18 to 64 years",12.0
2018,data.Manitoba,"data.Females, 18 to 64 years",11.3
2019,data.Manitoba,"data.Females, 18 to 64 years",11.7
2015,data.Manitoba,"data.Females, 65 years and over",7.7
2016,data.Manitoba,"data.Females, 65 years and over",5.7
2017,data.Manitoba,"data.Females, 65 years and over",6.1
2018,data.Manitoba,"data.Females, 65 years and over",6.6
2019,data.Manitoba,"data.Females, 65 years and over",5.5
2015,data.Saskatchewan,data.All persons,12.7
2016,data.Saskatchewan,data.All persons,11.5
2017,data.Saskatchewan,data.All persons,12.2
2018,data.Saskatchewan,data.All persons,11.2
2019,data.Saskatchewan,data.All persons,12.4
2015,data.Saskatchewan,data.Persons under 18 years,17.1
2016,data.Saskatchewan,data.Persons under 18 years,12.4
2017,data.Saskatchewan,data.Persons under 18 years,14.5
2018,data.Saskatchewan,data.Persons under 18 years,11.6
2019,data.Saskatchewan,data.Persons under 18 years,12.6
2015,data.Saskatchewan,data.Persons 18 to 64 years,12.8
2016,data.Saskatchewan,data.Persons 18 to 64 years,12.2
2017,data.Saskatchewan,data.Persons 18 to 64 years,13.1
2018,data.Saskatchewan,data.Persons 18 to 64 years,12.7
2019,data.Saskatchewan,data.Persons 18 to 64 years,14.0
2015,data.Saskatchewan,data.Persons 65 years and over,6.2
2016,data.Saskatchewan,data.Persons 65 years and over,7.0
2017,data.Saskatchewan,data.Persons 65 years and over,5.4
2018,data.Saskatchewan,data.Persons 65 years and over,4.6
2019,data.Saskatchewan,data.Persons 65 years and over,5.9
2015,data.Saskatchewan,data.Males,11.3
2016,data.Saskatchewan,data.Males,10.6
2017,data.Saskatchewan,data.Males,11.9
2018,data.Saskatchewan,data.Males,11.0
2019,data.Saskatchewan,data.Males,13.0
2015,data.Saskatchewan,"data.Males, under 18 years",15.7
2016,data.Saskatchewan,"data.Males, under 18 years",11.5
2017,data.Saskatchewan,"data.Males, under 18 years",14.3
2018,data.Saskatchewan,"data.Males, under 18 years",10.8
2019,data.Saskatchewan,"data.Males, under 18 years",12.9
2015,data.Saskatchewan,"data.Males, 18 to 64 years",11.2
2016,data.Saskatchewan,"data.Males, 18 to 64 years",11.3
2017,data.Saskatchewan,"data.Males, 18 to 64 years",12.7
2018,data.Saskatchewan,"data.Males, 18 to 64 years",12.8
2019,data.Saskatchewan,"data.Males, 18 to 64 years",14.5
2015,data.Saskatchewan,"data.Males, 65 years and over",4.4
2016,data.Saskatchewan,"data.Males, 65 years and over",6.2
2017,data.Saskatchewan,"data.Males, 65 years and over",4.7
2018,data.Saskatchewan,"data.Males, 65 years and over",3.2
2019,data.Saskatchewan,"data.Males, 65 years and over",6.4
2015,data.Saskatchewan,data.Females,14.2
2016,data.Saskatchewan,data.Females,12.3
2017,data.Saskatchewan,data.Females,12.5
2018,data.Saskatchewan,data.Females,11.5
2019,data.Saskatchewan,data.Females,11.8
2015,data.Saskatchewan,"data.Females, under 18 years",18.4
2016,data.Saskatchewan,"data.Females, under 18 years",13.4
2017,data.Saskatchewan,"data.Females, under 18 years",14.7
2018,data.Saskatchewan,"data.Females, under 18 years",12.3
2019,data.Saskatchewan,"data.Females, under 18 years",12.3
2015,data.Saskatchewan,"data.Females, 18 to 64 years",14.4
2016,data.Saskatchewan,"data.Females, 18 to 64 years",13.2
2017,data.Saskatchewan,"data.Females, 18 to 64 years",13.5
2018,data.Saskatchewan,"data.Females, 18 to 64 years",12.7
2019,data.Saskatchewan,"data.Females, 18 to 64 years",13.4
2015,data.Saskatchewan,"data.Females, 65 years and over",7.7
2016,data.Saskatchewan,"data.Females, 65 years and over",7.6
2017,data.Saskatchewan,"data.Females, 65 years and over",6.0
2018,data.Saskatchewan,"data.Females, 65 years and over",5.9
2019,data.Saskatchewan,"data.Females, 65 years and over",5.5
2015,data.Alberta,data.All persons,10.0
2016,data.Alberta,data.All persons,10.8
2017,data.Alberta,data.All persons,9.0
2018,data.Alberta,data.All persons,9.4
2019,data.Alberta,data.All persons,8.2
2015,data.Alberta,data.Persons under 18 years,12.9
2016,data.Alberta,data.Persons under 18 years,11.4
2017,data.Alberta,data.Persons under 18 years,7.9
2018,data.Alberta,data.Persons under 18 years,9.2
2019,data.Alberta,data.Persons under 18 years,7.2
2015,data.Alberta,data.Persons 18 to 64 years,10.2
2016,data.Alberta,data.Persons 18 to 64 years,11.8
2017,data.Alberta,data.Persons 18 to 64 years,10.4
2018,data.Alberta,data.Persons 18 to 64 years,10.6
2019,data.Alberta,data.Persons 18 to 64 years,9.6
2015,data.Alberta,data.Persons 65 years and over,3.2
2016,data.Alberta,data.Persons 65 years and over,4.5
2017,data.Alberta,data.Persons 65 years and over,2.9
2018,data.Alberta,data.Persons 65 years and over,3.5
2019,data.Alberta,data.Persons 65 years and over,3.3
2015,data.Alberta,data.Males,9.5
2016,data.Alberta,data.Males,10.5
2017,data.Alberta,data.Males,8.2
2018,data.Alberta,data.Males,9.6
2019,data.Alberta,data.Males,8.5
2015,data.Alberta,"data.Males, under 18 years",10.1
2016,data.Alberta,"data.Males, under 18 years",11.2
2017,data.Alberta,"data.Males, under 18 years",7.4
2018,data.Alberta,"data.Males, under 18 years",9.8
2019,data.Alberta,"data.Males, under 18 years",8.0
2015,data.Alberta,"data.Males, 18 to 64 years",10.3
2016,data.Alberta,"data.Males, 18 to 64 years",11.2
2017,data.Alberta,"data.Males, 18 to 64 years",9.4
2018,data.Alberta,"data.Males, 18 to 64 years",10.7
2019,data.Alberta,"data.Males, 18 to 64 years",9.6
2015,data.Alberta,"data.Males, 65 years and over",
2016,data.Alberta,"data.Males, 65 years and over",4.7
2017,data.Alberta,"data.Males, 65 years and over",2.7
2018,data.Alberta,"data.Males, 65 years and over",2.5
2019,data.Alberta,"data.Males, 65 years and over",4.1
2015,data.Alberta,data.Females,10.5
2016,data.Alberta,data.Females,11.2
2017,data.Alberta,data.Females,9.7
2018,data.Alberta,data.Females,9.2
2019,data.Alberta,data.Females,7.9
2015,data.Alberta,"data.Females, under 18 years",15.9
2016,data.Alberta,"data.Females, under 18 years",11.6
2017,data.Alberta,"data.Females, under 18 years",8.4
2018,data.Alberta,"data.Females, under 18 years",8.6
2019,data.Alberta,"data.Females, under 18 years",6.5
2015,data.Alberta,"data.Females, 18 to 64 years",10.1
2016,data.Alberta,"data.Females, 18 to 64 years",12.4
2017,data.Alberta,"data.Females, 18 to 64 years",11.4
2018,data.Alberta,"data.Females, 18 to 64 years",10.4
2019,data.Alberta,"data.Females, 18 to 64 years",9.6
2015,data.Alberta,"data.Females, 65 years and over",3.5
2016,data.Alberta,"data.Females, 65 years and over",4.3
2017,data.Alberta,"data.Females, 65 years and over",3.1
2018,data.Alberta,"data.Females, 65 years and over",4.3
2019,data.Alberta,"data.Females, 65 years and over",2.7
