Year,data.Series,data.Demographic and geodemographic,Géographie,GeoCode,Value
2023,Âge,data.0 to 14 years,Canada,,11.8
2023,Âge,15 à 64 ans,Canada,,49.7
2023,Âge,65 ans et plus,Canada,,13.6
2023,Genre,Hommes+,Canada,,37.6
2023,Total,data.Percentage of population within 500 metres of a public transit stop,Canada,,75.1
2023,Genre,Femmes+,Canada,,39.3
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Edmonton, Alberta",,82.7
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Greater Sudbury / Grand Sudbury, Ontario",,66.5
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Guelph, Ontario",,83.5
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Halifax, Nouvelle-Écosse",,70.9
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Hamilton, Ontario",,81.1
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Kelowna, Colombie-Britannique",,73.7
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Kingston, Ontario",,69.4
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Kitchener - Cambridge - Waterloo, Ontario",,86.2
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Lethbridge, Alberta",,71.6
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"London, Ontario",,77.7
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Moncton, Nouveau-Brunswick",,65.4
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Montreal, Quebec",,91.6
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Oshawa, Ontario",,88.7
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Ottawa - Gatineau (partie de l'Ontario), Ontario",,85.0
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Ottawa - Gatineau (partie du Québec), Québec",,77.2
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Peterborough, Ontario",,62.7
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Québec, Québec",,83.1
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Regina, Saskatchewan",,90.4
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Saguenay, Québec",,75.4
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Saint John, Nouveau-Brunswick",,49.1
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Saskatoon, Saskatchewan",,82.6
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Sherbrooke, Québec",,76.4
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"St. Catharines - Niagara, Ontario",,80.9
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"St. John's, Terre-Neuve-et-Labrador",,59.9
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Thunder Bay, Ontario",,76.3
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Toronto, Ontario",,93.0
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Trois-Rivières, Québec",,75.4
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Vancouver, Colombie-Britannique",,92.7
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Victoria, Colombie-Britannique",,90.4
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Windsor, Ontario",,67.1
2016,Total,data.Percentage of population within 500 metres of a public transit stop,"Winnipeg, Manitoba",,88.2
