Year,Géographie,GeoCode,Sexe,Groupe d'âge,Value
2018,Colombie-Britannique,59,,,28.08
2018,Yukon,60,,,14.53
2018,Territoires du Nord-Ouest,61,,,12.67
2018,Nunavut,62,,,15.03
2018,Canada,,Total,Total,28.93
2018,Canada,,Total,15-24,70.37
2018,Canada,,Total,25-54,20.18
2018,Canada,,Total,55+,24.83
2018,Canada,,Homme,Total,24.28
2018,Canada,,Homme,15-24,65.66
2018,Canada,,Homme,25-54,15.81
2018,Canada,,Homme,55+,19.12
2018,Canada,,Femme,Total,33.72
2018,Canada,,Femme,15-24,75.26
2018,Canada,,Femme,25-54,24.65
2018,Canada,,Femme,55+,30.8
2019,Canada,,,,27.38
2019,Terre-Neuve-et-Labrador,10,,,33.86
2019,Île-du-Prince-Édouard,11,,,40.66
2019,Nouvelle-Écosse,12,,,37.88
2019,Nouveau-Brunswick,13,,,38.28
2019,Québec,24,,,28.14
2019,Ontario,35,,,27.95
2019,Manitoba,46,,,33.79
2019,Saskatchewan,47,,,26.44
2019,Alberta,48,,,20.03
2019,Colombie-Britannique,59,,,24.92
2019,Yukon,60,,,15.27
2019,Territoires du Nord-Ouest,61,,,12.2
2019,Nunavut,62,,,14.15
2019,Canada,,Total,Total,27.38
2019,Canada,,Total,15-24,68.56
2019,Canada,,Total,25-54,18.4
2019,Canada,,Total,55+,24.15
2019,Canada,,Homme,Total,22.92
2019,Canada,,Homme,15-24,63.96
2019,Canada,,Homme,25-54,14.19
2019,Canada,,Homme,55+,19.09
2019,Canada,,Femme,Total,31.97
2019,Canada,,Femme,15-24,73.24
2019,Canada,,Femme,25-54,22.68
2019,Canada,,Femme,55+,29.6
2020,Canada,,,,26.69
2020,Terre-Neuve-et-Labrador,10,,,35.88
2020,Île-du-Prince-Édouard,11,,,38.99
2020,Nouvelle-Écosse,12,,,37.72
2020,Nouveau-Brunswick,13,,,40.05
2020,Québec,24,,,26.43
2020,Ontario,35,,,26.78
2020,Manitoba,46,,,34.37
2020,Saskatchewan,47,,,26.18
2020,Alberta,48,,,21.26
2020,Colombie-Britannique,59,,,24.3
2020,Yukon,60,,,16.03
2020,Territoires du Nord-Ouest,61,,,11.72
2020,Nunavut,62,,,17.62
2020,Canada,,Total,Total,26.69
2020,Canada,,Total,15-24,70.81
2020,Canada,,Total,25-54,18.12
2020,Canada,,Total,55+,24.05
2020,Canada,,Homme,Total,22.84
2020,Canada,,Homme,15-24,67.15
2020,Canada,,Homme,25-54,14.55
2020,Canada,,Homme,55+,19.04
2020,Canada,,Femme,Total,30.73
2020,Canada,,Femme,15-24,74.64
2020,Canada,,Femme,25-54,21.83
2020,Canada,,Femme,55+,29.51
2021,Canada,,,,27.19
2021,Terre-Neuve-et-Labrador,10,,,32.95
2021,Île-du-Prince-Édouard,11,,,39.66
2021,Nouvelle-Écosse,12,,,38.26
2021,Nouveau-Brunswick,13,,,38.51
2021,Québec,24,,,26.37
2021,Ontario,35,,,27.7
2021,Manitoba,46,,,35.63
2021,Saskatchewan,47,,,27.44
2021,Alberta,48,,,23.38
2021,Colombie-Britannique,59,,,23.57
2021,Yukon,60,,,14.18
2021,Territoires du Nord-Ouest,61,,,12.52
2021,Nunavut,62,,,11.68
2021,Canada,,Total,Total,27.19
2021,Canada,,Total,15-24,71.35
2021,Canada,,Total,25-54,18.08
2021,Canada,,Total,55+,24.39
2021,Canada,,Homme,Total,23.56
2021,Canada,,Homme,15-24,68.29
2021,Canada,,Homme,25-54,14.69
2021,Canada,,Homme,55+,19.54
2021,Canada,,Femme,Total,30.95
2021,Canada,,Femme,15-24,74.5
2021,Canada,,Femme,25-54,21.55
2021,Canada,,Femme,55+,29.7
2022,Canada,,,,24.85
2022,Terre-Neuve-et-Labrador,10,,,32.56
2022,Île-du-Prince-Édouard,11,,,36.33
2022,Nouvelle-Écosse,12,,,35.36
2022,Nouveau-Brunswick,13,,,35.16
2022,Québec,24,,,22.94
2022,Ontario,35,,,25.24
2022,Manitoba,46,,,33.97
2022,Saskatchewan,47,,,26.83
2022,Alberta,48,,,23.33
2022,Colombie-Britannique,59,,,20.97
2022,Yukon,60,,,11.45
2022,Territoires du Nord-Ouest,61,,,12.6
2022,Nunavut,62,,,13.92
2022,Canada,,Total,Total,24.85
2022,Canada,,Total,15-24,66.95
2022,Canada,,Total,25-54,15.91
2022,Canada,,Total,55+,22.52
2022,Canada,,Homme,Total,20.68
2022,Canada,,Homme,15-24,63.32
2022,Canada,,Homme,25-54,12.04
2022,Canada,,Homme,55+,17.41
2022,Canada,,Femme,Total,29.15
2022,Canada,,Femme,15-24,70.59
2022,Canada,,Femme,25-54,19.88
2022,Canada,,Femme,55+,27.98
