"Year","Geography","Education attainment level","Gender","Population characteristics","Age group","GeoCode","Value"
"2010","Canada","Master's or Doctoral level","Total - Gender","Total population","25 to 34 years",,8
"2010","Canada","Master's or Doctoral level","Men+","Total population","25 to 34 years",,7
"2010","Canada","Master's or Doctoral level","Women+","Total population","25 to 34 years",,9
"2010","Canada","Master's or Doctoral level","Total - Gender","Total population","30 to 34 years",,9
"2010","Canada","Master's or Doctoral level","Men+","Total population","30 to 34 years",,9
"2010","Canada","Master's or Doctoral level","Women+","Total population","30 to 34 years",,10
"2010","Canada","Master's or Doctoral level","Total - Gender","Total population","35 to 44 years",,9
"2010","Canada","Master's or Doctoral level","Men+","Total population","35 to 44 years",,9
"2010","Canada","Master's or Doctoral level","Women+","Total population","35 to 44 years",,9
"2010","Canada","Master's or Doctoral level","Total - Gender","Total population","45 to 54 years",,8
"2010","Canada","Master's or Doctoral level","Men+","Total population","45 to 54 years",,8
"2010","Canada","Master's or Doctoral level","Women+","Total population","45 to 54 years",,7
"2010","Canada","Master's or Doctoral level","Total - Gender","Total population","55 to 64 years",,8
"2010","Canada","Master's or Doctoral level","Men+","Total population","55 to 64 years",,10
"2010","Canada","Master's or Doctoral level","Women+","Total population","55 to 64 years",,6
"2010","Newfoundland and Labrador","Tertiary education","Total - Gender","Total population","Total, 25 to 64 years",10,36
"2010","Newfoundland and Labrador","Tertiary education","Men+","Total population","Total, 25 to 64 years",10,30
"2010","Newfoundland and Labrador","Tertiary education","Women+","Total population","Total, 25 to 64 years",10,41
"2010","Newfoundland and Labrador","Tertiary education","Total - Gender","Total population","25 to 34 years",10,47
"2010","Newfoundland and Labrador","Tertiary education","Men+","Total population","25 to 34 years",10,38
"2010","Newfoundland and Labrador","Tertiary education","Women+","Total population","25 to 34 years",10,55
"2010","Newfoundland and Labrador","Tertiary education","Total - Gender","Total population","30 to 34 years",10,48
"2010","Newfoundland and Labrador","Tertiary education","Men+","Total population","30 to 34 years",10,41
"2010","Newfoundland and Labrador","Tertiary education","Women+","Total population","30 to 34 years",10,55
"2010","Newfoundland and Labrador","Tertiary education","Total - Gender","Total population","35 to 44 years",10,43
"2010","Newfoundland and Labrador","Tertiary education","Men+","Total population","35 to 44 years",10,35
"2010","Newfoundland and Labrador","Tertiary education","Women+","Total population","35 to 44 years",10,51
"2010","Newfoundland and Labrador","Tertiary education","Total - Gender","Total population","45 to 54 years",10,31
"2010","Newfoundland and Labrador","Tertiary education","Men+","Total population","45 to 54 years",10,26
"2010","Newfoundland and Labrador","Tertiary education","Women+","Total population","45 to 54 years",10,35
"2010","Newfoundland and Labrador","Tertiary education","Total - Gender","Total population","55 to 64 years",10,26
"2010","Newfoundland and Labrador","Tertiary education","Men+","Total population","55 to 64 years",10,23
"2010","Newfoundland and Labrador","Tertiary education","Women+","Total population","55 to 64 years",10,28
"2010","Newfoundland and Labrador","Short-cycle tertiary","Total - Gender","Total population","Total, 25 to 64 years",10,21
"2010","Newfoundland and Labrador","Short-cycle tertiary","Men+","Total population","Total, 25 to 64 years",10,17
"2010","Newfoundland and Labrador","Short-cycle tertiary","Women+","Total population","Total, 25 to 64 years",10,25
"2010","Newfoundland and Labrador","Short-cycle tertiary","Total - Gender","Total population","25 to 34 years",10,24
"2010","Newfoundland and Labrador","Short-cycle tertiary","Men+","Total population","25 to 34 years",10,21
"2010","Newfoundland and Labrador","Short-cycle tertiary","Women+","Total population","25 to 34 years",10,27
"2010","Newfoundland and Labrador","Short-cycle tertiary","Total - Gender","Total population","30 to 34 years",10,26
"2010","Newfoundland and Labrador","Short-cycle tertiary","Men+","Total population","30 to 34 years",10,24
"2010","Newfoundland and Labrador","Short-cycle tertiary","Women+","Total population","30 to 34 years",10,29
"2010","Newfoundland and Labrador","Short-cycle tertiary","Total - Gender","Total population","35 to 44 years",10,28
"2010","Newfoundland and Labrador","Short-cycle tertiary","Men+","Total population","35 to 44 years",10,22
"2010","Newfoundland and Labrador","Short-cycle tertiary","Women+","Total population","35 to 44 years",10,33
"2010","Newfoundland and Labrador","Short-cycle tertiary","Total - Gender","Total population","45 to 54 years",10,19
"2010","Newfoundland and Labrador","Short-cycle tertiary","Men+","Total population","45 to 54 years",10,15
"2010","Newfoundland and Labrador","Short-cycle tertiary","Women+","Total population","45 to 54 years",10,23
"2010","Newfoundland and Labrador","Short-cycle tertiary","Total - Gender","Total population","55 to 64 years",10,14
"2010","Newfoundland and Labrador","Short-cycle tertiary","Men+","Total population","55 to 64 years",10,10
"2010","Newfoundland and Labrador","Short-cycle tertiary","Women+","Total population","55 to 64 years",10,18
"2010","Newfoundland and Labrador","Bachelor's level","Total - Gender","Total population","Total, 25 to 64 years",10,10
"2010","Newfoundland and Labrador","Bachelor's level","Men+","Total population","Total, 25 to 64 years",10,9
"2010","Newfoundland and Labrador","Bachelor's level","Women+","Total population","Total, 25 to 64 years",10,12
"2010","Newfoundland and Labrador","Bachelor's level","Total - Gender","Total population","25 to 34 years",10,18
"2010","Newfoundland and Labrador","Bachelor's level","Men+","Total population","25 to 34 years",10,13
"2010","Newfoundland and Labrador","Bachelor's level","Women+","Total population","25 to 34 years",10,23
"2010","Newfoundland and Labrador","Bachelor's level","Total - Gender","Total population","30 to 34 years",10,15
"2010","Newfoundland and Labrador","Bachelor's level","Men+","Total population","30 to 34 years",10,11
"2010","Newfoundland and Labrador","Bachelor's level","Women+","Total population","30 to 34 years",10,19
"2010","Newfoundland and Labrador","Bachelor's level","Total - Gender","Total population","35 to 44 years",10,11
"2010","Newfoundland and Labrador","Bachelor's level","Men+","Total population","35 to 44 years",10,9
"2010","Newfoundland and Labrador","Bachelor's level","Women+","Total population","35 to 44 years",10,13
"2010","Newfoundland and Labrador","Bachelor's level","Total - Gender","Total population","45 to 54 years",10,7
"2010","Newfoundland and Labrador","Bachelor's level","Men+","Total population","45 to 54 years",10,6
"2010","Newfoundland and Labrador","Bachelor's level","Women+","Total population","45 to 54 years",10,7
"2010","Newfoundland and Labrador","Bachelor's level","Total - Gender","Total population","55 to 64 years",10,8
"2010","Newfoundland and Labrador","Bachelor's level","Men+","Total population","55 to 64 years",10,7
"2010","Newfoundland and Labrador","Bachelor's level","Women+","Total population","55 to 64 years",10,8
"2010","Newfoundland and Labrador","Master's or Doctoral level","Total - Gender","Total population","Total, 25 to 64 years",10,5
"2010","Newfoundland and Labrador","Master's or Doctoral level","Men+","Total population","Total, 25 to 64 years",10,5
"2010","Newfoundland and Labrador","Master's or Doctoral level","Women+","Total population","Total, 25 to 64 years",10,5
"2010","Newfoundland and Labrador","Master's or Doctoral level","Total - Gender","Total population","25 to 34 years",10,5
"2010","Newfoundland and Labrador","Master's or Doctoral level","Men+","Total population","25 to 34 years",10,4
"2010","Newfoundland and Labrador","Master's or Doctoral level","Women+","Total population","25 to 34 years",10,6
"2010","Newfoundland and Labrador","Master's or Doctoral level","Total - Gender","Total population","30 to 34 years",10,7
"2010","Newfoundland and Labrador","Master's or Doctoral level","Men+","Total population","30 to 34 years",10,6
"2010","Newfoundland and Labrador","Master's or Doctoral level","Women+","Total population","30 to 34 years",10,7
"2010","Newfoundland and Labrador","Master's or Doctoral level","Total - Gender","Total population","35 to 44 years",10,4
"2010","Newfoundland and Labrador","Master's or Doctoral level","Men+","Total population","35 to 44 years",10,4
"2010","Newfoundland and Labrador","Master's or Doctoral level","Women+","Total population","35 to 44 years",10,5
"2010","Newfoundland and Labrador","Master's or Doctoral level","Total - Gender","Total population","45 to 54 years",10,5
"2010","Newfoundland and Labrador","Master's or Doctoral level","Men+","Total population","45 to 54 years",10,4
"2010","Newfoundland and Labrador","Master's or Doctoral level","Women+","Total population","45 to 54 years",10,5
"2010","Newfoundland and Labrador","Master's or Doctoral level","Total - Gender","Total population","55 to 64 years",10,4
"2010","Newfoundland and Labrador","Master's or Doctoral level","Men+","Total population","55 to 64 years",10,6
"2010","Newfoundland and Labrador","Master's or Doctoral level","Women+","Total population","55 to 64 years",10,3
"2010","Prince Edward Island","Tertiary education","Total - Gender","Total population","Total, 25 to 64 years",11,48
"2010","Prince Edward Island","Tertiary education","Men+","Total population","Total, 25 to 64 years",11,40
"2010","Prince Edward Island","Tertiary education","Women+","Total population","Total, 25 to 64 years",11,56
"2010","Prince Edward Island","Tertiary education","Total - Gender","Total population","25 to 34 years",11,57
"2010","Prince Edward Island","Tertiary education","Men+","Total population","25 to 34 years",11,47
"2010","Prince Edward Island","Tertiary education","Women+","Total population","25 to 34 years",11,67
"2010","Prince Edward Island","Tertiary education","Total - Gender","Total population","30 to 34 years",11,58
"2010","Prince Edward Island","Tertiary education","Men+","Total population","30 to 34 years",11,49
"2010","Prince Edward Island","Tertiary education","Women+","Total population","30 to 34 years",11,66
"2010","Prince Edward Island","Tertiary education","Total - Gender","Total population","35 to 44 years",11,56
"2010","Prince Edward Island","Tertiary education","Men+","Total population","35 to 44 years",11,47
"2010","Prince Edward Island","Tertiary education","Women+","Total population","35 to 44 years",11,65
"2010","Prince Edward Island","Tertiary education","Total - Gender","Total population","45 to 54 years",11,45
"2010","Prince Edward Island","Tertiary education","Men+","Total population","45 to 54 years",11,37
"2010","Prince Edward Island","Tertiary education","Women+","Total population","45 to 54 years",11,53
"2010","Prince Edward Island","Tertiary education","Total - Gender","Total population","55 to 64 years",11,38
"2010","Prince Edward Island","Tertiary education","Men+","Total population","55 to 64 years",11,32
"2010","Prince Edward Island","Tertiary education","Women+","Total population","55 to 64 years",11,43
"2010","Prince Edward Island","Short-cycle tertiary","Total - Gender","Total population","Total, 25 to 64 years",11,26
"2010","Prince Edward Island","Short-cycle tertiary","Men+","Total population","Total, 25 to 64 years",11,20
"2010","Prince Edward Island","Short-cycle tertiary","Women+","Total population","Total, 25 to 64 years",11,32
"2010","Prince Edward Island","Short-cycle tertiary","Total - Gender","Total population","25 to 34 years",11,29
"2010","Prince Edward Island","Short-cycle tertiary","Men+","Total population","25 to 34 years",11,25
"2010","Prince Edward Island","Short-cycle tertiary","Women+","Total population","25 to 34 years",11,32
"2010","Prince Edward Island","Short-cycle tertiary","Total - Gender","Total population","30 to 34 years",11,30
"2010","Prince Edward Island","Short-cycle tertiary","Men+","Total population","30 to 34 years",11,28
"2010","Prince Edward Island","Short-cycle tertiary","Women+","Total population","30 to 34 years",11,32
"2010","Prince Edward Island","Short-cycle tertiary","Total - Gender","Total population","35 to 44 years",11,30
"2010","Prince Edward Island","Short-cycle tertiary","Men+","Total population","35 to 44 years",11,26
"2010","Prince Edward Island","Short-cycle tertiary","Women+","Total population","35 to 44 years",11,34
"2010","Prince Edward Island","Short-cycle tertiary","Total - Gender","Total population","45 to 54 years",11,28
"2010","Prince Edward Island","Short-cycle tertiary","Men+","Total population","45 to 54 years",11,20
"2010","Prince Edward Island","Short-cycle tertiary","Women+","Total population","45 to 54 years",11,36
"2010","Prince Edward Island","Short-cycle tertiary","Total - Gender","Total population","55 to 64 years",11,19
"2010","Prince Edward Island","Short-cycle tertiary","Men+","Total population","55 to 64 years",11,12
"2010","Prince Edward Island","Short-cycle tertiary","Women+","Total population","55 to 64 years",11,25
"2010","Prince Edward Island","Bachelor's level","Total - Gender","Total population","Total, 25 to 64 years",11,15
"2010","Prince Edward Island","Bachelor's level","Men+","Total population","Total, 25 to 64 years",11,14
"2010","Prince Edward Island","Bachelor's level","Women+","Total population","Total, 25 to 64 years",11,17
"2010","Prince Edward Island","Bachelor's level","Total - Gender","Total population","25 to 34 years",11,22
"2010","Prince Edward Island","Bachelor's level","Men+","Total population","25 to 34 years",11,18
"2010","Prince Edward Island","Bachelor's level","Women+","Total population","25 to 34 years",11,26
"2010","Prince Edward Island","Bachelor's level","Total - Gender","Total population","30 to 34 years",11,21
"2010","Prince Edward Island","Bachelor's level","Men+","Total population","30 to 34 years",11,17
"2010","Prince Edward Island","Bachelor's level","Women+","Total population","30 to 34 years",11,24
"2010","Prince Edward Island","Bachelor's level","Total - Gender","Total population","35 to 44 years",11,17
"2010","Prince Edward Island","Bachelor's level","Men+","Total population","35 to 44 years",11,15
"2010","Prince Edward Island","Bachelor's level","Women+","Total population","35 to 44 years",11,20
"2010","Prince Edward Island","Bachelor's level","Total - Gender","Total population","45 to 54 years",11,12
"2010","Prince Edward Island","Bachelor's level","Men+","Total population","45 to 54 years",11,11
"2010","Prince Edward Island","Bachelor's level","Women+","Total population","45 to 54 years",11,13
"2010","Prince Edward Island","Bachelor's level","Total - Gender","Total population","55 to 64 years",11,12
"2010","Prince Edward Island","Bachelor's level","Men+","Total population","55 to 64 years",11,13
"2010","Prince Edward Island","Bachelor's level","Women+","Total population","55 to 64 years",11,12
"2010","Prince Edward Island","Master's or Doctoral level","Total - Gender","Total population","Total, 25 to 64 years",11,7
"2010","Prince Edward Island","Master's or Doctoral level","Men+","Total population","Total, 25 to 64 years",11,6
"2010","Prince Edward Island","Master's or Doctoral level","Women+","Total population","Total, 25 to 64 years",11,7
"2010","Prince Edward Island","Master's or Doctoral level","Total - Gender","Total population","25 to 34 years",11,7
"2010","Prince Edward Island","Master's or Doctoral level","Men+","Total population","25 to 34 years",11,4
"2010","Prince Edward Island","Master's or Doctoral level","Women+","Total population","25 to 34 years",11,9
"2010","Prince Edward Island","Master's or Doctoral level","Total - Gender","Total population","30 to 34 years",11,7
"2010","Prince Edward Island","Master's or Doctoral level","Men+","Total population","30 to 34 years",11,
"2010","Prince Edward Island","Master's or Doctoral level","Women+","Total population","30 to 34 years",11,10
"2010","Prince Edward Island","Master's or Doctoral level","Total - Gender","Total population","35 to 44 years",11,9
"2010","Prince Edward Island","Master's or Doctoral level","Men+","Total population","35 to 44 years",11,6
"2010","Prince Edward Island","Master's or Doctoral level","Women+","Total population","35 to 44 years",11,11
"2010","Prince Edward Island","Master's or Doctoral level","Total - Gender","Total population","45 to 54 years",11,5
"2010","Prince Edward Island","Master's or Doctoral level","Men+","Total population","45 to 54 years",11,6
"2010","Prince Edward Island","Master's or Doctoral level","Women+","Total population","45 to 54 years",11,4
"2010","Prince Edward Island","Master's or Doctoral level","Total - Gender","Total population","55 to 64 years",11,7
"2010","Prince Edward Island","Master's or Doctoral level","Men+","Total population","55 to 64 years",11,7
"2010","Prince Edward Island","Master's or Doctoral level","Women+","Total population","55 to 64 years",11,6
"2010","Nova Scotia","Tertiary education","Total - Gender","Total population","Total, 25 to 64 years",12,48
"2010","Nova Scotia","Tertiary education","Men+","Total population","Total, 25 to 64 years",12,42
"2010","Nova Scotia","Tertiary education","Women+","Total population","Total, 25 to 64 years",12,55
"2010","Nova Scotia","Tertiary education","Total - Gender","Total population","25 to 34 years",12,60
"2010","Nova Scotia","Tertiary education","Men+","Total population","25 to 34 years",12,51
"2010","Nova Scotia","Tertiary education","Women+","Total population","25 to 34 years",12,68
"2010","Nova Scotia","Tertiary education","Total - Gender","Total population","30 to 34 years",12,61
"2010","Nova Scotia","Tertiary education","Men+","Total population","30 to 34 years",12,53
"2010","Nova Scotia","Tertiary education","Women+","Total population","30 to 34 years",12,68
"2010","Nova Scotia","Tertiary education","Total - Gender","Total population","35 to 44 years",12,54
"2010","Nova Scotia","Tertiary education","Men+","Total population","35 to 44 years",12,46
"2010","Nova Scotia","Tertiary education","Women+","Total population","35 to 44 years",12,62
"2010","Nova Scotia","Tertiary education","Total - Gender","Total population","45 to 54 years",12,43
"2010","Nova Scotia","Tertiary education","Men+","Total population","45 to 54 years",12,37
"2010","Nova Scotia","Tertiary education","Women+","Total population","45 to 54 years",12,49
"2010","Nova Scotia","Tertiary education","Total - Gender","Total population","55 to 64 years",12,40
"2010","Nova Scotia","Tertiary education","Men+","Total population","55 to 64 years",12,35
"2010","Nova Scotia","Tertiary education","Women+","Total population","55 to 64 years",12,45
"2010","Nova Scotia","Short-cycle tertiary","Total - Gender","Total population","Total, 25 to 64 years",12,25
"2010","Nova Scotia","Short-cycle tertiary","Men+","Total population","Total, 25 to 64 years",12,21
"2010","Nova Scotia","Short-cycle tertiary","Women+","Total population","Total, 25 to 64 years",12,29
"2010","Nova Scotia","Short-cycle tertiary","Total - Gender","Total population","25 to 34 years",12,29
"2010","Nova Scotia","Short-cycle tertiary","Men+","Total population","25 to 34 years",12,28
"2010","Nova Scotia","Short-cycle tertiary","Women+","Total population","25 to 34 years",12,30
"2010","Nova Scotia","Short-cycle tertiary","Total - Gender","Total population","30 to 34 years",12,30
"2010","Nova Scotia","Short-cycle tertiary","Men+","Total population","30 to 34 years",12,30
"2010","Nova Scotia","Short-cycle tertiary","Women+","Total population","30 to 34 years",12,31
"2010","Nova Scotia","Short-cycle tertiary","Total - Gender","Total population","35 to 44 years",12,28
"2010","Nova Scotia","Short-cycle tertiary","Men+","Total population","35 to 44 years",12,24
"2010","Nova Scotia","Short-cycle tertiary","Women+","Total population","35 to 44 years",12,32
"2010","Nova Scotia","Short-cycle tertiary","Total - Gender","Total population","45 to 54 years",12,25
"2010","Nova Scotia","Short-cycle tertiary","Men+","Total population","45 to 54 years",12,20
"2010","Nova Scotia","Short-cycle tertiary","Women+","Total population","45 to 54 years",12,29
"2010","Nova Scotia","Short-cycle tertiary","Total - Gender","Total population","55 to 64 years",12,19
"2010","Nova Scotia","Short-cycle tertiary","Men+","Total population","55 to 64 years",12,14
"2010","Nova Scotia","Short-cycle tertiary","Women+","Total population","55 to 64 years",12,24
"2010","Nova Scotia","Bachelor's level","Total - Gender","Total population","Total, 25 to 64 years",12,15
"2010","Nova Scotia","Bachelor's level","Men+","Total population","Total, 25 to 64 years",12,12
"2010","Nova Scotia","Bachelor's level","Women+","Total population","Total, 25 to 64 years",12,17
"2010","Nova Scotia","Bachelor's level","Total - Gender","Total population","25 to 34 years",12,21
"2010","Nova Scotia","Bachelor's level","Men+","Total population","25 to 34 years",12,16
"2010","Nova Scotia","Bachelor's level","Women+","Total population","25 to 34 years",12,27
"2010","Nova Scotia","Bachelor's level","Total - Gender","Total population","30 to 34 years",12,20
"2010","Nova Scotia","Bachelor's level","Men+","Total population","30 to 34 years",12,15
"2010","Nova Scotia","Bachelor's level","Women+","Total population","30 to 34 years",12,25
"2010","Nova Scotia","Bachelor's level","Total - Gender","Total population","35 to 44 years",12,17
"2010","Nova Scotia","Bachelor's level","Men+","Total population","35 to 44 years",12,14
"2010","Nova Scotia","Bachelor's level","Women+","Total population","35 to 44 years",12,19
"2010","Nova Scotia","Bachelor's level","Total - Gender","Total population","45 to 54 years",12,12
"2010","Nova Scotia","Bachelor's level","Men+","Total population","45 to 54 years",12,9
"2010","Nova Scotia","Bachelor's level","Women+","Total population","45 to 54 years",12,14
"2010","Nova Scotia","Bachelor's level","Total - Gender","Total population","55 to 64 years",12,11
"2010","Nova Scotia","Bachelor's level","Men+","Total population","55 to 64 years",12,10
"2010","Nova Scotia","Bachelor's level","Women+","Total population","55 to 64 years",12,12
"2010","Nova Scotia","Master's or Doctoral level","Total - Gender","Total population","Total, 25 to 64 years",12,9
"2010","Nova Scotia","Master's or Doctoral level","Men+","Total population","Total, 25 to 64 years",12,9
"2010","Nova Scotia","Master's or Doctoral level","Women+","Total population","Total, 25 to 64 years",12,9
"2010","Nova Scotia","Master's or Doctoral level","Total - Gender","Total population","25 to 34 years",12,10
"2010","Nova Scotia","Master's or Doctoral level","Men+","Total population","25 to 34 years",12,8
"2010","Nova Scotia","Master's or Doctoral level","Women+","Total population","25 to 34 years",12,11
"2010","Nova Scotia","Master's or Doctoral level","Total - Gender","Total population","30 to 34 years",12,10
"2010","Nova Scotia","Master's or Doctoral level","Men+","Total population","30 to 34 years",12,8
"2010","Nova Scotia","Master's or Doctoral level","Women+","Total population","30 to 34 years",12,13
"2010","Nova Scotia","Master's or Doctoral level","Total - Gender","Total population","35 to 44 years",12,9
"2010","Nova Scotia","Master's or Doctoral level","Men+","Total population","35 to 44 years",12,8
"2010","Nova Scotia","Master's or Doctoral level","Women+","Total population","35 to 44 years",12,10
"2010","Nova Scotia","Master's or Doctoral level","Total - Gender","Total population","45 to 54 years",12,7
"2010","Nova Scotia","Master's or Doctoral level","Men+","Total population","45 to 54 years",12,7
"2010","Nova Scotia","Master's or Doctoral level","Women+","Total population","45 to 54 years",12,6
"2010","Nova Scotia","Master's or Doctoral level","Total - Gender","Total population","55 to 64 years",12,10
"2010","Nova Scotia","Master's or Doctoral level","Men+","Total population","55 to 64 years",12,11
"2010","Nova Scotia","Master's or Doctoral level","Women+","Total population","55 to 64 years",12,9
"2010","New Brunswick","Tertiary education","Total - Gender","Total population","Total, 25 to 64 years",13,46
"2010","New Brunswick","Tertiary education","Men+","Total population","Total, 25 to 64 years",13,40
"2010","New Brunswick","Tertiary education","Women+","Total population","Total, 25 to 64 years",13,51
"2010","New Brunswick","Tertiary education","Total - Gender","Total population","25 to 34 years",13,58
"2010","New Brunswick","Tertiary education","Men+","Total population","25 to 34 years",13,50
"2010","New Brunswick","Tertiary education","Women+","Total population","25 to 34 years",13,65
"2010","New Brunswick","Tertiary education","Total - Gender","Total population","30 to 34 years",13,58
"2010","New Brunswick","Tertiary education","Men+","Total population","30 to 34 years",13,50
"2010","New Brunswick","Tertiary education","Women+","Total population","30 to 34 years",13,65
"2010","New Brunswick","Tertiary education","Total - Gender","Total population","35 to 44 years",13,52
"2010","New Brunswick","Tertiary education","Men+","Total population","35 to 44 years",13,47
"2010","New Brunswick","Tertiary education","Women+","Total population","35 to 44 years",13,57
"2010","New Brunswick","Tertiary education","Total - Gender","Total population","45 to 54 years",13,40
"2010","New Brunswick","Tertiary education","Men+","Total population","45 to 54 years",13,34
"2010","New Brunswick","Tertiary education","Women+","Total population","45 to 54 years",13,45
"2010","New Brunswick","Tertiary education","Total - Gender","Total population","55 to 64 years",13,37
"2010","New Brunswick","Tertiary education","Men+","Total population","55 to 64 years",13,34
"2010","New Brunswick","Tertiary education","Women+","Total population","55 to 64 years",13,40
"2010","New Brunswick","Short-cycle tertiary","Total - Gender","Total population","Total, 25 to 64 years",13,27
"2010","New Brunswick","Short-cycle tertiary","Men+","Total population","Total, 25 to 64 years",13,23
"2010","New Brunswick","Short-cycle tertiary","Women+","Total population","Total, 25 to 64 years",13,30
"2010","New Brunswick","Short-cycle tertiary","Total - Gender","Total population","25 to 34 years",13,31
"2010","New Brunswick","Short-cycle tertiary","Men+","Total population","25 to 34 years",13,30
"2010","New Brunswick","Short-cycle tertiary","Women+","Total population","25 to 34 years",13,33
"2010","New Brunswick","Short-cycle tertiary","Total - Gender","Total population","30 to 34 years",13,34
"2010","New Brunswick","Short-cycle tertiary","Men+","Total population","30 to 34 years",13,33
"2010","New Brunswick","Short-cycle tertiary","Women+","Total population","30 to 34 years",13,36
"2010","New Brunswick","Short-cycle tertiary","Total - Gender","Total population","35 to 44 years",13,31
"2010","New Brunswick","Short-cycle tertiary","Men+","Total population","35 to 44 years",13,28
"2010","New Brunswick","Short-cycle tertiary","Women+","Total population","35 to 44 years",13,34
"2010","New Brunswick","Short-cycle tertiary","Total - Gender","Total population","45 to 54 years",13,25
"2010","New Brunswick","Short-cycle tertiary","Men+","Total population","45 to 54 years",13,20
"2010","New Brunswick","Short-cycle tertiary","Women+","Total population","45 to 54 years",13,30
"2010","New Brunswick","Short-cycle tertiary","Total - Gender","Total population","55 to 64 years",13,21
