Year,Units,data.Geography,data.Offences,data.Age of accused,data.Sex of accused,GeoCode,Value
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.45 to 54 years,data.Sex unknown,,148
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.55 years and over,"data.Total, sex of accused",,113
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.55 years and over,data.Males,,117
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.55 years and over,data.Females,,85
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.55 years and over,data.Sex unknown,,148
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.Other ages,"data.Total, sex of accused",,136
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.Other ages,data.Males,,135
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.Other ages,data.Females,,78
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.Other ages,data.Sex unknown,,162
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.Age not applicable,"data.Total, sex of accused",,171
2014/2015,data.Adult criminal courts,data.Canada,data.Total Criminal Code,data.Age not applicable,data.Company,,171
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,"data.Total, age of accused","data.Total, sex of accused",,174
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,"data.Total, age of accused",data.Males,,178
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,"data.Total, age of accused",data.Females,,142
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,"data.Total, age of accused",data.Company,,247
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,"data.Total, age of accused",data.Sex unknown,,199
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.18 to 24 years,"data.Total, sex of accused",,193
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.18 to 24 years,data.Males,,202
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.18 to 24 years,data.Females,,156
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.18 to 24 years,data.Sex unknown,,216
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.25 to 34 years,"data.Total, sex of accused",,170
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.25 to 34 years,data.Males,,175
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.25 to 34 years,data.Females,,141
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.25 to 34 years,data.Sex unknown,,194
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.35 to 44 years,"data.Total, sex of accused",,169
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.35 to 44 years,data.Males,,172
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.35 to 44 years,data.Females,,142
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.35 to 44 years,data.Sex unknown,,194
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.45 to 54 years,"data.Total, sex of accused",,164
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.45 to 54 years,data.Males,,169
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.45 to 54 years,data.Females,,134
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.45 to 54 years,data.Sex unknown,,191
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.55 years and over,"data.Total, sex of accused",,159
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.55 years and over,data.Males,,161
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.55 years and over,data.Females,,138
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.55 years and over,data.Sex unknown,,183
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.Other ages,"data.Total, sex of accused",,186
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.Other ages,data.Males,,223
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.Other ages,data.Females,,57
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.Other ages,data.Sex unknown,,204
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.Age not applicable,"data.Total, sex of accused",,247
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against the person,data.Age not applicable,data.Company,,247
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,"data.Total, age of accused","data.Total, sex of accused",,106
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,"data.Total, age of accused",data.Males,,106
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,"data.Total, age of accused",data.Females,,99
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,"data.Total, age of accused",data.Company,,88
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,"data.Total, age of accused",data.Sex unknown,,159
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.18 to 24 years,"data.Total, sex of accused",,115
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.18 to 24 years,data.Males,,117
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.18 to 24 years,data.Females,,101
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.18 to 24 years,data.Sex unknown,,169
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.25 to 34 years,"data.Total, sex of accused",,106
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.25 to 34 years,data.Males,,106
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.25 to 34 years,data.Females,,106
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.25 to 34 years,data.Sex unknown,,145
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.35 to 44 years,"data.Total, sex of accused",,106
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.35 to 44 years,data.Males,,104
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.35 to 44 years,data.Females,,99
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.35 to 44 years,data.Sex unknown,,164
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.45 to 54 years,"data.Total, sex of accused",,98
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.45 to 54 years,data.Males,,98
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.45 to 54 years,data.Females,,92
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.45 to 54 years,data.Sex unknown,,141
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.55 years and over,"data.Total, sex of accused",,72
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.55 years and over,data.Males,,75
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.55 years and over,data.Females,,64
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.55 years and over,data.Sex unknown,,137
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.Other ages,"data.Total, sex of accused",,187
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.Other ages,data.Males,,169
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.Other ages,data.Females,,202
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.Other ages,data.Sex unknown,,224
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.Age not applicable,"data.Total, sex of accused",,88
2014/2015,data.Adult criminal courts,data.Canada,data.Crimes against property,data.Age not applicable,data.Company,,88
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,"data.Total, age of accused","data.Total, sex of accused",,75
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,"data.Total, age of accused",data.Males,,70
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,"data.Total, age of accused",data.Females,,80
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,"data.Total, age of accused",data.Company,,4
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,"data.Total, age of accused",data.Sex unknown,,102
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.18 to 24 years,"data.Total, sex of accused",,83
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.18 to 24 years,data.Males,,79
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.18 to 24 years,data.Females,,80
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.18 to 24 years,data.Sex unknown,,99
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.25 to 34 years,"data.Total, sex of accused",,72
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.25 to 34 years,data.Males,,68
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.25 to 34 years,data.Females,,77
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.25 to 34 years,data.Sex unknown,,100
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.35 to 44 years,"data.Total, sex of accused",,71
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.35 to 44 years,data.Males,,65
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.35 to 44 years,data.Females,,85
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.35 to 44 years,data.Sex unknown,,98
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.45 to 54 years,"data.Total, sex of accused",,73
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.45 to 54 years,data.Males,,69
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.45 to 54 years,data.Females,,86
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.45 to 54 years,data.Sex unknown,,108
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.55 years and over,"data.Total, sex of accused",,78
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.55 years and over,data.Males,,71
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.55 years and over,data.Females,,103
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.55 years and over,data.Sex unknown,,118
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.Other ages,"data.Total, sex of accused",,39
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.Other ages,data.Males,,6
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.Other ages,data.Females,,25
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.Other ages,data.Sex unknown,,118
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.Age not applicable,"data.Total, sex of accused",,4
2014/2015,data.Adult criminal courts,data.Canada,data.Administration of justice,data.Age not applicable,data.Company,,4
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,"data.Total, age of accused","data.Total, sex of accused",,133
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,"data.Total, age of accused",data.Males,,139
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,"data.Total, age of accused",data.Females,,106
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,"data.Total, age of accused",data.Company,,207
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,"data.Total, age of accused",data.Sex unknown,,127
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.18 to 24 years,"data.Total, sex of accused",,119
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.18 to 24 years,data.Males,,120
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.18 to 24 years,data.Females,,110
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.18 to 24 years,data.Sex unknown,,121
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.25 to 34 years,"data.Total, sex of accused",,138
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.25 to 34 years,data.Males,,146
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.25 to 34 years,data.Females,,107
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.25 to 34 years,data.Sex unknown,,134
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.35 to 44 years,"data.Total, sex of accused",,145
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.35 to 44 years,data.Males,,154
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.35 to 44 years,data.Females,,123
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.35 to 44 years,data.Sex unknown,,123
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.45 to 54 years,"data.Total, sex of accused",,141
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.45 to 54 years,data.Males,,149
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.45 to 54 years,data.Females,,99
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.45 to 54 years,data.Sex unknown,,168
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.55 years and over,"data.Total, sex of accused",,109
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.55 years and over,data.Males,,113
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.55 years and over,data.Females,,75
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.55 years and over,data.Sex unknown,,120
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.Other ages,"data.Total, sex of accused",,81
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.Other ages,data.Males,,97
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.Other ages,data.Females,,99
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.Other ages,data.Sex unknown,,79
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.Age not applicable,"data.Total, sex of accused",,207
2014/2015,data.Adult criminal courts,data.Canada,data.Criminal Code traffic,data.Age not applicable,data.Company,,207
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,"data.Total, age of accused","data.Total, sex of accused",10,146
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,"data.Total, age of accused",data.Males,10,155
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,"data.Total, age of accused",data.Females,10,115
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,"data.Total, age of accused",data.Company,10,236
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,"data.Total, age of accused",data.Sex unknown,10,67
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.18 to 24 years,"data.Total, sex of accused",10,155
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.18 to 24 years,data.Males,10,162
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.18 to 24 years,data.Females,10,125
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.18 to 24 years,data.Sex unknown,10,82
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.25 to 34 years,"data.Total, sex of accused",10,156
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.25 to 34 years,data.Males,10,176
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.25 to 34 years,data.Females,10,133
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.25 to 34 years,data.Sex unknown,10,49
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.35 to 44 years,"data.Total, sex of accused",10,136
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.35 to 44 years,data.Males,10,144
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.35 to 44 years,data.Females,10,120
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.35 to 44 years,data.Sex unknown,10,68
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.45 to 54 years,"data.Total, sex of accused",10,147
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.45 to 54 years,data.Males,10,156
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.45 to 54 years,data.Females,10,82
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.45 to 54 years,data.Sex unknown,10,107
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.55 years and over,"data.Total, sex of accused",10,100
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.55 years and over,data.Males,10,112
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.55 years and over,data.Females,10,73
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.55 years and over,data.Sex unknown,10,316
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.Other ages,"data.Total, sex of accused",10,206
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.Other ages,data.Males,10,238
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.Other ages,data.Females,10,173
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.Other ages,data.Sex unknown,10,0
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.Age not applicable,"data.Total, sex of accused",10,236
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total offences,data.Age not applicable,data.Company,10,236
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,"data.Total, age of accused","data.Total, sex of accused",10,151
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,"data.Total, age of accused",data.Males,10,161
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,"data.Total, age of accused",data.Females,10,114
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,"data.Total, age of accused",data.Company,10,63
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,"data.Total, age of accused",data.Sex unknown,10,129
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.18 to 24 years,"data.Total, sex of accused",10,156
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.18 to 24 years,data.Males,10,168
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.18 to 24 years,data.Females,10,116
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.18 to 24 years,data.Sex unknown,10,107
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.25 to 34 years,"data.Total, sex of accused",10,160
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.25 to 34 years,data.Males,10,177
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.25 to 34 years,data.Females,10,133
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.25 to 34 years,data.Sex unknown,10,68
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.35 to 44 years,"data.Total, sex of accused",10,142
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.35 to 44 years,data.Males,10,151
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.35 to 44 years,data.Females,10,119
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.35 to 44 years,data.Sex unknown,10,178
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.45 to 54 years,"data.Total, sex of accused",10,152
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.45 to 54 years,data.Males,10,163
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.45 to 54 years,data.Females,10,82
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.45 to 54 years,data.Sex unknown,10,128
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.55 years and over,"data.Total, sex of accused",10,128
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.55 years and over,data.Males,10,142
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.55 years and over,data.Females,10,81
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.55 years and over,data.Sex unknown,10,416
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.Other ages,"data.Total, sex of accused",10,206
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.Other ages,data.Males,10,238
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.Other ages,data.Females,10,173
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.Other ages,data.Sex unknown,10,0
2014/2015,data.Adult criminal courts,data.Newfoundland and Labrador,data.Total Criminal Code,data.Age not applicable,"data.Total, sex of accused",10,63
