"Year","data.Geography","data.Age group","data.Gender","GeoCode","Value"
"2015","data.Newfoundland and Labrador","data.25 to 29 years","data.Women+",10,24
"2015","data.Prince Edward Island","data.Total, 15 to 29 years","data.Total - Gender",11,15
"2015","data.Prince Edward Island","data.Total, 15 to 29 years","data.Men+",11,15
"2015","data.Prince Edward Island","data.Total, 15 to 29 years","data.Women+",11,14
"2015","data.Prince Edward Island","data.15 to 19 years","data.Total - Gender",11,7
"2015","data.Prince Edward Island","data.15 to 19 years","data.Men+",11,
"2015","data.Prince Edward Island","data.15 to 19 years","data.Women+",11,
"2015","data.Prince Edward Island","data.15 to 24 years","data.Total - Gender",11,13
"2015","data.Prince Edward Island","data.15 to 24 years","data.Men+",11,16
"2015","data.Prince Edward Island","data.15 to 24 years","data.Women+",11,10
"2015","data.Prince Edward Island","data.18 to 24 years","data.Total - Gender",11,17
"2015","data.Prince Edward Island","data.18 to 24 years","data.Men+",11,22
"2015","data.Prince Edward Island","data.18 to 24 years","data.Women+",11,12
"2015","data.Prince Edward Island","data.20 to 24 years","data.Total - Gender",11,18
"2015","data.Prince Edward Island","data.20 to 24 years","data.Men+",11,24
"2015","data.Prince Edward Island","data.20 to 24 years","data.Women+",11,12
"2015","data.Prince Edward Island","data.25 to 29 years","data.Total - Gender",11,19
"2015","data.Prince Edward Island","data.25 to 29 years","data.Men+",11,15
"2015","data.Prince Edward Island","data.25 to 29 years","data.Women+",11,23
"2015","data.Nova Scotia","data.Total, 15 to 29 years","data.Total - Gender",12,13
"2015","data.Nova Scotia","data.Total, 15 to 29 years","data.Men+",12,14
"2015","data.Nova Scotia","data.Total, 15 to 29 years","data.Women+",12,12
"2015","data.Nova Scotia","data.15 to 19 years","data.Total - Gender",12,9
"2015","data.Nova Scotia","data.15 to 19 years","data.Men+",12,11
"2015","data.Nova Scotia","data.15 to 19 years","data.Women+",12,6
"2015","data.Nova Scotia","data.15 to 24 years","data.Total - Gender",12,11
"2015","data.Nova Scotia","data.15 to 24 years","data.Men+",12,13
"2015","data.Nova Scotia","data.15 to 24 years","data.Women+",12,10
"2015","data.Nova Scotia","data.18 to 24 years","data.Total - Gender",12,15
"2015","data.Nova Scotia","data.18 to 24 years","data.Men+",12,16
"2015","data.Nova Scotia","data.18 to 24 years","data.Women+",12,13
"2015","data.Nova Scotia","data.20 to 24 years","data.Total - Gender",12,14
"2015","data.Nova Scotia","data.20 to 24 years","data.Men+",12,14
"2015","data.Nova Scotia","data.20 to 24 years","data.Women+",12,13
"2015","data.Nova Scotia","data.25 to 29 years","data.Total - Gender",12,17
"2015","data.Nova Scotia","data.25 to 29 years","data.Men+",12,17
"2015","data.Nova Scotia","data.25 to 29 years","data.Women+",12,17
"2015","data.New Brunswick","data.Total, 15 to 29 years","data.Total - Gender",13,16
"2015","data.New Brunswick","data.Total, 15 to 29 years","data.Men+",13,18
"2015","data.New Brunswick","data.Total, 15 to 29 years","data.Women+",13,13
"2015","data.New Brunswick","data.15 to 19 years","data.Total - Gender",13,8
"2015","data.New Brunswick","data.15 to 19 years","data.Men+",13,10
"2015","data.New Brunswick","data.15 to 19 years","data.Women+",13,6
"2015","data.New Brunswick","data.15 to 24 years","data.Total - Gender",13,14
"2015","data.New Brunswick","data.15 to 24 years","data.Men+",13,17
"2015","data.New Brunswick","data.15 to 24 years","data.Women+",13,10
"2015","data.New Brunswick","data.18 to 24 years","data.Total - Gender",13,18
"2015","data.New Brunswick","data.18 to 24 years","data.Men+",13,23
"2015","data.New Brunswick","data.18 to 24 years","data.Women+",13,13
"2015","data.New Brunswick","data.20 to 24 years","data.Total - Gender",13,19
"2015","data.New Brunswick","data.20 to 24 years","data.Men+",13,24
"2015","data.New Brunswick","data.20 to 24 years","data.Women+",13,14
"2015","data.New Brunswick","data.25 to 29 years","data.Total - Gender",13,19
"2015","data.New Brunswick","data.25 to 29 years","data.Men+",13,20
"2015","data.New Brunswick","data.25 to 29 years","data.Women+",13,19
"2015","data.Quebec","data.Total, 15 to 29 years","data.Total - Gender",24,13
"2015","data.Quebec","data.Total, 15 to 29 years","data.Men+",24,15
"2015","data.Quebec","data.Total, 15 to 29 years","data.Women+",24,11
"2015","data.Quebec","data.15 to 19 years","data.Total - Gender",24,7
"2015","data.Quebec","data.15 to 19 years","data.Men+",24,9
"2015","data.Quebec","data.15 to 19 years","data.Women+",24,5
"2015","data.Quebec","data.15 to 24 years","data.Total - Gender",24,11
"2015","data.Quebec","data.15 to 24 years","data.Men+",24,13
"2015","data.Quebec","data.15 to 24 years","data.Women+",24,9
"2015","data.Quebec","data.18 to 24 years","data.Total - Gender",24,13
"2015","data.Quebec","data.18 to 24 years","data.Men+",24,16
"2015","data.Quebec","data.18 to 24 years","data.Women+",24,11
"2015","data.Quebec","data.20 to 24 years","data.Total - Gender",24,14
"2015","data.Quebec","data.20 to 24 years","data.Men+",24,17
"2015","data.Quebec","data.20 to 24 years","data.Women+",24,11
"2015","data.Quebec","data.25 to 29 years","data.Total - Gender",24,17
"2015","data.Quebec","data.25 to 29 years","data.Men+",24,18
"2015","data.Quebec","data.25 to 29 years","data.Women+",24,16
"2015","data.Ontario","data.Total, 15 to 29 years","data.Total - Gender",35,13
"2015","data.Ontario","data.Total, 15 to 29 years","data.Men+",35,13
"2015","data.Ontario","data.Total, 15 to 29 years","data.Women+",35,12
"2015","data.Ontario","data.15 to 19 years","data.Total - Gender",35,6
"2015","data.Ontario","data.15 to 19 years","data.Men+",35,6
"2015","data.Ontario","data.15 to 19 years","data.Women+",35,5
"2015","data.Ontario","data.15 to 24 years","data.Total - Gender",35,10
"2015","data.Ontario","data.15 to 24 years","data.Men+",35,11
"2015","data.Ontario","data.15 to 24 years","data.Women+",35,9
"2015","data.Ontario","data.18 to 24 years","data.Total - Gender",35,12
"2015","data.Ontario","data.18 to 24 years","data.Men+",35,14
"2015","data.Ontario","data.18 to 24 years","data.Women+",35,10
"2015","data.Ontario","data.20 to 24 years","data.Total - Gender",35,14
"2015","data.Ontario","data.20 to 24 years","data.Men+",35,16
"2015","data.Ontario","data.20 to 24 years","data.Women+",35,11
"2015","data.Ontario","data.25 to 29 years","data.Total - Gender",35,17
"2015","data.Ontario","data.25 to 29 years","data.Men+",35,17
"2015","data.Ontario","data.25 to 29 years","data.Women+",35,18
"2015","data.Manitoba","data.Total, 15 to 29 years","data.Total - Gender",46,12
"2015","data.Manitoba","data.Total, 15 to 29 years","data.Men+",46,10
"2015","data.Manitoba","data.Total, 15 to 29 years","data.Women+",46,14
"2015","data.Manitoba","data.15 to 19 years","data.Total - Gender",46,6
"2015","data.Manitoba","data.15 to 19 years","data.Men+",46,6
"2015","data.Manitoba","data.15 to 19 years","data.Women+",46,6
"2015","data.Manitoba","data.15 to 24 years","data.Total - Gender",46,10
"2015","data.Manitoba","data.15 to 24 years","data.Men+",46,9
"2015","data.Manitoba","data.15 to 24 years","data.Women+",46,12
"2015","data.Manitoba","data.18 to 24 years","data.Total - Gender",46,14
"2015","data.Manitoba","data.18 to 24 years","data.Men+",46,12
"2015","data.Manitoba","data.18 to 24 years","data.Women+",46,15
"2015","data.Manitoba","data.20 to 24 years","data.Total - Gender",46,14
"2015","data.Manitoba","data.20 to 24 years","data.Men+",46,12
"2015","data.Manitoba","data.20 to 24 years","data.Women+",46,17
"2015","data.Manitoba","data.25 to 29 years","data.Total - Gender",46,14
"2015","data.Manitoba","data.25 to 29 years","data.Men+",46,10
"2015","data.Manitoba","data.25 to 29 years","data.Women+",46,18
"2015","data.Saskatchewan","data.Total, 15 to 29 years","data.Total - Gender",47,13
"2015","data.Saskatchewan","data.Total, 15 to 29 years","data.Men+",47,11
"2015","data.Saskatchewan","data.Total, 15 to 29 years","data.Women+",47,15
"2015","data.Saskatchewan","data.15 to 19 years","data.Total - Gender",47,6
"2015","data.Saskatchewan","data.15 to 19 years","data.Men+",47,5
"2015","data.Saskatchewan","data.15 to 19 years","data.Women+",47,7
"2015","data.Saskatchewan","data.15 to 24 years","data.Total - Gender",47,11
"2015","data.Saskatchewan","data.15 to 24 years","data.Men+",47,10
"2015","data.Saskatchewan","data.15 to 24 years","data.Women+",47,13
"2015","data.Saskatchewan","data.18 to 24 years","data.Total - Gender",47,14
"2015","data.Saskatchewan","data.18 to 24 years","data.Men+",47,13
"2015","data.Saskatchewan","data.18 to 24 years","data.Women+",47,15
"2015","data.Saskatchewan","data.20 to 24 years","data.Total - Gender",47,16
"2015","data.Saskatchewan","data.20 to 24 years","data.Men+",47,14
"2015","data.Saskatchewan","data.20 to 24 years","data.Women+",47,17
"2015","data.Saskatchewan","data.25 to 29 years","data.Total - Gender",47,16
"2015","data.Saskatchewan","data.25 to 29 years","data.Men+",47,12
"2015","data.Saskatchewan","data.25 to 29 years","data.Women+",47,20
"2015","data.Alberta","data.Total, 15 to 29 years","data.Total - Gender",48,11
"2015","data.Alberta","data.Total, 15 to 29 years","data.Men+",48,9
"2015","data.Alberta","data.Total, 15 to 29 years","data.Women+",48,14
"2015","data.Alberta","data.15 to 19 years","data.Total - Gender",48,6
"2015","data.Alberta","data.15 to 19 years","data.Men+",48,5
"2015","data.Alberta","data.15 to 19 years","data.Women+",48,6
"2015","data.Alberta","data.15 to 24 years","data.Total - Gender",48,9
"2015","data.Alberta","data.15 to 24 years","data.Men+",48,8
"2015","data.Alberta","data.15 to 24 years","data.Women+",48,11
"2015","data.Alberta","data.18 to 24 years","data.Total - Gender",48,12
"2015","data.Alberta","data.18 to 24 years","data.Men+",48,10
"2015","data.Alberta","data.18 to 24 years","data.Women+",48,13
"2015","data.Alberta","data.20 to 24 years","data.Total - Gender",48,13
"2015","data.Alberta","data.20 to 24 years","data.Men+",48,11
"2015","data.Alberta","data.20 to 24 years","data.Women+",48,15
"2015","data.Alberta","data.25 to 29 years","data.Total - Gender",48,15
"2015","data.Alberta","data.25 to 29 years","data.Men+",48,11
"2015","data.Alberta","data.25 to 29 years","data.Women+",48,19
"2015","data.British Columbia","data.Total, 15 to 29 years","data.Total - Gender",59,13
"2015","data.British Columbia","data.Total, 15 to 29 years","data.Men+",59,12
"2015","data.British Columbia","data.Total, 15 to 29 years","data.Women+",59,14
"2015","data.British Columbia","data.15 to 19 years","data.Total - Gender",59,9
"2015","data.British Columbia","data.15 to 19 years","data.Men+",59,8
"2015","data.British Columbia","data.15 to 19 years","data.Women+",59,9
"2015","data.British Columbia","data.15 to 24 years","data.Total - Gender",59,11
"2015","data.British Columbia","data.15 to 24 years","data.Men+",59,11
"2015","data.British Columbia","data.15 to 24 years","data.Women+",59,11
"2015","data.British Columbia","data.18 to 24 years","data.Total - Gender",59,13
"2015","data.British Columbia","data.18 to 24 years","data.Men+",59,13
"2015","data.British Columbia","data.18 to 24 years","data.Women+",59,13
"2015","data.British Columbia","data.20 to 24 years","data.Total - Gender",59,13
"2015","data.British Columbia","data.20 to 24 years","data.Men+",59,14
"2015","data.British Columbia","data.20 to 24 years","data.Women+",59,13
"2015","data.British Columbia","data.25 to 29 years","data.Total - Gender",59,17
"2015","data.British Columbia","data.25 to 29 years","data.Men+",59,15
"2015","data.British Columbia","data.25 to 29 years","data.Women+",59,20
"2015","data.Yukon","data.Total, 15 to 29 years","data.Total - Gender",60,11
"2015","data.Yukon","data.Total, 15 to 29 years","data.Men+",60,10
"2015","data.Yukon","data.Total, 15 to 29 years","data.Women+",60,12
"2015","data.Yukon","data.15 to 19 years","data.Total - Gender",60,
"2015","data.Yukon","data.15 to 19 years","data.Men+",60,
"2015","data.Yukon","data.15 to 19 years","data.Women+",60,
"2015","data.Yukon","data.15 to 24 years","data.Total - Gender",60,11
"2015","data.Yukon","data.15 to 24 years","data.Men+",60,12
"2015","data.Yukon","data.15 to 24 years","data.Women+",60,
"2015","data.Yukon","data.18 to 24 years","data.Total - Gender",60,14
"2015","data.Yukon","data.18 to 24 years","data.Men+",60,14
"2015","data.Yukon","data.18 to 24 years","data.Women+",60,
"2015","data.Yukon","data.20 to 24 years","data.Total - Gender",60,14
"2015","data.Yukon","data.20 to 24 years","data.Men+",60,
"2015","data.Yukon","data.20 to 24 years","data.Women+",60,
"2015","data.Yukon","data.25 to 29 years","data.Total - Gender",60,11
"2015","data.Yukon","data.25 to 29 years","data.Men+",60,
"2015","data.Yukon","data.25 to 29 years","data.Women+",60,
"2015","data.Northwest Territories","data.Total, 15 to 29 years","data.Total - Gender",61,19
"2015","data.Northwest Territories","data.Total, 15 to 29 years","data.Men+",61,22
"2015","data.Northwest Territories","data.Total, 15 to 29 years","data.Women+",61,16
"2015","data.Northwest Territories","data.15 to 19 years","data.Total - Gender",61,13
"2015","data.Northwest Territories","data.15 to 19 years","data.Men+",61,18
"2015","data.Northwest Territories","data.15 to 19 years","data.Women+",61,
"2015","data.Northwest Territories","data.15 to 24 years","data.Total - Gender",61,17
"2015","data.Northwest Territories","data.15 to 24 years","data.Men+",61,22
"2015","data.Northwest Territories","data.15 to 24 years","data.Women+",61,12
"2015","data.Northwest Territories","data.18 to 24 years","data.Total - Gender",61,22
"2015","data.Northwest Territories","data.18 to 24 years","data.Men+",61,28
"2015","data.Northwest Territories","data.18 to 24 years","data.Women+",61,15
"2015","data.Northwest Territories","data.20 to 24 years","data.Total - Gender",61,21
"2015","data.Northwest Territories","data.20 to 24 years","data.Men+",61,26
"2015","data.Northwest Territories","data.20 to 24 years","data.Women+",61,16
"2015","data.Northwest Territories","data.25 to 29 years","data.Total - Gender",61,22
"2015","data.Northwest Territories","data.25 to 29 years","data.Men+",61,21
"2015","data.Northwest Territories","data.25 to 29 years","data.Women+",61,22
"2015","data.Nunavut","data.Total, 15 to 29 years","data.Total - Gender",62,41
"2015","data.Nunavut","data.Total, 15 to 29 years","data.Men+",62,45
"2015","data.Nunavut","data.Total, 15 to 29 years","data.Women+",62,36
"2015","data.Nunavut","data.15 to 19 years","data.Total - Gender",62,29
"2015","data.Nunavut","data.15 to 19 years","data.Men+",62,
"2015","data.Nunavut","data.15 to 19 years","data.Women+",62,25
"2015","data.Nunavut","data.15 to 24 years","data.Total - Gender",62,38
"2015","data.Nunavut","data.15 to 24 years","data.Men+",62,43
"2015","data.Nunavut","data.15 to 24 years","data.Women+",62,33
"2015","data.Nunavut","data.18 to 24 years","data.Total - Gender",62,48
"2015","data.Nunavut","data.18 to 24 years","data.Men+",62,53
"2015","data.Nunavut","data.18 to 24 years","data.Women+",62,43
"2015","data.Nunavut","data.20 to 24 years","data.Total - Gender",62,50
"2015","data.Nunavut","data.20 to 24 years","data.Men+",62,54
"2015","data.Nunavut","data.20 to 24 years","data.Women+",62,45
"2015","data.Nunavut","data.25 to 29 years","data.Total - Gender",62,46
"2015","data.Nunavut","data.25 to 29 years","data.Men+",62,47
"2015","data.Nunavut","data.25 to 29 years","data.Women+",62,45
"2016","data.Canada","data.Total, 15 to 29 years","data.Men+",,13
"2016","data.Canada","data.Total, 15 to 29 years","data.Women+",,12
"2016","data.Canada","data.15 to 19 years","data.Total - Gender",,6
"2016","data.Canada","data.15 to 19 years","data.Men+",,7
"2016","data.Canada","data.15 to 19 years","data.Women+",,5
"2016","data.Canada","data.15 to 24 years","data.Total - Gender",,11
"2016","data.Canada","data.15 to 24 years","data.Men+",,12
"2016","data.Canada","data.15 to 24 years","data.Women+",,9
"2016","data.Canada","data.18 to 24 years","data.Total - Gender",,13
"2016","data.Canada","data.18 to 24 years","data.Men+",,15
"2016","data.Canada","data.18 to 24 years","data.Women+",,11
"2016","data.Canada","data.20 to 24 years","data.Total - Gender",,14
"2016","data.Canada","data.20 to 24 years","data.Men+",,16
"2016","data.Canada","data.20 to 24 years","data.Women+",,12
"2016","data.Canada","data.25 to 29 years","data.Total - Gender",,17
"2016","data.Canada","data.25 to 29 years","data.Men+",,16
"2016","data.Canada","data.25 to 29 years","data.Women+",,17
"2016","data.Newfoundland and Labrador","data.Total, 15 to 29 years","data.Total - Gender",10,18
"2016","data.Newfoundland and Labrador","data.Total, 15 to 29 years","data.Men+",10,21
"2016","data.Newfoundland and Labrador","data.Total, 15 to 29 years","data.Women+",10,14
"2016","data.Newfoundland and Labrador","data.15 to 19 years","data.Total - Gender",10,6
"2016","data.Newfoundland and Labrador","data.15 to 19 years","data.Men+",10,7
"2016","data.Newfoundland and Labrador","data.15 to 19 years","data.Women+",10,
"2016","data.Newfoundland and Labrador","data.15 to 24 years","data.Total - Gender",10,14
"2016","data.Newfoundland and Labrador","data.15 to 24 years","data.Men+",10,18
"2016","data.Newfoundland and Labrador","data.15 to 24 years","data.Women+",10,10
"2016","data.Newfoundland and Labrador","data.18 to 24 years","data.Total - Gender",10,20
"2016","data.Newfoundland and Labrador","data.18 to 24 years","data.Men+",10,26
"2016","data.Newfoundland and Labrador","data.18 to 24 years","data.Women+",10,14
"2016","data.Newfoundland and Labrador","data.20 to 24 years","data.Total - Gender",10,23
"2016","data.Newfoundland and Labrador","data.20 to 24 years","data.Men+",10,29
"2016","data.Newfoundland and Labrador","data.20 to 24 years","data.Women+",10,16
"2016","data.Newfoundland and Labrador","data.25 to 29 years","data.Total - Gender",10,24
"2016","data.Newfoundland and Labrador","data.25 to 29 years","data.Men+",10,28
"2016","data.Newfoundland and Labrador","data.25 to 29 years","data.Women+",10,21
"2016","data.Prince Edward Island","data.Total, 15 to 29 years","data.Total - Gender",11,14
"2016","data.Prince Edward Island","data.Total, 15 to 29 years","data.Men+",11,18
"2016","data.Prince Edward Island","data.Total, 15 to 29 years","data.Women+",11,11
"2016","data.Prince Edward Island","data.15 to 19 years","data.Total - Gender",11,6
"2016","data.Prince Edward Island","data.15 to 19 years","data.Men+",11,9
"2016","data.Prince Edward Island","data.15 to 19 years","data.Women+",11,
"2016","data.Prince Edward Island","data.15 to 24 years","data.Total - Gender",11,13
"2016","data.Prince Edward Island","data.15 to 24 years","data.Men+",11,16
"2016","data.Prince Edward Island","data.15 to 24 years","data.Women+",11,9
"2016","data.Prince Edward Island","data.18 to 24 years","data.Total - Gender",11,17
"2016","data.Prince Edward Island","data.18 to 24 years","data.Men+",11,21
"2016","data.Prince Edward Island","data.18 to 24 years","data.Women+",11,13
"2016","data.Prince Edward Island","data.20 to 24 years","data.Total - Gender",11,19
"2016","data.Prince Edward Island","data.20 to 24 years","data.Men+",11,23
"2016","data.Prince Edward Island","data.20 to 24 years","data.Women+",11,16
"2016","data.Prince Edward Island","data.25 to 29 years","data.Total - Gender",11,18
"2016","data.Prince Edward Island","data.25 to 29 years","data.Men+",11,21
"2016","data.Prince Edward Island","data.25 to 29 years","data.Women+",11,15
"2016","data.Nova Scotia","data.Total, 15 to 29 years","data.Total - Gender",12,14
"2016","data.Nova Scotia","data.Total, 15 to 29 years","data.Men+",12,16
"2016","data.Nova Scotia","data.Total, 15 to 29 years","data.Women+",12,11
"2016","data.Nova Scotia","data.15 to 19 years","data.Total - Gender",12,8
"2016","data.Nova Scotia","data.15 to 19 years","data.Men+",12,9
"2016","data.Nova Scotia","data.15 to 19 years","data.Women+",12,7
"2016","data.Nova Scotia","data.15 to 24 years","data.Total - Gender",12,11
"2016","data.Nova Scotia","data.15 to 24 years","data.Men+",12,13
"2016","data.Nova Scotia","data.15 to 24 years","data.Women+",12,10
"2016","data.Nova Scotia","data.18 to 24 years","data.Total - Gender",12,13
"2016","data.Nova Scotia","data.18 to 24 years","data.Men+",12,15
"2016","data.Nova Scotia","data.18 to 24 years","data.Women+",12,12
"2016","data.Nova Scotia","data.20 to 24 years","data.Total - Gender",12,14
"2016","data.Nova Scotia","data.20 to 24 years","data.Men+",12,16
"2016","data.Nova Scotia","data.20 to 24 years","data.Women+",12,12
"2016","data.Nova Scotia","data.25 to 29 years","data.Total - Gender",12,18
"2016","data.Nova Scotia","data.25 to 29 years","data.Men+",12,22
"2016","data.Nova Scotia","data.25 to 29 years","data.Women+",12,14
"2016","data.New Brunswick","data.Total, 15 to 29 years","data.Total - Gender",13,16
"2016","data.New Brunswick","data.Total, 15 to 29 years","data.Men+",13,17
"2016","data.New Brunswick","data.Total, 15 to 29 years","data.Women+",13,16
"2016","data.New Brunswick","data.15 to 19 years","data.Total - Gender",13,7
"2016","data.New Brunswick","data.15 to 19 years","data.Men+",13,8
"2016","data.New Brunswick","data.15 to 19 years","data.Women+",13,6
"2016","data.New Brunswick","data.15 to 24 years","data.Total - Gender",13,15
"2016","data.New Brunswick","data.15 to 24 years","data.Men+",13,16
"2016","data.New Brunswick","data.15 to 24 years","data.Women+",13,14
"2016","data.New Brunswick","data.18 to 24 years","data.Total - Gender",13,20
"2016","data.New Brunswick","data.18 to 24 years","data.Men+",13,22
"2016","data.New Brunswick","data.18 to 24 years","data.Women+",13,19
"2016","data.New Brunswick","data.20 to 24 years","data.Total - Gender",13,23
"2016","data.New Brunswick","data.20 to 24 years","data.Men+",13,24
"2016","data.New Brunswick","data.20 to 24 years","data.Women+",13,22
"2016","data.New Brunswick","data.25 to 29 years","data.Total - Gender",13,19
"2016","data.New Brunswick","data.25 to 29 years","data.Men+",13,19
"2016","data.New Brunswick","data.25 to 29 years","data.Women+",13,18
"2016","data.Quebec","data.Total, 15 to 29 years","data.Total - Gender",24,13
"2016","data.Quebec","data.Total, 15 to 29 years","data.Men+",24,15
"2016","data.Quebec","data.Total, 15 to 29 years","data.Women+",24,11
"2016","data.Quebec","data.15 to 19 years","data.Total - Gender",24,7
"2016","data.Quebec","data.15 to 19 years","data.Men+",24,8
"2016","data.Quebec","data.15 to 19 years","data.Women+",24,6
"2016","data.Quebec","data.15 to 24 years","data.Total - Gender",24,11
"2016","data.Quebec","data.15 to 24 years","data.Men+",24,14
"2016","data.Quebec","data.15 to 24 years","data.Women+",24,8
"2016","data.Quebec","data.18 to 24 years","data.Total - Gender",24,13
"2016","data.Quebec","data.18 to 24 years","data.Men+",24,17
"2016","data.Quebec","data.18 to 24 years","data.Women+",24,9
"2016","data.Quebec","data.20 to 24 years","data.Total - Gender",24,14
"2016","data.Quebec","data.20 to 24 years","data.Men+",24,19
"2016","data.Quebec","data.20 to 24 years","data.Women+",24,9
"2016","data.Quebec","data.25 to 29 years","data.Total - Gender",24,17
"2016","data.Quebec","data.25 to 29 years","data.Men+",24,17
"2016","data.Quebec","data.25 to 29 years","data.Women+",24,17
"2016","data.Ontario","data.Total, 15 to 29 years","data.Total - Gender",35,12
"2016","data.Ontario","data.Total, 15 to 29 years","data.Men+",35,13
"2016","data.Ontario","data.Total, 15 to 29 years","data.Women+",35,11
"2016","data.Ontario","data.15 to 19 years","data.Total - Gender",35,5
"2016","data.Ontario","data.15 to 19 years","data.Men+",35,6
"2016","data.Ontario","data.15 to 19 years","data.Women+",35,4
"2016","data.Ontario","data.15 to 24 years","data.Total - Gender",35,10
"2016","data.Ontario","data.15 to 24 years","data.Men+",35,11
"2016","data.Ontario","data.15 to 24 years","data.Women+",35,9
"2016","data.Ontario","data.18 to 24 years","data.Total - Gender",35,13
"2016","data.Ontario","data.18 to 24 years","data.Men+",35,14
"2016","data.Ontario","data.18 to 24 years","data.Women+",35,11
"2016","data.Ontario","data.20 to 24 years","data.Total - Gender",35,14
"2016","data.Ontario","data.20 to 24 years","data.Men+",35,15
"2016","data.Ontario","data.20 to 24 years","data.Women+",35,13
"2016","data.Ontario","data.25 to 29 years","data.Total - Gender",35,16
"2016","data.Ontario","data.25 to 29 years","data.Men+",35,16
"2016","data.Ontario","data.25 to 29 years","data.Women+",35,16
"2016","data.Manitoba","data.Total, 15 to 29 years","data.Total - Gender",46,13
"2016","data.Manitoba","data.Total, 15 to 29 years","data.Men+",46,13
"2016","data.Manitoba","data.Total, 15 to 29 years","data.Women+",46,14
"2016","data.Manitoba","data.15 to 19 years","data.Total - Gender",46,7
"2016","data.Manitoba","data.15 to 19 years","data.Men+",46,7
"2016","data.Manitoba","data.15 to 19 years","data.Women+",46,6
"2016","data.Manitoba","data.15 to 24 years","data.Total - Gender",46,11
"2016","data.Manitoba","data.15 to 24 years","data.Men+",46,11
"2016","data.Manitoba","data.15 to 24 years","data.Women+",46,11
"2016","data.Manitoba","data.18 to 24 years","data.Total - Gender",46,15
"2016","data.Manitoba","data.18 to 24 years","data.Men+",46,15
"2016","data.Manitoba","data.18 to 24 years","data.Women+",46,14
"2016","data.Manitoba","data.20 to 24 years","data.Total - Gender",46,16
"2016","data.Manitoba","data.20 to 24 years","data.Men+",46,15
"2016","data.Manitoba","data.20 to 24 years","data.Women+",46,16
"2016","data.Manitoba","data.25 to 29 years","data.Total - Gender",46,16
"2016","data.Manitoba","data.25 to 29 years","data.Men+",46,15
"2016","data.Manitoba","data.25 to 29 years","data.Women+",46,17
"2016","data.Saskatchewan","data.Total, 15 to 29 years","data.Total - Gender",47,13
"2016","data.Saskatchewan","data.Total, 15 to 29 years","data.Men+",47,13
"2016","data.Saskatchewan","data.Total, 15 to 29 years","data.Women+",47,13
"2016","data.Saskatchewan","data.15 to 19 years","data.Total - Gender",47,9
"2016","data.Saskatchewan","data.15 to 19 years","data.Men+",47,10
"2016","data.Saskatchewan","data.15 to 19 years","data.Women+",47,7
"2016","data.Saskatchewan","data.15 to 24 years","data.Total - Gender",47,12
"2016","data.Saskatchewan","data.15 to 24 years","data.Men+",47,13
