"Year","Units","Geography","Economic family type","GeoCode","Value"
"2015","2023 constant dollars","Alberta","Non-senior males not in an economic family",48,55700
"2015","2023 constant dollars","Alberta","Non-senior females not in an economic family",48,45000
"2015","2023 constant dollars","British Columbia","Economic families and persons not in an economic family",59,66000
"2015","2023 constant dollars","British Columbia","Economic families",59,98800
"2015","2023 constant dollars","British Columbia","Senior families",59,72700
"2015","2023 constant dollars","British Columbia","Senior couples",59,72700
"2015","2023 constant dollars","British Columbia","Other senior families",59,72700
"2015","2023 constant dollars","British Columbia","Non-senior families",59,110600
"2015","2023 constant dollars","British Columbia","Couples",59,102200
"2015","2023 constant dollars","British Columbia","Couples with children",59,119700
"2015","2023 constant dollars","British Columbia","Couples with other relatives",59,149300
"2015","2023 constant dollars","British Columbia","Lone-parent families",59,64000
"2015","2023 constant dollars","British Columbia","Male lone-parent families",59,75400
"2015","2023 constant dollars","British Columbia","Female lone-parent families",59,59400
"2015","2023 constant dollars","British Columbia","Other non-senior families",59,74200
"2015","2023 constant dollars","British Columbia","Persons not in an economic family",59,29700
"2015","2023 constant dollars","British Columbia","Seniors not in an economic family",59,30400
"2015","2023 constant dollars","British Columbia","Senior males not in an economic family",59,28100
"2015","2023 constant dollars","British Columbia","Senior females not in an economic family",59,30700
"2015","2023 constant dollars","British Columbia","Non-seniors not in an economic family",59,29300
"2015","2023 constant dollars","British Columbia","Non-senior males not in an economic family",59,29700
"2015","2023 constant dollars","British Columbia","Non-senior females not in an economic family",59,29200
"2015","2023 constant dollars","Québec, Quebec","Economic families and persons not in an economic family",,58900
"2015","2023 constant dollars","Québec, Quebec","Economic families",,89700
"2015","2023 constant dollars","Québec, Quebec","Senior families",,72000
"2015","2023 constant dollars","Québec, Quebec","Senior couples",,71200
"2015","2023 constant dollars","Québec, Quebec","Other senior families",,
"2015","2023 constant dollars","Québec, Quebec","Non-senior families",,100300
"2015","2023 constant dollars","Québec, Quebec","Couples",,92200
"2015","2023 constant dollars","Québec, Quebec","Couples with children",,122900
"2015","2023 constant dollars","Québec, Quebec","Couples with other relatives",,
"2015","2023 constant dollars","Québec, Quebec","Lone-parent families",,74300
"2015","2023 constant dollars","Québec, Quebec","Male lone-parent families",,
"2015","2023 constant dollars","Québec, Quebec","Female lone-parent families",,
"2015","2023 constant dollars","Québec, Quebec","Other non-senior families",,
"2015","2023 constant dollars","Québec, Quebec","Persons not in an economic family",,35000
"2015","2023 constant dollars","Québec, Quebec","Seniors not in an economic family",,30900
"2015","2023 constant dollars","Québec, Quebec","Senior males not in an economic family",,
"2015","2023 constant dollars","Québec, Quebec","Senior females not in an economic family",,32100
"2015","2023 constant dollars","Québec, Quebec","Non-seniors not in an economic family",,39200
"2015","2023 constant dollars","Québec, Quebec","Non-senior males not in an economic family",,35000
"2015","2023 constant dollars","Québec, Quebec","Non-senior females not in an economic family",,43100
"2015","2023 constant dollars","Montréal, Quebec","Economic families and persons not in an economic family",,62000
"2015","2023 constant dollars","Montréal, Quebec","Economic families",,87400
"2015","2023 constant dollars","Montréal, Quebec","Senior families",,64900
"2015","2023 constant dollars","Montréal, Quebec","Senior couples",,63500
"2015","2023 constant dollars","Montréal, Quebec","Other senior families",,
"2015","2023 constant dollars","Montréal, Quebec","Non-senior families",,92100
"2015","2023 constant dollars","Montréal, Quebec","Couples",,87000
"2015","2023 constant dollars","Montréal, Quebec","Couples with children",,102300
"2015","2023 constant dollars","Montréal, Quebec","Couples with other relatives",,112300
"2015","2023 constant dollars","Montréal, Quebec","Lone-parent families",,68900
"2015","2023 constant dollars","Montréal, Quebec","Male lone-parent families",,
"2015","2023 constant dollars","Montréal, Quebec","Female lone-parent families",,61700
"2015","2023 constant dollars","Montréal, Quebec","Other non-senior families",,84100
"2015","2023 constant dollars","Montréal, Quebec","Persons not in an economic family",,34900
"2015","2023 constant dollars","Montréal, Quebec","Seniors not in an economic family",,33600
"2015","2023 constant dollars","Montréal, Quebec","Senior males not in an economic family",,32200
"2015","2023 constant dollars","Montréal, Quebec","Senior females not in an economic family",,35100
"2015","2023 constant dollars","Montréal, Quebec","Non-seniors not in an economic family",,35500
"2015","2023 constant dollars","Montréal, Quebec","Non-senior males not in an economic family",,40100
"2015","2023 constant dollars","Montréal, Quebec","Non-senior females not in an economic family",,31300
"2015","2023 constant dollars","Ottawa-Gatineau, Ontario/Quebec","Economic families and persons not in an economic family",,73800
"2015","2023 constant dollars","Ottawa-Gatineau, Ontario/Quebec","Economic families",,112600
"2015","2023 constant dollars","Ottawa-Gatineau, Ontario/Quebec","Senior families",,96500
"2015","2023 constant dollars","Ottawa-Gatineau, Ontario/Quebec","Senior couples",,90900
"2015","2023 constant dollars","Ottawa-Gatineau, Ontario/Quebec","Other senior families",,
"2015","2023 constant dollars","Ottawa-Gatineau, Ontario/Quebec","Non-senior families",,119200
"2015","2023 constant dollars","Ottawa-Gatineau, Ontario/Quebec","Couples",,108600
"2015","2023 constant dollars","Ottawa-Gatineau, Ontario/Quebec","Couples with children",,140200
"2015","2023 constant dollars","Ottawa-Gatineau, Ontario/Quebec","Couples with other relatives",,174600
"2015","2023 constant dollars","Ottawa-Gatineau, Ontario/Quebec","Lone-parent families",,60300
"2015","2023 constant dollars","Ottawa-Gatineau, Ontario/Quebec","Male lone-parent families",,
"2015","2023 constant dollars","Ottawa-Gatineau, Ontario/Quebec","Female lone-parent families",,44900
"2015","2023 constant dollars","Ottawa-Gatineau, Ontario/Quebec","Other non-senior families",,66000
"2015","2023 constant dollars","Ottawa-Gatineau, Ontario/Quebec","Persons not in an economic family",,38500
"2015","2023 constant dollars","Ottawa-Gatineau, Ontario/Quebec","Seniors not in an economic family",,38700
"2015","2023 constant dollars","Ottawa-Gatineau, Ontario/Quebec","Senior males not in an economic family",,
"2015","2023 constant dollars","Ottawa-Gatineau, Ontario/Quebec","Senior females not in an economic family",,42900
"2015","2023 constant dollars","Ottawa-Gatineau, Ontario/Quebec","Non-seniors not in an economic family",,37900
"2015","2023 constant dollars","Ottawa-Gatineau, Ontario/Quebec","Non-senior males not in an economic family",,42200
"2015","2023 constant dollars","Ottawa-Gatineau, Ontario/Quebec","Non-senior females not in an economic family",,31600
"2015","2023 constant dollars","Toronto, Ontario","Economic families and persons not in an economic family",,72300
"2015","2023 constant dollars","Toronto, Ontario","Economic families",,102700
"2015","2023 constant dollars","Toronto, Ontario","Senior families",,79100
"2015","2023 constant dollars","Toronto, Ontario","Senior couples",,76100
"2015","2023 constant dollars","Toronto, Ontario","Other senior families",,100700
"2015","2023 constant dollars","Toronto, Ontario","Non-senior families",,106400
"2015","2023 constant dollars","Toronto, Ontario","Couples",,88700
"2015","2023 constant dollars","Toronto, Ontario","Couples with children",,115800
"2015","2023 constant dollars","Toronto, Ontario","Couples with other relatives",,156700
"2015","2023 constant dollars","Toronto, Ontario","Lone-parent families",,53300
"2015","2023 constant dollars","Toronto, Ontario","Male lone-parent families",,
"2015","2023 constant dollars","Toronto, Ontario","Female lone-parent families",,52000
"2015","2023 constant dollars","Toronto, Ontario","Other non-senior families",,87400
"2015","2023 constant dollars","Toronto, Ontario","Persons not in an economic family",,33700
"2015","2023 constant dollars","Toronto, Ontario","Seniors not in an economic family",,33900
"2015","2023 constant dollars","Toronto, Ontario","Senior males not in an economic family",,38700
"2015","2023 constant dollars","Toronto, Ontario","Senior females not in an economic family",,33700
"2015","2023 constant dollars","Toronto, Ontario","Non-seniors not in an economic family",,32400
"2015","2023 constant dollars","Toronto, Ontario","Non-senior males not in an economic family",,42200
"2015","2023 constant dollars","Toronto, Ontario","Non-senior females not in an economic family",,31000
"2015","2023 constant dollars","Winnipeg, Manitoba","Economic families and persons not in an economic family",,69100
"2015","2023 constant dollars","Winnipeg, Manitoba","Economic families",,94900
"2015","2023 constant dollars","Winnipeg, Manitoba","Senior families",,81700
"2015","2023 constant dollars","Winnipeg, Manitoba","Senior couples",,77300
"2015","2023 constant dollars","Winnipeg, Manitoba","Other senior families",,95000
"2015","2023 constant dollars","Winnipeg, Manitoba","Non-senior families",,99700
"2015","2023 constant dollars","Winnipeg, Manitoba","Couples",,91400
"2015","2023 constant dollars","Winnipeg, Manitoba","Couples with children",,107500
"2015","2023 constant dollars","Winnipeg, Manitoba","Couples with other relatives",,146500
"2015","2023 constant dollars","Winnipeg, Manitoba","Lone-parent families",,49300
"2015","2023 constant dollars","Winnipeg, Manitoba","Male lone-parent families",,
"2015","2023 constant dollars","Winnipeg, Manitoba","Female lone-parent families",,46500
"2015","2023 constant dollars","Winnipeg, Manitoba","Other non-senior families",,80300
"2015","2023 constant dollars","Winnipeg, Manitoba","Persons not in an economic family",,38200
"2015","2023 constant dollars","Winnipeg, Manitoba","Seniors not in an economic family",,36300
"2015","2023 constant dollars","Winnipeg, Manitoba","Senior males not in an economic family",,43000
"2015","2023 constant dollars","Winnipeg, Manitoba","Senior females not in an economic family",,32600
"2015","2023 constant dollars","Winnipeg, Manitoba","Non-seniors not in an economic family",,38900
"2015","2023 constant dollars","Winnipeg, Manitoba","Non-senior males not in an economic family",,40700
"2015","2023 constant dollars","Winnipeg, Manitoba","Non-senior females not in an economic family",,37500
"2015","2023 constant dollars","Calgary, Alberta","Economic families and persons not in an economic family",,88700
"2015","2023 constant dollars","Calgary, Alberta","Economic families",,121500
"2015","2023 constant dollars","Calgary, Alberta","Senior families",,91600
"2015","2023 constant dollars","Calgary, Alberta","Senior couples",,91400
"2015","2023 constant dollars","Calgary, Alberta","Other senior families",,
"2015","2023 constant dollars","Calgary, Alberta","Non-senior families",,124100
"2015","2023 constant dollars","Calgary, Alberta","Couples",,134000
"2015","2023 constant dollars","Calgary, Alberta","Couples with children",,135100
"2015","2023 constant dollars","Calgary, Alberta","Couples with other relatives",,162800
"2015","2023 constant dollars","Calgary, Alberta","Lone-parent families",,80800
"2015","2023 constant dollars","Calgary, Alberta","Male lone-parent families",,
"2015","2023 constant dollars","Calgary, Alberta","Female lone-parent families",,80800
"2015","2023 constant dollars","Calgary, Alberta","Other non-senior families",,83200
"2015","2023 constant dollars","Calgary, Alberta","Persons not in an economic family",,47900
"2015","2023 constant dollars","Calgary, Alberta","Seniors not in an economic family",,40900
"2015","2023 constant dollars","Calgary, Alberta","Senior males not in an economic family",,
"2015","2023 constant dollars","Calgary, Alberta","Senior females not in an economic family",,35600
"2015","2023 constant dollars","Calgary, Alberta","Non-seniors not in an economic family",,48900
"2015","2023 constant dollars","Calgary, Alberta","Non-senior males not in an economic family",,53800
"2015","2023 constant dollars","Calgary, Alberta","Non-senior females not in an economic family",,43100
"2015","2023 constant dollars","Edmonton, Alberta","Economic families and persons not in an economic family",,94600
"2015","2023 constant dollars","Edmonton, Alberta","Economic families",,124900
"2015","2023 constant dollars","Edmonton, Alberta","Senior families",,88900
"2015","2023 constant dollars","Edmonton, Alberta","Senior couples",,86100
"2015","2023 constant dollars","Edmonton, Alberta","Other senior families",,
"2015","2023 constant dollars","Edmonton, Alberta","Non-senior families",,129200
"2015","2023 constant dollars","Edmonton, Alberta","Couples",,123800
"2015","2023 constant dollars","Edmonton, Alberta","Couples with children",,126200
"2015","2023 constant dollars","Edmonton, Alberta","Couples with other relatives",,195400
"2015","2023 constant dollars","Edmonton, Alberta","Lone-parent families",,56800
"2015","2023 constant dollars","Edmonton, Alberta","Male lone-parent families",,
"2015","2023 constant dollars","Edmonton, Alberta","Female lone-parent families",,
"2015","2023 constant dollars","Edmonton, Alberta","Other non-senior families",,120200
"2015","2023 constant dollars","Edmonton, Alberta","Persons not in an economic family",,49400
"2015","2023 constant dollars","Edmonton, Alberta","Seniors not in an economic family",,43400
