"Year","Geography","Age group","Gender","GeoCode","Value"
"2023","Canada","35 to 44 years","Total - Gender",,10.9
"2023","Canada","35 to 44 years","Men+",,10
"2023","Canada","35 to 44 years","Women+",,11.8
"2023","Canada","45 to 54 years","Total - Gender",,10.4
"2023","Canada","45 to 54 years","Men+",,9.2
"2023","Canada","45 to 54 years","Women+",,11.6
"2023","Canada","55 to 64 years","Total - Gender",,9.5
"2023","Canada","55 to 64 years","Men+",,8.9
"2023","Canada","55 to 64 years","Women+",,10
"2023","Canada","65 years and over","Total - Gender",,6.9
"2023","Canada","65 years and over","Men+",,6.3
"2023","Canada","65 years and over","Women+",,7.3
"2024","Canada","15 to 24 years","Total - Gender",,6.1
"2024","Canada","15 to 24 years","Men+",,5
"2024","Canada","15 to 24 years","Women+",,7.4
"2024","Canada","25 to 54 years","Total - Gender",,10.5
"2024","Canada","25 to 54 years","Men+",,9.3
"2024","Canada","25 to 54 years","Women+",,11.6
"2024","Canada","25 to 34 years","Total - Gender",,9.9
"2024","Canada","25 to 34 years","Men+",,8.9
"2024","Canada","25 to 34 years","Women+",,11
"2024","Canada","35 to 44 years","Total - Gender",,11.6
"2024","Canada","35 to 44 years","Men+",,10.3
"2024","Canada","35 to 44 years","Women+",,13
"2024","Canada","45 to 54 years","Total - Gender",,9.8
"2024","Canada","45 to 54 years","Men+",,8.8
"2024","Canada","45 to 54 years","Women+",,10.8
"2024","Canada","55 to 64 years","Total - Gender",,9.1
"2024","Canada","55 to 64 years","Men+",,8.3
"2024","Canada","55 to 64 years","Women+",,9.9
"2024","Canada","65 years and over","Total - Gender",,6.9
"2024","Canada","65 years and over","Men+",,6.6
"2024","Canada","65 years and over","Women+",,7.1
"2018","Canada",,"Men+",,4.6
"2018","Canada",,"Women+",,5.6
"2018","Atlantic provinces",,"Total - Gender",,6.7
"2018","Atlantic provinces",,"Men+",,5.7
"2018","Atlantic provinces",,"Women+",,7.6
"2018","Newfoundland and Labrador",,"Total - Gender",10,5.9
"2018","Newfoundland and Labrador",,"Men+",10,5
"2018","Newfoundland and Labrador",,"Women+",10,6.7
"2018","Prince Edward Island",,"Total - Gender",11,6.4
"2018","Prince Edward Island",,"Men+",11,5.6
"2018","Prince Edward Island",,"Women+",11,7.3
"2018","Nova Scotia",,"Total - Gender",12,8
"2018","Nova Scotia",,"Men+",12,6.5
"2018","Nova Scotia",,"Women+",12,9.5
"2018","New Brunswick",,"Total - Gender",13,5.6
"2018","New Brunswick",,"Men+",13,5.3
"2018","New Brunswick",,"Women+",13,5.8
"2018","Quebec",,"Total - Gender",24,5.7
"2018","Quebec",,"Men+",24,5.4
"2018","Quebec",,"Women+",24,6
"2018","Ontario",,"Total - Gender",35,4.6
"2018","Ontario",,"Men+",35,4.4
"2018","Ontario",,"Women+",35,4.8
"2018","Prairie provinces",,"Total - Gender",,4.3
"2018","Prairie provinces",,"Men+",,3.5
"2018","Prairie provinces",,"Women+",,5.2
"2018","Manitoba",,"Total - Gender",46,4
"2018","Manitoba",,"Men+",46,3.2
"2018","Manitoba",,"Women+",46,4.8
"2018","Saskatchewan",,"Total - Gender",47,4.4
"2018","Saskatchewan",,"Men+",47,3.2
"2018","Saskatchewan",,"Women+",47,5.7
"2018","Alberta",,"Total - Gender",48,4.4
"2018","Alberta",,"Men+",48,3.6
"2018","Alberta",,"Women+",48,5.2
"2018","British Columbia",,"Total - Gender",59,5.8
"2018","British Columbia",,"Men+",59,4.7
"2018","British Columbia",,"Women+",59,6.8
"2019","Canada",,"Men+",,5.3
"2019","Canada",,"Women+",,6.8
"2019","Atlantic provinces",,"Total - Gender",,6.8
"2019","Atlantic provinces",,"Men+",,6.5
"2019","Atlantic provinces",,"Women+",,7
"2019","Newfoundland and Labrador",,"Total - Gender",10,5.3
"2019","Newfoundland and Labrador",,"Men+",10,4.3
"2019","Newfoundland and Labrador",,"Women+",10,6.3
"2019","Prince Edward Island",,"Total - Gender",11,7.7
"2019","Prince Edward Island",,"Men+",11,7.2
"2019","Prince Edward Island",,"Women+",11,8.2
"2019","Nova Scotia",,"Total - Gender",12,8.1
"2019","Nova Scotia",,"Men+",12,8.3
"2019","Nova Scotia",,"Women+",12,7.8
"2019","New Brunswick",,"Total - Gender",13,6
"2019","New Brunswick",,"Men+",13,5.8
"2019","New Brunswick",,"Women+",13,6.3
"2019","Quebec",,"Total - Gender",24,5.9
"2019","Quebec",,"Men+",24,5.1
"2019","Quebec",,"Women+",24,6.6
"2019","Ontario",,"Total - Gender",35,6.6
"2019","Ontario",,"Men+",35,5.6
"2019","Ontario",,"Women+",35,7.5
"2019","Prairie provinces",,"Total - Gender",,4.4
"2019","Prairie provinces",,"Men+",,3.9
"2019","Prairie provinces",,"Women+",,4.9
"2019","Manitoba",,"Total - Gender",46,4.7
"2019","Manitoba",,"Men+",46,4.4
"2019","Manitoba",,"Women+",46,5
"2019","Saskatchewan",,"Total - Gender",47,5
"2019","Saskatchewan",,"Men+",47,4.8
"2019","Saskatchewan",,"Women+",47,5.2
"2019","Alberta",,"Total - Gender",48,4.2
"2019","Alberta",,"Men+",48,3.6
"2019","Alberta",,"Women+",48,4.8
"2019","British Columbia",,"Total - Gender",59,6.7
"2019","British Columbia",,"Men+",59,6
"2019","British Columbia",,"Women+",59,7.4
"2020","Canada",,"Men+",,6.3
"2020","Canada",,"Women+",,8.1
"2020","Atlantic provinces",,"Total - Gender",,8.5
"2020","Atlantic provinces",,"Men+",,7
"2020","Atlantic provinces",,"Women+",,9.9
"2020","Newfoundland and Labrador",,"Total - Gender",10,7
"2020","Newfoundland and Labrador",,"Men+",10,5.3
"2020","Newfoundland and Labrador",,"Women+",10,8.7
"2020","Prince Edward Island",,"Total - Gender",11,7.8
"2020","Prince Edward Island",,"Men+",11,8.1
"2020","Prince Edward Island",,"Women+",11,7.5
"2020","Nova Scotia",,"Total - Gender",12,10.2
"2020","Nova Scotia",,"Men+",12,8.4
"2020","Nova Scotia",,"Women+",12,11.8
"2020","New Brunswick",,"Total - Gender",13,7.6
"2020","New Brunswick",,"Men+",13,6.3
"2020","New Brunswick",,"Women+",13,8.7
"2020","Quebec",,"Total - Gender",24,7.6
"2020","Quebec",,"Men+",24,6.4
"2020","Quebec",,"Women+",24,8.7
"2020","Ontario",,"Total - Gender",35,7
"2020","Ontario",,"Men+",35,6.2
"2020","Ontario",,"Women+",35,7.7
"2020","Prairie provinces",,"Total - Gender",,6.2
"2020","Prairie provinces",,"Men+",,5
"2020","Prairie provinces",,"Women+",,7.5
"2020","Manitoba",,"Total - Gender",46,6.4
"2020","Manitoba",,"Men+",46,5.8
"2020","Manitoba",,"Women+",46,6.9
"2020","Saskatchewan",,"Total - Gender",47,6.4
"2020","Saskatchewan",,"Men+",47,4.9
"2020","Saskatchewan",,"Women+",47,7.9
"2020","Alberta",,"Total - Gender",48,6.1
"2020","Alberta",,"Men+",48,4.8
"2020","Alberta",,"Women+",48,7.5
"2020","British Columbia",,"Total - Gender",59,7.7
"2020","British Columbia",,"Men+",59,7.5
"2020","British Columbia",,"Women+",59,7.9
"2021","Canada",,"Men+",,6.9
"2021","Canada",,"Women+",,8.9
"2021","Atlantic provinces",,"Total - Gender",,10.8
"2021","Atlantic provinces",,"Men+",,9.4
"2021","Atlantic provinces",,"Women+",,12.1
"2021","Newfoundland and Labrador",,"Total - Gender",10,9.7
"2021","Newfoundland and Labrador",,"Men+",10,9
"2021","Newfoundland and Labrador",,"Women+",10,10.4
"2021","Prince Edward Island",,"Total - Gender",11,13.2
"2021","Prince Edward Island",,"Men+",11,11.8
"2021","Prince Edward Island",,"Women+",11,14.6
"2021","Nova Scotia",,"Total - Gender",12,11.8
"2021","Nova Scotia",,"Men+",12,10.4
"2021","Nova Scotia",,"Women+",12,13
"2021","New Brunswick",,"Total - Gender",13,9.7
"2021","New Brunswick",,"Men+",13,7.9
"2021","New Brunswick",,"Women+",13,11.5
"2021","Quebec",,"Total - Gender",24,8.1
"2021","Quebec",,"Men+",24,7.5
"2021","Quebec",,"Women+",24,8.7
"2021","Ontario",,"Total - Gender",35,7.5
"2021","Ontario",,"Men+",35,6.3
"2021","Ontario",,"Women+",35,8.7
"2021","Prairie provinces",,"Total - Gender",,6.9
"2021","Prairie provinces",,"Men+",,6.4
"2021","Prairie provinces",,"Women+",,7.4
"2021","Manitoba",,"Total - Gender",46,6.7
"2021","Manitoba",,"Men+",46,6.4
"2021","Manitoba",,"Women+",46,7
"2021","Saskatchewan",,"Total - Gender",47,6.3
"2021","Saskatchewan",,"Men+",47,4.9
"2021","Saskatchewan",,"Women+",47,7.8
"2021","Alberta",,"Total - Gender",48,7.1
"2021","Alberta",,"Men+",48,6.8
"2021","Alberta",,"Women+",48,7.4
"2021","British Columbia",,"Total - Gender",59,8.7
"2021","British Columbia",,"Men+",59,7.2
"2021","British Columbia",,"Women+",59,10.1
"2022","Canada",,"Men+",,8.1
"2022","Canada",,"Women+",,10.4
"2022","Atlantic provinces",,"Total - Gender",,12.6
"2022","Atlantic provinces",,"Men+",,12.3
"2022","Atlantic provinces",,"Women+",,12.9
"2022","Newfoundland and Labrador",,"Total - Gender",10,10.7
"2022","Newfoundland and Labrador",,"Men+",10,9.3
"2022","Newfoundland and Labrador",,"Women+",10,12.1
"2022","Prince Edward Island",,"Total - Gender",11,14.2
"2022","Prince Edward Island",,"Men+",11,12.5
"2022","Prince Edward Island",,"Women+",11,15.7
"2022","Nova Scotia",,"Total - Gender",12,13.8
"2022","Nova Scotia",,"Men+",12,14.3
"2022","Nova Scotia",,"Women+",12,13.2
"2022","New Brunswick",,"Total - Gender",13,12.1
"2022","New Brunswick",,"Men+",13,11.7
"2022","New Brunswick",,"Women+",13,12.5
"2022","Quebec",,"Total - Gender",24,8.8
"2022","Quebec",,"Men+",24,7.6
"2022","Quebec",,"Women+",24,10
"2022","Ontario",,"Total - Gender",35,8.5
"2022","Ontario",,"Men+",35,7.3
"2022","Ontario",,"Women+",35,9.7
"2022","Prairie provinces",,"Total - Gender",,8.8
"2022","Prairie provinces",,"Men+",,7.6
"2022","Prairie provinces",,"Women+",,10
"2022","Manitoba",,"Total - Gender",46,7.7
"2022","Manitoba",,"Men+",46,6.9
"2022","Manitoba",,"Women+",46,8.6
"2022","Saskatchewan",,"Total - Gender",47,7.6
"2022","Saskatchewan",,"Men+",47,7.2
"2022","Saskatchewan",,"Women+",47,7.9
"2022","Alberta",,"Total - Gender",48,9.4
"2022","Alberta",,"Men+",48,8
"2022","Alberta",,"Women+",48,10.9
"2022","British Columbia",,"Total - Gender",59,10.9
"2022","British Columbia",,"Men+",59,9.6
"2022","British Columbia",,"Women+",59,12.2
"2023","Canada",,"Men+",,8.2
"2023","Canada",,"Women+",,10
"2023","Atlantic provinces",,"Total - Gender",,12.9
"2023","Atlantic provinces",,"Men+",,11.5
"2023","Atlantic provinces",,"Women+",,14.2
"2023","Newfoundland and Labrador",,"Total - Gender",10,11.5
"2023","Newfoundland and Labrador",,"Men+",10,10.5
"2023","Newfoundland and Labrador",,"Women+",10,12.5
"2023","Prince Edward Island",,"Total - Gender",11,14.1
"2023","Prince Edward Island",,"Men+",11,12
"2023","Prince Edward Island",,"Women+",11,16.1
"2023","Nova Scotia",,"Total - Gender",12,14.8
"2023","Nova Scotia",,"Men+",12,13.1
"2023","Nova Scotia",,"Women+",12,16.5
"2023","New Brunswick",,"Total - Gender",13,11
"2023","New Brunswick",,"Men+",13,10
"2023","New Brunswick",,"Women+",13,12
"2023","Quebec",,"Total - Gender",24,9.1
"2023","Quebec",,"Men+",24,8.7
"2023","Quebec",,"Women+",24,9.4
"2023","Ontario",,"Total - Gender",35,8.2
"2023","Ontario",,"Men+",35,7.1
"2023","Ontario",,"Women+",35,9.3
"2023","Prairie provinces",,"Total - Gender",,8.3
"2023","Prairie provinces",,"Men+",,7.6
"2023","Prairie provinces",,"Women+",,9
"2023","Manitoba",,"Total - Gender",46,7.1
"2023","Manitoba",,"Men+",46,7.1
"2023","Manitoba",,"Women+",46,7.1
"2023","Saskatchewan",,"Total - Gender",47,8.5
"2023","Saskatchewan",,"Men+",47,7.3
"2023","Saskatchewan",,"Women+",47,9.6
"2023","Alberta",,"Total - Gender",48,8.6
"2023","Alberta",,"Men+",48,7.9
"2023","Alberta",,"Women+",48,9.4
"2023","British Columbia",,"Total - Gender",59,11.1
"2023","British Columbia",,"Men+",59,10
"2023","British Columbia",,"Women+",59,12.1
"2024","Canada",,"Men+",,7.9
"2024","Canada",,"Women+",,9.7
"2024","Atlantic provinces",,"Total - Gender",,12.2
"2024","Atlantic provinces",,"Men+",,10.5
"2024","Atlantic provinces",,"Women+",,13.9
"2024","Newfoundland and Labrador",,"Total - Gender",10,13
"2024","Newfoundland and Labrador",,"Men+",10,11.2
"2024","Newfoundland and Labrador",,"Women+",10,14.8
"2024","Prince Edward Island",,"Total - Gender",11,13.9
"2024","Prince Edward Island",,"Men+",11,13.5
"2024","Prince Edward Island",,"Women+",11,14.3
"2024","Nova Scotia",,"Total - Gender",12,12.3
"2024","Nova Scotia",,"Men+",12,10.2
"2024","Nova Scotia",,"Women+",12,14.4
"2024","New Brunswick",,"Total - Gender",13,11.2
"2024","New Brunswick",,"Men+",13,9.8
"2024","New Brunswick",,"Women+",13,12.5
"2024","Quebec",,"Total - Gender",24,8.7
"2024","Quebec",,"Men+",24,7.3
"2024","Quebec",,"Women+",24,10.1
"2024","Ontario",,"Total - Gender",35,7.9
"2024","Ontario",,"Men+",35,7.3
"2024","Ontario",,"Women+",35,8.6
"2024","Prairie provinces",,"Total - Gender",,8.2
"2024","Prairie provinces",,"Men+",,7.6
"2024","Prairie provinces",,"Women+",,8.8
"2024","Manitoba",,"Total - Gender",46,7.3
"2024","Manitoba",,"Men+",46,5.9
"2024","Manitoba",,"Women+",46,8.8
"2024","Saskatchewan",,"Total - Gender",47,8.7
"2024","Saskatchewan",,"Men+",47,7.4
"2024","Saskatchewan",,"Women+",47,10
"2024","Alberta",,"Total - Gender",48,8.4
"2024","Alberta",,"Men+",48,8.2
"2024","Alberta",,"Women+",48,8.6
"2024","British Columbia",,"Total - Gender",59,10.8
"2024","British Columbia",,"Men+",59,9.9
"2024","British Columbia",,"Women+",59,11.6
