Year,Units,data.Geography,data.Fuel type,data.Demand characteristics,Value
2017,data.Terajoules,data.Canada,data.Natural gas,data.Total industrial,1488661
2018,data.Terajoules,data.Canada,data.Natural gas,data.Total industrial,1614300
2019,data.Terajoules,data.Canada,data.Natural gas,data.Total industrial,1627365
2015,data.Terajoules,data.Canada,data.Natural gas,data.Total transportation,167166
2016,data.Terajoules,data.Canada,data.Natural gas,data.Total transportation,170861
2017,data.Terajoules,data.Canada,data.Natural gas,data.Total transportation,151132
2018,data.Terajoules,data.Canada,data.Natural gas,data.Total transportation,167409
2019,data.Terajoules,data.Canada,data.Natural gas,data.Total transportation,169080
2015,data.Terajoules,data.Canada,data.Natural gas,data.Agriculture,39125
2016,data.Terajoules,data.Canada,data.Natural gas,data.Agriculture,41293
2017,data.Terajoules,data.Canada,data.Natural gas,data.Agriculture,39621
2018,data.Terajoules,data.Canada,data.Natural gas,data.Agriculture,43077
2019,data.Terajoules,data.Canada,data.Natural gas,data.Agriculture,43438
2015,data.Terajoules,data.Canada,data.Natural gas,data.Residential,676325
2016,data.Terajoules,data.Canada,data.Natural gas,data.Residential,649265
2017,data.Terajoules,data.Canada,data.Natural gas,data.Residential,696843
2018,data.Terajoules,data.Canada,data.Natural gas,data.Residential,734933
2019,data.Terajoules,data.Canada,data.Natural gas,data.Residential,731054
2015,data.Terajoules,data.Canada,data.Natural gas,data.Public administration,23260
2016,data.Terajoules,data.Canada,data.Natural gas,data.Public administration,24475
2017,data.Terajoules,data.Canada,data.Natural gas,data.Public administration,28425
2018,data.Terajoules,data.Canada,data.Natural gas,data.Public administration,29102
2019,data.Terajoules,data.Canada,data.Natural gas,data.Public administration,31167
2015,data.Terajoules,data.Canada,data.Natural gas,data.Commercial and other institutional,483693
2016,data.Terajoules,data.Canada,data.Natural gas,data.Commercial and other institutional,485716
2017,data.Terajoules,data.Canada,data.Natural gas,data.Commercial and other institutional,534707
2018,data.Terajoules,data.Canada,data.Natural gas,data.Commercial and other institutional,557225
2019,data.Terajoules,data.Canada,data.Natural gas,data.Commercial and other institutional,568649
2015,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Energy use - final demand,126133
2016,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Energy use - final demand,130540
2017,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Energy use - final demand,139562
2018,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Energy use - final demand,147619
2019,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Energy use - final demand,148907
2015,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Total industrial,57444
2016,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Total industrial,52922
2017,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Total industrial,60254
2018,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Total industrial,71476
2019,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Total industrial,71829
2015,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Total transportation,10716
2016,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Total transportation,12076
2017,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Total transportation,11960
2018,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Total transportation,11699
2019,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Total transportation,11605
2015,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Agriculture,9065
2016,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Agriculture,10301
2017,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Agriculture,
2018,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Agriculture,9810
2019,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Agriculture,10456
2015,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Residential,
2016,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Residential,
2017,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Residential,
2018,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Residential,15019
2019,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Residential,16258
2015,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Public administration,
2016,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Public administration,
2015,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Commercial and other institutional,
2016,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Commercial and other institutional,38208
2017,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Commercial and other institutional,36005
2018,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Commercial and other institutional,34212
2019,data.Terajoules,data.Canada,data.Gas plant natural gas liquids (NGL's),data.Commercial and other institutional,38306
2015,data.Terajoules,data.Canada,data.Hydroelectricity,data.Energy use - final demand,1496686
2016,data.Terajoules,data.Canada,data.Hydroelectricity,data.Energy use - final demand,1510145
2017,data.Terajoules,data.Canada,data.Hydroelectricity,data.Energy use - final demand,1551669
2018,data.Terajoules,data.Canada,data.Hydroelectricity,data.Energy use - final demand,1575462
2019,data.Terajoules,data.Canada,data.Hydroelectricity,data.Energy use - final demand,1580195
2015,data.Terajoules,data.Canada,data.Hydroelectricity,data.Total industrial,567375
2016,data.Terajoules,data.Canada,data.Hydroelectricity,data.Total industrial,590263
2017,data.Terajoules,data.Canada,data.Hydroelectricity,data.Total industrial,592546
2018,data.Terajoules,data.Canada,data.Hydroelectricity,data.Total industrial,595745
2019,data.Terajoules,data.Canada,data.Hydroelectricity,data.Total industrial,602507
2015,data.Terajoules,data.Canada,data.Hydroelectricity,data.Total transportation,18679
2016,data.Terajoules,data.Canada,data.Hydroelectricity,data.Total transportation,20997
2017,data.Terajoules,data.Canada,data.Hydroelectricity,data.Total transportation,22750
2018,data.Terajoules,data.Canada,data.Hydroelectricity,data.Total transportation,22952
2019,data.Terajoules,data.Canada,data.Hydroelectricity,data.Total transportation,22048
2015,data.Terajoules,data.Canada,data.Hydroelectricity,data.Agriculture,29074
2016,data.Terajoules,data.Canada,data.Hydroelectricity,data.Agriculture,27565
2017,data.Terajoules,data.Canada,data.Hydroelectricity,data.Agriculture,28303
2018,data.Terajoules,data.Canada,data.Hydroelectricity,data.Agriculture,29619
2019,data.Terajoules,data.Canada,data.Hydroelectricity,data.Agriculture,30283
2015,data.Terajoules,data.Canada,data.Hydroelectricity,data.Residential,489247
2016,data.Terajoules,data.Canada,data.Hydroelectricity,data.Residential,478268
2017,data.Terajoules,data.Canada,data.Hydroelectricity,data.Residential,485560
2018,data.Terajoules,data.Canada,data.Hydroelectricity,data.Residential,497319
2019,data.Terajoules,data.Canada,data.Hydroelectricity,data.Residential,494630
2015,data.Terajoules,data.Canada,data.Hydroelectricity,data.Public administration,38296
2016,data.Terajoules,data.Canada,data.Hydroelectricity,data.Public administration,38727
2017,data.Terajoules,data.Canada,data.Hydroelectricity,data.Public administration,38072
2018,data.Terajoules,data.Canada,data.Hydroelectricity,data.Public administration,39891
2019,data.Terajoules,data.Canada,data.Hydroelectricity,data.Public administration,39318
2015,data.Terajoules,data.Canada,data.Hydroelectricity,data.Commercial and other institutional,354016
2016,data.Terajoules,data.Canada,data.Hydroelectricity,data.Commercial and other institutional,354323
2017,data.Terajoules,data.Canada,data.Hydroelectricity,data.Commercial and other institutional,384438
2018,data.Terajoules,data.Canada,data.Hydroelectricity,data.Commercial and other institutional,389937
2019,data.Terajoules,data.Canada,data.Hydroelectricity,data.Commercial and other institutional,391410
2015,data.Terajoules,data.Canada,data.Nuclear,data.Energy use - final demand,379808
2016,data.Terajoules,data.Canada,data.Nuclear,data.Energy use - final demand,378586
2017,data.Terajoules,data.Canada,data.Nuclear,data.Energy use - final demand,379487
2018,data.Terajoules,data.Canada,data.Nuclear,data.Energy use - final demand,391777
2019,data.Terajoules,data.Canada,data.Nuclear,data.Energy use - final demand,401242
2015,data.Terajoules,data.Canada,data.Nuclear,data.Total industrial,143981
2016,data.Terajoules,data.Canada,data.Nuclear,data.Total industrial,147976
2017,data.Terajoules,data.Canada,data.Nuclear,data.Total industrial,144917
2018,data.Terajoules,data.Canada,data.Nuclear,data.Total industrial,148146
2019,data.Terajoules,data.Canada,data.Nuclear,data.Total industrial,152988
2015,data.Terajoules,data.Canada,data.Nuclear,data.Total transportation,4740
2016,data.Terajoules,data.Canada,data.Nuclear,data.Total transportation,5264
2017,data.Terajoules,data.Canada,data.Nuclear,data.Total transportation,5564
2018,data.Terajoules,data.Canada,data.Nuclear,data.Total transportation,5708
2019,data.Terajoules,data.Canada,data.Nuclear,data.Total transportation,5598
2015,data.Terajoules,data.Canada,data.Nuclear,data.Agriculture,7378
2016,data.Terajoules,data.Canada,data.Nuclear,data.Agriculture,6911
2017,data.Terajoules,data.Canada,data.Nuclear,data.Agriculture,6922
2018,data.Terajoules,data.Canada,data.Nuclear,data.Agriculture,7365
2019,data.Terajoules,data.Canada,data.Nuclear,data.Agriculture,7689
2015,data.Terajoules,data.Canada,data.Nuclear,data.Residential,124154
2016,data.Terajoules,data.Canada,data.Nuclear,data.Residential,119900
2017,data.Terajoules,data.Canada,data.Nuclear,data.Residential,118752
2018,data.Terajoules,data.Canada,data.Nuclear,data.Residential,123670
2019,data.Terajoules,data.Canada,data.Nuclear,data.Residential,125596
2015,data.Terajoules,data.Canada,data.Nuclear,data.Public administration,9718
2016,data.Terajoules,data.Canada,data.Nuclear,data.Public administration,9709
2017,data.Terajoules,data.Canada,data.Nuclear,data.Public administration,9311
2018,data.Terajoules,data.Canada,data.Nuclear,data.Public administration,9920
2019,data.Terajoules,data.Canada,data.Nuclear,data.Public administration,9983
2015,data.Terajoules,data.Canada,data.Nuclear,data.Commercial and other institutional,89837
2016,data.Terajoules,data.Canada,data.Nuclear,data.Commercial and other institutional,88827
2017,data.Terajoules,data.Canada,data.Nuclear,data.Commercial and other institutional,94021
2018,data.Terajoules,data.Canada,data.Nuclear,data.Commercial and other institutional,96967
2019,data.Terajoules,data.Canada,data.Nuclear,data.Commercial and other institutional,99387
2015,data.Terajoules,data.Canada,data.Steam,data.Energy use - final demand,26828
2016,data.Terajoules,data.Canada,data.Steam,data.Energy use - final demand,25351
2017,data.Terajoules,data.Canada,data.Steam,data.Energy use - final demand,27505
2018,data.Terajoules,data.Canada,data.Steam,data.Energy use - final demand,27679
2019,data.Terajoules,data.Canada,data.Steam,data.Energy use - final demand,24576
2015,data.Terajoules,data.Canada,data.Steam,data.Total industrial,24566
2016,data.Terajoules,data.Canada,data.Steam,data.Total industrial,23395
2017,data.Terajoules,data.Canada,data.Steam,data.Total industrial,26060
2018,data.Terajoules,data.Canada,data.Steam,data.Total industrial,26375
2019,data.Terajoules,data.Canada,data.Steam,data.Total industrial,24284
2015,data.Terajoules,data.Canada,data.Steam,data.Agriculture,3
2016,data.Terajoules,data.Canada,data.Steam,data.Agriculture,
2017,data.Terajoules,data.Canada,data.Steam,data.Agriculture,1
2018,data.Terajoules,data.Canada,data.Steam,data.Agriculture,0
2019,data.Terajoules,data.Canada,data.Steam,data.Agriculture,0
2015,data.Terajoules,data.Canada,data.Steam,data.Residential,0
2016,data.Terajoules,data.Canada,data.Steam,data.Residential,0
2017,data.Terajoules,data.Canada,data.Steam,data.Residential,0
2018,data.Terajoules,data.Canada,data.Steam,data.Residential,0
2019,data.Terajoules,data.Canada,data.Steam,data.Residential,0
2015,data.Terajoules,data.Canada,data.Steam,data.Public administration,0
2016,data.Terajoules,data.Canada,data.Steam,data.Public administration,0
2017,data.Terajoules,data.Canada,data.Steam,data.Public administration,0
2018,data.Terajoules,data.Canada,data.Steam,data.Public administration,0
2019,data.Terajoules,data.Canada,data.Steam,data.Public administration,0
2015,data.Terajoules,data.Canada,data.Steam,data.Commercial and other institutional,2260
2016,data.Terajoules,data.Canada,data.Steam,data.Commercial and other institutional,1954
2017,data.Terajoules,data.Canada,data.Steam,data.Commercial and other institutional,1444
2018,data.Terajoules,data.Canada,data.Steam,data.Commercial and other institutional,1304
2019,data.Terajoules,data.Canada,data.Steam,data.Commercial and other institutional,292
2015,data.Terajoules,data.Canada,data.Coke,data.Energy use - final demand,73871
2016,data.Terajoules,data.Canada,data.Coke,data.Energy use - final demand,81829
2017,data.Terajoules,data.Canada,data.Coke,data.Energy use - final demand,83205
2018,data.Terajoules,data.Canada,data.Coke,data.Energy use - final demand,90661
2019,data.Terajoules,data.Canada,data.Coke,data.Energy use - final demand,84156
2015,data.Terajoules,data.Canada,data.Coke,data.Total industrial,73871
2016,data.Terajoules,data.Canada,data.Coke,data.Total industrial,81829
2017,data.Terajoules,data.Canada,data.Coke,data.Total industrial,
2018,data.Terajoules,data.Canada,data.Coke,data.Total industrial,90661
2019,data.Terajoules,data.Canada,data.Coke,data.Total industrial,84156
2015,data.Terajoules,data.Canada,data.Coke oven gas,data.Energy use - final demand,21181
2016,data.Terajoules,data.Canada,data.Coke oven gas,data.Energy use - final demand,19994
2017,data.Terajoules,data.Canada,data.Coke oven gas,data.Energy use - final demand,19744
2018,data.Terajoules,data.Canada,data.Coke oven gas,data.Energy use - final demand,23235
2019,data.Terajoules,data.Canada,data.Coke oven gas,data.Energy use - final demand,22119
2015,data.Terajoules,data.Canada,data.Coke oven gas,data.Total industrial,21181
2016,data.Terajoules,data.Canada,data.Coke oven gas,data.Total industrial,19994
2017,data.Terajoules,data.Canada,data.Coke oven gas,data.Total industrial,19744
2018,data.Terajoules,data.Canada,data.Coke oven gas,data.Total industrial,23235
2019,data.Terajoules,data.Canada,data.Coke oven gas,data.Total industrial,22119
2015,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Energy use - final demand,3200543
2016,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Energy use - final demand,3182887
2017,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Energy use - final demand,3292346
2018,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Energy use - final demand,3410601
2019,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Energy use - final demand,3435410
2015,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Total industrial,295720
2016,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Total industrial,296507
2017,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Total industrial,328818
2018,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Total industrial,335328
2019,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Total industrial,344520
2015,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Total transportation,2488883
2016,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Total transportation,2476074
2017,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Total transportation,2531706
2018,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Total transportation,2627385
2019,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Total transportation,2651233
2015,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Agriculture,213018
2016,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Agriculture,214533
2017,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Agriculture,221481
2018,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Agriculture,228148
2019,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Agriculture,216034
2015,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Residential,69779
2016,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Residential,63494
2017,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Residential,57868
2018,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Residential,58671
2019,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Residential,54552
2015,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Public administration,50670
2016,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Public administration,
2017,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Public administration,54286
2018,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Public administration,55258
2019,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Public administration,54510
2015,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Commercial and other institutional,82474
2016,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Commercial and other institutional,
2017,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Commercial and other institutional,98188
2018,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Commercial and other institutional,105812
2019,data.Terajoules,data.Canada,data.Total refined petroleum products,data.Commercial and other institutional,114561
2015,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Energy use - final demand,125892
2016,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Energy use - final demand,126046
2017,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Energy use - final demand,125286
2018,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Energy use - final demand,127159
2019,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Energy use - final demand,127535
2015,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Total industrial,29455
2016,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Total industrial,27647
2017,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Total industrial,27712
2018,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Total industrial,29865
2019,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Total industrial,31245
2015,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Total transportation,52475
2016,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Total transportation,53222
2017,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Total transportation,53746
2018,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Total transportation,53278
2019,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Total transportation,52382
2015,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Agriculture,352
2016,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Agriculture,368
2017,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Agriculture,304
2018,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Agriculture,298
2019,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Agriculture,394
2015,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Residential,19717
2016,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Residential,20040
2017,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Residential,21128
2018,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Residential,20820
2019,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Residential,20442
2015,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Public administration,4789
2016,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Public administration,4151
2017,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Public administration,4149
2018,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Public administration,3617
2019,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Public administration,3404
2015,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Commercial and other institutional,19105
2016,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Commercial and other institutional,20619
2017,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Commercial and other institutional,18259
2018,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Commercial and other institutional,19282
2019,data.Terajoules,data.Newfoundland and Labrador,data.Total primary and secondary energy,data.Commercial and other institutional,19668
2015,data.Terajoules,data.Newfoundland and Labrador,data.Total coal,data.Energy use - final demand,
2016,data.Terajoules,data.Newfoundland and Labrador,data.Total coal,data.Energy use - final demand,
2017,data.Terajoules,data.Newfoundland and Labrador,data.Total coal,data.Energy use - final demand,
2018,data.Terajoules,data.Newfoundland and Labrador,data.Total coal,data.Energy use - final demand,2749
2019,data.Terajoules,data.Newfoundland and Labrador,data.Total coal,data.Energy use - final demand,3687
2015,data.Terajoules,data.Newfoundland and Labrador,data.Total coal,data.Total industrial,
2016,data.Terajoules,data.Newfoundland and Labrador,data.Total coal,data.Total industrial,
2017,data.Terajoules,data.Newfoundland and Labrador,data.Total coal,data.Total industrial,
2018,data.Terajoules,data.Newfoundland and Labrador,data.Total coal,data.Total industrial,2749
2019,data.Terajoules,data.Newfoundland and Labrador,data.Total coal,data.Total industrial,3687
2015,data.Terajoules,data.Newfoundland and Labrador,data.Natural gas,data.Energy use - final demand,0
2016,data.Terajoules,data.Newfoundland and Labrador,data.Natural gas,data.Energy use - final demand,
2017,data.Terajoules,data.Newfoundland and Labrador,data.Natural gas,data.Energy use - final demand,
2018,data.Terajoules,data.Newfoundland and Labrador,data.Natural gas,data.Energy use - final demand,304
2019,data.Terajoules,data.Newfoundland and Labrador,data.Natural gas,data.Energy use - final demand,392
2015,data.Terajoules,data.Newfoundland and Labrador,data.Natural gas,data.Total industrial,0
2016,data.Terajoules,data.Newfoundland and Labrador,data.Natural gas,data.Total industrial,
2017,data.Terajoules,data.Newfoundland and Labrador,data.Natural gas,data.Total industrial,
2018,data.Terajoules,data.Newfoundland and Labrador,data.Natural gas,data.Total industrial,304
2019,data.Terajoules,data.Newfoundland and Labrador,data.Natural gas,data.Total industrial,392
2015,data.Terajoules,data.Newfoundland and Labrador,data.Gas plant natural gas liquids (NGL's),data.Energy use - final demand,1723
2016,data.Terajoules,data.Newfoundland and Labrador,data.Gas plant natural gas liquids (NGL's),data.Energy use - final demand,
2017,data.Terajoules,data.Newfoundland and Labrador,data.Gas plant natural gas liquids (NGL's),data.Energy use - final demand,1583
2018,data.Terajoules,data.Newfoundland and Labrador,data.Gas plant natural gas liquids (NGL's),data.Energy use - final demand,1636
2019,data.Terajoules,data.Newfoundland and Labrador,data.Gas plant natural gas liquids (NGL's),data.Energy use - final demand,1572
2015,data.Terajoules,data.Newfoundland and Labrador,data.Gas plant natural gas liquids (NGL's),data.Total industrial,122
2016,data.Terajoules,data.Newfoundland and Labrador,data.Gas plant natural gas liquids (NGL's),data.Total industrial,138
