"Year","Geography","Type of charging or fuelling stations","GeoCode","Value"
2015,"Canada","Compressed natural gas",,7
2015,"Canada","Electric",,529
2015,"Canada","Propane",,127
2016,"Canada","Electric",,705
2016,"Canada","Hydrogen",,1
2016,"Canada","Propane",,131
2017,"Canada","Compressed natural gas",,13
2017,"Canada","Electric",,962
2017,"Canada","Propane",,362
2018,"Canada","Compressed natural gas",,26
2018,"Canada","Electric",,1121
2018,"Canada","Hydrogen",,3
2018,"Canada","Propane",,576
2019,"Canada","Compressed natural gas",,29
2019,"Canada","Electric",,2958
2019,"Canada","Hydrogen",,4
2019,"Canada","Propane",,594
2020,"Canada","Compressed natural gas",,30
2020,"Canada","Electric",,3464
2020,"Canada","Hydrogen",,5
2020,"Canada","Propane",,607
2021,"Canada","Compressed natural gas",,32
2021,"Canada","Electric",,4356
2021,"Canada","Hydrogen",,6
2021,"Canada","Propane",,615
2022,"Canada","Compressed natural gas",,33
2022,"Canada","Electric",,6331
2022,"Canada","Propane",,635
2023,"Canada","Compressed natural gas",,37
2023,"Canada","Electric",,8931
2023,"Canada","Ethanol",,1
2023,"Canada","Hydrogen",,7
2023,"Canada","Propane",,642
2024,"Canada","Electric",,11280
2024,"Canada","Hydrogen",,8
2024,"Canada","Propane",,674
2025,"Canada","Compressed natural gas",,42
2025,"Canada","Electric",,13447
2025,"Canada","Propane",,682
2026,"Canada","Compressed natural gas",,44
2026,"Canada","Electric",,14594
2010,"Manitoba","Total electric charging and alternative fuelling stations",46,3
2010,"Manitoba","Electric",46,1
2013,"Manitoba","Total electric charging and alternative fuelling stations",46,8
2013,"Manitoba","Electric",46,6
2014,"Manitoba","Total electric charging and alternative fuelling stations",46,9
2014,"Manitoba","Electric",46,7
2015,"Manitoba","Total electric charging and alternative fuelling stations",46,14
2015,"Manitoba","Electric",46,12
2016,"Manitoba","Total electric charging and alternative fuelling stations",46,15
2016,"Manitoba","Electric",46,13
2017,"Manitoba","Total electric charging and alternative fuelling stations",46,24
2017,"Manitoba","Electric",46,18
2017,"Manitoba","Propane",46,6
2018,"Manitoba","Total electric charging and alternative fuelling stations",46,67
2018,"Manitoba","Propane",46,49
2019,"Manitoba","Total electric charging and alternative fuelling stations",46,80
2019,"Manitoba","Electric",46,30
2019,"Manitoba","Propane",46,50
2021,"Manitoba","Total electric charging and alternative fuelling stations",46,98
2021,"Manitoba","Electric",46,48
2022,"Manitoba","Total electric charging and alternative fuelling stations",46,153
2022,"Manitoba","Electric",46,103
2023,"Manitoba","Total electric charging and alternative fuelling stations",46,231
2023,"Manitoba","Electric",46,181
2024,"Manitoba","Total electric charging and alternative fuelling stations",46,310
2024,"Manitoba","Electric",46,257
2024,"Manitoba","Propane",46,53
2025,"Manitoba","Total electric charging and alternative fuelling stations",46,357
2025,"Manitoba","Electric",46,304
2026,"Manitoba","Total electric charging and alternative fuelling stations",46,389
2026,"Manitoba","Compressed natural gas",46,1
2026,"Manitoba","Electric",46,335
2011,"New Brunswick","Total electric charging and alternative fuelling stations",13,1
2011,"New Brunswick","Electric",13,1
2012,"New Brunswick","Total electric charging and alternative fuelling stations",13,4
2012,"New Brunswick","Electric",13,4
2013,"New Brunswick","Total electric charging and alternative fuelling stations",13,8
2013,"New Brunswick","Electric",13,8
2014,"New Brunswick","Total electric charging and alternative fuelling stations",13,11
2014,"New Brunswick","Electric",13,11
2015,"New Brunswick","Total electric charging and alternative fuelling stations",13,17
2015,"New Brunswick","Electric",13,17
2016,"New Brunswick","Total electric charging and alternative fuelling stations",13,21
2016,"New Brunswick","Electric",13,21
2017,"New Brunswick","Total electric charging and alternative fuelling stations",13,41
2017,"New Brunswick","Electric",13,41
2018,"New Brunswick","Total electric charging and alternative fuelling stations",13,47
2018,"New Brunswick","Electric",13,46
2018,"New Brunswick","Propane",13,1
2019,"New Brunswick","Total electric charging and alternative fuelling stations",13,63
2019,"New Brunswick","Electric",13,62
2020,"New Brunswick","Total electric charging and alternative fuelling stations",13,77
2020,"New Brunswick","Electric",13,75
2020,"New Brunswick","Propane",13,2
2021,"New Brunswick","Total electric charging and alternative fuelling stations",13,99
2021,"New Brunswick","Electric",13,97
2022,"New Brunswick","Total electric charging and alternative fuelling stations",13,132
2022,"New Brunswick","Electric",13,128
2022,"New Brunswick","Propane",13,4
2023,"New Brunswick","Total electric charging and alternative fuelling stations",13,193
2023,"New Brunswick","Electric",13,189
2024,"New Brunswick","Total electric charging and alternative fuelling stations",13,233
2024,"New Brunswick","Electric",13,228
2024,"New Brunswick","Propane",13,5
2025,"New Brunswick","Total electric charging and alternative fuelling stations",13,279
2025,"New Brunswick","Electric",13,274
2026,"New Brunswick","Total electric charging and alternative fuelling stations",13,299
2026,"New Brunswick","Electric",13,294
2012,"Newfoundland and Labrador","Total electric charging and alternative fuelling stations",10,1
2012,"Newfoundland and Labrador","Electric",10,1
2013,"Newfoundland and Labrador","Total electric charging and alternative fuelling stations",10,5
2013,"Newfoundland and Labrador","Electric",10,5
2014,"Newfoundland and Labrador","Total electric charging and alternative fuelling stations",10,7
2014,"Newfoundland and Labrador","Electric",10,7
2015,"Newfoundland and Labrador","Total electric charging and alternative fuelling stations",10,8
2015,"Newfoundland and Labrador","Electric",10,8
2016,"Newfoundland and Labrador","Total electric charging and alternative fuelling stations",10,14
2016,"Newfoundland and Labrador","Electric",10,14
2018,"Newfoundland and Labrador","Total electric charging and alternative fuelling stations",10,17
2018,"Newfoundland and Labrador","Electric",10,17
2021,"Newfoundland and Labrador","Total electric charging and alternative fuelling stations",10,49
2021,"Newfoundland and Labrador","Electric",10,49
2022,"Newfoundland and Labrador","Total electric charging and alternative fuelling stations",10,107
2022,"Newfoundland and Labrador","Electric",10,107
2023,"Newfoundland and Labrador","Total electric charging and alternative fuelling stations",10,128
2023,"Newfoundland and Labrador","Electric",10,127
2023,"Newfoundland and Labrador","Propane",10,1
2024,"Newfoundland and Labrador","Total electric charging and alternative fuelling stations",10,142
2024,"Newfoundland and Labrador","Electric",10,140
2024,"Newfoundland and Labrador","Propane",10,2
2025,"Newfoundland and Labrador","Total electric charging and alternative fuelling stations",10,158
2025,"Newfoundland and Labrador","Electric",10,156
2026,"Newfoundland and Labrador","Total electric charging and alternative fuelling stations",10,173
2026,"Newfoundland and Labrador","Electric",10,171
2015,"Northwest Territories","Total electric charging and alternative fuelling stations",61,1
2015,"Northwest Territories","Propane",61,1
2023,"Northwest Territories","Total electric charging and alternative fuelling stations",61,2
2023,"Northwest Territories","Electric",61,1
2024,"Northwest Territories","Total electric charging and alternative fuelling stations",61,7
2024,"Northwest Territories","Electric",61,6
2025,"Northwest Territories","Total electric charging and alternative fuelling stations",61,14
2025,"Northwest Territories","Electric",61,13
2026,"Northwest Territories","Total electric charging and alternative fuelling stations",61,15
2026,"Northwest Territories","Electric",61,14
2012,"Nova Scotia","Total electric charging and alternative fuelling stations",12,1
2012,"Nova Scotia","Electric",12,1
2013,"Nova Scotia","Total electric charging and alternative fuelling stations",12,4
2013,"Nova Scotia","Electric",12,3
2013,"Nova Scotia","Propane",12,1
2014,"Nova Scotia","Total electric charging and alternative fuelling stations",12,10
2014,"Nova Scotia","Electric",12,9
2015,"Nova Scotia","Total electric charging and alternative fuelling stations",12,21
2015,"Nova Scotia","Electric",12,19
2015,"Nova Scotia","Propane",12,2
2016,"Nova Scotia","Total electric charging and alternative fuelling stations",12,23
2016,"Nova Scotia","Electric",12,21
2017,"Nova Scotia","Total electric charging and alternative fuelling stations",12,27
2017,"Nova Scotia","Electric",12,25
2018,"Nova Scotia","Total electric charging and alternative fuelling stations",12,29
2018,"Nova Scotia","Electric",12,27
2019,"Nova Scotia","Total electric charging and alternative fuelling stations",12,47
2019,"Nova Scotia","Electric",12,45
2020,"Nova Scotia","Total electric charging and alternative fuelling stations",12,49
2020,"Nova Scotia","Electric",12,47
2021,"Nova Scotia","Total electric charging and alternative fuelling stations",12,63
2021,"Nova Scotia","Electric",12,60
2021,"Nova Scotia","Propane",12,3
2022,"Nova Scotia","Total electric charging and alternative fuelling stations",12,133
2022,"Nova Scotia","Electric",12,129
2022,"Nova Scotia","Propane",12,4
2023,"Nova Scotia","Total electric charging and alternative fuelling stations",12,209
2023,"Nova Scotia","Electric",12,205
2024,"Nova Scotia","Total electric charging and alternative fuelling stations",12,258
2024,"Nova Scotia","Electric",12,253
2024,"Nova Scotia","Propane",12,5
2025,"Nova Scotia","Total electric charging and alternative fuelling stations",12,307
2025,"Nova Scotia","Electric",12,302
2026,"Nova Scotia","Total electric charging and alternative fuelling stations",12,329
2026,"Nova Scotia","Electric",12,324
2010,"Ontario","Total electric charging and alternative fuelling stations",35,30
2010,"Ontario","Electric",35,1
2010,"Ontario","Propane",35,29
2011,"Ontario","Total electric charging and alternative fuelling stations",35,35
2011,"Ontario","Electric",35,6
2012,"Ontario","Total electric charging and alternative fuelling stations",35,42
2012,"Ontario","Electric",35,13
2013,"Ontario","Total electric charging and alternative fuelling stations",35,59
2013,"Ontario","Electric",35,28
2013,"Ontario","Propane",35,31
2014,"Ontario","Total electric charging and alternative fuelling stations",35,96
2014,"Ontario","Compressed natural gas",35,1
2014,"Ontario","Electric",35,63
2014,"Ontario","Propane",35,32
2015,"Ontario","Total electric charging and alternative fuelling stations",35,176
2015,"Ontario","Compressed natural gas",35,2
2015,"Ontario","Electric",35,141
2015,"Ontario","Propane",35,33
2016,"Ontario","Total electric charging and alternative fuelling stations",35,219
2016,"Ontario","Electric",35,182
2016,"Ontario","Hydrogen",35,1
2016,"Ontario","Propane",35,34
2017,"Ontario","Total electric charging and alternative fuelling stations",35,360
2017,"Ontario","Compressed natural gas",35,4
2017,"Ontario","Electric",35,282
2017,"Ontario","Propane",35,73
2018,"Ontario","Total electric charging and alternative fuelling stations",35,429
2018,"Ontario","Compressed natural gas",35,7
2018,"Ontario","Electric",35,345
2018,"Ontario","Propane",35,76
2019,"Ontario","Total electric charging and alternative fuelling stations",35,662
2019,"Ontario","Compressed natural gas",35,8
2019,"Ontario","Electric",35,572
2019,"Ontario","Propane",35,81
2020,"Ontario","Total electric charging and alternative fuelling stations",35,742
2020,"Ontario","Electric",35,645
2020,"Ontario","Propane",35,88
2021,"Ontario","Total electric charging and alternative fuelling stations",35,968
2021,"Ontario","Compressed natural gas",35,9
2021,"Ontario","Electric",35,869
2021,"Ontario","Propane",35,89
2022,"Ontario","Total electric charging and alternative fuelling stations",35,1624
2022,"Ontario","Electric",35,1512
2022,"Ontario","Propane",35,102
2023,"Ontario","Total electric charging and alternative fuelling stations",35,2518
2023,"Ontario","Electric",35,2402
2023,"Ontario","Propane",35,106
2024,"Ontario","Total electric charging and alternative fuelling stations",35,3373
2024,"Ontario","Electric",35,3240
2024,"Ontario","Hydrogen",35,2
2024,"Ontario","Propane",35,122
2025,"Ontario","Total electric charging and alternative fuelling stations",35,4103
2025,"Ontario","Electric",35,3968
2025,"Ontario","Propane",35,124
2026,"Ontario","Total electric charging and alternative fuelling stations",35,4576
2026,"Ontario","Electric",35,4441
2013,"Prince Edward Island","Total electric charging and alternative fuelling stations",11,1
2013,"Prince Edward Island","Electric",11,1
2014,"Prince Edward Island","Total electric charging and alternative fuelling stations",11,5
2014,"Prince Edward Island","Electric",11,5
2015,"Prince Edward Island","Total electric charging and alternative fuelling stations",11,11
2015,"Prince Edward Island","Electric",11,11
2017,"Prince Edward Island","Total electric charging and alternative fuelling stations",11,15
2017,"Prince Edward Island","Electric",11,15
2018,"Prince Edward Island","Total electric charging and alternative fuelling stations",11,17
2018,"Prince Edward Island","Electric",11,17
2020,"Prince Edward Island","Total electric charging and alternative fuelling stations",11,23
2020,"Prince Edward Island","Electric",11,23
2021,"Prince Edward Island","Total electric charging and alternative fuelling stations",11,53
2021,"Prince Edward Island","Electric",11,53
2022,"Prince Edward Island","Total electric charging and alternative fuelling stations",11,91
2022,"Prince Edward Island","Electric",11,90
2022,"Prince Edward Island","Propane",11,1
2023,"Prince Edward Island","Total electric charging and alternative fuelling stations",11,163
2023,"Prince Edward Island","Electric",11,162
2024,"Prince Edward Island","Total electric charging and alternative fuelling stations",11,190
2024,"Prince Edward Island","Electric",11,188
2024,"Prince Edward Island","Propane",11,2
2025,"Prince Edward Island","Total electric charging and alternative fuelling stations",11,205
2025,"Prince Edward Island","Electric",11,203
2026,"Prince Edward Island","Total electric charging and alternative fuelling stations",11,208
2026,"Prince Edward Island","Electric",11,206
2010,"Quebec","Total electric charging and alternative fuelling stations",24,9
2010,"Quebec","Electric",24,2
2012,"Quebec","Total electric charging and alternative fuelling stations",24,15
2012,"Quebec","Electric",24,8
2013,"Quebec","Total electric charging and alternative fuelling stations",24,32
2013,"Quebec","Compressed natural gas",24,2
2013,"Quebec","Electric",24,23
2014,"Quebec","Total electric charging and alternative fuelling stations",24,65
2014,"Quebec","Electric",24,55
2014,"Quebec","Propane",24,8
2015,"Quebec","Total electric charging and alternative fuelling stations",24,152
2015,"Quebec","Compressed natural gas",24,3
2015,"Quebec","Electric",24,134
2015,"Quebec","Propane",24,15
2016,"Quebec","Total electric charging and alternative fuelling stations",24,242
2016,"Quebec","Electric",24,223
2016,"Quebec","Propane",24,16
2017,"Quebec","Total electric charging and alternative fuelling stations",24,425
2017,"Quebec","Compressed natural gas",24,4
2017,"Quebec","Electric",24,283
2017,"Quebec","Propane",24,138
2018,"Quebec","Total electric charging and alternative fuelling stations",24,457
2018,"Quebec","Compressed natural gas",24,5
2018,"Quebec","Electric",24,309
2018,"Quebec","Hydrogen",24,1
2018,"Quebec","Propane",24,142
2019,"Quebec","Total electric charging and alternative fuelling stations",24,1836
2019,"Quebec","Compressed natural gas",24,7
2019,"Quebec","Electric",24,1682
2019,"Quebec","Propane",24,146
2020,"Quebec","Total electric charging and alternative fuelling stations",24,2170
2020,"Quebec","Electric",24,2016
2021,"Quebec","Total electric charging and alternative fuelling stations",24,2517
2021,"Quebec","Electric",24,2361
2021,"Quebec","Propane",24,148
2022,"Quebec","Total electric charging and alternative fuelling stations",24,3017
2022,"Quebec","Compressed natural gas",24,8
2022,"Quebec","Electric",24,2860
2023,"Quebec","Total electric charging and alternative fuelling stations",24,3739
2023,"Quebec","Compressed natural gas",24,9
2023,"Quebec","Electric",24,3580
2023,"Quebec","Propane",24,149
2024,"Quebec","Total electric charging and alternative fuelling stations",24,4412
2024,"Quebec","Electric",24,4252
2024,"Quebec","Propane",24,150
2025,"Quebec","Total electric charging and alternative fuelling stations",24,5098
2025,"Quebec","Compressed natural gas",24,10
2025,"Quebec","Electric",24,4936
2025,"Quebec","Propane",24,151
2026,"Quebec","Total electric charging and alternative fuelling stations",24,5381
2026,"Quebec","Electric",24,5219
2014,"Saskatchewan","Total electric charging and alternative fuelling stations",47,8
2014,"Saskatchewan","Electric",47,3
2014,"Saskatchewan","Propane",47,5
2015,"Saskatchewan","Total electric charging and alternative fuelling stations",47,16
2015,"Saskatchewan","Electric",47,10
2015,"Saskatchewan","Propane",47,6
2016,"Saskatchewan","Total electric charging and alternative fuelling stations",47,20
2016,"Saskatchewan","Electric",47,14
2017,"Saskatchewan","Total electric charging and alternative fuelling stations",47,24
2017,"Saskatchewan","Electric",47,18
2018,"Saskatchewan","Total electric charging and alternative fuelling stations",47,90
2018,"Saskatchewan","Electric",47,19
2018,"Saskatchewan","Propane",47,71
2019,"Saskatchewan","Total electric charging and alternative fuelling stations",47,102
2019,"Saskatchewan","Electric",47,29
2019,"Saskatchewan","Propane",47,73
2021,"Saskatchewan","Total electric charging and alternative fuelling stations",47,119
2021,"Saskatchewan","Electric",47,46
2022,"Saskatchewan","Total electric charging and alternative fuelling stations",47,155
2022,"Saskatchewan","Electric",47,82
2023,"Saskatchewan","Total electric charging and alternative fuelling stations",47,196
2023,"Saskatchewan","Electric",47,123
2024,"Saskatchewan","Total electric charging and alternative fuelling stations",47,232
2024,"Saskatchewan","Electric",47,159
2025,"Saskatchewan","Total electric charging and alternative fuelling stations",47,270
2025,"Saskatchewan","Electric",47,197
2026,"Saskatchewan","Total electric charging and alternative fuelling stations",47,283
2026,"Saskatchewan","Electric",47,210
2019,"Yukon","Total electric charging and alternative fuelling stations",60,4
2019,"Yukon","Electric",60,2
2019,"Yukon","Propane",60,2
2020,"Yukon","Total electric charging and alternative fuelling stations",60,7
2020,"Yukon","Electric",60,5
2022,"Yukon","Total electric charging and alternative fuelling stations",60,13
2022,"Yukon","Electric",60,11
2023,"Yukon","Total electric charging and alternative fuelling stations",60,24
2023,"Yukon","Electric",60,22
2024,"Yukon","Total electric charging and alternative fuelling stations",60,28
2024,"Yukon","Electric",60,26
2025,"Yukon","Total electric charging and alternative fuelling stations",60,36
2025,"Yukon","Electric",60,34
2026,"Yukon","Total electric charging and alternative fuelling stations",60,37
2026,"Yukon","Electric",60,35
