"Year","Geography","Type of event","Sex","GeoCode","Value"
"2023","Saskatchewan","Accidental apparent opioid toxicity deaths","Male",47,30.4
"2016","Manitoba","Accidental apparent opioid toxicity deaths","Female",46,3.6
"2016","Manitoba","Accidental apparent opioid toxicity deaths","Male",46,5.6
"2017","Manitoba","Accidental apparent opioid toxicity deaths","Female",46,4.3
"2017","Manitoba","Accidental apparent opioid toxicity deaths","Male",46,8.7
"2018","Manitoba","Accidental apparent opioid toxicity deaths","Female",46,5.2
"2018","Manitoba","Accidental apparent opioid toxicity deaths","Male",46,6.3
"2019","Manitoba","Accidental apparent opioid toxicity deaths","Female",46,2.5
"2019","Manitoba","Accidental apparent opioid toxicity deaths","Male",46,5.4
"2020","Manitoba","Accidental apparent opioid toxicity deaths","Female",46,13.4
"2020","Manitoba","Accidental apparent opioid toxicity deaths","Male",46,22.6
"2021","Manitoba","Accidental apparent opioid toxicity deaths","Female",46,13.9
"2021","Manitoba","Accidental apparent opioid toxicity deaths","Male",46,23.9
"2022","Manitoba","Accidental apparent opioid toxicity deaths","Female",46,2.4
"2022","Manitoba","Accidental apparent opioid toxicity deaths","Male",46,4.8
"2016","Ontario","Accidental apparent opioid toxicity deaths","Female",35,3
"2016","Ontario","Accidental apparent opioid toxicity deaths","Male",35,7.5
"2017","Ontario","Accidental apparent opioid toxicity deaths","Female",35,4
"2017","Ontario","Accidental apparent opioid toxicity deaths","Male",35,12.1
"2018","Ontario","Accidental apparent opioid toxicity deaths","Female",35,5.1
"2018","Ontario","Accidental apparent opioid toxicity deaths","Male",35,13.7
"2019","Ontario","Accidental apparent opioid toxicity deaths","Female",35,5.4
"2019","Ontario","Accidental apparent opioid toxicity deaths","Male",35,14.3
"2020","Ontario","Accidental apparent opioid toxicity deaths","Female",35,7.3
"2020","Ontario","Accidental apparent opioid toxicity deaths","Male",35,24.4
"2021","Ontario","Accidental apparent opioid toxicity deaths","Female",35,9.2
"2021","Ontario","Accidental apparent opioid toxicity deaths","Male",35,27.5
"2022","Ontario","Accidental apparent opioid toxicity deaths","Female",35,7.4
"2022","Ontario","Accidental apparent opioid toxicity deaths","Male",35,24
"2023","Ontario","Accidental apparent opioid toxicity deaths","Female",35,8.4
"2023","Ontario","Accidental apparent opioid toxicity deaths","Male",35,23.6
"2016","Quebec","Accidental apparent opioid toxicity deaths","Female",24,1.4
"2016","Quebec","Accidental apparent opioid toxicity deaths","Male",24,2.9
"2017","Quebec","Accidental apparent opioid toxicity deaths","Female",24,1.4
"2017","Quebec","Accidental apparent opioid toxicity deaths","Male",24,3.1
"2018","Quebec","Accidental apparent opioid toxicity deaths","Female",24,1.3
"2018","Quebec","Accidental apparent opioid toxicity deaths","Male",24,2.2
"2019","Quebec","Accidental apparent opioid toxicity deaths","Female",24,1.2
"2019","Quebec","Accidental apparent opioid toxicity deaths","Male",24,2.6
"2020","Quebec","Accidental apparent opioid toxicity deaths","Female",24,1.6
"2020","Quebec","Accidental apparent opioid toxicity deaths","Male",24,3.7
"2021","Quebec","Accidental apparent opioid toxicity deaths","Female",24,1.4
"2021","Quebec","Accidental apparent opioid toxicity deaths","Male",24,3.6
"2022","Quebec","Accidental apparent opioid toxicity deaths","Female",24,2.6
"2022","Quebec","Accidental apparent opioid toxicity deaths","Male",24,9.8
"2023","Quebec","Accidental apparent opioid toxicity deaths","Female",24,3.1
"2023","Quebec","Accidental apparent opioid toxicity deaths","Male",24,9
"2016","New Brunswick","Accidental apparent opioid toxicity deaths","Female",13,2.6
"2016","New Brunswick","Accidental apparent opioid toxicity deaths","Male",13,4.5
"2017","New Brunswick","Accidental apparent opioid toxicity deaths","Female",13,3.4
"2017","New Brunswick","Accidental apparent opioid toxicity deaths","Male",13,5
"2018","New Brunswick","Accidental apparent opioid toxicity deaths","Female",13,3.3
"2018","New Brunswick","Accidental apparent opioid toxicity deaths","Male",13,2.6
"2019","New Brunswick","Accidental apparent opioid toxicity deaths","Female",13,3.6
"2019","New Brunswick","Accidental apparent opioid toxicity deaths","Male",13,3.4
"2020","New Brunswick","Accidental apparent opioid toxicity deaths","Female",13,4.3
"2020","New Brunswick","Accidental apparent opioid toxicity deaths","Male",13,5.4
"2021","New Brunswick","Accidental apparent opioid toxicity deaths","Female",13,4.2
"2021","New Brunswick","Accidental apparent opioid toxicity deaths","Male",13,6.4
"2022","New Brunswick","Accidental apparent opioid toxicity deaths","Female",13,6.1
"2022","New Brunswick","Accidental apparent opioid toxicity deaths","Male",13,10.7
"2023","New Brunswick","Accidental apparent opioid toxicity deaths","Female",13,6.2
"2023","New Brunswick","Accidental apparent opioid toxicity deaths","Male",13,10.9
"2016","Nova Scotia","Accidental apparent opioid toxicity deaths","Female",12,1.9
"2016","Nova Scotia","Accidental apparent opioid toxicity deaths","Male",12,6.7
"2017","Nova Scotia","Accidental apparent opioid toxicity deaths","Female",12,3.5
"2017","Nova Scotia","Accidental apparent opioid toxicity deaths","Male",12,8.8
"2018","Nova Scotia","Accidental apparent opioid toxicity deaths","Female",12,3.5
"2018","Nova Scotia","Accidental apparent opioid toxicity deaths","Male",12,7
"2019","Nova Scotia","Accidental apparent opioid toxicity deaths","Female",12,2.4
"2019","Nova Scotia","Accidental apparent opioid toxicity deaths","Male",12,6.7
"2020","Nova Scotia","Accidental apparent opioid toxicity deaths","Female",12,2.6
"2020","Nova Scotia","Accidental apparent opioid toxicity deaths","Male",12,5.7
"2021","Nova Scotia","Accidental apparent opioid toxicity deaths","Female",12,1.8
"2021","Nova Scotia","Accidental apparent opioid toxicity deaths","Male",12,5.1
"2022","Nova Scotia","Accidental apparent opioid toxicity deaths","Female",12,2.7
"2022","Nova Scotia","Accidental apparent opioid toxicity deaths","Male",12,6.7
"2023","Nova Scotia","Accidental apparent opioid toxicity deaths","Female",12,2.6
"2023","Nova Scotia","Accidental apparent opioid toxicity deaths","Male",12,9.9
"2016","Newfoundland and Labrador","Accidental apparent opioid toxicity deaths","Female",10,1.9
"2016","Newfoundland and Labrador","Accidental apparent opioid toxicity deaths","Male",10,3
"2017","Newfoundland and Labrador","Accidental apparent opioid toxicity deaths","Female",10,2.6
"2017","Newfoundland and Labrador","Accidental apparent opioid toxicity deaths","Male",10,6.1
"2018","Newfoundland and Labrador","Accidental apparent opioid toxicity deaths","Female",10,1.9
"2018","Newfoundland and Labrador","Accidental apparent opioid toxicity deaths","Male",10,1.9
"2020","Newfoundland and Labrador","Accidental apparent opioid toxicity deaths","Female",10,2.3
"2020","Newfoundland and Labrador","Accidental apparent opioid toxicity deaths","Male",10,5
"2021","Newfoundland and Labrador","Accidental apparent opioid toxicity deaths","Female",10,3
"2021","Newfoundland and Labrador","Accidental apparent opioid toxicity deaths","Male",10,6.1
"2022","Newfoundland and Labrador","Accidental apparent opioid toxicity deaths","Female",10,3.7
"2022","Newfoundland and Labrador","Accidental apparent opioid toxicity deaths","Male",10,4.9
"2023","Newfoundland and Labrador","Accidental apparent opioid toxicity deaths","Female",10,5.1
"2023","Newfoundland and Labrador","Accidental apparent opioid toxicity deaths","Male",10,7.5
"2021","Yukon","Accidental apparent opioid toxicity deaths","Female",60,42.1
"2021","Yukon","Accidental apparent opioid toxicity deaths","Male",60,64.9
"2022","Yukon","Accidental apparent opioid toxicity deaths","Female",60,45.7
"2022","Yukon","Accidental apparent opioid toxicity deaths","Male",60,40.8
"2023","Yukon","Accidental apparent opioid toxicity deaths","Female",60,22.4
"2023","Yukon","Accidental apparent opioid toxicity deaths","Male",60,53.1
"2019","Northwest Territories","Accidental apparent opioid toxicity deaths","Female",61,0
"2019","Northwest Territories","Accidental apparent opioid toxicity deaths","Male",61,0
"2021","Northwest Territories","Accidental apparent opioid toxicity deaths","Female",61,4.6
"2021","Northwest Territories","Accidental apparent opioid toxicity deaths","Male",61,13.1
"2022","Northwest Territories","Accidental apparent opioid toxicity deaths","Female",61,13.8
"2022","Northwest Territories","Accidental apparent opioid toxicity deaths","Male",61,17.5
"2016","Nunavut","Accidental apparent opioid toxicity deaths","Female",62,0
"2016","Nunavut","Accidental apparent opioid toxicity deaths","Male",62,0
"2017","Nunavut","Accidental apparent opioid toxicity deaths","Female",62,0
"2017","Nunavut","Accidental apparent opioid toxicity deaths","Male",62,0
"2018","Nunavut","Accidental apparent opioid toxicity deaths","Female",62,0
"2018","Nunavut","Accidental apparent opioid toxicity deaths","Male",62,0
"2019","Nunavut","Accidental apparent opioid toxicity deaths","Female",62,0
"2019","Nunavut","Accidental apparent opioid toxicity deaths","Male",62,0
"2020","Nunavut","Accidental apparent opioid toxicity deaths","Female",62,0
"2020","Nunavut","Accidental apparent opioid toxicity deaths","Male",62,0
"2021","Nunavut","Accidental apparent opioid toxicity deaths","Female",62,0
