Year,Geography,Violations,GeoCode,Value
2017,data.Newfoundland and Labrador [10],"Sexual assault, level 1",,61.52
2018,data.Newfoundland and Labrador [10],"Sexual assault, level 1",,65.64
2019,data.Newfoundland and Labrador [10],"Sexual assault, level 1",,73.55
2020,data.Newfoundland and Labrador [10],"Sexual assault, level 1",,80.83
2015,data.Newfoundland and Labrador [10],Total sexual violations against children,,19.12
2016,data.Newfoundland and Labrador [10],Total sexual violations against children,,24.18
2017,data.Newfoundland and Labrador [10],Total sexual violations against children,,25.93
2018,data.Newfoundland and Labrador [10],Total sexual violations against children,,23.21
2019,data.Newfoundland and Labrador [10],Total sexual violations against children,,29.61
2020,data.Newfoundland and Labrador [10],Total sexual violations against children,,28.35
2015,data.Newfoundland and Labrador [10],"Assault, level 3, aggravated",,7.38
2016,data.Newfoundland and Labrador [10],"Assault, level 3, aggravated",,9.26
2017,data.Newfoundland and Labrador [10],"Assault, level 3, aggravated",,8.9
2018,data.Newfoundland and Labrador [10],"Assault, level 3, aggravated",,6.85
2019,data.Newfoundland and Labrador [10],"Assault, level 3, aggravated",,5.73
2020,data.Newfoundland and Labrador [10],"Assault, level 3, aggravated",,7.85
2015,data.Newfoundland and Labrador [10],"Assault, level 2, weapon or bodily harm",,114.94
2016,data.Newfoundland and Labrador [10],"Assault, level 2, weapon or bodily harm",,106.15
2017,data.Newfoundland and Labrador [10],"Assault, level 2, weapon or bodily harm",,114.72
2018,data.Newfoundland and Labrador [10],"Assault, level 2, weapon or bodily harm",,111.31
2019,data.Newfoundland and Labrador [10],"Assault, level 2, weapon or bodily harm",,137.54
2020,data.Newfoundland and Labrador [10],"Assault, level 2, weapon or bodily harm",,154.38
2015,data.Newfoundland and Labrador [10],"Assault, level 1",,600.44
2016,data.Newfoundland and Labrador [10],"Assault, level 1",,577.8
2017,data.Newfoundland and Labrador [10],"Assault, level 1",,567.54
2018,data.Newfoundland and Labrador [10],"Assault, level 1",,566.82
2019,data.Newfoundland and Labrador [10],"Assault, level 1",,638.81
2020,data.Newfoundland and Labrador [10],"Assault, level 1",,679.18
2015,data.Newfoundland and Labrador [10],Total robbery,,35.41
2016,data.Newfoundland and Labrador [10],Total robbery,,42.12
2017,data.Newfoundland and Labrador [10],Total robbery,,35.02
2018,data.Newfoundland and Labrador [10],Total robbery,,40.91
2019,data.Newfoundland and Labrador [10],Total robbery,,31.52
2020,data.Newfoundland and Labrador [10],Total robbery,,24.32
2015,data.Newfoundland and Labrador [10],Uttering threats,,351.82
2016,data.Newfoundland and Labrador [10],Uttering threats,,329.6
2017,data.Newfoundland and Labrador [10],Uttering threats,,314.06
2018,data.Newfoundland and Labrador [10],Uttering threats,,333.93
2019,data.Newfoundland and Labrador [10],Uttering threats,,396.96
2020,data.Newfoundland and Labrador [10],Uttering threats,,425.59
2015,data.Newfoundland and Labrador [10],Total other violent violations,,9.09
2016,data.Newfoundland and Labrador [10],Total other violent violations,,8.31
2017,data.Newfoundland and Labrador [10],Total other violent violations,,13.44
2018,data.Newfoundland and Labrador [10],Total other violent violations,,18.65
2019,data.Newfoundland and Labrador [10],Total other violent violations,,19.1
2020,data.Newfoundland and Labrador [10],Total other violent violations,,18.2
2015,data.Prince Edward Island [11],"Total, all violations",11,4750.04
2016,data.Prince Edward Island [11],"Total, all violations",11,5012.62
2017,data.Prince Edward Island [11],"Total, all violations",11,4713.37
2018,data.Prince Edward Island [11],"Total, all violations",11,5391.93
2019,data.Prince Edward Island [11],"Total, all violations",11,6279.33
2020,data.Prince Edward Island [11],"Total, all violations",11,5506.03
2015,data.Prince Edward Island [11],Homicide,,0.69
2016,data.Prince Edward Island [11],Homicide,,0.0
2017,data.Prince Edward Island [11],Homicide,,1.33
2018,data.Prince Edward Island [11],Homicide,,0.0
2019,data.Prince Edward Island [11],Homicide,,1.27
2020,data.Prince Edward Island [11],Homicide,,0.63
2015,data.Prince Edward Island [11],Total other violations causing death,,0.0
2016,data.Prince Edward Island [11],Total other violations causing death,,0.0
2017,data.Prince Edward Island [11],Total other violations causing death,,0.0
2018,data.Prince Edward Island [11],Total other violations causing death,,0.0
2019,data.Prince Edward Island [11],Total other violations causing death,,0.64
2020,data.Prince Edward Island [11],Total other violations causing death,,0.0
2015,data.Prince Edward Island [11],Attempted murder,,2.08
2016,data.Prince Edward Island [11],Attempted murder,,0.0
2017,data.Prince Edward Island [11],Attempted murder,,1.33
2018,data.Prince Edward Island [11],Attempted murder,,0.65
2019,data.Prince Edward Island [11],Attempted murder,,0.0
2020,data.Prince Edward Island [11],Attempted murder,,0.0
2015,data.Prince Edward Island [11],"Sexual assault, level 3, aggravated",,0.0
2016,data.Prince Edward Island [11],"Sexual assault, level 3, aggravated",,0.0
2017,data.Prince Edward Island [11],"Sexual assault, level 3, aggravated",,0.0
2018,data.Prince Edward Island [11],"Sexual assault, level 3, aggravated",,0.65
2019,data.Prince Edward Island [11],"Sexual assault, level 3, aggravated",,0.0
2020,data.Prince Edward Island [11],"Sexual assault, level 3, aggravated",,0.63
2015,data.Prince Edward Island [11],"Sexual assault, level 2, weapon or bodily harm",,0.0
2016,data.Prince Edward Island [11],"Sexual assault, level 2, weapon or bodily harm",,0.68
2017,data.Prince Edward Island [11],"Sexual assault, level 2, weapon or bodily harm",,0.0
2018,data.Prince Edward Island [11],"Sexual assault, level 2, weapon or bodily harm",,0.65
2019,data.Prince Edward Island [11],"Sexual assault, level 2, weapon or bodily harm",,0.0
2020,data.Prince Edward Island [11],"Sexual assault, level 2, weapon or bodily harm",,1.25
2015,data.Prince Edward Island [11],"Sexual assault, level 1",,48.43
2016,data.Prince Edward Island [11],"Sexual assault, level 1",,48.31
2017,data.Prince Edward Island [11],"Sexual assault, level 1",,45.88
2018,data.Prince Edward Island [11],"Sexual assault, level 1",,68.45
2019,data.Prince Edward Island [11],"Sexual assault, level 1",,83.94
2020,data.Prince Edward Island [11],"Sexual assault, level 1",,70.79
2015,data.Prince Edward Island [11],Total sexual violations against children,,15.91
2016,data.Prince Edward Island [11],Total sexual violations against children,,23.13
2017,data.Prince Edward Island [11],Total sexual violations against children,,18.62
2018,data.Prince Edward Island [11],Total sexual violations against children,,23.47
2019,data.Prince Edward Island [11],Total sexual violations against children,,33.07
2020,data.Prince Edward Island [11],Total sexual violations against children,,26.94
2015,data.Prince Edward Island [11],"Assault, level 3, aggravated",,4.15
2016,data.Prince Edward Island [11],"Assault, level 3, aggravated",,4.08
2017,data.Prince Edward Island [11],"Assault, level 3, aggravated",,4.65
2018,data.Prince Edward Island [11],"Assault, level 3, aggravated",,1.96
2019,data.Prince Edward Island [11],"Assault, level 3, aggravated",,1.91
2020,data.Prince Edward Island [11],"Assault, level 3, aggravated",,3.13
2015,data.Prince Edward Island [11],"Assault, level 2, weapon or bodily harm",,62.26
2016,data.Prince Edward Island [11],"Assault, level 2, weapon or bodily harm",,66.0
2017,data.Prince Edward Island [11],"Assault, level 2, weapon or bodily harm",,79.79
2018,data.Prince Edward Island [11],"Assault, level 2, weapon or bodily harm",,69.1
2019,data.Prince Edward Island [11],"Assault, level 2, weapon or bodily harm",,67.4
2020,data.Prince Edward Island [11],"Assault, level 2, weapon or bodily harm",,65.78
2015,data.Prince Edward Island [11],"Assault, level 1",,312.7
2016,data.Prince Edward Island [11],"Assault, level 1",,335.44
2017,data.Prince Edward Island [11],"Assault, level 1",,383.64
2018,data.Prince Edward Island [11],"Assault, level 1",,413.96
2019,data.Prince Edward Island [11],"Assault, level 1",,467.37
2020,data.Prince Edward Island [11],"Assault, level 1",,394.68
2015,data.Prince Edward Island [11],Total robbery,,11.07
2016,data.Prince Edward Island [11],Total robbery,,12.25
2017,data.Prince Edward Island [11],Total robbery,,11.97
2018,data.Prince Edward Island [11],Total robbery,,13.69
2019,data.Prince Edward Island [11],Total robbery,,15.26
2020,data.Prince Edward Island [11],Total robbery,,5.01
2015,data.Prince Edward Island [11],Uttering threats,,140.44
2016,data.Prince Edward Island [11],Uttering threats,,153.77
2017,data.Prince Edward Island [11],Uttering threats,,179.52
2018,data.Prince Edward Island [11],Uttering threats,,224.91
2019,data.Prince Edward Island [11],Uttering threats,,266.43
2020,data.Prince Edward Island [11],Uttering threats,,306.97
2015,data.Prince Edward Island [11],Total other violent violations,,13.84
2016,data.Prince Edward Island [11],Total other violent violations,,4.08
2017,data.Prince Edward Island [11],Total other violent violations,,4.65
2018,data.Prince Edward Island [11],Total other violent violations,,14.34
2019,data.Prince Edward Island [11],Total other violent violations,,21.62
2020,data.Prince Edward Island [11],Total other violent violations,,25.69
2015,data.Nova Scotia [12],"Total, all violations",12,5727.24
2016,data.Nova Scotia [12],"Total, all violations",12,5589.79
2017,data.Nova Scotia [12],"Total, all violations",12,5731.87
2018,data.Nova Scotia [12],"Total, all violations",12,5685.69
2019,data.Nova Scotia [12],"Total, all violations",12,5873.28
2020,data.Nova Scotia [12],"Total, all violations",12,5850.61
2015,data.Nova Scotia [12],Homicide,,1.28
2016,data.Nova Scotia [12],Homicide,,1.38
2017,data.Nova Scotia [12],Homicide,,2.21
2018,data.Nova Scotia [12],Homicide,,1.15
2019,data.Nova Scotia [12],Homicide,,0.62
2020,data.Nova Scotia [12],Homicide,,3.57
2015,data.Nova Scotia [12],Total other violations causing death,,0.21
2016,data.Nova Scotia [12],Total other violations causing death,,0.32
2017,data.Nova Scotia [12],Total other violations causing death,,0.21
2018,data.Nova Scotia [12],Total other violations causing death,,0.31
2019,data.Nova Scotia [12],Total other violations causing death,,0.82
2020,data.Nova Scotia [12],Total other violations causing death,,0.31
2015,data.Nova Scotia [12],Attempted murder,,3.52
2016,data.Nova Scotia [12],Attempted murder,,2.97
2017,data.Nova Scotia [12],Attempted murder,,2.84
2018,data.Nova Scotia [12],Attempted murder,,1.98
2019,data.Nova Scotia [12],Attempted murder,,4.33
2020,data.Nova Scotia [12],Attempted murder,,4.8
2015,data.Nova Scotia [12],"Sexual assault, level 3, aggravated",,0.43
2016,data.Nova Scotia [12],"Sexual assault, level 3, aggravated",,0.42
2017,data.Nova Scotia [12],"Sexual assault, level 3, aggravated",,0.42
2018,data.Nova Scotia [12],"Sexual assault, level 3, aggravated",,0.73
2019,data.Nova Scotia [12],"Sexual assault, level 3, aggravated",,0.41
2020,data.Nova Scotia [12],"Sexual assault, level 3, aggravated",,0.92
2015,data.Nova Scotia [12],"Sexual assault, level 2, weapon or bodily harm",,0.75
2016,data.Nova Scotia [12],"Sexual assault, level 2, weapon or bodily harm",,0.74
2017,data.Nova Scotia [12],"Sexual assault, level 2, weapon or bodily harm",,0.95
2018,data.Nova Scotia [12],"Sexual assault, level 2, weapon or bodily harm",,0.73
2019,data.Nova Scotia [12],"Sexual assault, level 2, weapon or bodily harm",,1.55
2020,data.Nova Scotia [12],"Sexual assault, level 2, weapon or bodily harm",,1.33
2015,data.Nova Scotia [12],"Sexual assault, level 1",,69.62
2016,data.Nova Scotia [12],"Sexual assault, level 1",,66.08
2017,data.Nova Scotia [12],"Sexual assault, level 1",,78.1
2018,data.Nova Scotia [12],"Sexual assault, level 1",,107.89
2019,data.Nova Scotia [12],"Sexual assault, level 1",,91.05
2020,data.Nova Scotia [12],"Sexual assault, level 1",,86.18
2015,data.Nova Scotia [12],Total sexual violations against children,,21.14
2016,data.Nova Scotia [12],Total sexual violations against children,,23.23
2017,data.Nova Scotia [12],Total sexual violations against children,,26.73
2018,data.Nova Scotia [12],Total sexual violations against children,,27.13
2019,data.Nova Scotia [12],Total sexual violations against children,,32.28
2020,data.Nova Scotia [12],Total sexual violations against children,,31.35
2015,data.Nova Scotia [12],"Assault, level 3, aggravated",,9.5
2016,data.Nova Scotia [12],"Assault, level 3, aggravated",,9.12
2017,data.Nova Scotia [12],"Assault, level 3, aggravated",,8.95
2018,data.Nova Scotia [12],"Assault, level 3, aggravated",,8.35
2019,data.Nova Scotia [12],"Assault, level 3, aggravated",,10.83
2020,data.Nova Scotia [12],"Assault, level 3, aggravated",,6.74
2015,data.Nova Scotia [12],"Assault, level 2, weapon or bodily harm",,112.44
2016,data.Nova Scotia [12],"Assault, level 2, weapon or bodily harm",,111.37
2017,data.Nova Scotia [12],"Assault, level 2, weapon or bodily harm",,113.88
2018,data.Nova Scotia [12],"Assault, level 2, weapon or bodily harm",,111.85
2019,data.Nova Scotia [12],"Assault, level 2, weapon or bodily harm",,119.41
2020,data.Nova Scotia [12],"Assault, level 2, weapon or bodily harm",,144.08
2015,data.Nova Scotia [12],"Assault, level 1",,461.17
2016,data.Nova Scotia [12],"Assault, level 1",,446.23
2017,data.Nova Scotia [12],"Assault, level 1",,482.79
2018,data.Nova Scotia [12],"Assault, level 1",,480.17
2019,data.Nova Scotia [12],"Assault, level 1",,512.92
2020,data.Nova Scotia [12],"Assault, level 1",,521.16
2015,data.Nova Scotia [12],Total robbery,,34.28
2016,data.Nova Scotia [12],Total robbery,,28.74
2017,data.Nova Scotia [12],Total robbery,,32.52
2018,data.Nova Scotia [12],Total robbery,,32.76
2019,data.Nova Scotia [12],Total robbery,,24.65
2020,data.Nova Scotia [12],Total robbery,,27.26
2015,data.Nova Scotia [12],Uttering threats,,260.11
2016,data.Nova Scotia [12],Uttering threats,,244.27
2017,data.Nova Scotia [12],Uttering threats,,255.87
2018,data.Nova Scotia [12],Uttering threats,,252.09
2019,data.Nova Scotia [12],Uttering threats,,314.72
2020,data.Nova Scotia [12],Uttering threats,,361.16
2015,data.Nova Scotia [12],Total other violent violations,,16.23
2016,data.Nova Scotia [12],Total other violent violations,,15.8
2017,data.Nova Scotia [12],Total other violent violations,,16.21
2018,data.Nova Scotia [12],Total other violent violations,,18.47
2019,data.Nova Scotia [12],Total other violent violations,,26.5
2020,data.Nova Scotia [12],Total other violent violations,,30.33
2015,data.New Brunswick [13],"Total, all violations",13,5478.74
2016,data.New Brunswick [13],"Total, all violations",13,5276.22
2017,data.New Brunswick [13],"Total, all violations",13,5753.3
2018,data.New Brunswick [13],"Total, all violations",13,6055.68
2019,data.New Brunswick [13],"Total, all violations",13,6752.37
2020,data.New Brunswick [13],"Total, all violations",13,6763.36
2015,data.New Brunswick [13],Homicide,,1.45
2016,data.New Brunswick [13],Homicide,,1.44
2017,data.New Brunswick [13],Homicide,,1.3
2018,data.New Brunswick [13],Homicide,,1.69
2019,data.New Brunswick [13],Homicide,,2.19
2020,data.New Brunswick [13],Homicide,,1.79
2015,data.New Brunswick [13],Total other violations causing death,,0.13
2016,data.New Brunswick [13],Total other violations causing death,,0.39
2017,data.New Brunswick [13],Total other violations causing death,,0.0
2018,data.New Brunswick [13],Total other violations causing death,,0.52
2019,data.New Brunswick [13],Total other violations causing death,,0.39
2020,data.New Brunswick [13],Total other violations causing death,,0.64
2015,data.New Brunswick [13],Attempted murder,,2.24
2016,data.New Brunswick [13],Attempted murder,,0.92
2017,data.New Brunswick [13],Attempted murder,,0.78
2018,data.New Brunswick [13],Attempted murder,,1.17
2019,data.New Brunswick [13],Attempted murder,,2.19
2020,data.New Brunswick [13],Attempted murder,,1.28
2015,data.New Brunswick [13],"Sexual assault, level 3, aggravated",,0.13
2016,data.New Brunswick [13],"Sexual assault, level 3, aggravated",,0.13
2017,data.New Brunswick [13],"Sexual assault, level 3, aggravated",,0.0
2018,data.New Brunswick [13],"Sexual assault, level 3, aggravated",,0.26
2019,data.New Brunswick [13],"Sexual assault, level 3, aggravated",,0.13
2020,data.New Brunswick [13],"Sexual assault, level 3, aggravated",,0.38
2015,data.New Brunswick [13],"Sexual assault, level 2, weapon or bodily harm",,0.66
2016,data.New Brunswick [13],"Sexual assault, level 2, weapon or bodily harm",,0.92
2017,data.New Brunswick [13],"Sexual assault, level 2, weapon or bodily harm",,0.39
2018,data.New Brunswick [13],"Sexual assault, level 2, weapon or bodily harm",,0.78
2019,data.New Brunswick [13],"Sexual assault, level 2, weapon or bodily harm",,0.9
2020,data.New Brunswick [13],"Sexual assault, level 2, weapon or bodily harm",,0.9
2015,data.New Brunswick [13],"Sexual assault, level 1",,54.29
2016,data.New Brunswick [13],"Sexual assault, level 1",,56.07
2017,data.New Brunswick [13],"Sexual assault, level 1",,67.05
2018,data.New Brunswick [13],"Sexual assault, level 1",,71.4
2019,data.New Brunswick [13],"Sexual assault, level 1",,80.45
2020,data.New Brunswick [13],"Sexual assault, level 1",,76.78
2015,data.New Brunswick [13],Total sexual violations against children,,18.84
2016,data.New Brunswick [13],Total sexual violations against children,,23.97
2017,data.New Brunswick [13],Total sexual violations against children,,23.22
2018,data.New Brunswick [13],Total sexual violations against children,,24.93
2019,data.New Brunswick [13],Total sexual violations against children,,29.48
2020,data.New Brunswick [13],Total sexual violations against children,,27.26
2015,data.New Brunswick [13],"Assault, level 3, aggravated",,6.46
2016,data.New Brunswick [13],"Assault, level 3, aggravated",,6.94
2017,data.New Brunswick [13],"Assault, level 3, aggravated",,5.74
2018,data.New Brunswick [13],"Assault, level 3, aggravated",,9.09
2019,data.New Brunswick [13],"Assault, level 3, aggravated",,9.53
2020,data.New Brunswick [13],"Assault, level 3, aggravated",,9.09
2015,data.New Brunswick [13],"Assault, level 2, weapon or bodily harm",,102.79
2016,data.New Brunswick [13],"Assault, level 2, weapon or bodily harm",,121.44
2017,data.New Brunswick [13],"Assault, level 2, weapon or bodily harm",,123.79
2018,data.New Brunswick [13],"Assault, level 2, weapon or bodily harm",,129.82
2019,data.New Brunswick [13],"Assault, level 2, weapon or bodily harm",,142.37
2020,data.New Brunswick [13],"Assault, level 2, weapon or bodily harm",,152.02
2015,data.New Brunswick [13],"Assault, level 1",,500.37
2016,data.New Brunswick [13],"Assault, level 1",,496.89
2017,data.New Brunswick [13],"Assault, level 1",,522.03
2018,data.New Brunswick [13],"Assault, level 1",,561.86
2019,data.New Brunswick [13],"Assault, level 1",,643.22
2020,data.New Brunswick [13],"Assault, level 1",,641.22
2015,data.New Brunswick [13],Total robbery,,20.16
2016,data.New Brunswick [13],Total robbery,,30.26
2017,data.New Brunswick [13],Total robbery,,27.52
2018,data.New Brunswick [13],Total robbery,,26.48
2019,data.New Brunswick [13],Total robbery,,21.63
2020,data.New Brunswick [13],Total robbery,,17.15
2015,data.New Brunswick [13],Uttering threats,,273.84
2016,data.New Brunswick [13],Uttering threats,,256.5
2017,data.New Brunswick [13],Uttering threats,,274.06
2018,data.New Brunswick [13],Uttering threats,,292.61
2019,data.New Brunswick [13],Uttering threats,,342.01
2020,data.New Brunswick [13],Uttering threats,,371.35
2015,data.New Brunswick [13],Total other violent violations,,9.75
2016,data.New Brunswick [13],Total other violent violations,,12.18
2017,data.New Brunswick [13],Total other violent violations,,16.04
2018,data.New Brunswick [13],Total other violent violations,,15.06
2019,data.New Brunswick [13],Total other violent violations,,32.7
2020,data.New Brunswick [13],Total other violent violations,,21.88
2015,data.Quebec [24],"Total, all violations",24,4252.49
2016,data.Quebec [24],"Total, all violations",24,4232.93
2017,data.Quebec [24],"Total, all violations",24,4329.65
2018,data.Quebec [24],"Total, all violations",24,4164.85
2019,data.Quebec [24],"Total, all violations",24,4065.71
2020,data.Quebec [24],"Total, all violations",24,3592.83
2015,data.Quebec [24],Homicide,,0.97
2016,data.Quebec [24],Homicide,,0.81
2017,data.Quebec [24],Homicide,,1.12
2018,data.Quebec [24],Homicide,,0.99
2019,data.Quebec [24],Homicide,,0.91
2020,data.Quebec [24],Homicide,,1.01
2015,data.Quebec [24],Total other violations causing death,,0.21
2016,data.Quebec [24],Total other violations causing death,,0.3
2017,data.Quebec [24],Total other violations causing death,,0.35
2018,data.Quebec [24],Total other violations causing death,,0.51
2019,data.Quebec [24],Total other violations causing death,,0.53
2020,data.Quebec [24],Total other violations causing death,,0.49
2015,data.Quebec [24],Attempted murder,,2.5
2016,data.Quebec [24],Attempted murder,,2.3
2017,data.Quebec [24],Attempted murder,,2.78
2018,data.Quebec [24],Attempted murder,,2.21
2019,data.Quebec [24],Attempted murder,,2.39
2020,data.Quebec [24],Attempted murder,,2.9
2015,data.Quebec [24],"Sexual assault, level 3, aggravated",,0.4
2016,data.Quebec [24],"Sexual assault, level 3, aggravated",,0.22
2017,data.Quebec [24],"Sexual assault, level 3, aggravated",,0.41
2018,data.Quebec [24],"Sexual assault, level 3, aggravated",,0.42
2019,data.Quebec [24],"Sexual assault, level 3, aggravated",,0.29
2020,data.Quebec [24],"Sexual assault, level 3, aggravated",,0.38
2015,data.Quebec [24],"Sexual assault, level 2, weapon or bodily harm",,1.11
2016,data.Quebec [24],"Sexual assault, level 2, weapon or bodily harm",,1.11
2017,data.Quebec [24],"Sexual assault, level 2, weapon or bodily harm",,1.2
2018,data.Quebec [24],"Sexual assault, level 2, weapon or bodily harm",,1.17
2019,data.Quebec [24],"Sexual assault, level 2, weapon or bodily harm",,1.32
2020,data.Quebec [24],"Sexual assault, level 2, weapon or bodily harm",,1.4
2015,data.Quebec [24],"Sexual assault, level 1",,45.98
2016,data.Quebec [24],"Sexual assault, level 1",,52.7
2017,data.Quebec [24],"Sexual assault, level 1",,62.0
2018,data.Quebec [24],"Sexual assault, level 1",,65.86
2019,data.Quebec [24],"Sexual assault, level 1",,68.47
2020,data.Quebec [24],"Sexual assault, level 1",,69.48
2015,data.Quebec [24],Total sexual violations against children,,20.88
2016,data.Quebec [24],Total sexual violations against children,,24.97
2017,data.Quebec [24],Total sexual violations against children,,30.34
