Year,Geography,Disposition de vie,Niveau de sécurité alimentaire du ménage,Value
2015-2016,Canada,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,
2017-2018,Canada,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,78.4
2015-2016,Canada,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Canada,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,5.3
2015-2016,Canada,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2017-2018,Canada,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,16.3
2015-2016,Canada,Autres dispositions de vie,Sécurité alimentaire,
2017-2018,Canada,Autres dispositions de vie,Sécurité alimentaire,86.2
2015-2016,Canada,Autres dispositions de vie,Food insecure marginal,
2017-2018,Canada,Autres dispositions de vie,Food insecure marginal,4.5
2015-2016,Canada,Autres dispositions de vie,Food insecure moderate and severe,
2017-2018,Canada,Autres dispositions de vie,Food insecure moderate and severe,9.3
2015-2016,Terre-Neuve-et-Labrador,Total all living arrangements,Sécurité alimentaire,
2017-2018,Terre-Neuve-et-Labrador,Total all living arrangements,Sécurité alimentaire,85.3
2015-2016,Terre-Neuve-et-Labrador,Total all living arrangements,Food insecure marginal,
2017-2018,Terre-Neuve-et-Labrador,Total all living arrangements,Food insecure marginal,4.7
2015-2016,Terre-Neuve-et-Labrador,Total all living arrangements,Food insecure moderate and severe,
2017-2018,Terre-Neuve-et-Labrador,Total all living arrangements,Food insecure moderate and severe,10.1
2015-2016,Terre-Neuve-et-Labrador,Femme vivant seule,Sécurité alimentaire,
2017-2018,Terre-Neuve-et-Labrador,Femme vivant seule,Sécurité alimentaire,74.4
2015-2016,Terre-Neuve-et-Labrador,Femme vivant seule,Food insecure marginal,
2017-2018,Terre-Neuve-et-Labrador,Femme vivant seule,Food insecure marginal,7.3
2015-2016,Terre-Neuve-et-Labrador,Femme vivant seule,Food insecure moderate and severe,
2017-2018,Terre-Neuve-et-Labrador,Femme vivant seule,Food insecure moderate and severe,18.3
2015-2016,Terre-Neuve-et-Labrador,Homme vivant seul,Sécurité alimentaire,
2017-2018,Terre-Neuve-et-Labrador,Homme vivant seul,Sécurité alimentaire,77.7
2015-2016,Terre-Neuve-et-Labrador,Homme vivant seul,Food insecure marginal,
2017-2018,Terre-Neuve-et-Labrador,Homme vivant seul,Food insecure marginal,6.8
2015-2016,Terre-Neuve-et-Labrador,Homme vivant seul,Food insecure moderate and severe,
2017-2018,Terre-Neuve-et-Labrador,Homme vivant seul,Food insecure moderate and severe,15.5
2015-2016,Terre-Neuve-et-Labrador,Couple sans enfant,Sécurité alimentaire,
2017-2018,Terre-Neuve-et-Labrador,Couple sans enfant,Sécurité alimentaire,93.4
2015-2016,Terre-Neuve-et-Labrador,Couple sans enfant,Food insecure marginal,
2017-2018,Terre-Neuve-et-Labrador,Couple sans enfant,Food insecure marginal,3.6
2015-2016,Terre-Neuve-et-Labrador,Couple sans enfant,Food insecure moderate and severe,
2017-2018,Terre-Neuve-et-Labrador,Couple sans enfant,Food insecure moderate and severe,3.1
2015-2016,Terre-Neuve-et-Labrador,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,
2017-2018,Terre-Neuve-et-Labrador,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,88.5
2015-2016,Terre-Neuve-et-Labrador,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Terre-Neuve-et-Labrador,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,3.9
2015-2016,Terre-Neuve-et-Labrador,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2017-2018,Terre-Neuve-et-Labrador,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,7.6
2015-2016,Terre-Neuve-et-Labrador,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,
2017-2018,Terre-Neuve-et-Labrador,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,54.5
2015-2016,Terre-Neuve-et-Labrador,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Terre-Neuve-et-Labrador,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,8.9
2015-2016,Terre-Neuve-et-Labrador,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2017-2018,Terre-Neuve-et-Labrador,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,36.6
2015-2016,Terre-Neuve-et-Labrador,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,
2017-2018,Terre-Neuve-et-Labrador,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,84.0
2015-2016,Terre-Neuve-et-Labrador,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Terre-Neuve-et-Labrador,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2015-2016,Terre-Neuve-et-Labrador,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2017-2018,Terre-Neuve-et-Labrador,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2015-2016,Terre-Neuve-et-Labrador,Autres dispositions de vie,Sécurité alimentaire,
2017-2018,Terre-Neuve-et-Labrador,Autres dispositions de vie,Sécurité alimentaire,86.5
2015-2016,Terre-Neuve-et-Labrador,Autres dispositions de vie,Food insecure marginal,
2017-2018,Terre-Neuve-et-Labrador,Autres dispositions de vie,Food insecure marginal,3.7
2015-2016,Terre-Neuve-et-Labrador,Autres dispositions de vie,Food insecure moderate and severe,
2017-2018,Terre-Neuve-et-Labrador,Autres dispositions de vie,Food insecure moderate and severe,9.9
2015-2016,Île-du-Prince-Édouard,Total all living arrangements,Sécurité alimentaire,85.4
2017-2018,Île-du-Prince-Édouard,Total all living arrangements,Sécurité alimentaire,86.0
2015-2016,Île-du-Prince-Édouard,Total all living arrangements,Food insecure marginal,3.7
2017-2018,Île-du-Prince-Édouard,Total all living arrangements,Food insecure marginal,4.0
2015-2016,Île-du-Prince-Édouard,Total all living arrangements,Food insecure moderate and severe,10.9
2017-2018,Île-du-Prince-Édouard,Total all living arrangements,Food insecure moderate and severe,9.9
2015-2016,Île-du-Prince-Édouard,Femme vivant seule,Sécurité alimentaire,83.3
2017-2018,Île-du-Prince-Édouard,Femme vivant seule,Sécurité alimentaire,81.8
2015-2016,Île-du-Prince-Édouard,Femme vivant seule,Food insecure marginal,3.4
2017-2018,Île-du-Prince-Édouard,Femme vivant seule,Food insecure marginal,3.6
2015-2016,Île-du-Prince-Édouard,Femme vivant seule,Food insecure moderate and severe,13.4
2017-2018,Île-du-Prince-Édouard,Femme vivant seule,Food insecure moderate and severe,14.6
2015-2016,Île-du-Prince-Édouard,Homme vivant seul,Sécurité alimentaire,77.8
2017-2018,Île-du-Prince-Édouard,Homme vivant seul,Sécurité alimentaire,79.7
2015-2016,Île-du-Prince-Édouard,Homme vivant seul,Food insecure marginal,6.2
2017-2018,Île-du-Prince-Édouard,Homme vivant seul,Food insecure marginal,6.7
2015-2016,Île-du-Prince-Édouard,Homme vivant seul,Food insecure moderate and severe,16.0
2017-2018,Île-du-Prince-Édouard,Homme vivant seul,Food insecure moderate and severe,13.7
2015-2016,Île-du-Prince-Édouard,Couple sans enfant,Sécurité alimentaire,92.5
2017-2018,Île-du-Prince-Édouard,Couple sans enfant,Sécurité alimentaire,91.9
2015-2016,Île-du-Prince-Édouard,Couple sans enfant,Food insecure marginal,3.3
2017-2018,Île-du-Prince-Édouard,Couple sans enfant,Food insecure marginal,2.7
2015-2016,Île-du-Prince-Édouard,Couple sans enfant,Food insecure moderate and severe,4.2
2017-2018,Île-du-Prince-Édouard,Couple sans enfant,Food insecure moderate and severe,5.5
2015-2016,Île-du-Prince-Édouard,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,86.4
2017-2018,Île-du-Prince-Édouard,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,88.9
2015-2016,Île-du-Prince-Édouard,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Île-du-Prince-Édouard,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,3.5
2015-2016,Île-du-Prince-Édouard,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,10.2
2017-2018,Île-du-Prince-Édouard,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,7.6
2015-2016,Île-du-Prince-Édouard,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,45.0
2017-2018,Île-du-Prince-Édouard,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,60.3
2015-2016,Île-du-Prince-Édouard,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Île-du-Prince-Édouard,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,
2015-2016,Île-du-Prince-Édouard,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,49.4
2017-2018,Île-du-Prince-Édouard,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,30.4
2015-2016,Île-du-Prince-Édouard,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,
2017-2018,Île-du-Prince-Édouard,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,
2015-2016,Île-du-Prince-Édouard,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Île-du-Prince-Édouard,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2015-2016,Île-du-Prince-Édouard,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2017-2018,Île-du-Prince-Édouard,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2015-2016,Île-du-Prince-Édouard,Autres dispositions de vie,Sécurité alimentaire,89.6
2017-2018,Île-du-Prince-Édouard,Autres dispositions de vie,Sécurité alimentaire,85.1
2015-2016,Île-du-Prince-Édouard,Autres dispositions de vie,Food insecure marginal,3.3
2017-2018,Île-du-Prince-Édouard,Autres dispositions de vie,Food insecure marginal,4.7
2015-2016,Île-du-Prince-Édouard,Autres dispositions de vie,Food insecure moderate and severe,7.1
2017-2018,Île-du-Prince-Édouard,Autres dispositions de vie,Food insecure moderate and severe,10.2
2015-2016,Nouvelle-Écosse,Total all living arrangements,Sécurité alimentaire,83.1
2017-2018,Nouvelle-Écosse,Total all living arrangements,Sécurité alimentaire,84.7
2015-2016,Nouvelle-Écosse,Total all living arrangements,Food insecure marginal,5.2
2017-2018,Nouvelle-Écosse,Total all living arrangements,Food insecure marginal,4.4
2015-2016,Nouvelle-Écosse,Total all living arrangements,Food insecure moderate and severe,11.7
2017-2018,Nouvelle-Écosse,Total all living arrangements,Food insecure moderate and severe,11.0
2015-2016,Nouvelle-Écosse,Femme vivant seule,Sécurité alimentaire,77.6
2017-2018,Nouvelle-Écosse,Femme vivant seule,Sécurité alimentaire,80.1
2015-2016,Nouvelle-Écosse,Femme vivant seule,Food insecure marginal,6.9
2017-2018,Nouvelle-Écosse,Femme vivant seule,Food insecure marginal,6.2
2015-2016,Nouvelle-Écosse,Femme vivant seule,Food insecure moderate and severe,15.5
2017-2018,Nouvelle-Écosse,Femme vivant seule,Food insecure moderate and severe,13.7
2015-2016,Nouvelle-Écosse,Homme vivant seul,Sécurité alimentaire,78.7
2017-2018,Nouvelle-Écosse,Homme vivant seul,Sécurité alimentaire,77.4
2015-2016,Nouvelle-Écosse,Homme vivant seul,Food insecure marginal,5.5
2017-2018,Nouvelle-Écosse,Homme vivant seul,Food insecure marginal,4.8
2015-2016,Nouvelle-Écosse,Homme vivant seul,Food insecure moderate and severe,15.8
2017-2018,Nouvelle-Écosse,Homme vivant seul,Food insecure moderate and severe,17.8
2015-2016,Nouvelle-Écosse,Couple sans enfant,Sécurité alimentaire,92.8
2017-2018,Nouvelle-Écosse,Couple sans enfant,Sécurité alimentaire,93.2
2015-2016,Nouvelle-Écosse,Couple sans enfant,Food insecure marginal,2.7
2017-2018,Nouvelle-Écosse,Couple sans enfant,Food insecure marginal,2.3
2015-2016,Nouvelle-Écosse,Couple sans enfant,Food insecure moderate and severe,4.6
2017-2018,Nouvelle-Écosse,Couple sans enfant,Food insecure moderate and severe,4.6
2015-2016,Nouvelle-Écosse,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,83.9
2017-2018,Nouvelle-Écosse,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,87.2
2015-2016,Nouvelle-Écosse,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,5.5
2017-2018,Nouvelle-Écosse,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,3.6
2015-2016,Nouvelle-Écosse,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,10.5
2017-2018,Nouvelle-Écosse,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,9.2
2015-2016,Nouvelle-Écosse,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,51.6
2017-2018,Nouvelle-Écosse,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,59.0
2015-2016,Nouvelle-Écosse,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,11.5
2017-2018,Nouvelle-Écosse,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,10.3
2015-2016,Nouvelle-Écosse,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,36.9
2017-2018,Nouvelle-Écosse,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,30.7
2015-2016,Nouvelle-Écosse,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,74.9
2017-2018,Nouvelle-Écosse,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,60.6
2015-2016,Nouvelle-Écosse,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Nouvelle-Écosse,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2015-2016,Nouvelle-Écosse,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2017-2018,Nouvelle-Écosse,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2015-2016,Nouvelle-Écosse,Autres dispositions de vie,Sécurité alimentaire,81.1
2017-2018,Nouvelle-Écosse,Autres dispositions de vie,Sécurité alimentaire,82.8
2015-2016,Nouvelle-Écosse,Autres dispositions de vie,Food insecure marginal,5.6
2017-2018,Nouvelle-Écosse,Autres dispositions de vie,Food insecure marginal,5.0
2015-2016,Nouvelle-Écosse,Autres dispositions de vie,Food insecure moderate and severe,13.3
2017-2018,Nouvelle-Écosse,Autres dispositions de vie,Food insecure moderate and severe,12.2
2015-2016,Nouveau-Brunswick,Total all living arrangements,Sécurité alimentaire,85.0
2017-2018,Nouveau-Brunswick,Total all living arrangements,Sécurité alimentaire,87.0
2015-2016,Nouveau-Brunswick,Total all living arrangements,Food insecure marginal,4.9
2017-2018,Nouveau-Brunswick,Total all living arrangements,Food insecure marginal,4.1
2015-2016,Nouveau-Brunswick,Total all living arrangements,Food insecure moderate and severe,10.1
2017-2018,Nouveau-Brunswick,Total all living arrangements,Food insecure moderate and severe,8.9
2015-2016,Nouveau-Brunswick,Femme vivant seule,Sécurité alimentaire,78.2
2017-2018,Nouveau-Brunswick,Femme vivant seule,Sécurité alimentaire,80.0
2015-2016,Nouveau-Brunswick,Femme vivant seule,Food insecure marginal,7.6
2017-2018,Nouveau-Brunswick,Femme vivant seule,Food insecure marginal,5.5
2015-2016,Nouveau-Brunswick,Femme vivant seule,Food insecure moderate and severe,14.3
2017-2018,Nouveau-Brunswick,Femme vivant seule,Food insecure moderate and severe,14.5
2015-2016,Nouveau-Brunswick,Homme vivant seul,Sécurité alimentaire,79.3
2017-2018,Nouveau-Brunswick,Homme vivant seul,Sécurité alimentaire,83.5
2015-2016,Nouveau-Brunswick,Homme vivant seul,Food insecure marginal,5.0
2017-2018,Nouveau-Brunswick,Homme vivant seul,Food insecure marginal,5.2
2015-2016,Nouveau-Brunswick,Homme vivant seul,Food insecure moderate and severe,15.7
2017-2018,Nouveau-Brunswick,Homme vivant seul,Food insecure moderate and severe,11.3
2015-2016,Nouveau-Brunswick,Couple sans enfant,Sécurité alimentaire,93.0
2017-2018,Nouveau-Brunswick,Couple sans enfant,Sécurité alimentaire,93.2
2015-2016,Nouveau-Brunswick,Couple sans enfant,Food insecure marginal,2.5
2017-2018,Nouveau-Brunswick,Couple sans enfant,Food insecure marginal,2.5
2015-2016,Nouveau-Brunswick,Couple sans enfant,Food insecure moderate and severe,4.4
2017-2018,Nouveau-Brunswick,Couple sans enfant,Food insecure moderate and severe,4.3
2015-2016,Nouveau-Brunswick,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,81.1
2017-2018,Nouveau-Brunswick,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,85.4
2015-2016,Nouveau-Brunswick,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,6.5
2017-2018,Nouveau-Brunswick,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,4.8
2015-2016,Nouveau-Brunswick,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,12.4
2017-2018,Nouveau-Brunswick,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,9.9
2015-2016,Nouveau-Brunswick,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,68.1
2017-2018,Nouveau-Brunswick,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,71.2
2015-2016,Nouveau-Brunswick,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Nouveau-Brunswick,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,
2015-2016,Nouveau-Brunswick,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,24.0
2017-2018,Nouveau-Brunswick,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,22.7
2015-2016,Nouveau-Brunswick,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,95.5
2017-2018,Nouveau-Brunswick,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,72.9
2015-2016,Nouveau-Brunswick,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2017-2018,Nouveau-Brunswick,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,
2015-2016,Nouveau-Brunswick,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2017-2018,Nouveau-Brunswick,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,
2015-2016,Nouveau-Brunswick,Autres dispositions de vie,Sécurité alimentaire,87.6
2017-2018,Nouveau-Brunswick,Autres dispositions de vie,Sécurité alimentaire,90.1
2015-2016,Nouveau-Brunswick,Autres dispositions de vie,Food insecure marginal,4.7
2017-2018,Nouveau-Brunswick,Autres dispositions de vie,Food insecure marginal,4.1
2015-2016,Nouveau-Brunswick,Autres dispositions de vie,Food insecure moderate and severe,7.7
2017-2018,Nouveau-Brunswick,Autres dispositions de vie,Food insecure moderate and severe,5.8
2015-2016,Québec,Total all living arrangements,Sécurité alimentaire,87.3
2017-2018,Québec,Total all living arrangements,Sécurité alimentaire,88.9
2015-2016,Québec,Total all living arrangements,Food insecure marginal,4.3
2017-2018,Québec,Total all living arrangements,Food insecure marginal,3.7
2015-2016,Québec,Total all living arrangements,Food insecure moderate and severe,8.5
2017-2018,Québec,Total all living arrangements,Food insecure moderate and severe,7.4
2015-2016,Québec,Femme vivant seule,Sécurité alimentaire,83.6
2017-2018,Québec,Femme vivant seule,Sécurité alimentaire,85.8
2015-2016,Québec,Femme vivant seule,Food insecure marginal,4.5
2017-2018,Québec,Femme vivant seule,Food insecure marginal,3.9
2015-2016,Québec,Femme vivant seule,Food insecure moderate and severe,11.9
2017-2018,Québec,Femme vivant seule,Food insecure moderate and severe,10.3
2015-2016,Québec,Homme vivant seul,Sécurité alimentaire,82.5
2017-2018,Québec,Homme vivant seul,Sécurité alimentaire,84.2
2015-2016,Québec,Homme vivant seul,Food insecure marginal,6.2
2017-2018,Québec,Homme vivant seul,Food insecure marginal,5.0
2015-2016,Québec,Homme vivant seul,Food insecure moderate and severe,11.3
2017-2018,Québec,Homme vivant seul,Food insecure moderate and severe,10.8
2015-2016,Québec,Couple sans enfant,Sécurité alimentaire,94.5
2017-2018,Québec,Couple sans enfant,Sécurité alimentaire,96.0
2015-2016,Québec,Couple sans enfant,Food insecure marginal,2.3
2017-2018,Québec,Couple sans enfant,Food insecure marginal,1.6
2015-2016,Québec,Couple sans enfant,Food insecure moderate and severe,3.2
2017-2018,Québec,Couple sans enfant,Food insecure moderate and severe,2.3
2015-2016,Québec,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,87.8
2017-2018,Québec,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,89.4
2015-2016,Québec,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,4.2
2017-2018,Québec,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,4.5
2015-2016,Québec,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,8.1
2017-2018,Québec,Couple avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,6.1
2015-2016,Québec,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,66.7
2017-2018,Québec,Mère monoparentale avec enfant(s) de moins de 18 ans,Sécurité alimentaire,71.9
2015-2016,Québec,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,9.6
2017-2018,Québec,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure marginal,7.7
2015-2016,Québec,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,23.8
2017-2018,Québec,Mère monoparentale avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,20.4
2015-2016,Québec,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,83.8
2017-2018,Québec,Père monoparental avec enfant(s) de moins de 18 ans,Sécurité alimentaire,87.5
2015-2016,Québec,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,7.4
2017-2018,Québec,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure marginal,3.4
2015-2016,Québec,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,8.7
2017-2018,Québec,Père monoparental avec enfant(s) de moins de 18 ans,Food insecure moderate and severe,9.1
2015-2016,Québec,Autres dispositions de vie,Sécurité alimentaire,88.0
2017-2018,Québec,Autres dispositions de vie,Sécurité alimentaire,88.1
2015-2016,Québec,Autres dispositions de vie,Food insecure marginal,4.2
2017-2018,Québec,Autres dispositions de vie,Food insecure marginal,4.0
2015-2016,Québec,Autres dispositions de vie,Food insecure moderate and severe,7.8
2017-2018,Québec,Autres dispositions de vie,Food insecure moderate and severe,7.9
2015-2016,Ontario,Total all living arrangements,Sécurité alimentaire,
2017-2018,Ontario,Total all living arrangements,Sécurité alimentaire,86.7
2015-2016,Ontario,Total all living arrangements,Food insecure marginal,
2017-2018,Ontario,Total all living arrangements,Food insecure marginal,4.3
2015-2016,Ontario,Total all living arrangements,Food insecure moderate and severe,
2017-2018,Ontario,Total all living arrangements,Food insecure moderate and severe,9.0
2015-2016,Ontario,Femme vivant seule,Sécurité alimentaire,
2017-2018,Ontario,Femme vivant seule,Sécurité alimentaire,82.1
2015-2016,Ontario,Femme vivant seule,Food insecure marginal,
2017-2018,Ontario,Femme vivant seule,Food insecure marginal,4.4
2015-2016,Ontario,Femme vivant seule,Food insecure moderate and severe,
2017-2018,Ontario,Femme vivant seule,Food insecure moderate and severe,13.5
2015-2016,Ontario,Homme vivant seul,Sécurité alimentaire,
2017-2018,Ontario,Homme vivant seul,Sécurité alimentaire,83.3
2015-2016,Ontario,Homme vivant seul,Food insecure marginal,
2017-2018,Ontario,Homme vivant seul,Food insecure marginal,4.7
2015-2016,Ontario,Homme vivant seul,Food insecure moderate and severe,
2017-2018,Ontario,Homme vivant seul,Food insecure moderate and severe,12.0
2015-2016,Ontario,Couple sans enfant,Sécurité alimentaire,
2017-2018,Ontario,Couple sans enfant,Sécurité alimentaire,93.2
2015-2016,Ontario,Couple sans enfant,Food insecure marginal,
2017-2018,Ontario,Couple sans enfant,Food insecure marginal,2.8
2015-2016,Ontario,Couple sans enfant,Food insecure moderate and severe,
2017-2018,Ontario,Couple sans enfant,Food insecure moderate and severe,4.0
2015-2016,Ontario,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,
2017-2018,Ontario,Couple avec enfant(s) de moins de 18 ans,Sécurité alimentaire,88.2
2015-2016,Ontario,Couple avec enfant(s) de moins de 18 ans,Food insecure marginal,
