Year,Géographie,data.Type of work,data.National Occupational Classification (NOC),Groupe d'âge,Value
2017,Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.75
2018,Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.74
2019,Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.74
2020,Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.75
2015,Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,1.02
2016,Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,0.96
2017,Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,0.89
2018,Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,0.93
2019,Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,0.94
2020,Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,0.96
2015,Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.78
2016,Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.77
2017,Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.77
2018,Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.76
2019,Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.77
2020,Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.8
2015,Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.69
2016,Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.68
2017,Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.66
2018,Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.7
2019,Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.67
2020,Canada,data.Both full- and part-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.67
2015,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,0.91
2016,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,0.95
2017,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,0.95
2018,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,0.9
2019,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,0.85
2020,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,0.9
2015,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,0.99
2016,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,0.95
2017,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,1.0
2018,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,1.0
2019,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,1.0
2020,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,0.98
2015,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,0.96
2016,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,0.92
2017,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,0.95
2018,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,0.95
2019,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,0.89
2020,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,0.95
2015,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,0.9
2016,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,0.8
2017,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,0.8
2018,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,0.99
2019,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,0.9
2020,Canada,data.Both full- and part-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,0.96
2015,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],15 ans et plus,0.87
2016,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],15 ans et plus,0.87
2017,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],15 ans et plus,0.91
2018,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],15 ans et plus,0.91
2019,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],15 ans et plus,0.91
2020,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],15 ans et plus,0.89
2015,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2016,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2017,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2018,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2019,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2020,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2015,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],25 à 54 ans,0.83
2016,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],25 à 54 ans,0.83
2017,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],25 à 54 ans,0.86
2018,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],25 à 54 ans,0.84
2019,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],25 à 54 ans,0.88
2020,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],25 à 54 ans,0.88
2015,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],55 ans et plus,0.84
2016,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],55 ans et plus,0.85
2017,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],55 ans et plus,0.85
2018,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],55 ans et plus,0.86
2019,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],55 ans et plus,0.84
2020,Canada,data.Both full- and part-time employees,data.Sales and service occupations [6],55 ans et plus,0.83
2015,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.72
2016,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.7
2017,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.75
2018,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.77
2019,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.76
2020,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.74
2015,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,0.85
2016,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,0.82
2017,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,0.88
2018,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,0.89
2019,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,0.89
2020,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,0.94
2015,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.72
2016,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.7
2017,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.75
2018,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.75
2019,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.71
2020,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.72
2015,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.64
2016,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.68
2017,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.74
2018,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.75
2019,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.72
2020,Canada,data.Both full- and part-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.75
2015,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.68
2016,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.75
2017,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.72
2018,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.67
2019,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.74
2020,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.77
2015,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,0.83
2016,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,0.83
2017,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,0.93
2018,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,0.88
2019,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,0.88
2020,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,0.91
2015,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.6
2016,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.67
2017,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.68
2018,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.65
2019,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.69
2020,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.76
2015,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,0.62
2016,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,0.7
2017,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,0.68
2018,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,0.7
2019,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,0.71
2020,Canada,data.Both full- and part-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,0.75
2015,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.75
2016,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.75
2017,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.76
2018,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.77
2019,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.74
2020,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.76
2015,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,0.9
2016,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,0.91
2017,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,0.91
2018,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,0.92
2019,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,0.87
2020,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,0.9
2015,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.76
2016,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.73
2017,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.75
2018,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.76
2019,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.73
2020,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.73
2015,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,0.68
2016,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,0.72
2017,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,0.75
2018,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,0.76
2019,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,0.73
2020,Canada,data.Both full- and part-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,0.75
2015,Canada,data.Full-time employees,data.Total employees - all occupations,15 ans et plus,0.88
2016,Canada,data.Full-time employees,data.Total employees - all occupations,15 ans et plus,0.88
2017,Canada,data.Full-time employees,data.Total employees - all occupations,15 ans et plus,0.88
2018,Canada,data.Full-time employees,data.Total employees - all occupations,15 ans et plus,0.88
2019,Canada,data.Full-time employees,data.Total employees - all occupations,15 ans et plus,0.88
2020,Canada,data.Full-time employees,data.Total employees - all occupations,15 ans et plus,0.89
2015,Canada,data.Full-time employees,data.Total employees - all occupations,15 à 24 ans,0.93
2016,Canada,data.Full-time employees,data.Total employees - all occupations,15 à 24 ans,0.94
2017,Canada,data.Full-time employees,data.Total employees - all occupations,15 à 24 ans,0.94
2018,Canada,data.Full-time employees,data.Total employees - all occupations,15 à 24 ans,0.88
2019,Canada,data.Full-time employees,data.Total employees - all occupations,15 à 24 ans,0.93
2020,Canada,data.Full-time employees,data.Total employees - all occupations,15 à 24 ans,0.97
2015,Canada,data.Full-time employees,data.Total employees - all occupations,25 à 54 ans,0.86
2016,Canada,data.Full-time employees,data.Total employees - all occupations,25 à 54 ans,0.87
2017,Canada,data.Full-time employees,data.Total employees - all occupations,25 à 54 ans,0.86
2018,Canada,data.Full-time employees,data.Total employees - all occupations,25 à 54 ans,0.86
2019,Canada,data.Full-time employees,data.Total employees - all occupations,25 à 54 ans,0.86
2020,Canada,data.Full-time employees,data.Total employees - all occupations,25 à 54 ans,0.89
2015,Canada,data.Full-time employees,data.Total employees - all occupations,55 ans et plus,0.85
2016,Canada,data.Full-time employees,data.Total employees - all occupations,55 ans et plus,0.87
2017,Canada,data.Full-time employees,data.Total employees - all occupations,55 ans et plus,0.87
2018,Canada,data.Full-time employees,data.Total employees - all occupations,55 ans et plus,0.87
2019,Canada,data.Full-time employees,data.Total employees - all occupations,55 ans et plus,0.86
