Year,Géographie,Sexe,Groupe d'âge,Selected demographic characteristics,Value
2016,Canada,Les deux sexes,65 à 74 ans,Total identité autochtone,53.0
2016,Canada,Les deux sexes,65 à 74 ans,First Nations (North American Indian),49.1
2016,Canada,Les deux sexes,65 à 74 ans,data.M�tis,58.0
2016,Canada,Les deux sexes,65 à 74 ans,Inuk (Inuit),33.3
2016,Canada,Les deux sexes,65 à 74 ans,Identité non autochtone,73.7
2016,Canada,Les deux sexes,75 ans et plus,"Total, toutes les personnes",54.9
2016,Canada,Les deux sexes,75 ans et plus,Non-immigrants,54.7
2016,Canada,Les deux sexes,75 ans et plus,Immigrants,55.3
2016,Canada,Les deux sexes,75 ans et plus,Résidents non permanents,53.0
2016,Canada,Les deux sexes,75 ans et plus,Total de la population des minorités visibles,56.0
2016,Canada,Les deux sexes,75 ans et plus,Not a visible minority,54.7
2016,Canada,Les deux sexes,75 ans et plus,Total identité autochtone,32.3
2016,Canada,Les deux sexes,75 ans et plus,First Nations (North American Indian),29.0
2016,Canada,Les deux sexes,75 ans et plus,data.M�tis,35.6
2016,Canada,Les deux sexes,75 ans et plus,Inuk (Inuit),21.7
2016,Canada,Les deux sexes,75 ans et plus,Identité non autochtone,55.2
2016,Canada,Hommes,"Total, personnes âgées de 15 ans et plus","Total, toutes les personnes",77.7
2016,Canada,Hommes,"Total, personnes âgées de 15 ans et plus",Non-immigrants,76.1
2016,Canada,Hommes,"Total, personnes âgées de 15 ans et plus",Immigrants,81.6
2016,Canada,Hommes,"Total, personnes âgées de 15 ans et plus",Résidents non permanents,88.9
2016,Canada,Hommes,"Total, personnes âgées de 15 ans et plus",Total de la population des minorités visibles,82.6
2016,Canada,Hommes,"Total, personnes âgées de 15 ans et plus",Not a visible minority,76.4
2016,Canada,Hommes,"Total, personnes âgées de 15 ans et plus",Total identité autochtone,57.3
2016,Canada,Hommes,"Total, personnes âgées de 15 ans et plus",First Nations (North American Indian),52.1
2016,Canada,Hommes,"Total, personnes âgées de 15 ans et plus",data.M�tis,66.3
2016,Canada,Hommes,"Total, personnes âgées de 15 ans et plus",Inuk (Inuit),37.1
2016,Canada,Hommes,"Total, personnes âgées de 15 ans et plus",Identité non autochtone,78.6
2016,Canada,Hommes,15 to 24 years,"Total, toutes les personnes",63.3
2016,Canada,Hommes,15 to 24 years,Non-immigrants,61.7
2016,Canada,Hommes,15 to 24 years,Immigrants,67.9
2016,Canada,Hommes,15 to 24 years,Résidents non permanents,84.4
2016,Canada,Hommes,15 to 24 years,Total de la population des minorités visibles,68.4
2016,Canada,Hommes,15 to 24 years,Not a visible minority,61.4
2016,Canada,Hommes,15 to 24 years,Total identité autochtone,44.3
2016,Canada,Hommes,15 to 24 years,First Nations (North American Indian),39.8
2016,Canada,Hommes,15 to 24 years,data.M�tis,53.8
2016,Canada,Hommes,15 to 24 years,Inuk (Inuit),27.1
2016,Canada,Hommes,15 to 24 years,Identité non autochtone,64.7
2016,Canada,Hommes,25 à 64 ans,"Total, toutes les personnes",84.1
2016,Canada,Hommes,25 à 64 ans,Non-immigrants,82.8
2016,Canada,Hommes,25 à 64 ans,Immigrants,87.3
2016,Canada,Hommes,25 à 64 ans,Résidents non permanents,91.9
2016,Canada,Hommes,25 à 64 ans,Total de la population des minorités visibles,88.3
2016,Canada,Hommes,25 à 64 ans,Not a visible minority,82.9
2016,Canada,Hommes,25 à 64 ans,Total identité autochtone,63.9
2016,Canada,Hommes,25 à 64 ans,First Nations (North American Indian),58.5
2016,Canada,Hommes,25 à 64 ans,data.M�tis,73.0
2016,Canada,Hommes,25 à 64 ans,Inuk (Inuit),42.3
2016,Canada,Hommes,25 à 64 ans,Identité non autochtone,85.0
2016,Canada,Hommes,65 à 74 ans,"Total, toutes les personnes",73.0
2016,Canada,Hommes,65 à 74 ans,Non-immigrants,71.4
2016,Canada,Hommes,65 à 74 ans,Immigrants,76.9
2016,Canada,Hommes,65 à 74 ans,Résidents non permanents,70.4
2016,Canada,Hommes,65 à 74 ans,Total de la population des minorités visibles,77.5
2016,Canada,Hommes,65 à 74 ans,Not a visible minority,72.3
2016,Canada,Hommes,65 à 74 ans,Total identité autochtone,50.8
2016,Canada,Hommes,65 à 74 ans,First Nations (North American Indian),46.4
2016,Canada,Hommes,65 à 74 ans,data.M�tis,55.9
2016,Canada,Hommes,65 à 74 ans,Inuk (Inuit),33.0
2016,Canada,Hommes,65 à 74 ans,Identité non autochtone,73.5
2016,Canada,Hommes,75 ans et plus,"Total, toutes les personnes",55.7
2016,Canada,Hommes,75 ans et plus,Non-immigrants,53.1
2016,Canada,Hommes,75 ans et plus,Immigrants,60.6
2016,Canada,Hommes,75 ans et plus,Résidents non permanents,62.1
2016,Canada,Hommes,75 ans et plus,Total de la population des minorités visibles,66.0
2016,Canada,Hommes,75 ans et plus,Not a visible minority,54.3
2016,Canada,Hommes,75 ans et plus,Total identité autochtone,30.9
2016,Canada,Hommes,75 ans et plus,First Nations (North American Indian),27.0
2016,Canada,Hommes,75 ans et plus,data.M�tis,34.4
2016,Canada,Hommes,75 ans et plus,Inuk (Inuit),20.5
2016,Canada,Hommes,75 ans et plus,Identité non autochtone,56.1
2016,Canada,Femmes,"Total, personnes âgées de 15 ans et plus","Total, toutes les personnes",80.8
2016,Canada,Femmes,"Total, personnes âgées de 15 ans et plus",Non-immigrants,80.9
2016,Canada,Femmes,"Total, personnes âgées de 15 ans et plus",Immigrants,80.2
2016,Canada,Femmes,"Total, personnes âgées de 15 ans et plus",Résidents non permanents,89.3
2016,Canada,Femmes,"Total, personnes âgées de 15 ans et plus",Total de la population des minorités visibles,81.8
2016,Canada,Femmes,"Total, personnes âgées de 15 ans et plus",Not a visible minority,80.5
2016,Canada,Femmes,"Total, personnes âgées de 15 ans et plus",Total identité autochtone,65.5
2016,Canada,Femmes,"Total, personnes âgées de 15 ans et plus",First Nations (North American Indian),61.0
2016,Canada,Femmes,"Total, personnes âgées de 15 ans et plus",data.M�tis,74.1
2016,Canada,Femmes,"Total, personnes âgées de 15 ans et plus",Inuk (Inuit),43.1
2016,Canada,Femmes,"Total, personnes âgées de 15 ans et plus",Identité non autochtone,81.5
2016,Canada,Femmes,15 to 24 years,"Total, toutes les personnes",67.1
2016,Canada,Femmes,15 to 24 years,Non-immigrants,65.9
2016,Canada,Femmes,15 to 24 years,Immigrants,70.2
2016,Canada,Femmes,15 to 24 years,Résidents non permanents,84.6
2016,Canada,Femmes,15 to 24 years,Total de la population des minorités visibles,70.5
2016,Canada,Femmes,15 to 24 years,Not a visible minority,65.8
2016,Canada,Femmes,15 to 24 years,Total identité autochtone,49.8
2016,Canada,Femmes,15 to 24 years,First Nations (North American Indian),45.0
2016,Canada,Femmes,15 to 24 years,data.M�tis,60.0
2016,Canada,Femmes,15 to 24 years,Inuk (Inuit),33.5
2016,Canada,Femmes,15 to 24 years,Identité non autochtone,68.4
2016,Canada,Femmes,25 à 64 ans,"Total, toutes les personnes",88.4
2016,Canada,Femmes,25 à 64 ans,Non-immigrants,88.6
2016,Canada,Femmes,25 à 64 ans,Immigrants,87.5
2016,Canada,Femmes,25 à 64 ans,Résidents non permanents,92.9
2016,Canada,Femmes,25 à 64 ans,Total de la population des minorités visibles,88.2
2016,Canada,Femmes,25 à 64 ans,Not a visible minority,88.5
2016,Canada,Femmes,25 à 64 ans,Total identité autochtone,73.2
2016,Canada,Femmes,25 à 64 ans,First Nations (North American Indian),68.8
2016,Canada,Femmes,25 à 64 ans,data.M�tis,81.4
2016,Canada,Femmes,25 à 64 ans,Inuk (Inuit),48.3
2016,Canada,Femmes,25 à 64 ans,Identité non autochtone,89.1
2016,Canada,Femmes,65 à 74 ans,"Total, toutes les personnes",73.3
2016,Canada,Femmes,65 à 74 ans,Non-immigrants,74.3
2016,Canada,Femmes,65 à 74 ans,Immigrants,71.1
2016,Canada,Femmes,65 à 74 ans,Résidents non permanents,62.3
2016,Canada,Femmes,65 à 74 ans,Total de la population des minorités visibles,68.2
2016,Canada,Femmes,65 à 74 ans,Not a visible minority,74.1
2016,Canada,Femmes,65 à 74 ans,Total identité autochtone,55.1
2016,Canada,Femmes,65 à 74 ans,First Nations (North American Indian),51.4
2016,Canada,Femmes,65 à 74 ans,data.M�tis,60.1
2016,Canada,Femmes,65 à 74 ans,Inuk (Inuit),33.8
2016,Canada,Femmes,65 à 74 ans,Identité non autochtone,73.8
2016,Canada,Femmes,75 ans et plus,"Total, toutes les personnes",54.2
2016,Canada,Femmes,75 ans et plus,Non-immigrants,55.8
2016,Canada,Femmes,75 ans et plus,Immigrants,50.8
2016,Canada,Femmes,75 ans et plus,Résidents non permanents,47.1
2016,Canada,Femmes,75 ans et plus,Total de la population des minorités visibles,48.0
2016,Canada,Femmes,75 ans et plus,Not a visible minority,55.0
2016,Canada,Femmes,75 ans et plus,Total identité autochtone,33.5
2016,Canada,Femmes,75 ans et plus,First Nations (North American Indian),30.3
2016,Canada,Femmes,75 ans et plus,data.M�tis,36.7
2016,Canada,Femmes,75 ans et plus,Inuk (Inuit),23.9
2016,Canada,Femmes,75 ans et plus,Identité non autochtone,54.5
2016,Terre-Neuve-et-Labrador,Les deux sexes,"Total, personnes âgées de 15 ans et plus","Total, toutes les personnes",74.1
2016,Terre-Neuve-et-Labrador,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Non-immigrants,73.6
2016,Terre-Neuve-et-Labrador,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Immigrants,88.6
2016,Terre-Neuve-et-Labrador,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Résidents non permanents,96.0
2016,Terre-Neuve-et-Labrador,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Total de la population des minorités visibles,88.2
2016,Terre-Neuve-et-Labrador,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Not a visible minority,73.8
2016,Terre-Neuve-et-Labrador,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Total identité autochtone,69.5
2016,Terre-Neuve-et-Labrador,Les deux sexes,"Total, personnes âgées de 15 ans et plus",First Nations (North American Indian),70.5
2016,Terre-Neuve-et-Labrador,Les deux sexes,"Total, personnes âgées de 15 ans et plus",data.M�tis,72.3
2016,Terre-Neuve-et-Labrador,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Inuk (Inuit),62.3
2016,Terre-Neuve-et-Labrador,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Identité non autochtone,74.5
2016,Terre-Neuve-et-Labrador,Les deux sexes,15 to 24 years,"Total, toutes les personnes",64.1
2016,Terre-Neuve-et-Labrador,Les deux sexes,15 to 24 years,Non-immigrants,63.8
2016,Terre-Neuve-et-Labrador,Les deux sexes,15 to 24 years,Immigrants,59.0
2016,Terre-Neuve-et-Labrador,Les deux sexes,15 to 24 years,Résidents non permanents,90.9
2016,Terre-Neuve-et-Labrador,Les deux sexes,15 to 24 years,Total de la population des minorités visibles,76.8
2016,Terre-Neuve-et-Labrador,Les deux sexes,15 to 24 years,Not a visible minority,63.6
2016,Terre-Neuve-et-Labrador,Les deux sexes,15 to 24 years,Total identité autochtone,60.8
2016,Terre-Neuve-et-Labrador,Les deux sexes,15 to 24 years,First Nations (North American Indian),61.7
2016,Terre-Neuve-et-Labrador,Les deux sexes,15 to 24 years,data.M�tis,65.2
2016,Terre-Neuve-et-Labrador,Les deux sexes,15 to 24 years,Inuk (Inuit),48.4
2016,Terre-Neuve-et-Labrador,Les deux sexes,15 to 24 years,Identité non autochtone,64.6
2016,Terre-Neuve-et-Labrador,Les deux sexes,25 à 64 ans,"Total, toutes les personnes",81.7
2016,Terre-Neuve-et-Labrador,Les deux sexes,25 à 64 ans,Non-immigrants,81.3
2016,Terre-Neuve-et-Labrador,Les deux sexes,25 à 64 ans,Immigrants,93.0
2016,Terre-Neuve-et-Labrador,Les deux sexes,25 à 64 ans,Résidents non permanents,97.6
2016,Terre-Neuve-et-Labrador,Les deux sexes,25 à 64 ans,Total de la population des minorités visibles,92.6
2016,Terre-Neuve-et-Labrador,Les deux sexes,25 à 64 ans,Not a visible minority,81.5
2016,Terre-Neuve-et-Labrador,Les deux sexes,25 à 64 ans,Total identité autochtone,76.7
2016,Terre-Neuve-et-Labrador,Les deux sexes,25 à 64 ans,First Nations (North American Indian),77.9
2016,Terre-Neuve-et-Labrador,Les deux sexes,25 à 64 ans,data.M�tis,79.4
2016,Terre-Neuve-et-Labrador,Les deux sexes,25 à 64 ans,Inuk (Inuit),69.6
2016,Terre-Neuve-et-Labrador,Les deux sexes,25 à 64 ans,Identité non autochtone,82.2
2016,Terre-Neuve-et-Labrador,Les deux sexes,65 à 74 ans,"Total, toutes les personnes",62.1
2016,Terre-Neuve-et-Labrador,Les deux sexes,65 à 74 ans,Non-immigrants,61.4
2016,Terre-Neuve-et-Labrador,Les deux sexes,65 à 74 ans,Immigrants,89.3
2016,Terre-Neuve-et-Labrador,Les deux sexes,65 à 74 ans,Résidents non permanents,100.0
2016,Terre-Neuve-et-Labrador,Les deux sexes,65 à 74 ans,Total de la population des minorités visibles,71.7
2016,Terre-Neuve-et-Labrador,Les deux sexes,65 à 74 ans,Not a visible minority,62.1
2016,Terre-Neuve-et-Labrador,Les deux sexes,65 à 74 ans,Total identité autochtone,52.9
2016,Terre-Neuve-et-Labrador,Les deux sexes,65 à 74 ans,First Nations (North American Indian),53.6
2016,Terre-Neuve-et-Labrador,Les deux sexes,65 à 74 ans,data.M�tis,56.3
2016,Terre-Neuve-et-Labrador,Les deux sexes,65 à 74 ans,Inuk (Inuit),48.1
2016,Terre-Neuve-et-Labrador,Les deux sexes,65 à 74 ans,Identité non autochtone,62.7
2016,Terre-Neuve-et-Labrador,Les deux sexes,75 ans et plus,"Total, toutes les personnes",46.8
2016,Terre-Neuve-et-Labrador,Les deux sexes,75 ans et plus,Non-immigrants,45.8
2016,Terre-Neuve-et-Labrador,Les deux sexes,75 ans et plus,Immigrants,82.0
2016,Terre-Neuve-et-Labrador,Les deux sexes,75 ans et plus,Résidents non permanents,0.0
2016,Terre-Neuve-et-Labrador,Les deux sexes,75 ans et plus,Total de la population des minorités visibles,72.5
2016,Terre-Neuve-et-Labrador,Les deux sexes,75 ans et plus,Not a visible minority,46.6
2016,Terre-Neuve-et-Labrador,Les deux sexes,75 ans et plus,Total identité autochtone,34.4
2016,Terre-Neuve-et-Labrador,Les deux sexes,75 ans et plus,First Nations (North American Indian),39.0
2016,Terre-Neuve-et-Labrador,Les deux sexes,75 ans et plus,data.M�tis,20.4
2016,Terre-Neuve-et-Labrador,Les deux sexes,75 ans et plus,Inuk (Inuit),31.0
2016,Terre-Neuve-et-Labrador,Les deux sexes,75 ans et plus,Identité non autochtone,47.4
2016,Terre-Neuve-et-Labrador,Hommes,"Total, personnes âgées de 15 ans et plus","Total, toutes les personnes",72.1
2016,Terre-Neuve-et-Labrador,Hommes,"Total, personnes âgées de 15 ans et plus",Non-immigrants,71.3
2016,Terre-Neuve-et-Labrador,Hommes,"Total, personnes âgées de 15 ans et plus",Immigrants,89.4
2016,Terre-Neuve-et-Labrador,Hommes,"Total, personnes âgées de 15 ans et plus",Résidents non permanents,96.7
2016,Terre-Neuve-et-Labrador,Hommes,"Total, personnes âgées de 15 ans et plus",Total de la population des minorités visibles,89.0
2016,Terre-Neuve-et-Labrador,Hommes,"Total, personnes âgées de 15 ans et plus",Not a visible minority,71.7
2016,Terre-Neuve-et-Labrador,Hommes,"Total, personnes âgées de 15 ans et plus",Total identité autochtone,66.0
2016,Terre-Neuve-et-Labrador,Hommes,"Total, personnes âgées de 15 ans et plus",First Nations (North American Indian),67.8
2016,Terre-Neuve-et-Labrador,Hommes,"Total, personnes âgées de 15 ans et plus",data.M�tis,68.3
2016,Terre-Neuve-et-Labrador,Hommes,"Total, personnes âgées de 15 ans et plus",Inuk (Inuit),55.8
2016,Terre-Neuve-et-Labrador,Hommes,"Total, personnes âgées de 15 ans et plus",Identité non autochtone,72.6
2016,Terre-Neuve-et-Labrador,Hommes,15 to 24 years,"Total, toutes les personnes",62.1
2016,Terre-Neuve-et-Labrador,Hommes,15 to 24 years,Non-immigrants,61.7
2016,Terre-Neuve-et-Labrador,Hommes,15 to 24 years,Immigrants,58.8
2016,Terre-Neuve-et-Labrador,Hommes,15 to 24 years,Résidents non permanents,89.3
2016,Terre-Neuve-et-Labrador,Hommes,15 to 24 years,Total de la population des minorités visibles,76.3
2016,Terre-Neuve-et-Labrador,Hommes,15 to 24 years,Not a visible minority,61.5
2016,Terre-Neuve-et-Labrador,Hommes,15 to 24 years,Total identité autochtone,58.1
2016,Terre-Neuve-et-Labrador,Hommes,15 to 24 years,First Nations (North American Indian),60.4
2016,Terre-Neuve-et-Labrador,Hommes,15 to 24 years,data.M�tis,61.3
2016,Terre-Neuve-et-Labrador,Hommes,15 to 24 years,Inuk (Inuit),38.9
2016,Terre-Neuve-et-Labrador,Hommes,15 to 24 years,Identité non autochtone,62.6
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,"Total, toutes les personnes",78.8
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Non-immigrants,78.1
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Immigrants,93.0
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Résidents non permanents,98.7
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Total de la population des minorités visibles,93.3
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Not a visible minority,78.4
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Total identité autochtone,71.9
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,First Nations (North American Indian),73.7
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,data.M�tis,73.6
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Inuk (Inuit),63.4
2016,Terre-Neuve-et-Labrador,Hommes,25 à 64 ans,Identité non autochtone,79.4
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,"Total, toutes les personnes",62.6
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Non-immigrants,61.7
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Immigrants,91.8
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Résidents non permanents,0.0
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Total de la population des minorités visibles,84.0
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Not a visible minority,62.5
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Total identité autochtone,54.3
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,First Nations (North American Indian),55.7
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,data.M�tis,60.4
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Inuk (Inuit),46.2
2016,Terre-Neuve-et-Labrador,Hommes,65 à 74 ans,Identité non autochtone,63.1
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,"Total, toutes les personnes",46.9
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Non-immigrants,45.4
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Immigrants,89.8
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Résidents non permanents,0.0
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Total de la population des minorités visibles,75.0
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Not a visible minority,46.7
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Total identité autochtone,34.3
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,First Nations (North American Indian),39.7
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,data.M�tis,23.8
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Inuk (Inuit),21.7
2016,Terre-Neuve-et-Labrador,Hommes,75 ans et plus,Identité non autochtone,47.5
2016,Terre-Neuve-et-Labrador,Femmes,"Total, personnes âgées de 15 ans et plus","Total, toutes les personnes",76.1
2016,Terre-Neuve-et-Labrador,Femmes,"Total, personnes âgées de 15 ans et plus",Non-immigrants,75.7
2016,Terre-Neuve-et-Labrador,Femmes,"Total, personnes âgées de 15 ans et plus",Immigrants,87.7
2016,Terre-Neuve-et-Labrador,Femmes,"Total, personnes âgées de 15 ans et plus",Résidents non permanents,95.5
2016,Terre-Neuve-et-Labrador,Femmes,"Total, personnes âgées de 15 ans et plus",Total de la population des minorités visibles,87.3
2016,Terre-Neuve-et-Labrador,Femmes,"Total, personnes âgées de 15 ans et plus",Not a visible minority,75.8
2016,Terre-Neuve-et-Labrador,Femmes,"Total, personnes âgées de 15 ans et plus",Total identité autochtone,72.6
2016,Terre-Neuve-et-Labrador,Femmes,"Total, personnes âgées de 15 ans et plus",First Nations (North American Indian),72.8
2016,Terre-Neuve-et-Labrador,Femmes,"Total, personnes âgées de 15 ans et plus",data.M�tis,76.1
2016,Terre-Neuve-et-Labrador,Femmes,"Total, personnes âgées de 15 ans et plus",Inuk (Inuit),68.5
2016,Terre-Neuve-et-Labrador,Femmes,"Total, personnes âgées de 15 ans et plus",Identité non autochtone,76.4
2016,Terre-Neuve-et-Labrador,Femmes,15 to 24 years,"Total, toutes les personnes",66.2
2016,Terre-Neuve-et-Labrador,Femmes,15 to 24 years,Non-immigrants,66.0
2016,Terre-Neuve-et-Labrador,Femmes,15 to 24 years,Immigrants,57.5
2016,Terre-Neuve-et-Labrador,Femmes,15 to 24 years,Résidents non permanents,94.9
2016,Terre-Neuve-et-Labrador,Femmes,15 to 24 years,Total de la population des minorités visibles,77.0
2016,Terre-Neuve-et-Labrador,Femmes,15 to 24 years,Not a visible minority,65.8
2016,Terre-Neuve-et-Labrador,Femmes,15 to 24 years,Total identité autochtone,63.3
2016,Terre-Neuve-et-Labrador,Femmes,15 to 24 years,First Nations (North American Indian),63.0
2016,Terre-Neuve-et-Labrador,Femmes,15 to 24 years,data.M�tis,69.3
2016,Terre-Neuve-et-Labrador,Femmes,15 to 24 years,Inuk (Inuit),55.9
2016,Terre-Neuve-et-Labrador,Femmes,15 to 24 years,Identité non autochtone,66.6
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,"Total, toutes les personnes",84.5
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,Non-immigrants,84.2
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,Immigrants,93.0
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,Résidents non permanents,96.1
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,Total de la population des minorités visibles,92.0
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,Not a visible minority,84.4
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,Total identité autochtone,80.9
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,First Nations (North American Indian),81.7
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,data.M�tis,84.6
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,Inuk (Inuit),75.3
2016,Terre-Neuve-et-Labrador,Femmes,25 à 64 ans,Identité non autochtone,84.9
2016,Terre-Neuve-et-Labrador,Femmes,65 à 74 ans,"Total, toutes les personnes",61.6
2016,Terre-Neuve-et-Labrador,Femmes,65 à 74 ans,Non-immigrants,61.0
2016,Terre-Neuve-et-Labrador,Femmes,65 à 74 ans,Immigrants,86.4
2016,Terre-Neuve-et-Labrador,Femmes,65 à 74 ans,Résidents non permanents,0.0
2016,Terre-Neuve-et-Labrador,Femmes,65 à 74 ans,Total de la population des minorités visibles,62.9
2016,Terre-Neuve-et-Labrador,Femmes,65 à 74 ans,Not a visible minority,61.6
2016,Terre-Neuve-et-Labrador,Femmes,65 à 74 ans,Total identité autochtone,51.7
2016,Terre-Neuve-et-Labrador,Femmes,65 à 74 ans,First Nations (North American Indian),51.7
2016,Terre-Neuve-et-Labrador,Femmes,65 à 74 ans,data.M�tis,51.0
2016,Terre-Neuve-et-Labrador,Femmes,65 à 74 ans,Inuk (Inuit),51.2
2016,Terre-Neuve-et-Labrador,Femmes,65 à 74 ans,Identité non autochtone,62.2
2016,Terre-Neuve-et-Labrador,Femmes,75 ans et plus,"Total, toutes les personnes",46.7
2016,Terre-Neuve-et-Labrador,Femmes,75 ans et plus,Non-immigrants,46.0
2016,Terre-Neuve-et-Labrador,Femmes,75 ans et plus,Immigrants,74.1
2016,Terre-Neuve-et-Labrador,Femmes,75 ans et plus,Résidents non permanents,0.0
