Year,Géographie,data.Persons in low income,Value
2019,Canada,data.Males in economic families,6.8
2015,Canada,data.Females in economic families,11.5
2016,Canada,data.Females in economic families,10.1
2017,Canada,data.Females in economic families,8.9
2018,Canada,data.Females in economic families,7.8
2019,Canada,data.Females in economic families,7.4
2015,Canada,data.Elderly persons in economic families,3.3
2016,Canada,data.Elderly persons in economic families,3.5
2017,Canada,data.Elderly persons in economic families,3.3
2018,Canada,data.Elderly persons in economic families,2.7
2019,Canada,data.Elderly persons in economic families,2.8
2015,Canada,data.Persons under 18 years in economic families,16.3
2016,Canada,data.Persons under 18 years in economic families,13.9
2017,Canada,data.Persons under 18 years in economic families,11.5
2018,Canada,data.Persons under 18 years in economic families,10.6
2019,Canada,data.Persons under 18 years in economic families,9.6
2015,Canada,data.Persons under 18 years in couple families with children,13.4
2016,Canada,data.Persons under 18 years in couple families with children,10.2
2017,Canada,data.Persons under 18 years in couple families with children,8.9
2018,Canada,data.Persons under 18 years in couple families with children,8.0
2019,Canada,data.Persons under 18 years in couple families with children,7.2
2015,Canada,data.Persons under 18 years in female lone-parent families,39.4
2016,Canada,data.Persons under 18 years in female lone-parent families,41.9
2017,Canada,data.Persons under 18 years in female lone-parent families,33.5
2018,Canada,data.Persons under 18 years in female lone-parent families,31.7
2019,Canada,data.Persons under 18 years in female lone-parent families,29.8
2015,Canada,data.Persons 18 to 64 years in economic families,10.8
2016,Canada,data.Persons 18 to 64 years in economic families,9.2
2017,Canada,data.Persons 18 to 64 years in economic families,8.6
2018,Canada,data.Persons 18 to 64 years in economic families,7.6
2019,Canada,data.Persons 18 to 64 years in economic families,7.2
2015,Canada,data.Persons not in an economic family,32.9
2016,Canada,data.Persons not in an economic family,30.8
2017,Canada,data.Persons not in an economic family,28.7
2018,Canada,data.Persons not in an economic family,29.0
2019,Canada,data.Persons not in an economic family,26.2
2015,Canada,data.Males not in an economic family,33.2
2016,Canada,data.Males not in an economic family,31.3
2017,Canada,data.Males not in an economic family,29.2
2018,Canada,data.Males not in an economic family,30.8
2019,Canada,data.Males not in an economic family,26.3
2015,Canada,data.Females not in an economic family,32.6
2016,Canada,data.Females not in an economic family,30.3
2017,Canada,data.Females not in an economic family,28.1
2018,Canada,data.Females not in an economic family,27.2
2019,Canada,data.Females not in an economic family,26.1
2015,Canada,data.Elderly persons not in an economic family,17.0
2016,Canada,data.Elderly persons not in an economic family,16.4
2017,Canada,data.Elderly persons not in an economic family,13.0
2018,Canada,data.Elderly persons not in an economic family,13.4
2019,Canada,data.Elderly persons not in an economic family,11.7
2015,Canada,data.Non-elderly persons not in an economic family,38.9
2016,Canada,data.Non-elderly persons not in an economic family,36.4
2017,Canada,data.Non-elderly persons not in an economic family,35.3
2018,Canada,data.Non-elderly persons not in an economic family,35.7
2019,Canada,data.Non-elderly persons not in an economic family,32.9
2015,Canada,data.Non-elderly males not in an economic family,36.6
2016,Canada,data.Non-elderly males not in an economic family,34.2
2017,Canada,data.Non-elderly males not in an economic family,33.2
2018,Canada,data.Non-elderly males not in an economic family,34.8
2019,Canada,data.Non-elderly males not in an economic family,30.7
2015,Canada,data.Non-elderly females not in an economic family,42.0
2016,Canada,data.Non-elderly females not in an economic family,39.1
2017,Canada,data.Non-elderly females not in an economic family,37.9
2018,Canada,data.Non-elderly females not in an economic family,37.0
2019,Canada,data.Non-elderly females not in an economic family,35.6
2015,Terre-Neuve-et-Labrador,data.All persons,13.1
2016,Terre-Neuve-et-Labrador,data.All persons,12.4
2017,Terre-Neuve-et-Labrador,data.All persons,11.4
2018,Terre-Neuve-et-Labrador,data.All persons,11.2
2019,Terre-Neuve-et-Labrador,data.All persons,10.7
2015,Terre-Neuve-et-Labrador,data.Persons under 18 years,15.3
2016,Terre-Neuve-et-Labrador,data.Persons under 18 years,13.4
2017,Terre-Neuve-et-Labrador,data.Persons under 18 years,12.0
2018,Terre-Neuve-et-Labrador,data.Persons under 18 years,11.2
2019,Terre-Neuve-et-Labrador,data.Persons under 18 years,14.6
2015,Terre-Neuve-et-Labrador,data.Persons 18 to 64 years,13.8
2016,Terre-Neuve-et-Labrador,data.Persons 18 to 64 years,13.4
2017,Terre-Neuve-et-Labrador,data.Persons 18 to 64 years,12.7
2018,Terre-Neuve-et-Labrador,data.Persons 18 to 64 years,13.6
2019,Terre-Neuve-et-Labrador,data.Persons 18 to 64 years,11.2
2015,Terre-Neuve-et-Labrador,data.Persons 65 years and over,8.6
2016,Terre-Neuve-et-Labrador,data.Persons 65 years and over,8.0
2017,Terre-Neuve-et-Labrador,data.Persons 65 years and over,6.7
2018,Terre-Neuve-et-Labrador,data.Persons 65 years and over,4.1
2019,Terre-Neuve-et-Labrador,data.Persons 65 years and over,6.0
2015,Terre-Neuve-et-Labrador,Hommes,11.6
2016,Terre-Neuve-et-Labrador,Hommes,11.1
2017,Terre-Neuve-et-Labrador,Hommes,9.9
2018,Terre-Neuve-et-Labrador,Hommes,11.6
2019,Terre-Neuve-et-Labrador,Hommes,9.6
2015,Terre-Neuve-et-Labrador,"data.Males, under 18 years",13.9
2016,Terre-Neuve-et-Labrador,"data.Males, under 18 years",13.9
2017,Terre-Neuve-et-Labrador,"data.Males, under 18 years",11.5
2018,Terre-Neuve-et-Labrador,"data.Males, under 18 years",10.3
2019,Terre-Neuve-et-Labrador,"data.Males, under 18 years",14.9
2015,Terre-Neuve-et-Labrador,"data.Males, 18 to 64 years",12.3
2016,Terre-Neuve-et-Labrador,"data.Males, 18 to 64 years",11.5
2017,Terre-Neuve-et-Labrador,"data.Males, 18 to 64 years",10.8
2018,Terre-Neuve-et-Labrador,"data.Males, 18 to 64 years",14.9
2019,Terre-Neuve-et-Labrador,"data.Males, 18 to 64 years",9.9
2015,Terre-Neuve-et-Labrador,"data.Males, 65 years and over",6.6
2016,Terre-Neuve-et-Labrador,"data.Males, 65 years and over",7.2
2017,Terre-Neuve-et-Labrador,"data.Males, 65 years and over",5.1
2018,Terre-Neuve-et-Labrador,"data.Males, 65 years and over",2.4
2019,Terre-Neuve-et-Labrador,"data.Males, 65 years and over",4.4
2015,Terre-Neuve-et-Labrador,Femmes,14.6
2016,Terre-Neuve-et-Labrador,Femmes,13.6
2017,Terre-Neuve-et-Labrador,Femmes,12.9
2018,Terre-Neuve-et-Labrador,Femmes,10.8
2019,Terre-Neuve-et-Labrador,Femmes,11.7
2015,Terre-Neuve-et-Labrador,"data.Females, under 18 years",16.9
2016,Terre-Neuve-et-Labrador,"data.Females, under 18 years",13.0
2017,Terre-Neuve-et-Labrador,"data.Females, under 18 years",12.6
2018,Terre-Neuve-et-Labrador,"data.Females, under 18 years",12.1
2019,Terre-Neuve-et-Labrador,"data.Females, under 18 years",14.4
2015,Terre-Neuve-et-Labrador,"data.Females, 18 to 64 years",15.3
2016,Terre-Neuve-et-Labrador,"data.Females, 18 to 64 years",15.3
2017,Terre-Neuve-et-Labrador,"data.Females, 18 to 64 years",14.5
2018,Terre-Neuve-et-Labrador,"data.Females, 18 to 64 years",12.3
2019,Terre-Neuve-et-Labrador,"data.Females, 18 to 64 years",12.6
2015,Terre-Neuve-et-Labrador,"data.Females, 65 years and over",10.3
2016,Terre-Neuve-et-Labrador,"data.Females, 65 years and over",8.7
2017,Terre-Neuve-et-Labrador,"data.Females, 65 years and over",8.1
2018,Terre-Neuve-et-Labrador,"data.Females, 65 years and over",5.7
2019,Terre-Neuve-et-Labrador,"data.Females, 65 years and over",7.4
2015,Terre-Neuve-et-Labrador,data.Persons in economic families,8.8
2016,Terre-Neuve-et-Labrador,data.Persons in economic families,9.3
2017,Terre-Neuve-et-Labrador,data.Persons in economic families,7.0
2018,Terre-Neuve-et-Labrador,data.Persons in economic families,8.2
2019,Terre-Neuve-et-Labrador,data.Persons in economic families,8.3
2015,Terre-Neuve-et-Labrador,data.Males in economic families,7.7
2016,Terre-Neuve-et-Labrador,data.Males in economic families,8.2
2017,Terre-Neuve-et-Labrador,data.Males in economic families,6.4
2018,Terre-Neuve-et-Labrador,data.Males in economic families,8.0
2019,Terre-Neuve-et-Labrador,data.Males in economic families,7.4
2015,Terre-Neuve-et-Labrador,data.Females in economic families,10.0
2016,Terre-Neuve-et-Labrador,data.Females in economic families,10.4
2017,Terre-Neuve-et-Labrador,data.Females in economic families,7.6
2018,Terre-Neuve-et-Labrador,data.Females in economic families,8.4
2019,Terre-Neuve-et-Labrador,data.Females in economic families,9.1
2015,Terre-Neuve-et-Labrador,data.Elderly persons in economic families,3.7
2016,Terre-Neuve-et-Labrador,data.Elderly persons in economic families,5.3
2017,Terre-Neuve-et-Labrador,data.Elderly persons in economic families,3.7
2018,Terre-Neuve-et-Labrador,data.Elderly persons in economic families,2.4
2019,Terre-Neuve-et-Labrador,data.Elderly persons in economic families,3.8
2015,Terre-Neuve-et-Labrador,data.Persons under 18 years in economic families,15.3
2016,Terre-Neuve-et-Labrador,data.Persons under 18 years in economic families,13.4
2017,Terre-Neuve-et-Labrador,data.Persons under 18 years in economic families,11.1
2018,Terre-Neuve-et-Labrador,data.Persons under 18 years in economic families,11.2
2019,Terre-Neuve-et-Labrador,data.Persons under 18 years in economic families,14.2
2015,Terre-Neuve-et-Labrador,data.Persons under 18 years in couple families with children,8.9
2016,Terre-Neuve-et-Labrador,data.Persons under 18 years in couple families with children,
2017,Terre-Neuve-et-Labrador,data.Persons under 18 years in couple families with children,
2018,Terre-Neuve-et-Labrador,data.Persons under 18 years in couple families with children,
2019,Terre-Neuve-et-Labrador,data.Persons under 18 years in couple families with children,
2015,Terre-Neuve-et-Labrador,data.Persons under 18 years in female lone-parent families,61.4
2016,Terre-Neuve-et-Labrador,data.Persons under 18 years in female lone-parent families,43.3
2017,Terre-Neuve-et-Labrador,data.Persons under 18 years in female lone-parent families,44.3
2018,Terre-Neuve-et-Labrador,data.Persons under 18 years in female lone-parent families,33.3
2019,Terre-Neuve-et-Labrador,data.Persons under 18 years in female lone-parent families,50.1
2015,Terre-Neuve-et-Labrador,data.Persons 18 to 64 years in economic families,8.1
2016,Terre-Neuve-et-Labrador,data.Persons 18 to 64 years in economic families,9.1
2017,Terre-Neuve-et-Labrador,data.Persons 18 to 64 years in economic families,6.7
2018,Terre-Neuve-et-Labrador,data.Persons 18 to 64 years in economic families,9.0
2019,Terre-Neuve-et-Labrador,data.Persons 18 to 64 years in economic families,7.8
2015,Terre-Neuve-et-Labrador,data.Persons not in an economic family,39.7
2016,Terre-Neuve-et-Labrador,data.Persons not in an economic family,31.1
2017,Terre-Neuve-et-Labrador,data.Persons not in an economic family,38.2
2018,Terre-Neuve-et-Labrador,data.Persons not in an economic family,29.4
2019,Terre-Neuve-et-Labrador,data.Persons not in an economic family,25.1
2015,Terre-Neuve-et-Labrador,data.Males not in an economic family,38.9
2016,Terre-Neuve-et-Labrador,data.Males not in an economic family,28.8
2017,Terre-Neuve-et-Labrador,data.Males not in an economic family,33.1
2018,Terre-Neuve-et-Labrador,data.Males not in an economic family,32.1
2019,Terre-Neuve-et-Labrador,data.Males not in an economic family,23.4
2015,Terre-Neuve-et-Labrador,data.Females not in an economic family,40.2
2016,Terre-Neuve-et-Labrador,data.Females not in an economic family,33.4
2017,Terre-Neuve-et-Labrador,data.Females not in an economic family,42.4
2018,Terre-Neuve-et-Labrador,data.Females not in an economic family,26.6
2019,Terre-Neuve-et-Labrador,data.Females not in an economic family,26.6
2015,Terre-Neuve-et-Labrador,data.Elderly persons not in an economic family,24.5
2016,Terre-Neuve-et-Labrador,data.Elderly persons not in an economic family,17.2
2017,Terre-Neuve-et-Labrador,data.Elderly persons not in an economic family,17.6
2018,Terre-Neuve-et-Labrador,data.Elderly persons not in an economic family,9.6
2019,Terre-Neuve-et-Labrador,data.Elderly persons not in an economic family,13.4
2015,Terre-Neuve-et-Labrador,data.Non-elderly persons not in an economic family,46.5
2016,Terre-Neuve-et-Labrador,data.Non-elderly persons not in an economic family,37.3
2017,Terre-Neuve-et-Labrador,data.Non-elderly persons not in an economic family,47.0
2018,Terre-Neuve-et-Labrador,data.Non-elderly persons not in an economic family,39.6
2019,Terre-Neuve-et-Labrador,data.Non-elderly persons not in an economic family,31.3
2015,Terre-Neuve-et-Labrador,data.Non-elderly males not in an economic family,42.7
2016,Terre-Neuve-et-Labrador,data.Non-elderly males not in an economic family,33.7
2017,Terre-Neuve-et-Labrador,data.Non-elderly males not in an economic family,38.1
2018,Terre-Neuve-et-Labrador,data.Non-elderly males not in an economic family,39.9
2019,Terre-Neuve-et-Labrador,data.Non-elderly males not in an economic family,27.4
2015,Terre-Neuve-et-Labrador,data.Non-elderly females not in an economic family,50.8
2016,Terre-Neuve-et-Labrador,data.Non-elderly females not in an economic family,42.0
2017,Terre-Neuve-et-Labrador,data.Non-elderly females not in an economic family,57.1
2018,Terre-Neuve-et-Labrador,data.Non-elderly females not in an economic family,39.1
2019,Terre-Neuve-et-Labrador,data.Non-elderly females not in an economic family,36.2
2015,Île-du-Prince-Édouard,data.All persons,14.8
2016,Île-du-Prince-Édouard,data.All persons,11.8
2017,Île-du-Prince-Édouard,data.All persons,13.3
2018,Île-du-Prince-Édouard,data.All persons,11.9
2019,Île-du-Prince-Édouard,data.All persons,10.9
2015,Île-du-Prince-Édouard,data.Persons under 18 years,15.1
2016,Île-du-Prince-Édouard,data.Persons under 18 years,14.9
2017,Île-du-Prince-Édouard,data.Persons under 18 years,13.4
2018,Île-du-Prince-Édouard,data.Persons under 18 years,9.8
2019,Île-du-Prince-Édouard,data.Persons under 18 years,13.7
2015,Île-du-Prince-Édouard,data.Persons 18 to 64 years,15.4
2016,Île-du-Prince-Édouard,data.Persons 18 to 64 years,11.9
2017,Île-du-Prince-Édouard,data.Persons 18 to 64 years,14.3
2018,Île-du-Prince-Édouard,data.Persons 18 to 64 years,13.1
2019,Île-du-Prince-Édouard,data.Persons 18 to 64 years,11.4
2015,Île-du-Prince-Édouard,data.Persons 65 years and over,12.5
2016,Île-du-Prince-Édouard,data.Persons 65 years and over,7.9
2017,Île-du-Prince-Édouard,data.Persons 65 years and over,10.1
2018,Île-du-Prince-Édouard,data.Persons 65 years and over,10.1
2019,Île-du-Prince-Édouard,data.Persons 65 years and over,6.4
2015,Île-du-Prince-Édouard,Hommes,14.2
2016,Île-du-Prince-Édouard,Hommes,9.8
2017,Île-du-Prince-Édouard,Hommes,13.3
2018,Île-du-Prince-Édouard,Hommes,12.3
2019,Île-du-Prince-Édouard,Hommes,10.2
2015,Île-du-Prince-Édouard,"data.Males, under 18 years",15.3
2016,Île-du-Prince-Édouard,"data.Males, under 18 years",11.9
2017,Île-du-Prince-Édouard,"data.Males, under 18 years",15.1
2018,Île-du-Prince-Édouard,"data.Males, under 18 years",10.4
2019,Île-du-Prince-Édouard,"data.Males, under 18 years",16.8
2015,Île-du-Prince-Édouard,"data.Males, 18 to 64 years",15.5
2016,Île-du-Prince-Édouard,"data.Males, 18 to 64 years",10.9
2017,Île-du-Prince-Édouard,"data.Males, 18 to 64 years",13.4
2018,Île-du-Prince-Édouard,"data.Males, 18 to 64 years",14.4
2019,Île-du-Prince-Édouard,"data.Males, 18 to 64 years",9.5
2015,Île-du-Prince-Édouard,"data.Males, 65 years and over",8.5
2016,Île-du-Prince-Édouard,"data.Males, 65 years and over",
2017,Île-du-Prince-Édouard,"data.Males, 65 years and over",10.8
2018,Île-du-Prince-Édouard,"data.Males, 65 years and over",7.3
2019,Île-du-Prince-Édouard,"data.Males, 65 years and over",
2015,Île-du-Prince-Édouard,Femmes,15.4
2016,Île-du-Prince-Édouard,Femmes,13.6
2017,Île-du-Prince-Édouard,Femmes,13.3
2018,Île-du-Prince-Édouard,Femmes,11.5
2019,Île-du-Prince-Édouard,Femmes,11.5
2015,Île-du-Prince-Édouard,"data.Females, under 18 years",15.0
2016,Île-du-Prince-Édouard,"data.Females, under 18 years",18.2
2017,Île-du-Prince-Édouard,"data.Females, under 18 years",11.3
2018,Île-du-Prince-Édouard,"data.Females, under 18 years",
2019,Île-du-Prince-Édouard,"data.Females, under 18 years",
2015,Île-du-Prince-Édouard,"data.Females, 18 to 64 years",15.4
2016,Île-du-Prince-Édouard,"data.Females, 18 to 64 years",12.9
2017,Île-du-Prince-Édouard,"data.Females, 18 to 64 years",15.1
2018,Île-du-Prince-Édouard,"data.Females, 18 to 64 years",11.9
2019,Île-du-Prince-Édouard,"data.Females, 18 to 64 years",13.3
2015,Île-du-Prince-Édouard,"data.Females, 65 years and over",16.1
2016,Île-du-Prince-Édouard,"data.Females, 65 years and over",11.7
2017,Île-du-Prince-Édouard,"data.Females, 65 years and over",9.4
2018,Île-du-Prince-Édouard,"data.Females, 65 years and over",12.6
2019,Île-du-Prince-Édouard,"data.Females, 65 years and over",7.3
2015,Île-du-Prince-Édouard,data.Persons in economic families,10.9
2016,Île-du-Prince-Édouard,data.Persons in economic families,8.6
2017,Île-du-Prince-Édouard,data.Persons in economic families,9.3
2018,Île-du-Prince-Édouard,data.Persons in economic families,7.6
2019,Île-du-Prince-Édouard,data.Persons in economic families,7.6
2015,Île-du-Prince-Édouard,data.Males in economic families,11.0
2016,Île-du-Prince-Édouard,data.Males in economic families,7.1
2017,Île-du-Prince-Édouard,data.Males in economic families,9.2
2018,Île-du-Prince-Édouard,data.Males in economic families,7.9
2019,Île-du-Prince-Édouard,data.Males in economic families,7.4
2015,Île-du-Prince-Édouard,data.Females in economic families,10.8
2016,Île-du-Prince-Édouard,data.Females in economic families,10.0
2017,Île-du-Prince-Édouard,data.Females in economic families,9.4
2018,Île-du-Prince-Édouard,data.Females in economic families,7.3
2019,Île-du-Prince-Édouard,data.Females in economic families,7.8
2015,Île-du-Prince-Édouard,data.Elderly persons in economic families,7.9
2016,Île-du-Prince-Édouard,data.Elderly persons in economic families,
2017,Île-du-Prince-Édouard,data.Elderly persons in economic families,
2018,Île-du-Prince-Édouard,data.Elderly persons in economic families,
2019,Île-du-Prince-Édouard,data.Elderly persons in economic families,
2015,Île-du-Prince-Édouard,data.Persons under 18 years in economic families,15.1
2016,Île-du-Prince-Édouard,data.Persons under 18 years in economic families,14.9
2017,Île-du-Prince-Édouard,data.Persons under 18 years in economic families,13.4
2018,Île-du-Prince-Édouard,data.Persons under 18 years in economic families,9.8
2019,Île-du-Prince-Édouard,data.Persons under 18 years in economic families,13.7
2015,Île-du-Prince-Édouard,data.Persons under 18 years in couple families with children,13.0
2016,Île-du-Prince-Édouard,data.Persons under 18 years in couple families with children,
2017,Île-du-Prince-Édouard,data.Persons under 18 years in couple families with children,6.9
2018,Île-du-Prince-Édouard,data.Persons under 18 years in couple families with children,
2019,Île-du-Prince-Édouard,data.Persons under 18 years in couple families with children,
2015,Île-du-Prince-Édouard,data.Persons under 18 years in female lone-parent families,
2016,Île-du-Prince-Édouard,data.Persons under 18 years in female lone-parent families,58.0
2017,Île-du-Prince-Édouard,data.Persons under 18 years in female lone-parent families,54.7
2018,Île-du-Prince-Édouard,data.Persons under 18 years in female lone-parent families,
2019,Île-du-Prince-Édouard,data.Persons under 18 years in female lone-parent families,52.1
2015,Île-du-Prince-Édouard,data.Persons 18 to 64 years in economic families,10.1
2016,Île-du-Prince-Édouard,data.Persons 18 to 64 years in economic families,7.6
2017,Île-du-Prince-Édouard,data.Persons 18 to 64 years in economic families,9.2
2018,Île-du-Prince-Édouard,data.Persons 18 to 64 years in economic families,8.0
2019,Île-du-Prince-Édouard,data.Persons 18 to 64 years in economic families,6.3
2015,Île-du-Prince-Édouard,data.Persons not in an economic family,37.9
2016,Île-du-Prince-Édouard,data.Persons not in an economic family,30.3
2017,Île-du-Prince-Édouard,data.Persons not in an economic family,36.5
2018,Île-du-Prince-Édouard,data.Persons not in an economic family,36.8
2019,Île-du-Prince-Édouard,data.Persons not in an economic family,29.5
2015,Île-du-Prince-Édouard,data.Males not in an economic family,34.8
2016,Île-du-Prince-Édouard,data.Males not in an economic family,26.9
2017,Île-du-Prince-Édouard,data.Males not in an economic family,39.9
2018,Île-du-Prince-Édouard,data.Males not in an economic family,38.3
2019,Île-du-Prince-Édouard,data.Males not in an economic family,28.9
2015,Île-du-Prince-Édouard,data.Females not in an economic family,40.5
2016,Île-du-Prince-Édouard,data.Females not in an economic family,33.1
2017,Île-du-Prince-Édouard,data.Females not in an economic family,33.7
2018,Île-du-Prince-Édouard,data.Females not in an economic family,35.4
2019,Île-du-Prince-Édouard,data.Females not in an economic family,29.9
2015,Île-du-Prince-Édouard,data.Elderly persons not in an economic family,26.7
2016,Île-du-Prince-Édouard,data.Elderly persons not in an economic family,22.7
2017,Île-du-Prince-Édouard,data.Elderly persons not in an economic family,26.9
2018,Île-du-Prince-Édouard,data.Elderly persons not in an economic family,29.6
2019,Île-du-Prince-Édouard,data.Elderly persons not in an economic family,12.8
2015,Île-du-Prince-Édouard,data.Non-elderly persons not in an economic family,42.9
2016,Île-du-Prince-Édouard,data.Non-elderly persons not in an economic family,33.6
2017,Île-du-Prince-Édouard,data.Non-elderly persons not in an economic family,41.2
2018,Île-du-Prince-Édouard,data.Non-elderly persons not in an economic family,40.5
2019,Île-du-Prince-Édouard,data.Non-elderly persons not in an economic family,36.5
2015,Île-du-Prince-Édouard,data.Non-elderly males not in an economic family,38.5
2016,Île-du-Prince-Édouard,data.Non-elderly males not in an economic family,31.5
2017,Île-du-Prince-Édouard,data.Non-elderly males not in an economic family,37.9
2018,Île-du-Prince-Édouard,data.Non-elderly males not in an economic family,42.2
2019,Île-du-Prince-Édouard,data.Non-elderly males not in an economic family,33.6
2015,Île-du-Prince-Édouard,data.Non-elderly females not in an economic family,47.6
2016,Île-du-Prince-Édouard,data.Non-elderly females not in an economic family,35.8
2017,Île-du-Prince-Édouard,data.Non-elderly females not in an economic family,44.8
2018,Île-du-Prince-Édouard,data.Non-elderly females not in an economic family,38.3
2019,Île-du-Prince-Édouard,data.Non-elderly females not in an economic family,39.4
2015,Nouvelle-Écosse,data.All persons,17.0
2016,Nouvelle-Écosse,data.All persons,16.2
2017,Nouvelle-Écosse,data.All persons,15.0
2018,Nouvelle-Écosse,data.All persons,13.3
2019,Nouvelle-Écosse,data.All persons,12.1
2015,Nouvelle-Écosse,data.Persons under 18 years,20.7
2016,Nouvelle-Écosse,data.Persons under 18 years,19.1
2017,Nouvelle-Écosse,data.Persons under 18 years,19.4
2018,Nouvelle-Écosse,data.Persons under 18 years,14.8
2019,Nouvelle-Écosse,data.Persons under 18 years,11.7
2015,Nouvelle-Écosse,data.Persons 18 to 64 years,18.0
2016,Nouvelle-Écosse,data.Persons 18 to 64 years,18.0
2017,Nouvelle-Écosse,data.Persons 18 to 64 years,16.3
2018,Nouvelle-Écosse,data.Persons 18 to 64 years,14.6
2019,Nouvelle-Écosse,data.Persons 18 to 64 years,13.7
2015,Nouvelle-Écosse,data.Persons 65 years and over,10.5
2016,Nouvelle-Écosse,data.Persons 65 years and over,7.9
2017,Nouvelle-Écosse,data.Persons 65 years and over,6.9
2018,Nouvelle-Écosse,data.Persons 65 years and over,8.1
2019,Nouvelle-Écosse,data.Persons 65 years and over,7.8
2015,Nouvelle-Écosse,Hommes,16.5
2016,Nouvelle-Écosse,Hommes,17.0
2017,Nouvelle-Écosse,Hommes,13.5
2018,Nouvelle-Écosse,Hommes,13.0
2019,Nouvelle-Écosse,Hommes,10.9
2015,Nouvelle-Écosse,"data.Males, under 18 years",19.3
2016,Nouvelle-Écosse,"data.Males, under 18 years",20.4
2017,Nouvelle-Écosse,"data.Males, under 18 years",17.4
2018,Nouvelle-Écosse,"data.Males, under 18 years",16.2
2019,Nouvelle-Écosse,"data.Males, under 18 years",11.8
2015,Nouvelle-Écosse,"data.Males, 18 to 64 years",18.0
2016,Nouvelle-Écosse,"data.Males, 18 to 64 years",18.7
2017,Nouvelle-Écosse,"data.Males, 18 to 64 years",15.0
2018,Nouvelle-Écosse,"data.Males, 18 to 64 years",14.4
2019,Nouvelle-Écosse,"data.Males, 18 to 64 years",12.2
2015,Nouvelle-Écosse,"data.Males, 65 years and over",8.1
2016,Nouvelle-Écosse,"data.Males, 65 years and over",8.0
2017,Nouvelle-Écosse,"data.Males, 65 years and over",5.0
2018,Nouvelle-Écosse,"data.Males, 65 years and over",5.7
2019,Nouvelle-Écosse,"data.Males, 65 years and over",5.7
2015,Nouvelle-Écosse,Femmes,17.5
2016,Nouvelle-Écosse,Femmes,15.4
2017,Nouvelle-Écosse,Femmes,16.3
2018,Nouvelle-Écosse,Femmes,13.6
2019,Nouvelle-Écosse,Femmes,13.3
2015,Nouvelle-Écosse,"data.Females, under 18 years",22.3
2016,Nouvelle-Écosse,"data.Females, under 18 years",17.6
2017,Nouvelle-Écosse,"data.Females, under 18 years",21.6
2018,Nouvelle-Écosse,"data.Females, under 18 years",13.3
2019,Nouvelle-Écosse,"data.Females, under 18 years",11.6
2015,Nouvelle-Écosse,"data.Females, 18 to 64 years",18.0
