Year,Géographie,Situation géographique,Régions métropolitaines de recensement sélectionnées,Mode d'occupation,GeoCode,Value
2018,Nouvelle-Écosse,Provinces and territories,,Owner who is not a first-time homebuyer,12,5.2
2018,Nouvelle-Écosse,Provinces and territories,,Locataire,12,25.0
2018,Nouvelle-Écosse,Provinces and territories,,Renter not in social and affordable housing,12,22.0
2018,Nouvelle-Écosse,Provinces and territories,,Renter in social and affordable housing,12,43.0
2018,Nouveau-Brunswick,Provinces and territories,,"Total, tenure",13,7.3
2018,Nouveau-Brunswick,Provinces and territories,,Propriétaire,13,3.3
2018,Nouveau-Brunswick,Provinces and territories,,Owner who is a first-time homebuyer,13,0.6
2018,Nouveau-Brunswick,Provinces and territories,,Owner who is not a first-time homebuyer,13,3.6
2018,Nouveau-Brunswick,Provinces and territories,,Locataire,13,19.3
2018,Nouveau-Brunswick,Provinces and territories,,Renter not in social and affordable housing,13,17.6
2018,Nouveau-Brunswick,Provinces and territories,,Renter in social and affordable housing,13,30.0
2018,Québec,Provinces and territories,,"Total, tenure",24,7.2
2018,Québec,Provinces and territories,,Propriétaire,24,2.0
2018,Québec,Provinces and territories,,Owner who is a first-time homebuyer,24,1.8
2018,Québec,Provinces and territories,,Owner who is not a first-time homebuyer,24,2.0
2018,Québec,Provinces and territories,,Locataire,24,15.6
2018,Québec,Provinces and territories,,Renter not in social and affordable housing,24,15.6
2018,Québec,Provinces and territories,,Renter in social and affordable housing,24,15.9
2018,Ontario,Provinces and territories,,"Total, tenure",35,13.4
2018,Ontario,Provinces and territories,,Propriétaire,35,7.9
2018,Ontario,Provinces and territories,,Owner who is a first-time homebuyer,35,8.2
2018,Ontario,Provinces and territories,,Owner who is not a first-time homebuyer,35,7.9
2018,Ontario,Provinces and territories,,Locataire,35,26.0
2018,Ontario,Provinces and territories,,Renter not in social and affordable housing,35,26.0
2018,Ontario,Provinces and territories,,Renter in social and affordable housing,35,30.0
2018,Manitoba,Provinces and territories,,"Total, tenure",46,10.9
2018,Manitoba,Provinces and territories,,Propriétaire,46,5.4
2018,Manitoba,Provinces and territories,,Owner who is a first-time homebuyer,46,6.1
2018,Manitoba,Provinces and territories,,Owner who is not a first-time homebuyer,46,5.3
2018,Manitoba,Provinces and territories,,Locataire,46,24.0
2018,Manitoba,Provinces and territories,,Renter not in social and affordable housing,46,21.0
2018,Manitoba,Provinces and territories,,Renter in social and affordable housing,46,39.0
2018,Saskatchewan,Provinces and territories,,"Total, tenure",47,11.7
2018,Saskatchewan,Provinces and territories,,Propriétaire,47,6.5
2018,Saskatchewan,Provinces and territories,,Owner who is a first-time homebuyer,47,7.1
2018,Saskatchewan,Provinces and territories,,Owner who is not a first-time homebuyer,47,6.4
2018,Saskatchewan,Provinces and territories,,Locataire,47,27.0
2018,Saskatchewan,Provinces and territories,,Renter not in social and affordable housing,47,19.8
2018,Saskatchewan,Provinces and territories,,Renter in social and affordable housing,47,51.0
2018,Alberta,Provinces and territories,,"Total, tenure",48,10.2
2018,Alberta,Provinces and territories,,Propriétaire,48,6.6
2018,Alberta,Provinces and territories,,Owner who is a first-time homebuyer,48,4.7
2018,Alberta,Provinces and territories,,Owner who is not a first-time homebuyer,48,6.9
2018,Alberta,Provinces and territories,,Locataire,48,20.0
2018,Alberta,Provinces and territories,,Renter not in social and affordable housing,48,17.5
2018,Alberta,Provinces and territories,,Renter in social and affordable housing,48,45.0
2018,Colombie-Britannique,Provinces and territories,,"Total, tenure",59,14.8
2018,Colombie-Britannique,Provinces and territories,,Propriétaire,59,8.7
2018,Colombie-Britannique,Provinces and territories,,Owner who is a first-time homebuyer,59,12.1
2018,Colombie-Britannique,Provinces and territories,,Owner who is not a first-time homebuyer,59,8.2
2018,Colombie-Britannique,Provinces and territories,,Locataire,59,27.0
2018,Colombie-Britannique,Provinces and territories,,Renter not in social and affordable housing,59,25.0
2018,Colombie-Britannique,Provinces and territories,,Renter in social and affordable housing,59,46.0
2018,Yukon,Provinces and territories,,"Total, tenure",60,11.0
2018,Yukon,Provinces and territories,,Propriétaire,60,3.3
2018,Yukon,Provinces and territories,,Owner who is not a first-time homebuyer,60,3.9
2018,Yukon,Provinces and territories,,Locataire,60,25.0
2018,Yukon,Provinces and territories,,Renter not in social and affordable housing,60,22.0
2018,Yukon,Provinces and territories,,Renter in social and affordable housing,60,34.0
2018,Territoires du Nord-Ouest,Provinces and territories,,"Total, tenure",61,15.9
2018,Territoires du Nord-Ouest,Provinces and territories,,Propriétaire,61,12.2
2018,Territoires du Nord-Ouest,Provinces and territories,,Owner who is not a first-time homebuyer,61,13.6
2018,Territoires du Nord-Ouest,Provinces and territories,,Locataire,61,20.0
2018,Territoires du Nord-Ouest,Provinces and territories,,Renter not in social and affordable housing,61,15.6
2018,Territoires du Nord-Ouest,Provinces and territories,,Renter in social and affordable housing,61,28.0
2018,Nunavut,Provinces and territories,,"Total, tenure",62,46.0
2018,Nunavut,Provinces and territories,,Propriétaire,62,27.0
2018,Nunavut,Provinces and territories,,Owner who is a first-time homebuyer,62,21.0
2018,Nunavut,Provinces and territories,,Owner who is not a first-time homebuyer,62,28.0
2018,Nunavut,Provinces and territories,,Locataire,62,51.0
2018,Nunavut,Provinces and territories,,Renter not in social and affordable housing,62,15.9
2018,Nunavut,Provinces and territories,,Renter in social and affordable housing,62,64.0
2021,Terre-Neuve-et-Labrador,Provinces and territories,,"Total, tenure",10,7.4
2021,Terre-Neuve-et-Labrador,Provinces and territories,,Propriétaire,10,4.0
2021,Terre-Neuve-et-Labrador,Provinces and territories,,Owner who is a first-time homebuyer,10,1.5
2021,Terre-Neuve-et-Labrador,Provinces and territories,,Owner who is not a first-time homebuyer,10,4.2
2021,Terre-Neuve-et-Labrador,Provinces and territories,,Locataire,10,18.9
2021,Terre-Neuve-et-Labrador,Provinces and territories,,Renter not in social and affordable housing,10,15.7
2021,Terre-Neuve-et-Labrador,Provinces and territories,,Renter in social and affordable housing,10,33.0
2021,Île-du-Prince-Édouard,Provinces and territories,,"Total, tenure",11,7.2
2021,Île-du-Prince-Édouard,Provinces and territories,,Propriétaire,11,4.0
2021,Île-du-Prince-Édouard,Provinces and territories,,Owner who is a first-time homebuyer,11,4.0
2021,Île-du-Prince-Édouard,Provinces and territories,,Owner who is not a first-time homebuyer,11,4.0
2021,Île-du-Prince-Édouard,Provinces and territories,,Locataire,11,14.5
2021,Île-du-Prince-Édouard,Provinces and territories,,Renter not in social and affordable housing,11,13.2
2021,Île-du-Prince-Édouard,Provinces and territories,,Renter in social and affordable housing,11,19.6
2021,Nouvelle-Écosse,Provinces and territories,,"Total, tenure",12,9.9
2021,Nouvelle-Écosse,Provinces and territories,,Propriétaire,12,5.9
2021,Nouvelle-Écosse,Provinces and territories,,Owner who is a first-time homebuyer,12,8.0
2021,Nouvelle-Écosse,Provinces and territories,,Owner who is not a first-time homebuyer,12,5.7
2021,Nouvelle-Écosse,Provinces and territories,,Locataire,12,18.7
2021,Nouvelle-Écosse,Provinces and territories,,Renter not in social and affordable housing,12,16.5
2021,Nouvelle-Écosse,Provinces and territories,,Renter in social and affordable housing,12,34.0
2021,Nouveau-Brunswick,Provinces and territories,,"Total, tenure",13,5.9
2021,Nouveau-Brunswick,Provinces and territories,,Propriétaire,13,3.8
2021,Nouveau-Brunswick,Provinces and territories,,Owner who is a first-time homebuyer,13,3.2
2021,Nouveau-Brunswick,Provinces and territories,,Owner who is not a first-time homebuyer,13,3.9
2021,Nouveau-Brunswick,Provinces and territories,,Locataire,13,12.3
2021,Nouveau-Brunswick,Provinces and territories,,Renter not in social and affordable housing,13,11.1
2021,Nouveau-Brunswick,Provinces and territories,,Renter in social and affordable housing,13,19.9
2021,Québec,Provinces and territories,,"Total, tenure",24,6.0
2021,Québec,Provinces and territories,,Propriétaire,24,2.5
2021,Québec,Provinces and territories,,Owner who is a first-time homebuyer,24,1.6
2021,Québec,Provinces and territories,,Owner who is not a first-time homebuyer,24,2.6
2021,Québec,Provinces and territories,,Locataire,24,11.5
2021,Québec,Provinces and territories,,Renter not in social and affordable housing,24,11.5
2021,Québec,Provinces and territories,,Renter in social and affordable housing,24,12.1
2021,Ontario,Provinces and territories,,"Total, tenure",35,11.9
2021,Ontario,Provinces and territories,,Propriétaire,35,5.9
2021,Ontario,Provinces and territories,,Owner who is a first-time homebuyer,35,2.9
2021,Ontario,Provinces and territories,,Owner who is not a first-time homebuyer,35,6.4
2021,Ontario,Provinces and territories,,Locataire,35,25.0
2021,Ontario,Provinces and territories,,Renter not in social and affordable housing,35,25.0
2021,Ontario,Provinces and territories,,Renter in social and affordable housing,35,29.0
2021,Manitoba,Provinces and territories,,"Total, tenure",46,10.3
2021,Manitoba,Provinces and territories,,Propriétaire,46,5.2
2021,Manitoba,Provinces and territories,,Owner who is a first-time homebuyer,46,5.2
2021,Manitoba,Provinces and territories,,Owner who is not a first-time homebuyer,46,5.1
2021,Manitoba,Provinces and territories,,Locataire,46,23.0
2021,Manitoba,Provinces and territories,,Renter not in social and affordable housing,46,20.0
2021,Manitoba,Provinces and territories,,Renter in social and affordable housing,46,33.0
2021,Saskatchewan,Provinces and territories,,"Total, tenure",47,10.3
2021,Saskatchewan,Provinces and territories,,Propriétaire,47,6.6
2021,Saskatchewan,Provinces and territories,,Owner who is a first-time homebuyer,47,3.7
2021,Saskatchewan,Provinces and territories,,Owner who is not a first-time homebuyer,47,7.0
2021,Saskatchewan,Provinces and territories,,Locataire,47,21.0
2021,Saskatchewan,Provinces and territories,,Renter not in social and affordable housing,47,16.8
2021,Saskatchewan,Provinces and territories,,Renter in social and affordable housing,47,36.0
2021,Alberta,Provinces and territories,,"Total, tenure",48,9.0
2021,Alberta,Provinces and territories,,Propriétaire,48,4.3
2021,Alberta,Provinces and territories,,Owner who is a first-time homebuyer,48,6.5
2021,Alberta,Provinces and territories,,Owner who is not a first-time homebuyer,48,3.9
2021,Alberta,Provinces and territories,,Locataire,48,21.0
2021,Alberta,Provinces and territories,,Renter not in social and affordable housing,48,19.4
2021,Alberta,Provinces and territories,,Renter in social and affordable housing,48,38.0
2021,Colombie-Britannique,Provinces and territories,,"Total, tenure",59,12.5
2021,Colombie-Britannique,Provinces and territories,,Propriétaire,59,7.7
2021,Colombie-Britannique,Provinces and territories,,Owner who is a first-time homebuyer,59,8.9
2021,Colombie-Britannique,Provinces and territories,,Owner who is not a first-time homebuyer,59,7.6
2021,Colombie-Britannique,Provinces and territories,,Locataire,59,22.0
2021,Colombie-Britannique,Provinces and territories,,Renter not in social and affordable housing,59,21.0
2021,Colombie-Britannique,Provinces and territories,,Renter in social and affordable housing,59,33.0
2018,Canada,Census metropolitan areas,"Total, régions métropolitaines de recensement","Total, tenure",,12.3
2018,Canada,Census metropolitan areas,"Total, régions métropolitaines de recensement",Propriétaire,,6.7
2018,Canada,Census metropolitan areas,"Total, régions métropolitaines de recensement",Owner who is a first-time homebuyer,,7.7
2018,Canada,Census metropolitan areas,"Total, régions métropolitaines de recensement",Owner who is not a first-time homebuyer,,6.6
2018,Canada,Census metropolitan areas,"Total, régions métropolitaines de recensement",Locataire,,23.0
2018,Canada,Census metropolitan areas,"Total, régions métropolitaines de recensement",Renter not in social and affordable housing,,22.0
2018,Canada,Census metropolitan areas,"Total, régions métropolitaines de recensement",Renter in social and affordable housing,,32.0
2018,Terre-Neuve-et-Labrador,Census metropolitan areas,"St. John's, Terre-Neuve-et-Labrador","Total, tenure",10,9.6
2018,Terre-Neuve-et-Labrador,Census metropolitan areas,"St. John's, Terre-Neuve-et-Labrador",Propriétaire,10,3.5
2018,Terre-Neuve-et-Labrador,Census metropolitan areas,"St. John's, Terre-Neuve-et-Labrador",Owner who is not a first-time homebuyer,10,3.9
2018,Terre-Neuve-et-Labrador,Census metropolitan areas,"St. John's, Terre-Neuve-et-Labrador",Locataire,10,26.0
2018,Terre-Neuve-et-Labrador,Census metropolitan areas,"St. John's, Terre-Neuve-et-Labrador",Renter not in social and affordable housing,10,23.0
2018,Terre-Neuve-et-Labrador,Census metropolitan areas,"St. John's, Terre-Neuve-et-Labrador",Renter in social and affordable housing,10,38.0
2018,Nouvelle-Écosse,Census metropolitan areas,"Halifax, Nouvelle-Écosse","Total, tenure",12,12.7
2018,Nouvelle-Écosse,Census metropolitan areas,"Halifax, Nouvelle-Écosse",Propriétaire,12,4.9
2018,Nouvelle-Écosse,Census metropolitan areas,"Halifax, Nouvelle-Écosse",Owner who is a first-time homebuyer,12,3.3
2018,Nouvelle-Écosse,Census metropolitan areas,"Halifax, Nouvelle-Écosse",Owner who is not a first-time homebuyer,12,5.1
2018,Nouvelle-Écosse,Census metropolitan areas,"Halifax, Nouvelle-Écosse",Locataire,12,25.0
2018,Nouvelle-Écosse,Census metropolitan areas,"Halifax, Nouvelle-Écosse",Renter not in social and affordable housing,12,23.0
2018,Nouvelle-Écosse,Census metropolitan areas,"Halifax, Nouvelle-Écosse",Renter in social and affordable housing,12,44.0
2018,Nouveau-Brunswick,Census metropolitan areas,"Moncton, Nouveau-Brunswick","Total, tenure",13,8.5
2018,Nouveau-Brunswick,Census metropolitan areas,"Moncton, Nouveau-Brunswick",Propriétaire,13,3.5
2018,Nouveau-Brunswick,Census metropolitan areas,"Moncton, Nouveau-Brunswick",Owner who is not a first-time homebuyer,13,4.2
2018,Nouveau-Brunswick,Census metropolitan areas,"Moncton, Nouveau-Brunswick",Locataire,13,20.0
2018,Nouveau-Brunswick,Census metropolitan areas,"Moncton, Nouveau-Brunswick",Renter not in social and affordable housing,13,18.5
2018,Nouveau-Brunswick,Census metropolitan areas,"Moncton, Nouveau-Brunswick",Renter in social and affordable housing,13,31.0
2018,Nouveau-Brunswick,Census metropolitan areas,"Saint John, Nouveau-Brunswick","Total, tenure",13,6.5
2018,Nouveau-Brunswick,Census metropolitan areas,"Saint John, Nouveau-Brunswick",Propriétaire,13,3.2
2018,Nouveau-Brunswick,Census metropolitan areas,"Saint John, Nouveau-Brunswick",Owner who is not a first-time homebuyer,13,3.6
2018,Nouveau-Brunswick,Census metropolitan areas,"Saint John, Nouveau-Brunswick",Locataire,13,14.5
2018,Nouveau-Brunswick,Census metropolitan areas,"Saint John, Nouveau-Brunswick",Renter not in social and affordable housing,13,11.6
2018,Nouveau-Brunswick,Census metropolitan areas,"Saint John, Nouveau-Brunswick",Renter in social and affordable housing,13,31.0
2018,Québec,Census metropolitan areas,"Québec, Québec","Total, tenure",24,5.2
2018,Québec,Census metropolitan areas,"Québec, Québec",Propriétaire,24,1.2
2018,Québec,Census metropolitan areas,"Québec, Québec",Owner who is not a first-time homebuyer,24,1.3
2018,Québec,Census metropolitan areas,"Québec, Québec",Locataire,24,11.6
2018,Québec,Census metropolitan areas,"Québec, Québec",Renter not in social and affordable housing,24,11.2
2018,Québec,Census metropolitan areas,"Québec, Québec",Renter in social and affordable housing,24,15.1
2018,Québec,Census metropolitan areas,"Montréal, Québec","Total, tenure",24,9.1
2018,Québec,Census metropolitan areas,"Montréal, Québec",Propriétaire,24,2.0
2018,Québec,Census metropolitan areas,"Montréal, Québec",Owner who is not a first-time homebuyer,24,2.1
2018,Québec,Census metropolitan areas,"Montréal, Québec",Locataire,24,18.3
2018,Québec,Census metropolitan areas,"Montréal, Québec",Renter not in social and affordable housing,24,18.4
2018,Québec,Census metropolitan areas,"Montréal, Québec",Renter in social and affordable housing,24,17.2
2018,Ontario/Quebec,Census metropolitan areas,"Ottawa-Gatineau, Ontario/Québec","Total, tenure",,8.5
2018,Ontario/Quebec,Census metropolitan areas,"Ottawa-Gatineau, Ontario/Québec",Propriétaire,,3.0
2018,Ontario/Quebec,Census metropolitan areas,"Ottawa-Gatineau, Ontario/Québec",Owner who is a first-time homebuyer,,6.0
2018,Ontario/Quebec,Census metropolitan areas,"Ottawa-Gatineau, Ontario/Québec",Owner who is not a first-time homebuyer,,2.6
2018,Ontario/Quebec,Census metropolitan areas,"Ottawa-Gatineau, Ontario/Québec",Locataire,,19.2
2018,Ontario/Quebec,Census metropolitan areas,"Ottawa-Gatineau, Ontario/Québec",Renter not in social and affordable housing,,17.8
2018,Ontario/Quebec,Census metropolitan areas,"Ottawa-Gatineau, Ontario/Québec",Renter in social and affordable housing,,28.0
2018,Ontario,Census metropolitan areas,"Toronto, Ontario","Total, tenure",35,18.2
2018,Ontario,Census metropolitan areas,"Toronto, Ontario",Propriétaire,35,12.8
2018,Ontario,Census metropolitan areas,"Toronto, Ontario",Owner who is a first-time homebuyer,35,14.0
2018,Ontario,Census metropolitan areas,"Toronto, Ontario",Owner who is not a first-time homebuyer,35,12.7
2018,Ontario,Census metropolitan areas,"Toronto, Ontario",Locataire,35,30.0
2018,Ontario,Census metropolitan areas,"Toronto, Ontario",Renter not in social and affordable housing,35,29.0
2018,Ontario,Census metropolitan areas,"Toronto, Ontario",Renter in social and affordable housing,35,33.0
2018,Ontario,Census metropolitan areas,"Hamilton, Ontario","Total, tenure",35,10.8
2018,Ontario,Census metropolitan areas,"Hamilton, Ontario",Propriétaire,35,3.5
2018,Ontario,Census metropolitan areas,"Hamilton, Ontario",Owner who is a first-time homebuyer,35,3.4
2018,Ontario,Census metropolitan areas,"Hamilton, Ontario",Owner who is not a first-time homebuyer,35,3.5
2018,Ontario,Census metropolitan areas,"Hamilton, Ontario",Locataire,35,29.0
2018,Ontario,Census metropolitan areas,"Hamilton, Ontario",Renter not in social and affordable housing,35,29.0
2018,Ontario,Census metropolitan areas,"Hamilton, Ontario",Renter in social and affordable housing,35,33.0
2018,Ontario,Census metropolitan areas,"Kitchener-Cambridge-Waterloo, Ontario","Total, tenure",35,9.3
2018,Ontario,Census metropolitan areas,"Kitchener-Cambridge-Waterloo, Ontario",Propriétaire,35,4.8
2018,Ontario,Census metropolitan areas,"Kitchener-Cambridge-Waterloo, Ontario",Owner who is a first-time homebuyer,35,2.8
2018,Ontario,Census metropolitan areas,"Kitchener-Cambridge-Waterloo, Ontario",Owner who is not a first-time homebuyer,35,5.1
2018,Ontario,Census metropolitan areas,"Kitchener-Cambridge-Waterloo, Ontario",Locataire,35,19.0
2018,Ontario,Census metropolitan areas,"Kitchener-Cambridge-Waterloo, Ontario",Renter not in social and affordable housing,35,18.3
2018,Ontario,Census metropolitan areas,"Kitchener-Cambridge-Waterloo, Ontario",Renter in social and affordable housing,35,23.0
2018,Manitoba,Census metropolitan areas,"Winnipeg, Manitoba","Total, tenure",46,11.7
2018,Manitoba,Census metropolitan areas,"Winnipeg, Manitoba",Propriétaire,46,5.0
2018,Manitoba,Census metropolitan areas,"Winnipeg, Manitoba",Owner who is a first-time homebuyer,46,8.9
2018,Manitoba,Census metropolitan areas,"Winnipeg, Manitoba",Owner who is not a first-time homebuyer,46,4.5
2018,Manitoba,Census metropolitan areas,"Winnipeg, Manitoba",Locataire,46,26.0
2018,Manitoba,Census metropolitan areas,"Winnipeg, Manitoba",Renter not in social and affordable housing,46,22.0
2018,Manitoba,Census metropolitan areas,"Winnipeg, Manitoba",Renter in social and affordable housing,46,44.0
2018,Saskatchewan,Census metropolitan areas,"Regina, Saskatchewan","Total, tenure",47,11.3
2018,Saskatchewan,Census metropolitan areas,"Regina, Saskatchewan",Propriétaire,47,4.7
2018,Saskatchewan,Census metropolitan areas,"Regina, Saskatchewan",Owner who is a first-time homebuyer,47,5.6
2018,Saskatchewan,Census metropolitan areas,"Regina, Saskatchewan",Owner who is not a first-time homebuyer,47,4.5
2018,Saskatchewan,Census metropolitan areas,"Regina, Saskatchewan",Locataire,47,28.0
2018,Saskatchewan,Census metropolitan areas,"Regina, Saskatchewan",Renter not in social and affordable housing,47,20.0
2018,Saskatchewan,Census metropolitan areas,"Regina, Saskatchewan",Renter in social and affordable housing,47,57.0
2018,Saskatchewan,Census metropolitan areas,"Saskatoon, Saskatchewan","Total, tenure",47,10.3
2018,Saskatchewan,Census metropolitan areas,"Saskatoon, Saskatchewan",Propriétaire,47,4.3
2018,Saskatchewan,Census metropolitan areas,"Saskatoon, Saskatchewan",Owner who is a first-time homebuyer,47,6.5
2018,Saskatchewan,Census metropolitan areas,"Saskatoon, Saskatchewan",Owner who is not a first-time homebuyer,47,3.9
2018,Saskatchewan,Census metropolitan areas,"Saskatoon, Saskatchewan",Locataire,47,25.0
2018,Saskatchewan,Census metropolitan areas,"Saskatoon, Saskatchewan",Renter not in social and affordable housing,47,20.0
2018,Saskatchewan,Census metropolitan areas,"Saskatoon, Saskatchewan",Renter in social and affordable housing,47,50.0
2018,Alberta,Census metropolitan areas,"Lethbridge, Alberta","Total, tenure",48,8.7
2018,Alberta,Census metropolitan areas,"Lethbridge, Alberta",Propriétaire,48,4.3
2018,Alberta,Census metropolitan areas,"Lethbridge, Alberta",Owner who is a first-time homebuyer,48,1.3
2018,Alberta,Census metropolitan areas,"Lethbridge, Alberta",Owner who is not a first-time homebuyer,48,4.8
2018,Alberta,Census metropolitan areas,"Lethbridge, Alberta",Locataire,48,19.5
2018,Alberta,Census metropolitan areas,"Lethbridge, Alberta",Renter not in social and affordable housing,48,16.0
2018,Alberta,Census metropolitan areas,"Lethbridge, Alberta",Renter in social and affordable housing,48,48.0
2018,Alberta,Census metropolitan areas,"Calgary, Alberta","Total, tenure",48,9.9
2018,Alberta,Census metropolitan areas,"Calgary, Alberta",Propriétaire,48,5.7
2018,Alberta,Census metropolitan areas,"Calgary, Alberta",Owner who is a first-time homebuyer,48,3.1
2018,Alberta,Census metropolitan areas,"Calgary, Alberta",Owner who is not a first-time homebuyer,48,6.2
2018,Alberta,Census metropolitan areas,"Calgary, Alberta",Locataire,48,22.0
2018,Alberta,Census metropolitan areas,"Calgary, Alberta",Renter not in social and affordable housing,48,19.3
2018,Alberta,Census metropolitan areas,"Calgary, Alberta",Renter in social and affordable housing,48,49.0
2018,Alberta,Census metropolitan areas,"Edmonton, Alberta","Total, tenure",48,11.4
2018,Alberta,Census metropolitan areas,"Edmonton, Alberta",Propriétaire,48,7.2
2018,Alberta,Census metropolitan areas,"Edmonton, Alberta",Owner who is a first-time homebuyer,48,7.0
2018,Alberta,Census metropolitan areas,"Edmonton, Alberta",Owner who is not a first-time homebuyer,48,7.3
2018,Alberta,Census metropolitan areas,"Edmonton, Alberta",Locataire,48,22.0
2018,Alberta,Census metropolitan areas,"Edmonton, Alberta",Renter not in social and affordable housing,48,18.6
2018,Alberta,Census metropolitan areas,"Edmonton, Alberta",Renter in social and affordable housing,48,48.0
2018,Colombie-Britannique,Census metropolitan areas,"Vancouver, Colombie-Britannique","Total, tenure",59,17.8
2018,Colombie-Britannique,Census metropolitan areas,"Vancouver, Colombie-Britannique",Propriétaire,59,11.8
2018,Colombie-Britannique,Census metropolitan areas,"Vancouver, Colombie-Britannique",Owner who is a first-time homebuyer,59,21.0
2018,Colombie-Britannique,Census metropolitan areas,"Vancouver, Colombie-Britannique",Owner who is not a first-time homebuyer,59,10.3
2018,Colombie-Britannique,Census metropolitan areas,"Vancouver, Colombie-Britannique",Locataire,59,28.0
2018,Colombie-Britannique,Census metropolitan areas,"Vancouver, Colombie-Britannique",Renter not in social and affordable housing,59,25.0
2018,Colombie-Britannique,Census metropolitan areas,"Vancouver, Colombie-Britannique",Renter in social and affordable housing,59,46.0
2018,Québec,Census metropolitan areas,"Autres régions métropolitaines de recensement, Québec","Total, tenure",24,4.3
2018,Québec,Census metropolitan areas,"Autres régions métropolitaines de recensement, Québec",Propriétaire,24,0.9
2018,Québec,Census metropolitan areas,"Autres régions métropolitaines de recensement, Québec",Owner who is not a first-time homebuyer,24,0.3
2018,Québec,Census metropolitan areas,"Autres régions métropolitaines de recensement, Québec",Locataire,24,8.7
2018,Québec,Census metropolitan areas,"Autres régions métropolitaines de recensement, Québec",Renter not in social and affordable housing,24,8.5
2018,Québec,Census metropolitan areas,"Autres régions métropolitaines de recensement, Québec",Renter in social and affordable housing,24,10.5
2018,Ontario,Census metropolitan areas,"Autres régions métropolitaines de recensement, Ontario","Total, tenure",35,10.6
2018,Ontario,Census metropolitan areas,"Autres régions métropolitaines de recensement, Ontario",Propriétaire,35,5.6
2018,Ontario,Census metropolitan areas,"Autres régions métropolitaines de recensement, Ontario",Owner who is a first-time homebuyer,35,4.7
2018,Ontario,Census metropolitan areas,"Autres régions métropolitaines de recensement, Ontario",Owner who is not a first-time homebuyer,35,5.7
2018,Ontario,Census metropolitan areas,"Autres régions métropolitaines de recensement, Ontario",Locataire,35,24.0
2018,Ontario,Census metropolitan areas,"Autres régions métropolitaines de recensement, Ontario",Renter not in social and affordable housing,35,23.0
2018,Ontario,Census metropolitan areas,"Autres régions métropolitaines de recensement, Ontario",Renter in social and affordable housing,35,26.0
2018,Colombie-Britannique,Census metropolitan areas,"Autres régions métropolitaines de recensement, Colombie-Britannique","Total, tenure",59,12.3
2018,Colombie-Britannique,Census metropolitan areas,"Autres régions métropolitaines de recensement, Colombie-Britannique",Propriétaire,59,5.5
2018,Colombie-Britannique,Census metropolitan areas,"Autres régions métropolitaines de recensement, Colombie-Britannique",Owner who is a first-time homebuyer,59,3.5
2018,Colombie-Britannique,Census metropolitan areas,"Autres régions métropolitaines de recensement, Colombie-Britannique",Owner who is not a first-time homebuyer,59,5.8
2018,Colombie-Britannique,Census metropolitan areas,"Autres régions métropolitaines de recensement, Colombie-Britannique",Locataire,59,26.0
2018,Colombie-Britannique,Census metropolitan areas,"Autres régions métropolitaines de recensement, Colombie-Britannique",Renter not in social and affordable housing,59,23.0
2018,Colombie-Britannique,Census metropolitan areas,"Autres régions métropolitaines de recensement, Colombie-Britannique",Renter in social and affordable housing,59,47.0
