Year,Géographie,Industries,Environmental management practices,GeoCode,Environmental protection activities,Value
2018,Canada,Extraction de pétrole et de gaz,Environmental voluntary agreements or programs,,,26.0
2018,Canada,Extraction de pétrole et de gaz,Green procurements policy or guidelines,,,6.9
2018,Canada,Extraction de pétrole et de gaz,Environmental supply chain management policy,,,5.8
2018,Canada,Extraction de pétrole et de gaz,New or improved environmental supply chain management policy,,,2.4
2018,Canada,Extraction de pétrole et de gaz,"Environmental incentive programs, grants, loans, or tax credits",,,28.7
2018,Canada,Extraction de pétrole et de gaz,Greenhouse gas emission inventory,,,60.2
2018,Canada,Extraction de pétrole et de gaz,Purchased carbon offset credits only or purchased more than sold,,,5.2
2018,Canada,Extraction de pétrole et de gaz,Redevances écologiques,,,5.1
2018,Canada,Extraction de pétrole et de gaz,Other environmental management practices,,,19.5
2018,Canada,Extraction minière et exploitation en carrière,Reported using one or more environmental management practices,,,93.3
2018,Canada,Extraction minière et exploitation en carrière,Environmental management system,,,84.4
2018,Canada,Extraction minière et exploitation en carrière,Pollution prevention plan,,,61.1
2018,Canada,Extraction minière et exploitation en carrière,Life cycle management,,,18.9
2018,Canada,Extraction minière et exploitation en carrière,ISO 14000 family certification,,,21.1
2018,Canada,Extraction minière et exploitation en carrière,Environmental voluntary agreements or programs,,,35.6
2018,Canada,Extraction minière et exploitation en carrière,Green procurements policy or guidelines,,,17.8
2018,Canada,Extraction minière et exploitation en carrière,Environmental supply chain management policy,,,18.9
2018,Canada,Extraction minière et exploitation en carrière,New or improved environmental supply chain management policy,,,15.6
2018,Canada,Extraction minière et exploitation en carrière,"Environmental incentive programs, grants, loans, or tax credits",,,18.9
2018,Canada,Extraction minière et exploitation en carrière,Greenhouse gas emission inventory,,,68.9
2018,Canada,Extraction minière et exploitation en carrière,Purchased carbon offset credits only or purchased more than sold,,,6.7
2018,Canada,Extraction minière et exploitation en carrière,Redevances écologiques,,,0.0
2018,Canada,Extraction minière et exploitation en carrière,Other environmental management practices,,,18.9
2018,Canada,"Production, transport et distribution d'électricité",Reported using one or more environmental management practices,,,74.9
2018,Canada,"Production, transport et distribution d'électricité",Environmental management system,,,53.0
2018,Canada,"Production, transport et distribution d'électricité",Pollution prevention plan,,,31.3
2018,Canada,"Production, transport et distribution d'électricité",Life cycle management,,,18.6
2018,Canada,"Production, transport et distribution d'électricité",ISO 14000 family certification,,,13.0
2018,Canada,"Production, transport et distribution d'électricité",Environmental voluntary agreements or programs,,,19.6
2018,Canada,"Production, transport et distribution d'électricité",Green procurements policy or guidelines,,,14.4
2018,Canada,"Production, transport et distribution d'électricité",Environmental supply chain management policy,,,14.8
2018,Canada,"Production, transport et distribution d'électricité",New or improved environmental supply chain management policy,,,6.8
2018,Canada,"Production, transport et distribution d'électricité","Environmental incentive programs, grants, loans, or tax credits",,,7.3
2018,Canada,"Production, transport et distribution d'électricité",Greenhouse gas emission inventory,,,50.0
2018,Canada,"Production, transport et distribution d'électricité",Purchased carbon offset credits only or purchased more than sold,,,6.2
2018,Canada,"Production, transport et distribution d'électricité",Redevances écologiques,,,7.9
2018,Canada,"Production, transport et distribution d'électricité",Other environmental management practices,,,17.1
2018,Canada,Distribution de gaz naturel,Reported using one or more environmental management practices,,,69.3
2018,Canada,Distribution de gaz naturel,Environmental management system,,,33.4
2018,Canada,Distribution de gaz naturel,Pollution prevention plan,,,16.7
2018,Canada,Distribution de gaz naturel,Life cycle management,,,16.7
2018,Canada,Distribution de gaz naturel,ISO 14000 family certification,,,
2018,Canada,Distribution de gaz naturel,Environmental voluntary agreements or programs,,,35.8
2018,Canada,Distribution de gaz naturel,Green procurements policy or guidelines,,,11.9
2018,Canada,Distribution de gaz naturel,Environmental supply chain management policy,,,0.0
2018,Canada,Distribution de gaz naturel,New or improved environmental supply chain management policy,,,0.0
2018,Canada,Distribution de gaz naturel,"Environmental incentive programs, grants, loans, or tax credits",,,9.6
2018,Canada,Distribution de gaz naturel,Greenhouse gas emission inventory,,,50.2
2018,Canada,Distribution de gaz naturel,Purchased carbon offset credits only or purchased more than sold,,,31.1
2018,Canada,Distribution de gaz naturel,Redevances écologiques,,,7.2
2018,Canada,Distribution de gaz naturel,Other environmental management practices,,,
2018,Canada,Fabrication d'aliments,Reported using one or more environmental management practices,,,56.5
2018,Canada,Fabrication d'aliments,Environmental management system,,,40.0
2018,Canada,Fabrication d'aliments,Pollution prevention plan,,,29.8
2018,Canada,Fabrication d'aliments,Life cycle management,,,3.5
2018,Canada,Fabrication d'aliments,ISO 14000 family certification,,,1.3
2018,Canada,Fabrication d'aliments,Environmental voluntary agreements or programs,,,10.7
2018,Canada,Fabrication d'aliments,Green procurements policy or guidelines,,,5.7
2018,Canada,Fabrication d'aliments,Environmental supply chain management policy,,,5.8
2018,Canada,Fabrication d'aliments,New or improved environmental supply chain management policy,,,4.4
2018,Canada,Fabrication d'aliments,"Environmental incentive programs, grants, loans, or tax credits",,,12.9
2018,Canada,Fabrication d'aliments,Greenhouse gas emission inventory,,,25.0
2018,Canada,Fabrication d'aliments,Purchased carbon offset credits only or purchased more than sold,,,1.0
2018,Canada,Fabrication d'aliments,Redevances écologiques,,,0.3
2018,Canada,Fabrication d'aliments,Other environmental management practices,,,12.5
2018,Canada,Fabrication de boissons et de produits du tabac,Reported using one or more environmental management practices,,,41.7
2018,Canada,Fabrication de boissons et de produits du tabac,Environmental management system,,,25.6
2018,Canada,Fabrication de boissons et de produits du tabac,Pollution prevention plan,,,24.4
2018,Canada,Fabrication de boissons et de produits du tabac,Life cycle management,,,14.6
2018,Canada,Fabrication de boissons et de produits du tabac,ISO 14000 family certification,,,14.5
2018,Canada,Fabrication de boissons et de produits du tabac,Environmental voluntary agreements or programs,,,4.6
2018,Canada,Fabrication de boissons et de produits du tabac,Green procurements policy or guidelines,,,14.3
2018,Canada,Fabrication de boissons et de produits du tabac,Environmental supply chain management policy,,,6.9
2018,Canada,Fabrication de boissons et de produits du tabac,New or improved environmental supply chain management policy,,,8.6
2018,Canada,Fabrication de boissons et de produits du tabac,"Environmental incentive programs, grants, loans, or tax credits",,,2.5
2018,Canada,Fabrication de boissons et de produits du tabac,Greenhouse gas emission inventory,,,22.8
2018,Canada,Fabrication de boissons et de produits du tabac,Purchased carbon offset credits only or purchased more than sold,,,
2018,Canada,Fabrication de boissons et de produits du tabac,Redevances écologiques,,,0.0
2018,Canada,Fabrication de boissons et de produits du tabac,Other environmental management practices,,,9.0
2018,Canada,Fabrication de produits en bois,Reported using one or more environmental management practices,,,42.1
2018,Canada,Fabrication de produits en bois,Environmental management system,,,21.5
2018,Canada,Fabrication de produits en bois,Pollution prevention plan,,,18.3
2018,Canada,Fabrication de produits en bois,Life cycle management,,,3.0
2018,Canada,Fabrication de produits en bois,ISO 14000 family certification,,,2.8
2018,Canada,Fabrication de produits en bois,Environmental voluntary agreements or programs,,,15.4
2018,Canada,Fabrication de produits en bois,Green procurements policy or guidelines,,,4.2
2018,Canada,Fabrication de produits en bois,Environmental supply chain management policy,,,8.4
2018,Canada,Fabrication de produits en bois,New or improved environmental supply chain management policy,,,3.2
2018,Canada,Fabrication de produits en bois,"Environmental incentive programs, grants, loans, or tax credits",,,11.5
2018,Canada,Fabrication de produits en bois,Greenhouse gas emission inventory,,,17.9
2018,Canada,Fabrication de produits en bois,Purchased carbon offset credits only or purchased more than sold,,,
2018,Canada,Fabrication de produits en bois,Redevances écologiques,,,4.6
2018,Canada,Fabrication de produits en bois,Other environmental management practices,,,9.4
2018,Canada,Fabrication du papier,Reported using one or more environmental management practices,,,77.4
2018,Canada,Fabrication du papier,Environmental management system,,,63.6
2018,Canada,Fabrication du papier,Pollution prevention plan,,,49.0
2018,Canada,Fabrication du papier,Life cycle management,,,27.8
2018,Canada,Fabrication du papier,ISO 14000 family certification,,,42.8
2018,Canada,Fabrication du papier,Environmental voluntary agreements or programs,,,46.5
2018,Canada,Fabrication du papier,Green procurements policy or guidelines,,,24.3
2018,Canada,Fabrication du papier,Environmental supply chain management policy,,,29.8
2018,Canada,Fabrication du papier,New or improved environmental supply chain management policy,,,16.0
2018,Canada,Fabrication du papier,"Environmental incentive programs, grants, loans, or tax credits",,,16.3
2018,Canada,Fabrication du papier,Greenhouse gas emission inventory,,,50.9
2018,Canada,Fabrication du papier,Purchased carbon offset credits only or purchased more than sold,,,6.8
2018,Canada,Fabrication du papier,Redevances écologiques,,,2.6
2018,Canada,Fabrication du papier,Other environmental management practices,,,8.4
2018,Canada,Fabrication de produits du pétrole et du charbon,Reported using one or more environmental management practices,,,89.3
2018,Canada,Fabrication de produits du pétrole et du charbon,Environmental management system,,,75.0
2018,Canada,Fabrication de produits du pétrole et du charbon,Pollution prevention plan,,,60.6
2018,Canada,Fabrication de produits du pétrole et du charbon,Life cycle management,,,28.5
2018,Canada,Fabrication de produits du pétrole et du charbon,ISO 14000 family certification,,,53.6
2018,Canada,Fabrication de produits du pétrole et du charbon,Environmental voluntary agreements or programs,,,17.8
2018,Canada,Fabrication de produits du pétrole et du charbon,Green procurements policy or guidelines,,,0.0
2018,Canada,Fabrication de produits du pétrole et du charbon,Environmental supply chain management policy,,,17.8
2018,Canada,Fabrication de produits du pétrole et du charbon,New or improved environmental supply chain management policy,,,
2018,Canada,Fabrication de produits du pétrole et du charbon,"Environmental incentive programs, grants, loans, or tax credits",,,21.4
2018,Canada,Fabrication de produits du pétrole et du charbon,Greenhouse gas emission inventory,,,89.3
2018,Canada,Fabrication de produits du pétrole et du charbon,Purchased carbon offset credits only or purchased more than sold,,,39.2
2018,Canada,Fabrication de produits du pétrole et du charbon,Redevances écologiques,,,14.4
2018,Canada,Fabrication de produits du pétrole et du charbon,Other environmental management practices,,,25.0
2018,Canada,Fabrication de produits chimiques,Reported using one or more environmental management practices,,,65.8
2018,Canada,Fabrication de produits chimiques,Environmental management system,,,53.5
2018,Canada,Fabrication de produits chimiques,Pollution prevention plan,,,32.2
2018,Canada,Fabrication de produits chimiques,Life cycle management,,,15.2
2018,Canada,Fabrication de produits chimiques,ISO 14000 family certification,,,18.0
2018,Canada,Fabrication de produits chimiques,Environmental voluntary agreements or programs,,,16.8
2018,Canada,Fabrication de produits chimiques,Green procurements policy or guidelines,,,9.9
2018,Canada,Fabrication de produits chimiques,Environmental supply chain management policy,,,9.8
2018,Canada,Fabrication de produits chimiques,New or improved environmental supply chain management policy,,,4.1
2018,Canada,Fabrication de produits chimiques,"Environmental incentive programs, grants, loans, or tax credits",,,14.1
2018,Canada,Fabrication de produits chimiques,Greenhouse gas emission inventory,,,37.3
2018,Canada,Fabrication de produits chimiques,Purchased carbon offset credits only or purchased more than sold,,,2.9
2018,Canada,Fabrication de produits chimiques,Redevances écologiques,,,
2018,Canada,Fabrication de produits chimiques,Other environmental management practices,,,5.0
2018,Canada,Fabrication de produits minéraux non métalliques,Reported using one or more environmental management practices,,,59.8
2018,Canada,Fabrication de produits minéraux non métalliques,Environmental management system,,,43.4
2018,Canada,Fabrication de produits minéraux non métalliques,Pollution prevention plan,,,30.5
2018,Canada,Fabrication de produits minéraux non métalliques,Life cycle management,,,8.5
2018,Canada,Fabrication de produits minéraux non métalliques,ISO 14000 family certification,,,9.0
2018,Canada,Fabrication de produits minéraux non métalliques,Environmental voluntary agreements or programs,,,4.2
2018,Canada,Fabrication de produits minéraux non métalliques,Green procurements policy or guidelines,,,11.0
2018,Canada,Fabrication de produits minéraux non métalliques,Environmental supply chain management policy,,,13.3
2018,Canada,Fabrication de produits minéraux non métalliques,New or improved environmental supply chain management policy,,,4.6
2018,Canada,Fabrication de produits minéraux non métalliques,"Environmental incentive programs, grants, loans, or tax credits",,,8.7
2018,Canada,Fabrication de produits minéraux non métalliques,Greenhouse gas emission inventory,,,19.3
2018,Canada,Fabrication de produits minéraux non métalliques,Purchased carbon offset credits only or purchased more than sold,,,1.9
2018,Canada,Fabrication de produits minéraux non métalliques,Redevances écologiques,,,
2018,Canada,Fabrication de produits minéraux non métalliques,Other environmental management practices,,,3.2
2018,Canada,Première transformation des métaux,Reported using one or more environmental management practices,,,77.3
2018,Canada,Première transformation des métaux,Environmental management system,,,67.5
2018,Canada,Première transformation des métaux,Pollution prevention plan,,,64.2
2018,Canada,Première transformation des métaux,Life cycle management,,,26.5
2018,Canada,Première transformation des métaux,ISO 14000 family certification,,,53.9
2018,Canada,Première transformation des métaux,Environmental voluntary agreements or programs,,,28.2
2018,Canada,Première transformation des métaux,Green procurements policy or guidelines,,,21.1
2018,Canada,Première transformation des métaux,Environmental supply chain management policy,,,25.4
2018,Canada,Première transformation des métaux,New or improved environmental supply chain management policy,,,7.4
2018,Canada,Première transformation des métaux,"Environmental incentive programs, grants, loans, or tax credits",,,23.3
2018,Canada,Première transformation des métaux,Greenhouse gas emission inventory,,,64.3
2018,Canada,Première transformation des métaux,Purchased carbon offset credits only or purchased more than sold,,,7.2
2018,Canada,Première transformation des métaux,Redevances écologiques,,,7.2
2018,Canada,Première transformation des métaux,Other environmental management practices,,,11.5
2018,Canada,Fabrication de produits métalliques,Reported using one or more environmental management practices,,,27.1
2018,Canada,Fabrication de produits métalliques,Environmental management system,,,13.3
2018,Canada,Fabrication de produits métalliques,Pollution prevention plan,,,13.6
2018,Canada,Fabrication de produits métalliques,Life cycle management,,,3.6
2018,Canada,Fabrication de produits métalliques,ISO 14000 family certification,,,5.1
2018,Canada,Fabrication de produits métalliques,Environmental voluntary agreements or programs,,,1.9
2018,Canada,Fabrication de produits métalliques,Green procurements policy or guidelines,,,9.1
2018,Canada,Fabrication de produits métalliques,Environmental supply chain management policy,,,4.9
2018,Canada,Fabrication de produits métalliques,New or improved environmental supply chain management policy,,,1.8
2018,Canada,Fabrication de produits métalliques,"Environmental incentive programs, grants, loans, or tax credits",,,5.9
2018,Canada,Fabrication de produits métalliques,Greenhouse gas emission inventory,,,5.0
2018,Canada,Fabrication de produits métalliques,Purchased carbon offset credits only or purchased more than sold,,,
2018,Canada,Fabrication de produits métalliques,Redevances écologiques,,,0.0
2018,Canada,Fabrication de produits métalliques,Other environmental management practices,,,3.6
2018,Canada,Fabrication de matériel de transport,Reported using one or more environmental management practices,,,62.1
2018,Canada,Fabrication de matériel de transport,Environmental management system,,,45.6
2018,Canada,Fabrication de matériel de transport,Pollution prevention plan,,,38.3
2018,Canada,Fabrication de matériel de transport,Life cycle management,,,18.7
2018,Canada,Fabrication de matériel de transport,ISO 14000 family certification,,,39.1
2018,Canada,Fabrication de matériel de transport,Environmental voluntary agreements or programs,,,3.7
2018,Canada,Fabrication de matériel de transport,Green procurements policy or guidelines,,,20.2
2018,Canada,Fabrication de matériel de transport,Environmental supply chain management policy,,,15.9
2018,Canada,Fabrication de matériel de transport,New or improved environmental supply chain management policy,,,8.4
2018,Canada,Fabrication de matériel de transport,"Environmental incentive programs, grants, loans, or tax credits",,,12.3
2018,Canada,Fabrication de matériel de transport,Greenhouse gas emission inventory,,,28.7
2018,Canada,Fabrication de matériel de transport,Purchased carbon offset credits only or purchased more than sold,,,0.0
2018,Canada,Fabrication de matériel de transport,Redevances écologiques,,,0.0
2018,Canada,Fabrication de matériel de transport,Other environmental management practices,,,6.6
2018,Canada,Fabrication de produits en plastique et en caoutchouc,Reported using one or more environmental management practices,,,51.7
2018,Canada,Fabrication de produits en plastique et en caoutchouc,Environmental management system,,,26.6
2018,Canada,Fabrication de produits en plastique et en caoutchouc,Pollution prevention plan,,,26.9
2018,Canada,Fabrication de produits en plastique et en caoutchouc,Life cycle management,,,13.9
2018,Canada,Fabrication de produits en plastique et en caoutchouc,ISO 14000 family certification,,,15.4
2018,Canada,Fabrication de produits en plastique et en caoutchouc,Environmental voluntary agreements or programs,,,9.1
2018,Canada,Fabrication de produits en plastique et en caoutchouc,Green procurements policy or guidelines,,,14.6
2018,Canada,Fabrication de produits en plastique et en caoutchouc,Environmental supply chain management policy,,,11.6
2018,Canada,Fabrication de produits en plastique et en caoutchouc,New or improved environmental supply chain management policy,,,7.9
2018,Canada,Fabrication de produits en plastique et en caoutchouc,"Environmental incentive programs, grants, loans, or tax credits",,,12.4
2018,Canada,Fabrication de produits en plastique et en caoutchouc,Greenhouse gas emission inventory,,,16.6
2018,Canada,Fabrication de produits en plastique et en caoutchouc,Purchased carbon offset credits only or purchased more than sold,,,0.4
2018,Canada,Fabrication de produits en plastique et en caoutchouc,Redevances écologiques,,,
2018,Canada,Fabrication de produits en plastique et en caoutchouc,Other environmental management practices,,,6.5
2018,Canada,Fabrication de machines,Reported using one or more environmental management practices,,,30.0
2018,Canada,Fabrication de machines,Environmental management system,,,16.8
2018,Canada,Fabrication de machines,Pollution prevention plan,,,11.7
2018,Canada,Fabrication de machines,Life cycle management,,,3.2
2018,Canada,Fabrication de machines,ISO 14000 family certification,,,8.8
2018,Canada,Fabrication de machines,Environmental voluntary agreements or programs,,,0.7
2018,Canada,Fabrication de machines,Green procurements policy or guidelines,,,1.4
2018,Canada,Fabrication de machines,Environmental supply chain management policy,,,0.7
2018,Canada,Fabrication de machines,New or improved environmental supply chain management policy,,,0.6
2018,Canada,Fabrication de machines,"Environmental incentive programs, grants, loans, or tax credits",,,7.0
2018,Canada,Fabrication de machines,Greenhouse gas emission inventory,,,1.8
2018,Canada,Fabrication de machines,Purchased carbon offset credits only or purchased more than sold,,,
2018,Canada,Fabrication de machines,Redevances écologiques,,,0.0
2018,Canada,Fabrication de machines,Other environmental management practices,,,5.9
2018,Canada,Fabrication de meubles et de produits connexes,Reported using one or more environmental management practices,,,41.6
2018,Canada,Fabrication de meubles et de produits connexes,Environmental management system,,,9.2
2018,Canada,Fabrication de meubles et de produits connexes,Pollution prevention plan,,,21.0
2018,Canada,Fabrication de meubles et de produits connexes,Life cycle management,,,7.8
2018,Canada,Fabrication de meubles et de produits connexes,ISO 14000 family certification,,,2.3
2018,Canada,Fabrication de meubles et de produits connexes,Environmental voluntary agreements or programs,,,3.0
2018,Canada,Fabrication de meubles et de produits connexes,Green procurements policy or guidelines,,,22.1
2018,Canada,Fabrication de meubles et de produits connexes,Environmental supply chain management policy,,,6.5
2018,Canada,Fabrication de meubles et de produits connexes,New or improved environmental supply chain management policy,,,3.5
2018,Canada,Fabrication de meubles et de produits connexes,"Environmental incentive programs, grants, loans, or tax credits",,,1.5
2018,Canada,Fabrication de meubles et de produits connexes,Greenhouse gas emission inventory,,,2.3
2018,Canada,Fabrication de meubles et de produits connexes,Purchased carbon offset credits only or purchased more than sold,,,0.0
2018,Canada,Fabrication de meubles et de produits connexes,Redevances écologiques,,,
2018,Canada,Fabrication de meubles et de produits connexes,Other environmental management practices,,,2.8
2018,Canada,Autres industries de fabrication,Reported using one or more environmental management practices,,,29.3
2018,Canada,Autres industries de fabrication,Environmental management system,,,9.4
2018,Canada,Autres industries de fabrication,Pollution prevention plan,,,11.2
2018,Canada,Autres industries de fabrication,Life cycle management,,,8.1
2018,Canada,Autres industries de fabrication,ISO 14000 family certification,,,3.8
2018,Canada,Autres industries de fabrication,Environmental voluntary agreements or programs,,,1.9
2018,Canada,Autres industries de fabrication,Green procurements policy or guidelines,,,9.9
2018,Canada,Autres industries de fabrication,Environmental supply chain management policy,,,8.2
2018,Canada,Autres industries de fabrication,New or improved environmental supply chain management policy,,,4.2
2018,Canada,Autres industries de fabrication,"Environmental incentive programs, grants, loans, or tax credits",,,3.1
2018,Canada,Autres industries de fabrication,Greenhouse gas emission inventory,,,5.4
2018,Canada,Autres industries de fabrication,Purchased carbon offset credits only or purchased more than sold,,,0.1
2018,Canada,Autres industries de fabrication,Redevances écologiques,,,0.6
2018,Canada,Autres industries de fabrication,Other environmental management practices,,,5.5
2018,Canada,Transport par pipeline,Reported using one or more environmental management practices,,,93.4
2018,Canada,Transport par pipeline,Environmental management system,,,91.8
2018,Canada,Transport par pipeline,Pollution prevention plan,,,36.1
2018,Canada,Transport par pipeline,Life cycle management,,,14.8
2018,Canada,Transport par pipeline,ISO 14000 family certification,,,
2018,Canada,Transport par pipeline,Environmental voluntary agreements or programs,,,24.6
2018,Canada,Transport par pipeline,Green procurements policy or guidelines,,,0.0
2018,Canada,Transport par pipeline,Environmental supply chain management policy,,,0.0
2018,Canada,Transport par pipeline,New or improved environmental supply chain management policy,,,0.0
2018,Canada,Transport par pipeline,"Environmental incentive programs, grants, loans, or tax credits",,,23.0
2018,Canada,Transport par pipeline,Greenhouse gas emission inventory,,,80.3
2018,Canada,Transport par pipeline,Purchased carbon offset credits only or purchased more than sold,,,19.7
2018,Canada,Transport par pipeline,Redevances écologiques,,,
2018,Canada,Transport par pipeline,Other environmental management practices,,,27.9
2018,Provinces de l'Atlantique,"Total, industries",Reported using one or more environmental management practices,,,35.0
2018,Provinces de l'Atlantique,"Total, industries",Environmental management system,,,24.4
2018,Provinces de l'Atlantique,"Total, industries",Pollution prevention plan,,,16.9
2018,Provinces de l'Atlantique,"Total, industries",Life cycle management,,,3.9
2018,Provinces de l'Atlantique,"Total, industries",ISO 14000 family certification,,,3.3
2018,Provinces de l'Atlantique,"Total, industries",Environmental voluntary agreements or programs,,,5.1
2018,Provinces de l'Atlantique,"Total, industries",Green procurements policy or guidelines,,,5.2
2018,Provinces de l'Atlantique,"Total, industries",Environmental supply chain management policy,,,5.7
2018,Provinces de l'Atlantique,"Total, industries",New or improved environmental supply chain management policy,,,2.2
2018,Provinces de l'Atlantique,"Total, industries","Environmental incentive programs, grants, loans, or tax credits",,,5.9
2018,Provinces de l'Atlantique,"Total, industries",Greenhouse gas emission inventory,,,10.3
2018,Provinces de l'Atlantique,"Total, industries",Purchased carbon offset credits only or purchased more than sold,,,0.7
2018,Provinces de l'Atlantique,"Total, industries",Redevances écologiques,,,0.3
2018,Provinces de l'Atlantique,"Total, industries",Other environmental management practices,,,4.1
2018,Terre-Neuve-et-Labrador,"Total, industries",Reported using one or more environmental management practices,10,,28.8
2018,Terre-Neuve-et-Labrador,"Total, industries",Environmental management system,10,,20.0
2018,Terre-Neuve-et-Labrador,"Total, industries",Pollution prevention plan,10,,16.4
2018,Terre-Neuve-et-Labrador,"Total, industries",Life cycle management,10,,2.1
2018,Terre-Neuve-et-Labrador,"Total, industries",ISO 14000 family certification,10,,
2018,Terre-Neuve-et-Labrador,"Total, industries",Environmental voluntary agreements or programs,10,,3.3
2018,Terre-Neuve-et-Labrador,"Total, industries",Green procurements policy or guidelines,10,,6.0
2018,Terre-Neuve-et-Labrador,"Total, industries",Environmental supply chain management policy,10,,4.9
2018,Terre-Neuve-et-Labrador,"Total, industries",New or improved environmental supply chain management policy,10,,3.3
2018,Terre-Neuve-et-Labrador,"Total, industries","Environmental incentive programs, grants, loans, or tax credits",10,,7.0
2018,Terre-Neuve-et-Labrador,"Total, industries",Greenhouse gas emission inventory,10,,13.5
2018,Terre-Neuve-et-Labrador,"Total, industries",Purchased carbon offset credits only or purchased more than sold,10,,0.0
2018,Terre-Neuve-et-Labrador,"Total, industries",Redevances écologiques,10,,
2018,Terre-Neuve-et-Labrador,"Total, industries",Other environmental management practices,10,,4.4
2018,Île-du-Prince-Édouard,"Total, industries",Reported using one or more environmental management practices,11,,37.9
2018,Île-du-Prince-Édouard,"Total, industries",Environmental management system,11,,24.8
2018,Île-du-Prince-Édouard,"Total, industries",Pollution prevention plan,11,,17.2
2018,Île-du-Prince-Édouard,"Total, industries",Life cycle management,11,,9.1
2018,Île-du-Prince-Édouard,"Total, industries",ISO 14000 family certification,11,,5.1
2018,Île-du-Prince-Édouard,"Total, industries",Environmental voluntary agreements or programs,11,,
2018,Île-du-Prince-Édouard,"Total, industries",Green procurements policy or guidelines,11,,7.1
2018,Île-du-Prince-Édouard,"Total, industries",Environmental supply chain management policy,11,,7.1
2018,Île-du-Prince-Édouard,"Total, industries",New or improved environmental supply chain management policy,11,,
2018,Île-du-Prince-Édouard,"Total, industries","Environmental incentive programs, grants, loans, or tax credits",11,,4.0
2018,Île-du-Prince-Édouard,"Total, industries",Greenhouse gas emission inventory,11,,9.1
2018,Île-du-Prince-Édouard,"Total, industries",Purchased carbon offset credits only or purchased more than sold,11,,
2018,Île-du-Prince-Édouard,"Total, industries",Redevances écologiques,11,,
2018,Île-du-Prince-Édouard,"Total, industries",Other environmental management practices,11,,5.1
2018,Nouvelle-Écosse,"Total, industries",Reported using one or more environmental management practices,12,,37.3
2018,Nouvelle-Écosse,"Total, industries",Environmental management system,12,,26.3
2018,Nouvelle-Écosse,"Total, industries",Pollution prevention plan,12,,14.5
2018,Nouvelle-Écosse,"Total, industries",Life cycle management,12,,3.3
2018,Nouvelle-Écosse,"Total, industries",ISO 14000 family certification,12,,2.5
2018,Nouvelle-Écosse,"Total, industries",Environmental voluntary agreements or programs,12,,5.4
