Year,Units,Géographie,Offences,Âge,Sexe,Value
2016/2017,Adult criminal courts,Canada,Total offences,35 to 44 years,Sex unknown,142.0
2017/2018,Adult criminal courts,Canada,Total offences,35 to 44 years,Sex unknown,131.0
2018/2019,Adult criminal courts,Canada,Total offences,35 to 44 years,Sex unknown,134.0
2014/2015,Adult criminal courts,Canada,Total offences,45 to 54 years,Total,120.0
2015/2016,Adult criminal courts,Canada,Total offences,45 to 54 years,Total,123.0
2016/2017,Adult criminal courts,Canada,Total offences,45 to 54 years,Total,137.0
2017/2018,Adult criminal courts,Canada,Total offences,45 to 54 years,Total,139.0
2018/2019,Adult criminal courts,Canada,Total offences,45 to 54 years,Total,138.0
2014/2015,Adult criminal courts,Canada,Total offences,45 to 54 years,Hommes,121.0
2015/2016,Adult criminal courts,Canada,Total offences,45 to 54 years,Hommes,123.0
2016/2017,Adult criminal courts,Canada,Total offences,45 to 54 years,Hommes,139.0
2017/2018,Adult criminal courts,Canada,Total offences,45 to 54 years,Hommes,141.0
2018/2019,Adult criminal courts,Canada,Total offences,45 to 54 years,Hommes,140.0
2014/2015,Adult criminal courts,Canada,Total offences,45 to 54 years,Femmes,107.0
2015/2016,Adult criminal courts,Canada,Total offences,45 to 54 years,Femmes,118.0
2016/2017,Adult criminal courts,Canada,Total offences,45 to 54 years,Femmes,125.0
2017/2018,Adult criminal courts,Canada,Total offences,45 to 54 years,Femmes,129.0
2018/2019,Adult criminal courts,Canada,Total offences,45 to 54 years,Femmes,132.0
2014/2015,Adult criminal courts,Canada,Total offences,45 to 54 years,Sex unknown,147.0
2015/2016,Adult criminal courts,Canada,Total offences,45 to 54 years,Sex unknown,148.0
2016/2017,Adult criminal courts,Canada,Total offences,45 to 54 years,Sex unknown,160.0
2017/2018,Adult criminal courts,Canada,Total offences,45 to 54 years,Sex unknown,135.0
2018/2019,Adult criminal courts,Canada,Total offences,45 to 54 years,Sex unknown,140.0
2014/2015,Adult criminal courts,Canada,Total offences,55 years and over,Total,107.0
2015/2016,Adult criminal courts,Canada,Total offences,55 years and over,Total,113.0
2016/2017,Adult criminal courts,Canada,Total offences,55 years and over,Total,120.0
2017/2018,Adult criminal courts,Canada,Total offences,55 years and over,Total,120.0
2018/2019,Adult criminal courts,Canada,Total offences,55 years and over,Total,120.0
2014/2015,Adult criminal courts,Canada,Total offences,55 years and over,Hommes,111.0
2015/2016,Adult criminal courts,Canada,Total offences,55 years and over,Hommes,116.0
2016/2017,Adult criminal courts,Canada,Total offences,55 years and over,Hommes,124.0
2017/2018,Adult criminal courts,Canada,Total offences,55 years and over,Hommes,121.0
2018/2019,Adult criminal courts,Canada,Total offences,55 years and over,Hommes,122.0
2014/2015,Adult criminal courts,Canada,Total offences,55 years and over,Femmes,91.0
2015/2016,Adult criminal courts,Canada,Total offences,55 years and over,Femmes,85.0
2016/2017,Adult criminal courts,Canada,Total offences,55 years and over,Femmes,96.0
2017/2018,Adult criminal courts,Canada,Total offences,55 years and over,Femmes,99.0
2018/2019,Adult criminal courts,Canada,Total offences,55 years and over,Femmes,101.0
2014/2015,Adult criminal courts,Canada,Total offences,55 years and over,Sex unknown,138.0
2015/2016,Adult criminal courts,Canada,Total offences,55 years and over,Sex unknown,157.0
2016/2017,Adult criminal courts,Canada,Total offences,55 years and over,Sex unknown,162.0
2017/2018,Adult criminal courts,Canada,Total offences,55 years and over,Sex unknown,134.0
2018/2019,Adult criminal courts,Canada,Total offences,55 years and over,Sex unknown,124.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,Total,Total,122.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,Total,Total,125.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,Total,Total,134.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,Total,Total,136.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,Total,Total,138.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,Total,Hommes,124.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,Total,Hommes,126.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,Total,Hommes,136.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,Total,Hommes,140.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,Total,Hommes,141.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,Total,Femmes,108.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,Total,Femmes,113.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,Total,Femmes,122.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,Total,Femmes,126.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,Total,Femmes,129.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,Total,Company,171.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,Total,Company,98.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,Total,Company,196.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,Total,Company,121.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,Total,Company,129.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,Total,Sex unknown,149.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,Total,Sex unknown,148.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,Total,Sex unknown,150.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,Total,Sex unknown,139.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,Total,Sex unknown,136.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Total,129.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Total,132.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Total,143.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Total,148.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Total,151.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Hommes,132.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Hommes,134.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Hommes,148.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Hommes,153.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Hommes,156.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Femmes,113.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Femmes,113.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Femmes,127.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Femmes,132.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Femmes,134.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Sex unknown,155.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Sex unknown,150.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Sex unknown,159.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Sex unknown,151.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Sex unknown,150.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Total,120.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Total,122.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Total,131.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Total,133.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Total,135.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Hommes,120.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Hommes,123.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Hommes,132.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Hommes,134.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Hommes,137.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Femmes,109.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Femmes,114.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Femmes,125.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Femmes,127.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Femmes,133.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Sex unknown,145.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Sex unknown,145.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Sex unknown,145.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Sex unknown,133.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Sex unknown,134.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Total,122.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Total,124.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Total,132.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Total,134.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Total,134.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Hommes,122.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Hommes,123.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Hommes,134.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Hommes,135.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Hommes,135.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Femmes,113.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Femmes,116.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Femmes,125.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Femmes,127.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Femmes,130.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Sex unknown,151.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Sex unknown,152.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Sex unknown,139.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Sex unknown,131.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Sex unknown,134.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Total,120.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Total,123.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Total,135.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Total,140.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Total,140.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Hommes,123.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Hommes,124.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Hommes,139.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Hommes,143.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Hommes,141.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Femmes,105.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Femmes,113.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Femmes,120.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Femmes,127.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Femmes,129.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Sex unknown,149.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Sex unknown,147.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Sex unknown,156.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Sex unknown,135.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Sex unknown,141.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Total,113.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Total,114.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Total,124.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Total,126.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Total,126.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Hommes,117.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Hommes,120.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Hommes,128.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Hommes,131.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Hommes,131.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Femmes,86.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Femmes,83.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Femmes,93.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Femmes,99.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Femmes,102.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Sex unknown,148.0
2015/2016,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Sex unknown,159.0
2016/2017,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Sex unknown,162.0
2017/2018,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Sex unknown,143.0
2018/2019,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Sex unknown,127.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,Total,Total,174.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,Total,Total,173.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,Total,Total,183.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,Total,Total,183.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,Total,Total,178.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,Total,Hommes,178.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,Total,Hommes,177.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,Total,Hommes,189.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,Total,Hommes,190.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,Total,Hommes,184.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,Total,Femmes,143.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,Total,Femmes,145.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,Total,Femmes,155.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,Total,Femmes,154.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,Total,Femmes,155.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,Total,Company,247.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,Total,Company,97.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,Total,Company,419.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,Total,Company,479.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,Total,Company,162.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,Total,Sex unknown,199.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,Total,Sex unknown,198.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,Total,Sex unknown,190.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,Total,Sex unknown,180.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,Total,Sex unknown,175.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Total,194.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Total,192.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Total,206.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Total,206.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Total,203.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Hommes,203.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Hommes,200.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Hommes,218.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Hommes,217.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Hommes,216.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Femmes,157.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Femmes,154.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Femmes,167.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Femmes,172.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Femmes,163.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Sex unknown,220.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Sex unknown,221.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Sex unknown,204.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Sex unknown,199.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,18 to 24 years,Sex unknown,194.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Total,171.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Total,172.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Total,179.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Total,181.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Total,178.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Hommes,176.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Hommes,176.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Hommes,184.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Hommes,189.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Hommes,185.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Femmes,142.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Femmes,148.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Femmes,155.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Femmes,154.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Femmes,157.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Sex unknown,197.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Sex unknown,198.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Sex unknown,180.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Sex unknown,175.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,25 to 34 years,Sex unknown,172.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Total,169.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Total,169.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Total,176.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Total,177.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Total,170.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Hommes,173.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Hommes,172.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Hommes,182.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Hommes,185.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Hommes,175.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Femmes,142.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Femmes,145.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Femmes,155.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Femmes,147.0
2018/2019,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Femmes,151.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Sex unknown,194.0
2015/2016,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Sex unknown,192.0
2016/2017,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Sex unknown,186.0
2017/2018,Adult criminal courts,Canada,Crimes against the person,35 to 44 years,Sex unknown,165.0
