Year,Units,Géographie,Catégorie d'utilisation des sols,Qualité de l'eau,Value
2016-2018,Percentage,Océan Atlantique,Foresterie,Excellente,2
2016-2018,Percentage,Océan Atlantique,Foresterie,Bonne,18
2016-2018,Percentage,Océan Atlantique,Foresterie,Satisfaisante,9
2016-2018,Percentage,Océan Atlantique,Foresterie,Douteuse,2
2016-2018,Percentage,Océan Atlantique,Foresterie,Mauvaise,0
2016-2018,Percentage,Océan Atlantique,Exploitation minière,Excellente,0
2016-2018,Percentage,Océan Atlantique,Exploitation minière,Bonne,2
2016-2018,Percentage,Océan Atlantique,Exploitation minière,Satisfaisante,2
2016-2018,Percentage,Océan Atlantique,Exploitation minière,Douteuse,0
2016-2018,Percentage,Océan Atlantique,Exploitation minière,Mauvaise,0
2016-2018,Percentage,Océan Atlantique,Peuplé,Excellente,0
2016-2018,Percentage,Océan Atlantique,Peuplé,Bonne,0
2016-2018,Percentage,Océan Atlantique,Peuplé,Satisfaisante,0
2016-2018,Percentage,Océan Atlantique,Peuplé,Douteuse,7
2016-2018,Percentage,Océan Atlantique,Peuplé,Mauvaise,0
2016-2018,Percentage,Océan Atlantique,Pressions mixtes,Excellente,0
2016-2018,Percentage,Océan Atlantique,Pressions mixtes,Bonne,9
2016-2018,Percentage,Océan Atlantique,Pressions mixtes,Satisfaisante,4
2016-2018,Percentage,Océan Atlantique,Pressions mixtes,Douteuse,4
2016-2018,Percentage,Océan Atlantique,Pressions mixtes,Mauvaise,0
2016-2018,Percentage,Océan Atlantique,Non aménagés,Excellente,2
2016-2018,Percentage,Océan Atlantique,Non aménagés,Bonne,18
2016-2018,Percentage,Océan Atlantique,Non aménagés,Satisfaisante,11
2016-2018,Percentage,Océan Atlantique,Non aménagés,Douteuse,0
2016-2018,Percentage,Océan Atlantique,Non aménagés,Mauvaise,0
2016-2018,Number,Océan Atlantique,Agriculture,Excellente,0
2016-2018,Number,Océan Atlantique,Agriculture,Bonne,3
2016-2018,Number,Océan Atlantique,Agriculture,Satisfaisante,1
2016-2018,Number,Océan Atlantique,Agriculture,Douteuse,0
2016-2018,Number,Océan Atlantique,Agriculture,Mauvaise,0
2016-2018,Number,Océan Atlantique,Foresterie,Excellente,1
2016-2018,Number,Océan Atlantique,Foresterie,Bonne,8
2016-2018,Number,Océan Atlantique,Foresterie,Satisfaisante,4
2016-2018,Number,Océan Atlantique,Foresterie,Douteuse,1
2016-2018,Number,Océan Atlantique,Foresterie,Mauvaise,0
2016-2018,Number,Océan Atlantique,Exploitation minière,Excellente,0
2016-2018,Number,Océan Atlantique,Exploitation minière,Bonne,1
2016-2018,Number,Océan Atlantique,Exploitation minière,Satisfaisante,1
2016-2018,Number,Océan Atlantique,Exploitation minière,Douteuse,0
2016-2018,Number,Océan Atlantique,Exploitation minière,Mauvaise,0
2016-2018,Number,Océan Atlantique,Peuplé,Excellente,0
2016-2018,Number,Océan Atlantique,Peuplé,Bonne,0
2016-2018,Number,Océan Atlantique,Peuplé,Satisfaisante,0
2016-2018,Number,Océan Atlantique,Peuplé,Douteuse,3
2016-2018,Number,Océan Atlantique,Peuplé,Mauvaise,0
2016-2018,Number,Océan Atlantique,Pressions mixtes,Excellente,0
2016-2018,Number,Océan Atlantique,Pressions mixtes,Bonne,4
2016-2018,Number,Océan Atlantique,Pressions mixtes,Satisfaisante,2
2016-2018,Number,Océan Atlantique,Pressions mixtes,Douteuse,2
2016-2018,Number,Océan Atlantique,Pressions mixtes,Mauvaise,0
2016-2018,Number,Océan Atlantique,Non aménagés,Excellente,1
2016-2018,Number,Océan Atlantique,Non aménagés,Bonne,8
2016-2018,Number,Océan Atlantique,Non aménagés,Satisfaisante,5
2016-2018,Number,Océan Atlantique,Non aménagés,Douteuse,0
2016-2018,Number,Océan Atlantique,Non aménagés,Mauvaise,0
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Agriculture,Excellente,0
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Agriculture,Bonne,5
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Agriculture,Satisfaisante,7
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Agriculture,Douteuse,0
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Agriculture,Mauvaise,0
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Foresterie,Excellente,0
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Foresterie,Bonne,2
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Foresterie,Satisfaisante,0
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Foresterie,Douteuse,0
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Foresterie,Mauvaise,0
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Exploitation minière,Excellente,0
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Exploitation minière,Bonne,5
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Exploitation minière,Satisfaisante,3
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Exploitation minière,Douteuse,0
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Exploitation minière,Mauvaise,0
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Peuplé,Excellente,0
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Peuplé,Bonne,0
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Peuplé,Satisfaisante,2
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Peuplé,Douteuse,0
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Peuplé,Mauvaise,0
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Pressions mixtes,Excellente,0
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Pressions mixtes,Bonne,10
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Pressions mixtes,Satisfaisante,31
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Pressions mixtes,Douteuse,22
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Pressions mixtes,Mauvaise,3
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Non aménagés,Excellente,0
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Non aménagés,Bonne,7
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Non aménagés,Satisfaisante,2
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Non aménagés,Douteuse,0
2016-2018,Percentage,data.Great Lakes and St. Lawrence River,Non aménagés,Mauvaise,0
2016-2018,Number,data.Great Lakes and St. Lawrence River,Agriculture,Excellente,0
2016-2018,Number,data.Great Lakes and St. Lawrence River,Agriculture,Bonne,3
2016-2018,Number,data.Great Lakes and St. Lawrence River,Agriculture,Satisfaisante,4
2016-2018,Number,data.Great Lakes and St. Lawrence River,Agriculture,Douteuse,0
2016-2018,Number,data.Great Lakes and St. Lawrence River,Agriculture,Mauvaise,0
2016-2018,Number,data.Great Lakes and St. Lawrence River,Foresterie,Excellente,0
2016-2018,Number,data.Great Lakes and St. Lawrence River,Foresterie,Bonne,1
2016-2018,Number,data.Great Lakes and St. Lawrence River,Foresterie,Satisfaisante,0
2016-2018,Number,data.Great Lakes and St. Lawrence River,Foresterie,Douteuse,0
2016-2018,Number,data.Great Lakes and St. Lawrence River,Foresterie,Mauvaise,0
2016-2018,Number,data.Great Lakes and St. Lawrence River,Exploitation minière,Excellente,0
2016-2018,Number,data.Great Lakes and St. Lawrence River,Exploitation minière,Bonne,3
2016-2018,Number,data.Great Lakes and St. Lawrence River,Exploitation minière,Satisfaisante,2
2016-2018,Number,data.Great Lakes and St. Lawrence River,Exploitation minière,Douteuse,0
2016-2018,Number,data.Great Lakes and St. Lawrence River,Exploitation minière,Mauvaise,0
2016-2018,Number,data.Great Lakes and St. Lawrence River,Peuplé,Excellente,0
2016-2018,Number,data.Great Lakes and St. Lawrence River,Peuplé,Bonne,0
2016-2018,Number,data.Great Lakes and St. Lawrence River,Peuplé,Satisfaisante,1
2016-2018,Number,data.Great Lakes and St. Lawrence River,Peuplé,Douteuse,0
2016-2018,Number,data.Great Lakes and St. Lawrence River,Peuplé,Mauvaise,0
2016-2018,Number,data.Great Lakes and St. Lawrence River,Pressions mixtes,Excellente,0
2016-2018,Number,data.Great Lakes and St. Lawrence River,Pressions mixtes,Bonne,6
2016-2018,Number,data.Great Lakes and St. Lawrence River,Pressions mixtes,Satisfaisante,18
2016-2018,Number,data.Great Lakes and St. Lawrence River,Pressions mixtes,Douteuse,13
2016-2018,Number,data.Great Lakes and St. Lawrence River,Pressions mixtes,Mauvaise,2
2016-2018,Number,data.Great Lakes and St. Lawrence River,Non aménagés,Excellente,0
2016-2018,Number,data.Great Lakes and St. Lawrence River,Non aménagés,Bonne,4
2016-2018,Number,data.Great Lakes and St. Lawrence River,Non aménagés,Satisfaisante,1
2016-2018,Number,data.Great Lakes and St. Lawrence River,Non aménagés,Douteuse,0
2016-2018,Number,data.Great Lakes and St. Lawrence River,Non aménagés,Mauvaise,0
2016-2018,Percentage,Baie d'Hudson,Agriculture,Excellente,0
2016-2018,Percentage,Baie d'Hudson,Agriculture,Bonne,11
2016-2018,Percentage,Baie d'Hudson,Agriculture,Satisfaisante,22
2016-2018,Percentage,Baie d'Hudson,Agriculture,Douteuse,9
2016-2018,Percentage,Baie d'Hudson,Agriculture,Mauvaise,2
2016-2018,Percentage,Baie d'Hudson,Foresterie,Excellente,0
2016-2018,Percentage,Baie d'Hudson,Foresterie,Bonne,0
2016-2018,Percentage,Baie d'Hudson,Foresterie,Satisfaisante,0
2016-2018,Percentage,Baie d'Hudson,Foresterie,Douteuse,0
2016-2018,Percentage,Baie d'Hudson,Foresterie,Mauvaise,0
2016-2018,Percentage,Baie d'Hudson,Exploitation minière,Excellente,0
2016-2018,Percentage,Baie d'Hudson,Exploitation minière,Bonne,0
2016-2018,Percentage,Baie d'Hudson,Exploitation minière,Satisfaisante,0
2016-2018,Percentage,Baie d'Hudson,Exploitation minière,Douteuse,0
2016-2018,Percentage,Baie d'Hudson,Exploitation minière,Mauvaise,0
2016-2018,Percentage,Baie d'Hudson,Peuplé,Excellente,0
2016-2018,Percentage,Baie d'Hudson,Peuplé,Bonne,0
2016-2018,Percentage,Baie d'Hudson,Peuplé,Satisfaisante,0
2016-2018,Percentage,Baie d'Hudson,Peuplé,Douteuse,0
2016-2018,Percentage,Baie d'Hudson,Peuplé,Mauvaise,0
2016-2018,Percentage,Baie d'Hudson,Pressions mixtes,Excellente,7
2016-2018,Percentage,Baie d'Hudson,Pressions mixtes,Bonne,20
2016-2018,Percentage,Baie d'Hudson,Pressions mixtes,Satisfaisante,18
2016-2018,Percentage,Baie d'Hudson,Pressions mixtes,Douteuse,7
2016-2018,Percentage,Baie d'Hudson,Pressions mixtes,Mauvaise,0
2016-2018,Percentage,Baie d'Hudson,Non aménagés,Excellente,4
2016-2018,Percentage,Baie d'Hudson,Non aménagés,Bonne,0
2016-2018,Percentage,Baie d'Hudson,Non aménagés,Satisfaisante,0
2016-2018,Percentage,Baie d'Hudson,Non aménagés,Douteuse,0
2016-2018,Percentage,Baie d'Hudson,Non aménagés,Mauvaise,0
2016-2018,Number,Baie d'Hudson,Agriculture,Excellente,0
2016-2018,Number,Baie d'Hudson,Agriculture,Bonne,5
2016-2018,Number,Baie d'Hudson,Agriculture,Satisfaisante,10
2016-2018,Number,Baie d'Hudson,Agriculture,Douteuse,4
2016-2018,Number,Baie d'Hudson,Agriculture,Mauvaise,1
2016-2018,Number,Baie d'Hudson,Foresterie,Excellente,0
2016-2018,Number,Baie d'Hudson,Foresterie,Bonne,0
2016-2018,Number,Baie d'Hudson,Foresterie,Satisfaisante,0
2016-2018,Number,Baie d'Hudson,Foresterie,Douteuse,0
2016-2018,Number,Baie d'Hudson,Foresterie,Mauvaise,0
2016-2018,Number,Baie d'Hudson,Exploitation minière,Excellente,0
2016-2018,Number,Baie d'Hudson,Exploitation minière,Bonne,0
2016-2018,Number,Baie d'Hudson,Exploitation minière,Satisfaisante,0
2016-2018,Number,Baie d'Hudson,Exploitation minière,Douteuse,0
2016-2018,Number,Baie d'Hudson,Exploitation minière,Mauvaise,0
2016-2018,Number,Baie d'Hudson,Peuplé,Excellente,0
2016-2018,Number,Baie d'Hudson,Peuplé,Bonne,0
2016-2018,Number,Baie d'Hudson,Peuplé,Satisfaisante,0
2016-2018,Number,Baie d'Hudson,Peuplé,Douteuse,0
2016-2018,Number,Baie d'Hudson,Peuplé,Mauvaise,0
2016-2018,Number,Baie d'Hudson,Pressions mixtes,Excellente,3
2016-2018,Number,Baie d'Hudson,Pressions mixtes,Bonne,9
2016-2018,Number,Baie d'Hudson,Pressions mixtes,Satisfaisante,8
2016-2018,Number,Baie d'Hudson,Pressions mixtes,Douteuse,3
2016-2018,Number,Baie d'Hudson,Pressions mixtes,Mauvaise,0
2016-2018,Number,Baie d'Hudson,Non aménagés,Excellente,2
2016-2018,Number,Baie d'Hudson,Non aménagés,Bonne,0
2016-2018,Number,Baie d'Hudson,Non aménagés,Satisfaisante,0
2016-2018,Number,Baie d'Hudson,Non aménagés,Douteuse,0
2016-2018,Number,Baie d'Hudson,Non aménagés,Mauvaise,0
2016-2018,Percentage,Fleuve Mackenzie,Agriculture,Excellente,0
2016-2018,Percentage,Fleuve Mackenzie,Agriculture,Bonne,0
2016-2018,Percentage,Fleuve Mackenzie,Agriculture,Satisfaisante,0
2016-2018,Percentage,Fleuve Mackenzie,Agriculture,Douteuse,0
2016-2018,Percentage,Fleuve Mackenzie,Agriculture,Mauvaise,0
2016-2018,Percentage,Fleuve Mackenzie,Foresterie,Excellente,0
2016-2018,Percentage,Fleuve Mackenzie,Foresterie,Bonne,0
2016-2018,Percentage,Fleuve Mackenzie,Foresterie,Satisfaisante,0
2016-2018,Percentage,Fleuve Mackenzie,Foresterie,Douteuse,0
2016-2018,Percentage,Fleuve Mackenzie,Foresterie,Mauvaise,0
2016-2018,Percentage,Fleuve Mackenzie,Exploitation minière,Excellente,0
2016-2018,Percentage,Fleuve Mackenzie,Exploitation minière,Bonne,10
2016-2018,Percentage,Fleuve Mackenzie,Exploitation minière,Satisfaisante,10
2016-2018,Percentage,Fleuve Mackenzie,Exploitation minière,Douteuse,0
2016-2018,Percentage,Fleuve Mackenzie,Exploitation minière,Mauvaise,0
2016-2018,Percentage,Fleuve Mackenzie,Peuplé,Excellente,0
2016-2018,Percentage,Fleuve Mackenzie,Peuplé,Bonne,0
2016-2018,Percentage,Fleuve Mackenzie,Peuplé,Satisfaisante,0
2016-2018,Percentage,Fleuve Mackenzie,Peuplé,Douteuse,0
2016-2018,Percentage,Fleuve Mackenzie,Peuplé,Mauvaise,0
2016-2018,Percentage,Fleuve Mackenzie,Pressions mixtes,Excellente,5
2016-2018,Percentage,Fleuve Mackenzie,Pressions mixtes,Bonne,10
2016-2018,Percentage,Fleuve Mackenzie,Pressions mixtes,Satisfaisante,25
2016-2018,Percentage,Fleuve Mackenzie,Pressions mixtes,Douteuse,0
2016-2018,Percentage,Fleuve Mackenzie,Pressions mixtes,Mauvaise,0
2016-2018,Percentage,Fleuve Mackenzie,Non aménagés,Excellente,10
2016-2018,Percentage,Fleuve Mackenzie,Non aménagés,Bonne,15
2016-2018,Percentage,Fleuve Mackenzie,Non aménagés,Satisfaisante,15
2016-2018,Percentage,Fleuve Mackenzie,Non aménagés,Douteuse,0
2016-2018,Percentage,Fleuve Mackenzie,Non aménagés,Mauvaise,0
2016-2018,Number,Fleuve Mackenzie,Agriculture,Excellente,0
2016-2018,Number,Fleuve Mackenzie,Agriculture,Bonne,0
2016-2018,Number,Fleuve Mackenzie,Agriculture,Satisfaisante,0
2016-2018,Number,Fleuve Mackenzie,Agriculture,Douteuse,0
2016-2018,Number,Fleuve Mackenzie,Agriculture,Mauvaise,0
2016-2018,Number,Fleuve Mackenzie,Foresterie,Excellente,0
2016-2018,Number,Fleuve Mackenzie,Foresterie,Bonne,0
2016-2018,Number,Fleuve Mackenzie,Foresterie,Satisfaisante,0
2016-2018,Number,Fleuve Mackenzie,Foresterie,Douteuse,0
2016-2018,Number,Fleuve Mackenzie,Foresterie,Mauvaise,0
2016-2018,Number,Fleuve Mackenzie,Exploitation minière,Excellente,0
2016-2018,Number,Fleuve Mackenzie,Exploitation minière,Bonne,2
2016-2018,Number,Fleuve Mackenzie,Exploitation minière,Satisfaisante,2
2016-2018,Number,Fleuve Mackenzie,Exploitation minière,Douteuse,0
2016-2018,Number,Fleuve Mackenzie,Exploitation minière,Mauvaise,0
2016-2018,Number,Fleuve Mackenzie,Peuplé,Excellente,0
2016-2018,Number,Fleuve Mackenzie,Peuplé,Bonne,0
2016-2018,Number,Fleuve Mackenzie,Peuplé,Satisfaisante,0
2016-2018,Number,Fleuve Mackenzie,Peuplé,Douteuse,0
2016-2018,Number,Fleuve Mackenzie,Peuplé,Mauvaise,0
2016-2018,Number,Fleuve Mackenzie,Pressions mixtes,Excellente,1
2016-2018,Number,Fleuve Mackenzie,Pressions mixtes,Bonne,2
2016-2018,Number,Fleuve Mackenzie,Pressions mixtes,Satisfaisante,5
2016-2018,Number,Fleuve Mackenzie,Pressions mixtes,Douteuse,0
2016-2018,Number,Fleuve Mackenzie,Pressions mixtes,Mauvaise,0
2016-2018,Number,Fleuve Mackenzie,Non aménagés,Excellente,2
2016-2018,Number,Fleuve Mackenzie,Non aménagés,Bonne,3
2016-2018,Number,Fleuve Mackenzie,Non aménagés,Satisfaisante,3
2016-2018,Number,Fleuve Mackenzie,Non aménagés,Douteuse,0
2016-2018,Number,Fleuve Mackenzie,Non aménagés,Mauvaise,0
2016-2018,Percentage,Océan Pacifique,Agriculture,Excellente,0
2016-2018,Percentage,Océan Pacifique,Agriculture,Bonne,0
2016-2018,Percentage,Océan Pacifique,Agriculture,Satisfaisante,0
2016-2018,Percentage,Océan Pacifique,Agriculture,Douteuse,0
2016-2018,Percentage,Océan Pacifique,Agriculture,Mauvaise,0
2016-2018,Percentage,Océan Pacifique,Foresterie,Excellente,0
2016-2018,Percentage,Océan Pacifique,Foresterie,Bonne,8
2016-2018,Percentage,Océan Pacifique,Foresterie,Satisfaisante,0
2016-2018,Percentage,Océan Pacifique,Foresterie,Douteuse,0
2016-2018,Percentage,Océan Pacifique,Foresterie,Mauvaise,0
2016-2018,Percentage,Océan Pacifique,Exploitation minière,Excellente,0
2016-2018,Percentage,Océan Pacifique,Exploitation minière,Bonne,8
2016-2018,Percentage,Océan Pacifique,Exploitation minière,Satisfaisante,4
2016-2018,Percentage,Océan Pacifique,Exploitation minière,Douteuse,12
2016-2018,Percentage,Océan Pacifique,Exploitation minière,Mauvaise,0
2016-2018,Percentage,Océan Pacifique,Peuplé,Excellente,0
2016-2018,Percentage,Océan Pacifique,Peuplé,Bonne,0
2016-2018,Percentage,Océan Pacifique,Peuplé,Satisfaisante,0
2016-2018,Percentage,Océan Pacifique,Peuplé,Douteuse,0
2016-2018,Percentage,Océan Pacifique,Peuplé,Mauvaise,0
2016-2018,Percentage,Océan Pacifique,Pressions mixtes,Excellente,0
2016-2018,Percentage,Océan Pacifique,Pressions mixtes,Bonne,8
2016-2018,Percentage,Océan Pacifique,Pressions mixtes,Satisfaisante,36
2016-2018,Percentage,Océan Pacifique,Pressions mixtes,Douteuse,8
2016-2018,Percentage,Océan Pacifique,Pressions mixtes,Mauvaise,4
2016-2018,Percentage,Océan Pacifique,Non aménagés,Excellente,8
2016-2018,Percentage,Océan Pacifique,Non aménagés,Bonne,4
2016-2018,Percentage,Océan Pacifique,Non aménagés,Satisfaisante,0
2016-2018,Percentage,Océan Pacifique,Non aménagés,Douteuse,0
2016-2018,Percentage,Océan Pacifique,Non aménagés,Mauvaise,0
2016-2018,Number,Océan Pacifique,Agriculture,Excellente,0
2016-2018,Number,Océan Pacifique,Agriculture,Bonne,0
2016-2018,Number,Océan Pacifique,Agriculture,Satisfaisante,0
2016-2018,Number,Océan Pacifique,Agriculture,Douteuse,0
2016-2018,Number,Océan Pacifique,Agriculture,Mauvaise,0
2016-2018,Number,Océan Pacifique,Foresterie,Excellente,0
2016-2018,Number,Océan Pacifique,Foresterie,Bonne,2
