Year,Géographie,data.Educational attainment level,Groupe d'âge,Sexe,Value
2019,Canada,data.Tertiary education,25 to 34 years,Les deux sexes,63.0
2020,Canada,data.Tertiary education,25 to 34 years,Les deux sexes,64.0
2010,Canada,data.Tertiary education,25 to 34 years,Male,49.0
2011,Canada,data.Tertiary education,25 to 34 years,Male,49.0
2012,Canada,data.Tertiary education,25 to 34 years,Male,48.0
2013,Canada,data.Tertiary education,25 to 34 years,Male,49.0
2014,Canada,data.Tertiary education,25 to 34 years,Male,50.0
2015,Canada,data.Tertiary education,25 to 34 years,Male,50.0
2016,Canada,data.Tertiary education,25 to 34 years,Male,52.0
2017,Canada,data.Tertiary education,25 to 34 years,Male,52.0
2018,Canada,data.Tertiary education,25 to 34 years,Male,53.0
2019,Canada,data.Tertiary education,25 to 34 years,Male,55.0
2020,Canada,data.Tertiary education,25 to 34 years,Male,56.0
2010,Canada,data.Tertiary education,25 to 34 years,Female,64.0
2011,Canada,data.Tertiary education,25 to 34 years,Female,65.0
2012,Canada,data.Tertiary education,25 to 34 years,Female,66.0
2013,Canada,data.Tertiary education,25 to 34 years,Female,67.0
2014,Canada,data.Tertiary education,25 to 34 years,Female,66.0
2015,Canada,data.Tertiary education,25 to 34 years,Female,68.0
2016,Canada,data.Tertiary education,25 to 34 years,Female,70.0
2017,Canada,data.Tertiary education,25 to 34 years,Female,70.0
2018,Canada,data.Tertiary education,25 to 34 years,Female,71.0
2019,Canada,data.Tertiary education,25 to 34 years,Female,71.0
2020,Canada,data.Tertiary education,25 to 34 years,Female,73.0
2010,Canada,data.Tertiary education,30 à 34 ans,Les deux sexes,58.0
2011,Canada,data.Tertiary education,30 à 34 ans,Les deux sexes,58.0
2012,Canada,data.Tertiary education,30 à 34 ans,Les deux sexes,58.0
2013,Canada,data.Tertiary education,30 à 34 ans,Les deux sexes,59.0
2014,Canada,data.Tertiary education,30 à 34 ans,Les deux sexes,59.0
2015,Canada,data.Tertiary education,30 à 34 ans,Les deux sexes,61.0
2016,Canada,data.Tertiary education,30 à 34 ans,Les deux sexes,62.0
2017,Canada,data.Tertiary education,30 à 34 ans,Les deux sexes,62.0
2018,Canada,data.Tertiary education,30 à 34 ans,Les deux sexes,63.0
2019,Canada,data.Tertiary education,30 à 34 ans,Les deux sexes,64.0
2020,Canada,data.Tertiary education,30 à 34 ans,Les deux sexes,66.0
2010,Canada,data.Tertiary education,30 à 34 ans,Male,51.0
2011,Canada,data.Tertiary education,30 à 34 ans,Male,50.0
2012,Canada,data.Tertiary education,30 à 34 ans,Male,49.0
2013,Canada,data.Tertiary education,30 à 34 ans,Male,50.0
2014,Canada,data.Tertiary education,30 à 34 ans,Male,51.0
2015,Canada,data.Tertiary education,30 à 34 ans,Male,52.0
2016,Canada,data.Tertiary education,30 à 34 ans,Male,53.0
2017,Canada,data.Tertiary education,30 à 34 ans,Male,53.0
2018,Canada,data.Tertiary education,30 à 34 ans,Male,55.0
2019,Canada,data.Tertiary education,30 à 34 ans,Male,56.0
2020,Canada,data.Tertiary education,30 à 34 ans,Male,58.0
2010,Canada,data.Tertiary education,30 à 34 ans,Female,65.0
2011,Canada,data.Tertiary education,30 à 34 ans,Female,66.0
2012,Canada,data.Tertiary education,30 à 34 ans,Female,67.0
2013,Canada,data.Tertiary education,30 à 34 ans,Female,68.0
2014,Canada,data.Tertiary education,30 à 34 ans,Female,68.0
2015,Canada,data.Tertiary education,30 à 34 ans,Female,70.0
2016,Canada,data.Tertiary education,30 à 34 ans,Female,71.0
2017,Canada,data.Tertiary education,30 à 34 ans,Female,71.0
2018,Canada,data.Tertiary education,30 à 34 ans,Female,71.0
2019,Canada,data.Tertiary education,30 à 34 ans,Female,73.0
2020,Canada,data.Tertiary education,30 à 34 ans,Female,75.0
2010,Canada,data.Tertiary education,35 to 44 years,Les deux sexes,56.0
2011,Canada,data.Tertiary education,35 to 44 years,Les deux sexes,57.0
2012,Canada,data.Tertiary education,35 to 44 years,Les deux sexes,58.0
2013,Canada,data.Tertiary education,35 to 44 years,Les deux sexes,60.0
2014,Canada,data.Tertiary education,35 to 44 years,Les deux sexes,60.0
2015,Canada,data.Tertiary education,35 to 44 years,Les deux sexes,62.0
2016,Canada,data.Tertiary education,35 to 44 years,Les deux sexes,62.0
2017,Canada,data.Tertiary education,35 to 44 years,Les deux sexes,63.0
2018,Canada,data.Tertiary education,35 to 44 years,Les deux sexes,64.0
2019,Canada,data.Tertiary education,35 to 44 years,Les deux sexes,64.0
2020,Canada,data.Tertiary education,35 to 44 years,Les deux sexes,65.0
2010,Canada,data.Tertiary education,35 to 44 years,Male,50.0
2011,Canada,data.Tertiary education,35 to 44 years,Male,51.0
2012,Canada,data.Tertiary education,35 to 44 years,Male,52.0
2013,Canada,data.Tertiary education,35 to 44 years,Male,53.0
2014,Canada,data.Tertiary education,35 to 44 years,Male,53.0
2015,Canada,data.Tertiary education,35 to 44 years,Male,55.0
2016,Canada,data.Tertiary education,35 to 44 years,Male,55.0
2017,Canada,data.Tertiary education,35 to 44 years,Male,55.0
2018,Canada,data.Tertiary education,35 to 44 years,Male,55.0
2019,Canada,data.Tertiary education,35 to 44 years,Male,57.0
2020,Canada,data.Tertiary education,35 to 44 years,Male,57.0
2010,Canada,data.Tertiary education,35 to 44 years,Female,63.0
2011,Canada,data.Tertiary education,35 to 44 years,Female,64.0
2012,Canada,data.Tertiary education,35 to 44 years,Female,65.0
2013,Canada,data.Tertiary education,35 to 44 years,Female,67.0
2014,Canada,data.Tertiary education,35 to 44 years,Female,67.0
2015,Canada,data.Tertiary education,35 to 44 years,Female,69.0
2016,Canada,data.Tertiary education,35 to 44 years,Female,70.0
2017,Canada,data.Tertiary education,35 to 44 years,Female,71.0
2018,Canada,data.Tertiary education,35 to 44 years,Female,71.0
2019,Canada,data.Tertiary education,35 to 44 years,Female,72.0
2020,Canada,data.Tertiary education,35 to 44 years,Female,73.0
2010,Canada,data.Tertiary education,45 to 54 years,Les deux sexes,46.0
2011,Canada,data.Tertiary education,45 to 54 years,Les deux sexes,48.0
2012,Canada,data.Tertiary education,45 to 54 years,Les deux sexes,49.0
2013,Canada,data.Tertiary education,45 to 54 years,Les deux sexes,50.0
2014,Canada,data.Tertiary education,45 to 54 years,Les deux sexes,51.0
2015,Canada,data.Tertiary education,45 to 54 years,Les deux sexes,53.0
2016,Canada,data.Tertiary education,45 to 54 years,Les deux sexes,55.0
2017,Canada,data.Tertiary education,45 to 54 years,Les deux sexes,56.0
2018,Canada,data.Tertiary education,45 to 54 years,Les deux sexes,58.0
2019,Canada,data.Tertiary education,45 to 54 years,Les deux sexes,60.0
2020,Canada,data.Tertiary education,45 to 54 years,Les deux sexes,60.0
2010,Canada,data.Tertiary education,45 to 54 years,Male,42.0
2011,Canada,data.Tertiary education,45 to 54 years,Male,43.0
2012,Canada,data.Tertiary education,45 to 54 years,Male,45.0
2013,Canada,data.Tertiary education,45 to 54 years,Male,45.0
2014,Canada,data.Tertiary education,45 to 54 years,Male,46.0
2015,Canada,data.Tertiary education,45 to 54 years,Male,48.0
2016,Canada,data.Tertiary education,45 to 54 years,Male,51.0
2017,Canada,data.Tertiary education,45 to 54 years,Male,51.0
2018,Canada,data.Tertiary education,45 to 54 years,Male,53.0
2019,Canada,data.Tertiary education,45 to 54 years,Male,55.0
2020,Canada,data.Tertiary education,45 to 54 years,Male,54.0
2010,Canada,data.Tertiary education,45 to 54 years,Female,50.0
2011,Canada,data.Tertiary education,45 to 54 years,Female,52.0
2012,Canada,data.Tertiary education,45 to 54 years,Female,54.0
2013,Canada,data.Tertiary education,45 to 54 years,Female,54.0
2014,Canada,data.Tertiary education,45 to 54 years,Female,55.0
2015,Canada,data.Tertiary education,45 to 54 years,Female,58.0
2016,Canada,data.Tertiary education,45 to 54 years,Female,60.0
2017,Canada,data.Tertiary education,45 to 54 years,Female,61.0
2018,Canada,data.Tertiary education,45 to 54 years,Female,64.0
2019,Canada,data.Tertiary education,45 to 54 years,Female,65.0
2020,Canada,data.Tertiary education,45 to 54 years,Female,66.0
2010,Canada,data.Tertiary education,55 à 64 ans,Les deux sexes,42.0
2011,Canada,data.Tertiary education,55 à 64 ans,Les deux sexes,42.0
2012,Canada,data.Tertiary education,55 à 64 ans,Les deux sexes,44.0
2013,Canada,data.Tertiary education,55 à 64 ans,Les deux sexes,45.0
2014,Canada,data.Tertiary education,55 à 64 ans,Les deux sexes,45.0
2015,Canada,data.Tertiary education,55 à 64 ans,Les deux sexes,45.0
2016,Canada,data.Tertiary education,55 à 64 ans,Les deux sexes,46.0
2017,Canada,data.Tertiary education,55 à 64 ans,Les deux sexes,46.0
2018,Canada,data.Tertiary education,55 à 64 ans,Les deux sexes,48.0
2019,Canada,data.Tertiary education,55 à 64 ans,Les deux sexes,50.0
2020,Canada,data.Tertiary education,55 à 64 ans,Les deux sexes,50.0
2010,Canada,data.Tertiary education,55 à 64 ans,Male,41.0
2011,Canada,data.Tertiary education,55 à 64 ans,Male,41.0
2012,Canada,data.Tertiary education,55 à 64 ans,Male,42.0
2013,Canada,data.Tertiary education,55 à 64 ans,Male,42.0
2014,Canada,data.Tertiary education,55 à 64 ans,Male,42.0
2015,Canada,data.Tertiary education,55 à 64 ans,Male,42.0
2016,Canada,data.Tertiary education,55 à 64 ans,Male,43.0
2017,Canada,data.Tertiary education,55 à 64 ans,Male,43.0
2018,Canada,data.Tertiary education,55 à 64 ans,Male,44.0
2019,Canada,data.Tertiary education,55 à 64 ans,Male,46.0
2020,Canada,data.Tertiary education,55 à 64 ans,Male,46.0
2010,Canada,data.Tertiary education,55 à 64 ans,Female,43.0
2011,Canada,data.Tertiary education,55 à 64 ans,Female,43.0
2012,Canada,data.Tertiary education,55 à 64 ans,Female,47.0
2013,Canada,data.Tertiary education,55 à 64 ans,Female,47.0
2014,Canada,data.Tertiary education,55 à 64 ans,Female,47.0
2015,Canada,data.Tertiary education,55 à 64 ans,Female,49.0
2016,Canada,data.Tertiary education,55 à 64 ans,Female,49.0
2017,Canada,data.Tertiary education,55 à 64 ans,Female,50.0
2018,Canada,data.Tertiary education,55 à 64 ans,Female,51.0
2019,Canada,data.Tertiary education,55 à 64 ans,Female,53.0
2020,Canada,data.Tertiary education,55 à 64 ans,Female,54.0
2010,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,24.0
2011,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,24.0
2012,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,25.0
2013,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,25.0
2014,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,25.0
2015,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,26.0
2016,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,26.0
2017,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,26.0
2018,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,26.0
2019,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,26.0
2020,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Les deux sexes,26.0
2010,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,20.0
2011,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,21.0
2012,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,21.0
2013,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,21.0
2014,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,21.0
2015,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,22.0
2016,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,22.0
2017,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,22.0
2018,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,22.0
2019,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,23.0
2020,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Male,22.0
2010,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,28.0
2011,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,28.0
2012,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,29.0
2013,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,29.0
2014,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,29.0
2015,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,29.0
2016,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,29.0
2017,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,29.0
2018,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,30.0
2019,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,30.0
2020,Canada,data.Short-cycle tertiary,"data.Total, 25 to 64 years",Female,29.0
2010,Canada,data.Short-cycle tertiary,25 to 34 years,Les deux sexes,26.0
2011,Canada,data.Short-cycle tertiary,25 to 34 years,Les deux sexes,26.0
2012,Canada,data.Short-cycle tertiary,25 to 34 years,Les deux sexes,25.0
2013,Canada,data.Short-cycle tertiary,25 to 34 years,Les deux sexes,25.0
2014,Canada,data.Short-cycle tertiary,25 to 34 years,Les deux sexes,24.0
2015,Canada,data.Short-cycle tertiary,25 to 34 years,Les deux sexes,25.0
2016,Canada,data.Short-cycle tertiary,25 to 34 years,Les deux sexes,25.0
2017,Canada,data.Short-cycle tertiary,25 to 34 years,Les deux sexes,25.0
2018,Canada,data.Short-cycle tertiary,25 to 34 years,Les deux sexes,25.0
2019,Canada,data.Short-cycle tertiary,25 to 34 years,Les deux sexes,24.0
2020,Canada,data.Short-cycle tertiary,25 to 34 years,Les deux sexes,24.0
2010,Canada,data.Short-cycle tertiary,25 to 34 years,Male,22.0
2011,Canada,data.Short-cycle tertiary,25 to 34 years,Male,22.0
2012,Canada,data.Short-cycle tertiary,25 to 34 years,Male,22.0
2013,Canada,data.Short-cycle tertiary,25 to 34 years,Male,21.0
2014,Canada,data.Short-cycle tertiary,25 to 34 years,Male,21.0
2015,Canada,data.Short-cycle tertiary,25 to 34 years,Male,22.0
2016,Canada,data.Short-cycle tertiary,25 to 34 years,Male,22.0
2017,Canada,data.Short-cycle tertiary,25 to 34 years,Male,22.0
2018,Canada,data.Short-cycle tertiary,25 to 34 years,Male,22.0
2019,Canada,data.Short-cycle tertiary,25 to 34 years,Male,22.0
2020,Canada,data.Short-cycle tertiary,25 to 34 years,Male,21.0
2010,Canada,data.Short-cycle tertiary,25 to 34 years,Female,29.0
2011,Canada,data.Short-cycle tertiary,25 to 34 years,Female,29.0
2012,Canada,data.Short-cycle tertiary,25 to 34 years,Female,29.0
2013,Canada,data.Short-cycle tertiary,25 to 34 years,Female,28.0
2014,Canada,data.Short-cycle tertiary,25 to 34 years,Female,28.0
2015,Canada,data.Short-cycle tertiary,25 to 34 years,Female,28.0
2016,Canada,data.Short-cycle tertiary,25 to 34 years,Female,28.0
2017,Canada,data.Short-cycle tertiary,25 to 34 years,Female,27.0
2018,Canada,data.Short-cycle tertiary,25 to 34 years,Female,28.0
2019,Canada,data.Short-cycle tertiary,25 to 34 years,Female,27.0
2020,Canada,data.Short-cycle tertiary,25 to 34 years,Female,27.0
2010,Canada,data.Short-cycle tertiary,30 à 34 ans,Les deux sexes,27.0
2011,Canada,data.Short-cycle tertiary,30 à 34 ans,Les deux sexes,26.0
2012,Canada,data.Short-cycle tertiary,30 à 34 ans,Les deux sexes,26.0
2013,Canada,data.Short-cycle tertiary,30 à 34 ans,Les deux sexes,26.0
2014,Canada,data.Short-cycle tertiary,30 à 34 ans,Les deux sexes,25.0
2015,Canada,data.Short-cycle tertiary,30 à 34 ans,Les deux sexes,26.0
2016,Canada,data.Short-cycle tertiary,30 à 34 ans,Les deux sexes,25.0
2017,Canada,data.Short-cycle tertiary,30 à 34 ans,Les deux sexes,25.0
2018,Canada,data.Short-cycle tertiary,30 à 34 ans,Les deux sexes,25.0
2019,Canada,data.Short-cycle tertiary,30 à 34 ans,Les deux sexes,25.0
2020,Canada,data.Short-cycle tertiary,30 à 34 ans,Les deux sexes,25.0
2010,Canada,data.Short-cycle tertiary,30 à 34 ans,Male,23.0
2011,Canada,data.Short-cycle tertiary,30 à 34 ans,Male,23.0
2012,Canada,data.Short-cycle tertiary,30 à 34 ans,Male,22.0
2013,Canada,data.Short-cycle tertiary,30 à 34 ans,Male,22.0
2014,Canada,data.Short-cycle tertiary,30 à 34 ans,Male,22.0
2015,Canada,data.Short-cycle tertiary,30 à 34 ans,Male,23.0
2016,Canada,data.Short-cycle tertiary,30 à 34 ans,Male,22.0
2017,Canada,data.Short-cycle tertiary,30 à 34 ans,Male,22.0
2018,Canada,data.Short-cycle tertiary,30 à 34 ans,Male,22.0
2019,Canada,data.Short-cycle tertiary,30 à 34 ans,Male,22.0
2020,Canada,data.Short-cycle tertiary,30 à 34 ans,Male,21.0
2010,Canada,data.Short-cycle tertiary,30 à 34 ans,Female,31.0
2011,Canada,data.Short-cycle tertiary,30 à 34 ans,Female,30.0
2012,Canada,data.Short-cycle tertiary,30 à 34 ans,Female,30.0
2013,Canada,data.Short-cycle tertiary,30 à 34 ans,Female,29.0
2014,Canada,data.Short-cycle tertiary,30 à 34 ans,Female,28.0
2015,Canada,data.Short-cycle tertiary,30 à 34 ans,Female,29.0
2016,Canada,data.Short-cycle tertiary,30 à 34 ans,Female,28.0
2017,Canada,data.Short-cycle tertiary,30 à 34 ans,Female,28.0
2018,Canada,data.Short-cycle tertiary,30 à 34 ans,Female,28.0
2019,Canada,data.Short-cycle tertiary,30 à 34 ans,Female,28.0
2020,Canada,data.Short-cycle tertiary,30 à 34 ans,Female,29.0
2010,Canada,data.Short-cycle tertiary,35 to 44 years,Les deux sexes,26.0
2011,Canada,data.Short-cycle tertiary,35 to 44 years,Les deux sexes,26.0
2012,Canada,data.Short-cycle tertiary,35 to 44 years,Les deux sexes,27.0
2013,Canada,data.Short-cycle tertiary,35 to 44 years,Les deux sexes,27.0
2014,Canada,data.Short-cycle tertiary,35 to 44 years,Les deux sexes,27.0
2015,Canada,data.Short-cycle tertiary,35 to 44 years,Les deux sexes,28.0
2016,Canada,data.Short-cycle tertiary,35 to 44 years,Les deux sexes,27.0
2017,Canada,data.Short-cycle tertiary,35 to 44 years,Les deux sexes,27.0
2018,Canada,data.Short-cycle tertiary,35 to 44 years,Les deux sexes,27.0
2019,Canada,data.Short-cycle tertiary,35 to 44 years,Les deux sexes,27.0
2020,Canada,data.Short-cycle tertiary,35 to 44 years,Les deux sexes,26.0
2010,Canada,data.Short-cycle tertiary,35 to 44 years,Male,22.0
2011,Canada,data.Short-cycle tertiary,35 to 44 years,Male,22.0
2012,Canada,data.Short-cycle tertiary,35 to 44 years,Male,23.0
2013,Canada,data.Short-cycle tertiary,35 to 44 years,Male,23.0
2014,Canada,data.Short-cycle tertiary,35 to 44 years,Male,24.0
2015,Canada,data.Short-cycle tertiary,35 to 44 years,Male,24.0
2016,Canada,data.Short-cycle tertiary,35 to 44 years,Male,24.0
2017,Canada,data.Short-cycle tertiary,35 to 44 years,Male,24.0
2018,Canada,data.Short-cycle tertiary,35 to 44 years,Male,23.0
2019,Canada,data.Short-cycle tertiary,35 to 44 years,Male,24.0
2020,Canada,data.Short-cycle tertiary,35 to 44 years,Male,23.0
2010,Canada,data.Short-cycle tertiary,35 to 44 years,Female,30.0
2011,Canada,data.Short-cycle tertiary,35 to 44 years,Female,31.0
2012,Canada,data.Short-cycle tertiary,35 to 44 years,Female,30.0
2013,Canada,data.Short-cycle tertiary,35 to 44 years,Female,31.0
2014,Canada,data.Short-cycle tertiary,35 to 44 years,Female,30.0
2015,Canada,data.Short-cycle tertiary,35 to 44 years,Female,31.0
2016,Canada,data.Short-cycle tertiary,35 to 44 years,Female,30.0
2017,Canada,data.Short-cycle tertiary,35 to 44 years,Female,31.0
2018,Canada,data.Short-cycle tertiary,35 to 44 years,Female,31.0
2019,Canada,data.Short-cycle tertiary,35 to 44 years,Female,30.0
2020,Canada,data.Short-cycle tertiary,35 to 44 years,Female,29.0
2010,Canada,data.Short-cycle tertiary,45 to 54 years,Les deux sexes,24.0
2011,Canada,data.Short-cycle tertiary,45 to 54 years,Les deux sexes,25.0
2012,Canada,data.Short-cycle tertiary,45 to 54 years,Les deux sexes,25.0
2013,Canada,data.Short-cycle tertiary,45 to 54 years,Les deux sexes,25.0
2014,Canada,data.Short-cycle tertiary,45 to 54 years,Les deux sexes,26.0
2015,Canada,data.Short-cycle tertiary,45 to 54 years,Les deux sexes,27.0
2016,Canada,data.Short-cycle tertiary,45 to 54 years,Les deux sexes,27.0
2017,Canada,data.Short-cycle tertiary,45 to 54 years,Les deux sexes,26.0
2018,Canada,data.Short-cycle tertiary,45 to 54 years,Les deux sexes,28.0
2019,Canada,data.Short-cycle tertiary,45 to 54 years,Les deux sexes,28.0
2020,Canada,data.Short-cycle tertiary,45 to 54 years,Les deux sexes,27.0
2010,Canada,data.Short-cycle tertiary,45 to 54 years,Male,20.0
2011,Canada,data.Short-cycle tertiary,45 to 54 years,Male,21.0
2012,Canada,data.Short-cycle tertiary,45 to 54 years,Male,21.0
2013,Canada,data.Short-cycle tertiary,45 to 54 years,Male,21.0
2014,Canada,data.Short-cycle tertiary,45 to 54 years,Male,22.0
2015,Canada,data.Short-cycle tertiary,45 to 54 years,Male,23.0
2016,Canada,data.Short-cycle tertiary,45 to 54 years,Male,22.0
2017,Canada,data.Short-cycle tertiary,45 to 54 years,Male,22.0
2018,Canada,data.Short-cycle tertiary,45 to 54 years,Male,23.0
2019,Canada,data.Short-cycle tertiary,45 to 54 years,Male,24.0
2020,Canada,data.Short-cycle tertiary,45 to 54 years,Male,23.0
2010,Canada,data.Short-cycle tertiary,45 to 54 years,Female,28.0
2011,Canada,data.Short-cycle tertiary,45 to 54 years,Female,30.0
2012,Canada,data.Short-cycle tertiary,45 to 54 years,Female,30.0
2013,Canada,data.Short-cycle tertiary,45 to 54 years,Female,30.0
2014,Canada,data.Short-cycle tertiary,45 to 54 years,Female,30.0
2015,Canada,data.Short-cycle tertiary,45 to 54 years,Female,31.0
2016,Canada,data.Short-cycle tertiary,45 to 54 years,Female,31.0
2017,Canada,data.Short-cycle tertiary,45 to 54 years,Female,31.0
2018,Canada,data.Short-cycle tertiary,45 to 54 years,Female,32.0
2019,Canada,data.Short-cycle tertiary,45 to 54 years,Female,32.0
2020,Canada,data.Short-cycle tertiary,45 to 54 years,Female,31.0
2010,Canada,data.Short-cycle tertiary,55 à 64 ans,Les deux sexes,20.0
2011,Canada,data.Short-cycle tertiary,55 à 64 ans,Les deux sexes,21.0
2012,Canada,data.Short-cycle tertiary,55 à 64 ans,Les deux sexes,22.0
2013,Canada,data.Short-cycle tertiary,55 à 64 ans,Les deux sexes,22.0
2014,Canada,data.Short-cycle tertiary,55 à 64 ans,Les deux sexes,23.0
2015,Canada,data.Short-cycle tertiary,55 à 64 ans,Les deux sexes,23.0
2016,Canada,data.Short-cycle tertiary,55 à 64 ans,Les deux sexes,24.0
2017,Canada,data.Short-cycle tertiary,55 à 64 ans,Les deux sexes,24.0
2018,Canada,data.Short-cycle tertiary,55 à 64 ans,Les deux sexes,25.0
2019,Canada,data.Short-cycle tertiary,55 à 64 ans,Les deux sexes,26.0
2020,Canada,data.Short-cycle tertiary,55 à 64 ans,Les deux sexes,25.0
2010,Canada,data.Short-cycle tertiary,55 à 64 ans,Male,17.0
2011,Canada,data.Short-cycle tertiary,55 à 64 ans,Male,18.0
2012,Canada,data.Short-cycle tertiary,55 à 64 ans,Male,18.0
2013,Canada,data.Short-cycle tertiary,55 à 64 ans,Male,18.0
2014,Canada,data.Short-cycle tertiary,55 à 64 ans,Male,19.0
2015,Canada,data.Short-cycle tertiary,55 à 64 ans,Male,19.0
2016,Canada,data.Short-cycle tertiary,55 à 64 ans,Male,20.0
2017,Canada,data.Short-cycle tertiary,55 à 64 ans,Male,20.0
2018,Canada,data.Short-cycle tertiary,55 à 64 ans,Male,21.0
2019,Canada,data.Short-cycle tertiary,55 à 64 ans,Male,22.0
2020,Canada,data.Short-cycle tertiary,55 à 64 ans,Male,21.0
2010,Canada,data.Short-cycle tertiary,55 à 64 ans,Female,24.0
2011,Canada,data.Short-cycle tertiary,55 à 64 ans,Female,24.0
2012,Canada,data.Short-cycle tertiary,55 à 64 ans,Female,26.0
2013,Canada,data.Short-cycle tertiary,55 à 64 ans,Female,26.0
2014,Canada,data.Short-cycle tertiary,55 à 64 ans,Female,26.0
2015,Canada,data.Short-cycle tertiary,55 à 64 ans,Female,27.0
2016,Canada,data.Short-cycle tertiary,55 à 64 ans,Female,28.0
2017,Canada,data.Short-cycle tertiary,55 à 64 ans,Female,28.0
2018,Canada,data.Short-cycle tertiary,55 à 64 ans,Female,29.0
