Year,data.Geography,Groupe d'activité,Âge,Sexe,Value
2015,Canada,Magasinage de biens ou de services,35 to 44 years,Les deux sexes,1.7
2015,Canada,Magasinage de biens ou de services,35 to 44 years,Male,1.7
2015,Canada,Magasinage de biens ou de services,35 to 44 years,Female,2.1
2015,Canada,Magasinage de biens ou de services,45 to 54 years,Les deux sexes,2.1
2015,Canada,Magasinage de biens ou de services,45 to 54 years,Male,1.7
2015,Canada,Magasinage de biens ou de services,45 to 54 years,Female,2.5
2015,Canada,Magasinage de biens ou de services,55 to 64 years,Les deux sexes,2.5
2015,Canada,Magasinage de biens ou de services,55 to 64 years,Male,2.1
2015,Canada,Magasinage de biens ou de services,55 to 64 years,Female,2.9
2015,Canada,Magasinage de biens ou de services,65 ans et plus,Les deux sexes,2.5
2015,Canada,Magasinage de biens ou de services,65 ans et plus,Male,2.5
2015,Canada,Magasinage de biens ou de services,65 ans et plus,Female,2.9
2015,Atlantique,Activités de travail non-rémunéré,"Total, 15 ans et plus",Les deux sexes,13.3
2015,Atlantique,Activités de travail non-rémunéré,"Total, 15 ans et plus",Male,11.3
2015,Atlantique,Activités de travail non-rémunéré,"Total, 15 ans et plus",Female,15.4
2015,Atlantique,Activités de travail non-rémunéré,15 to 24 years,Les deux sexes,5.8
2015,Atlantique,Activités de travail non-rémunéré,15 to 24 years,Male,5.4
2015,Atlantique,Activités de travail non-rémunéré,15 to 24 years,Female,6.3
2015,Atlantique,Activités de travail non-rémunéré,25 to 54 years,Les deux sexes,13.8
2015,Atlantique,Activités de travail non-rémunéré,25 to 54 years,Male,11.3
2015,Atlantique,Activités de travail non-rémunéré,25 to 54 years,Female,16.3
2015,Atlantique,Activités de travail non-rémunéré,25 to 34 years,Les deux sexes,12.5
2015,Atlantique,Activités de travail non-rémunéré,25 to 34 years,Male,8.8
2015,Atlantique,Activités de travail non-rémunéré,25 to 34 years,Female,15.8
2015,Atlantique,Activités de travail non-rémunéré,35 to 44 years,Les deux sexes,14.6
2015,Atlantique,Activités de travail non-rémunéré,35 to 44 years,Male,12.5
2015,Atlantique,Activités de travail non-rémunéré,35 to 44 years,Female,17.1
2015,Atlantique,Activités de travail non-rémunéré,45 to 54 years,Les deux sexes,14.2
2015,Atlantique,Activités de travail non-rémunéré,45 to 54 years,Male,11.7
2015,Atlantique,Activités de travail non-rémunéré,45 to 54 years,Female,16.3
2015,Atlantique,Activités de travail non-rémunéré,55 to 64 years,Les deux sexes,15.4
2015,Atlantique,Activités de travail non-rémunéré,55 to 64 years,Male,13.3
2015,Atlantique,Activités de travail non-rémunéré,55 to 64 years,Female,17.5
2015,Atlantique,Activités de travail non-rémunéré,65 ans et plus,Les deux sexes,15.0
2015,Atlantique,Activités de travail non-rémunéré,65 ans et plus,Male,13.3
2015,Atlantique,Activités de travail non-rémunéré,65 ans et plus,Female,16.7
2015,Atlantique,Tâches domestiques,"Total, 15 ans et plus",Les deux sexes,9.2
2015,Atlantique,Tâches domestiques,"Total, 15 ans et plus",Male,8.3
2015,Atlantique,Tâches domestiques,"Total, 15 ans et plus",Female,10.4
2015,Atlantique,Tâches domestiques,15 to 24 years,Les deux sexes,4.2
2015,Atlantique,Tâches domestiques,15 to 24 years,Male,4.6
2015,Atlantique,Tâches domestiques,15 to 24 years,Female,3.8
2015,Atlantique,Tâches domestiques,25 to 54 years,Les deux sexes,8.8
2015,Atlantique,Tâches domestiques,25 to 54 years,Male,7.5
2015,Atlantique,Tâches domestiques,25 to 54 years,Female,10.0
2015,Atlantique,Tâches domestiques,25 to 34 years,Les deux sexes,6.7
2015,Atlantique,Tâches domestiques,25 to 34 years,Male,5.4
2015,Atlantique,Tâches domestiques,25 to 34 years,Female,7.9
2015,Atlantique,Tâches domestiques,35 to 44 years,Les deux sexes,8.8
2015,Atlantique,Tâches domestiques,35 to 44 years,Male,7.1
2015,Atlantique,Tâches domestiques,35 to 44 years,Female,10.4
2015,Atlantique,Tâches domestiques,45 to 54 years,Les deux sexes,10.4
2015,Atlantique,Tâches domestiques,45 to 54 years,Male,9.6
2015,Atlantique,Tâches domestiques,45 to 54 years,Female,11.7
2015,Atlantique,Tâches domestiques,55 to 64 years,Les deux sexes,12.1
2015,Atlantique,Tâches domestiques,55 to 64 years,Male,10.8
2015,Atlantique,Tâches domestiques,55 to 64 years,Female,12.9
2015,Atlantique,Tâches domestiques,65 ans et plus,Les deux sexes,11.7
2015,Atlantique,Tâches domestiques,65 ans et plus,Male,10.0
2015,Atlantique,Tâches domestiques,65 ans et plus,Female,13.3
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,"Total, 15 ans et plus",Les deux sexes,1.3
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,"Total, 15 ans et plus",Male,0.8
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,"Total, 15 ans et plus",Female,1.7
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,15 to 24 years,Les deux sexes,
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,15 to 24 years,Male,
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,15 to 24 years,Female,
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,25 to 54 years,Les deux sexes,2.5
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,25 to 54 years,Male,2.1
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,25 to 54 years,Female,3.3
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,25 to 34 years,Les deux sexes,3.8
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,25 to 34 years,Male,1.7
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,25 to 34 years,Female,5.8
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,35 to 44 years,Les deux sexes,3.8
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,35 to 44 years,Male,3.3
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,35 to 44 years,Female,4.2
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,45 to 54 years,Les deux sexes,0.8
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,45 to 54 years,Male,0.8
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,45 to 54 years,Female,0.8
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,55 to 64 years,Les deux sexes,0.4
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,55 to 64 years,Male,
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,55 to 64 years,Female,0.4
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,65 ans et plus,Les deux sexes,
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,65 ans et plus,Male,
2015,Atlantique,Soins à un enfant du ménage de moins de 18 ans,65 ans et plus,Female,
2015,Atlantique,Soins à un adulte du ménage,"Total, 15 ans et plus",Les deux sexes,
2015,Atlantique,Soins à un adulte du ménage,"Total, 15 ans et plus",Male,
2015,Atlantique,Soins à un adulte du ménage,"Total, 15 ans et plus",Female,
2015,Atlantique,Soins à un adulte du ménage,15 to 24 years,Les deux sexes,0.0
2015,Atlantique,Soins à un adulte du ménage,15 to 24 years,Male,0.0
2015,Atlantique,Soins à un adulte du ménage,15 to 24 years,Female,0.0
2015,Atlantique,Soins à un adulte du ménage,25 to 54 years,Les deux sexes,
2015,Atlantique,Soins à un adulte du ménage,25 to 54 years,Male,
2015,Atlantique,Soins à un adulte du ménage,25 to 54 years,Female,
2015,Atlantique,Soins à un adulte du ménage,25 to 34 years,Les deux sexes,
2015,Atlantique,Soins à un adulte du ménage,25 to 34 years,Male,
2015,Atlantique,Soins à un adulte du ménage,25 to 34 years,Female,
2015,Atlantique,Soins à un adulte du ménage,35 to 44 years,Les deux sexes,
2015,Atlantique,Soins à un adulte du ménage,35 to 44 years,Male,0.0
2015,Atlantique,Soins à un adulte du ménage,35 to 44 years,Female,
2015,Atlantique,Soins à un adulte du ménage,45 to 54 years,Les deux sexes,
2015,Atlantique,Soins à un adulte du ménage,45 to 54 years,Male,
2015,Atlantique,Soins à un adulte du ménage,45 to 54 years,Female,
2015,Atlantique,Soins à un adulte du ménage,55 to 64 years,Les deux sexes,
2015,Atlantique,Soins à un adulte du ménage,55 to 64 years,Male,
2015,Atlantique,Soins à un adulte du ménage,55 to 64 years,Female,
2015,Atlantique,Soins à un adulte du ménage,65 ans et plus,Les deux sexes,0.4
2015,Atlantique,Soins à un adulte du ménage,65 ans et plus,Male,
2015,Atlantique,Soins à un adulte du ménage,65 ans et plus,Female,
2015,Atlantique,Magasinage de biens ou de services,"Total, 15 ans et plus",Les deux sexes,2.1
2015,Atlantique,Magasinage de biens ou de services,"Total, 15 ans et plus",Male,1.7
2015,Atlantique,Magasinage de biens ou de services,"Total, 15 ans et plus",Female,2.5
2015,Atlantique,Magasinage de biens ou de services,15 to 24 years,Les deux sexes,0.8
2015,Atlantique,Magasinage de biens ou de services,15 to 24 years,Male,
2015,Atlantique,Magasinage de biens ou de services,15 to 24 years,Female,1.3
2015,Atlantique,Magasinage de biens ou de services,25 to 54 years,Les deux sexes,2.1
2015,Atlantique,Magasinage de biens ou de services,25 to 54 years,Male,1.3
2015,Atlantique,Magasinage de biens ou de services,25 to 54 years,Female,2.5
2015,Atlantique,Magasinage de biens ou de services,25 to 34 years,Les deux sexes,1.7
2015,Atlantique,Magasinage de biens ou de services,25 to 34 years,Male,1.3
2015,Atlantique,Magasinage de biens ou de services,25 to 34 years,Female,2.1
2015,Atlantique,Magasinage de biens ou de services,35 to 44 years,Les deux sexes,2.1
2015,Atlantique,Magasinage de biens ou de services,35 to 44 years,Male,1.7
2015,Atlantique,Magasinage de biens ou de services,35 to 44 years,Female,2.1
2015,Atlantique,Magasinage de biens ou de services,45 to 54 years,Les deux sexes,2.1
2015,Atlantique,Magasinage de biens ou de services,45 to 54 years,Male,0.8
2015,Atlantique,Magasinage de biens ou de services,45 to 54 years,Female,3.3
2015,Atlantique,Magasinage de biens ou de services,55 to 64 years,Les deux sexes,2.5
2015,Atlantique,Magasinage de biens ou de services,55 to 64 years,Male,1.7
2015,Atlantique,Magasinage de biens ou de services,55 to 64 years,Female,2.9
2015,Atlantique,Magasinage de biens ou de services,65 ans et plus,Les deux sexes,2.9
2015,Atlantique,Magasinage de biens ou de services,65 ans et plus,Male,2.9
2015,Atlantique,Magasinage de biens ou de services,65 ans et plus,Female,2.5
2015,Québec,Activités de travail non-rémunéré,"Total, 15 ans et plus",Les deux sexes,12.5
2015,Québec,Activités de travail non-rémunéré,"Total, 15 ans et plus",Male,10.4
2015,Québec,Activités de travail non-rémunéré,"Total, 15 ans et plus",Female,14.6
2015,Québec,Activités de travail non-rémunéré,15 to 24 years,Les deux sexes,5.4
2015,Québec,Activités de travail non-rémunéré,15 to 24 years,Male,4.6
2015,Québec,Activités de travail non-rémunéré,15 to 24 years,Female,5.8
2015,Québec,Activités de travail non-rémunéré,25 to 54 years,Les deux sexes,13.3
2015,Québec,Activités de travail non-rémunéré,25 to 54 years,Male,10.8
2015,Québec,Activités de travail non-rémunéré,25 to 54 years,Female,15.8
2015,Québec,Activités de travail non-rémunéré,25 to 34 years,Les deux sexes,12.1
2015,Québec,Activités de travail non-rémunéré,25 to 34 years,Male,8.8
2015,Québec,Activités de travail non-rémunéré,25 to 34 years,Female,15.8
2015,Québec,Activités de travail non-rémunéré,35 to 44 years,Les deux sexes,15.0
2015,Québec,Activités de travail non-rémunéré,35 to 44 years,Male,12.9
2015,Québec,Activités de travail non-rémunéré,35 to 44 years,Female,17.1
2015,Québec,Activités de travail non-rémunéré,45 to 54 years,Les deux sexes,12.5
2015,Québec,Activités de travail non-rémunéré,45 to 54 years,Male,10.8
2015,Québec,Activités de travail non-rémunéré,45 to 54 years,Female,14.6
2015,Québec,Activités de travail non-rémunéré,55 to 64 years,Les deux sexes,13.8
2015,Québec,Activités de travail non-rémunéré,55 to 64 years,Male,11.7
2015,Québec,Activités de travail non-rémunéré,55 to 64 years,Female,15.8
2015,Québec,Activités de travail non-rémunéré,65 ans et plus,Les deux sexes,14.2
2015,Québec,Activités de travail non-rémunéré,65 ans et plus,Male,11.7
2015,Québec,Activités de travail non-rémunéré,65 ans et plus,Female,16.3
2015,Québec,Tâches domestiques,"Total, 15 ans et plus",Les deux sexes,8.8
2015,Québec,Tâches domestiques,"Total, 15 ans et plus",Male,7.5
2015,Québec,Tâches domestiques,"Total, 15 ans et plus",Female,9.6
2015,Québec,Tâches domestiques,15 to 24 years,Les deux sexes,3.3
2015,Québec,Tâches domestiques,15 to 24 years,Male,3.8
2015,Québec,Tâches domestiques,15 to 24 years,Female,3.3
2015,Québec,Tâches domestiques,25 to 54 years,Les deux sexes,8.3
2015,Québec,Tâches domestiques,25 to 54 years,Male,7.1
2015,Québec,Tâches domestiques,25 to 54 years,Female,9.2
2015,Québec,Tâches domestiques,25 to 34 years,Les deux sexes,6.3
2015,Québec,Tâches domestiques,25 to 34 years,Male,4.6
2015,Québec,Tâches domestiques,25 to 34 years,Female,7.9
2015,Québec,Tâches domestiques,35 to 44 years,Les deux sexes,8.8
2015,Québec,Tâches domestiques,35 to 44 years,Male,7.9
2015,Québec,Tâches domestiques,35 to 44 years,Female,10.0
2015,Québec,Tâches domestiques,45 to 54 years,Les deux sexes,9.6
2015,Québec,Tâches domestiques,45 to 54 years,Male,8.8
2015,Québec,Tâches domestiques,45 to 54 years,Female,10.4
2015,Québec,Tâches domestiques,55 to 64 years,Les deux sexes,10.4
2015,Québec,Tâches domestiques,55 to 64 years,Male,9.2
2015,Québec,Tâches domestiques,55 to 64 years,Female,12.1
2015,Québec,Tâches domestiques,65 ans et plus,Les deux sexes,11.3
2015,Québec,Tâches domestiques,65 ans et plus,Male,9.2
2015,Québec,Tâches domestiques,65 ans et plus,Female,12.9
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,"Total, 15 ans et plus",Les deux sexes,1.7
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,"Total, 15 ans et plus",Male,1.3
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,"Total, 15 ans et plus",Female,2.1
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,15 to 24 years,Les deux sexes,
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,15 to 24 years,Male,
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,15 to 24 years,Female,
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,25 to 54 years,Les deux sexes,2.9
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,25 to 54 years,Male,2.1
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,25 to 54 years,Female,3.8
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,25 to 34 years,Les deux sexes,4.2
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,25 to 34 years,Male,2.5
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,25 to 34 years,Female,5.8
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,35 to 44 years,Les deux sexes,3.8
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,35 to 44 years,Male,2.9
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,35 to 44 years,Female,5.0
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,45 to 54 years,Les deux sexes,0.8
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,45 to 54 years,Male,0.8
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,45 to 54 years,Female,0.8
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,55 to 64 years,Les deux sexes,
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,55 to 64 years,Male,
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,55 to 64 years,Female,
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,65 ans et plus,Les deux sexes,0.4
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,65 ans et plus,Male,
2015,Québec,Soins à un enfant du ménage de moins de 18 ans,65 ans et plus,Female,
2015,Québec,Soins à un adulte du ménage,"Total, 15 ans et plus",Les deux sexes,
2015,Québec,Soins à un adulte du ménage,"Total, 15 ans et plus",Male,
2015,Québec,Soins à un adulte du ménage,"Total, 15 ans et plus",Female,
2015,Québec,Soins à un adulte du ménage,15 to 24 years,Les deux sexes,
2015,Québec,Soins à un adulte du ménage,15 to 24 years,Male,
2015,Québec,Soins à un adulte du ménage,15 to 24 years,Female,0.0
2015,Québec,Soins à un adulte du ménage,25 to 54 years,Les deux sexes,
2015,Québec,Soins à un adulte du ménage,25 to 54 years,Male,
2015,Québec,Soins à un adulte du ménage,25 to 54 years,Female,
2015,Québec,Soins à un adulte du ménage,25 to 34 years,Les deux sexes,
2015,Québec,Soins à un adulte du ménage,25 to 34 years,Male,
2015,Québec,Soins à un adulte du ménage,25 to 34 years,Female,
2015,Québec,Soins à un adulte du ménage,35 to 44 years,Les deux sexes,
2015,Québec,Soins à un adulte du ménage,35 to 44 years,Male,
2015,Québec,Soins à un adulte du ménage,35 to 44 years,Female,
2015,Québec,Soins à un adulte du ménage,45 to 54 years,Les deux sexes,
2015,Québec,Soins à un adulte du ménage,45 to 54 years,Male,
2015,Québec,Soins à un adulte du ménage,45 to 54 years,Female,
2015,Québec,Soins à un adulte du ménage,55 to 64 years,Les deux sexes,
2015,Québec,Soins à un adulte du ménage,55 to 64 years,Male,
2015,Québec,Soins à un adulte du ménage,55 to 64 years,Female,
2015,Québec,Soins à un adulte du ménage,65 ans et plus,Les deux sexes,
2015,Québec,Soins à un adulte du ménage,65 ans et plus,Male,
2015,Québec,Soins à un adulte du ménage,65 ans et plus,Female,
2015,Québec,Magasinage de biens ou de services,"Total, 15 ans et plus",Les deux sexes,2.1
2015,Québec,Magasinage de biens ou de services,"Total, 15 ans et plus",Male,1.7
2015,Québec,Magasinage de biens ou de services,"Total, 15 ans et plus",Female,2.5
2015,Québec,Magasinage de biens ou de services,15 to 24 years,Les deux sexes,1.3
2015,Québec,Magasinage de biens ou de services,15 to 24 years,Male,0.8
2015,Québec,Magasinage de biens ou de services,15 to 24 years,Female,1.7
2015,Québec,Magasinage de biens ou de services,25 to 54 years,Les deux sexes,1.7
2015,Québec,Magasinage de biens ou de services,25 to 54 years,Male,1.3
2015,Québec,Magasinage de biens ou de services,25 to 54 years,Female,2.1
2015,Québec,Magasinage de biens ou de services,25 to 34 years,Les deux sexes,1.7
2015,Québec,Magasinage de biens ou de services,25 to 34 years,Male,1.3
2015,Québec,Magasinage de biens ou de services,25 to 34 years,Female,2.1
2015,Québec,Magasinage de biens ou de services,35 to 44 years,Les deux sexes,1.7
2015,Québec,Magasinage de biens ou de services,35 to 44 years,Male,1.3
2015,Québec,Magasinage de biens ou de services,35 to 44 years,Female,2.1
2015,Québec,Magasinage de biens ou de services,45 to 54 years,Les deux sexes,2.1
2015,Québec,Magasinage de biens ou de services,45 to 54 years,Male,1.3
2015,Québec,Magasinage de biens ou de services,45 to 54 years,Female,2.9
2015,Québec,Magasinage de biens ou de services,55 to 64 years,Les deux sexes,2.5
2015,Québec,Magasinage de biens ou de services,55 to 64 years,Male,2.1
2015,Québec,Magasinage de biens ou de services,55 to 64 years,Female,2.5
2015,Québec,Magasinage de biens ou de services,65 ans et plus,Les deux sexes,2.5
2015,Québec,Magasinage de biens ou de services,65 ans et plus,Male,2.1
2015,Québec,Magasinage de biens ou de services,65 ans et plus,Female,2.5
2015,Ontario,Activités de travail non-rémunéré,"Total, 15 ans et plus",Les deux sexes,12.5
2015,Ontario,Activités de travail non-rémunéré,"Total, 15 ans et plus",Male,10.0
