Year,Géographie,Centres de population,GeoCode,Value
2021,Nouvelle-Écosse,Régions rurales,12,65.6
2021,Nouveau-Brunswick,Régions rurales,13,78.9
2021,Québec,Régions rurales,24,76.9
2021,Ontario,Régions rurales,35,57.1
2021,Manitoba,Régions rurales,46,38.8
2021,Saskatchewan,Régions rurales,47,48.1
2021,Alberta,Régions rurales,48,40.74
2021,Colombie-Britannique,Régions rurales,59,65.8
2021,Yukon,Régions rurales,60,24.0
2021,Territoires du Nord-Ouest,Régions rurales,61,17.7
2021,Nunavut,Régions rurales,62,
