Year,Géographie,Type de région,Mode d'occupation,Select housing-vulnerable populations,GeoCode,Value
2018,Terre-Neuve-et-Labrador,Régions rurales,Propriétaire qui est un accédant à la propriété,,,
2018,Terre-Neuve-et-Labrador,Régions rurales,Propriétaire qui n'est pas un accédant à la propriété,,,6.0
2018,Terre-Neuve-et-Labrador,Régions rurales,Locataire,,,24.0
2018,Terre-Neuve-et-Labrador,Régions rurales,Locataire n'habitant pas dans un logement social et abordable,,,20.0
2018,Terre-Neuve-et-Labrador,Régions rurales,Locataire habitant dans un logement social et abordable,,,55.0
2018,Île-du-Prince-Édouard,Province,"Total, mode d'occupation",,11,8.9
2018,Île-du-Prince-Édouard,Province,Propriétaire,,11,6.9
2018,Île-du-Prince-Édouard,Province,Propriétaire qui est un accédant à la propriété,,11,4.8
2018,Île-du-Prince-Édouard,Province,Propriétaire qui n'est pas un accédant à la propriété,,11,7.1
2018,Île-du-Prince-Édouard,Province,Locataire,,11,13.8
2018,Île-du-Prince-Édouard,Province,Locataire n'habitant pas dans un logement social et abordable,,11,12.2
2018,Île-du-Prince-Édouard,Province,Locataire habitant dans un logement social et abordable,,11,23.0
2018,Île-du-Prince-Édouard,,"Total, mode d'occupation",,,9.3
2018,Île-du-Prince-Édouard,,Propriétaire,,,4.4
2018,Île-du-Prince-Édouard,,Propriétaire qui est un accédant à la propriété,,,6.1
2018,Île-du-Prince-Édouard,,Propriétaire qui n'est pas un accédant à la propriété,,,4.0
2018,Île-du-Prince-Édouard,,Locataire,,,15.5
2018,Île-du-Prince-Édouard,,Locataire n'habitant pas dans un logement social et abordable,,,12.9
2018,Île-du-Prince-Édouard,,Locataire habitant dans un logement social et abordable,,,31.0
2018,Île-du-Prince-Édouard,Petits centres de population,"Total, mode d'occupation",,,7.6
2018,Île-du-Prince-Édouard,Petits centres de population,Propriétaire,,,7.3
2018,Île-du-Prince-Édouard,Petits centres de population,Propriétaire qui est un accédant à la propriété,,,
2018,Île-du-Prince-Édouard,Petits centres de population,Propriétaire qui n'est pas un accédant à la propriété,,,8.2
2018,Île-du-Prince-Édouard,Petits centres de population,Locataire,,,8.2
2018,Île-du-Prince-Édouard,Petits centres de population,Locataire n'habitant pas dans un logement social et abordable,,,6.7
2018,Île-du-Prince-Édouard,Petits centres de population,Locataire habitant dans un logement social et abordable,,,14.6
2018,Île-du-Prince-Édouard,Régions rurales,"Total, mode d'occupation",,,8.8
2018,Île-du-Prince-Édouard,Régions rurales,Propriétaire,,,8.0
2018,Île-du-Prince-Édouard,Régions rurales,Propriétaire qui est un accédant à la propriété,,,
2018,Île-du-Prince-Édouard,Régions rurales,Propriétaire qui n'est pas un accédant à la propriété,,,8.3
2018,Île-du-Prince-Édouard,Régions rurales,Locataire,,,14.1
2018,Île-du-Prince-Édouard,Régions rurales,Locataire n'habitant pas dans un logement social et abordable,,,14.4
2018,Île-du-Prince-Édouard,Régions rurales,Locataire habitant dans un logement social et abordable,,,12.2
2018,Nouvelle-Écosse,Province,"Total, mode d'occupation",,12,11.0
2018,Nouvelle-Écosse,Province,Propriétaire,,12,5.2
2018,Nouvelle-Écosse,Province,Propriétaire qui est un accédant à la propriété,,12,4.9
2018,Nouvelle-Écosse,Province,Propriétaire qui n'est pas un accédant à la propriété,,12,5.2
2018,Nouvelle-Écosse,Province,Locataire,,12,25.0
2018,Nouvelle-Écosse,Province,Locataire n'habitant pas dans un logement social et abordable,,12,22.0
2018,Nouvelle-Écosse,Province,Locataire habitant dans un logement social et abordable,,12,43.0
2018,Nouvelle-Écosse,Grands centres de population urbains,"Total, mode d'occupation",,,14.7
2018,Nouvelle-Écosse,Grands centres de population urbains,Propriétaire,,,5.1
2018,Nouvelle-Écosse,Grands centres de population urbains,Propriétaire qui est un accédant à la propriété,,,3.0
2018,Nouvelle-Écosse,Grands centres de population urbains,Propriétaire qui n'est pas un accédant à la propriété,,,5.5
2018,Nouvelle-Écosse,Grands centres de population urbains,Locataire,,,26.0
2018,Nouvelle-Écosse,Grands centres de population urbains,Locataire n'habitant pas dans un logement social et abordable,,,24.0
2018,Nouvelle-Écosse,Grands centres de population urbains,Locataire habitant dans un logement social et abordable,,,45.0
2018,Nouvelle-Écosse,,"Total, mode d'occupation",,,9.0
2018,Nouvelle-Écosse,,Propriétaire,,,4.4
2018,Nouvelle-Écosse,,Propriétaire qui est un accédant à la propriété,,,
2018,Nouvelle-Écosse,,Propriétaire qui n'est pas un accédant à la propriété,,,4.8
2018,Nouvelle-Écosse,,Locataire,,,15.0
2018,Nouvelle-Écosse,,Locataire n'habitant pas dans un logement social et abordable,,,6.3
2018,Nouvelle-Écosse,,Locataire habitant dans un logement social et abordable,,,37.0
2018,Nouvelle-Écosse,Petits centres de population,"Total, mode d'occupation",,,13.9
2018,Nouvelle-Écosse,Petits centres de population,Propriétaire,,,4.6
2018,Nouvelle-Écosse,Petits centres de population,Propriétaire qui est un accédant à la propriété,,,11.2
2018,Nouvelle-Écosse,Petits centres de population,Propriétaire qui n'est pas un accédant à la propriété,,,3.8
2018,Nouvelle-Écosse,Petits centres de population,Locataire,,,29.0
2018,Nouvelle-Écosse,Petits centres de population,Locataire n'habitant pas dans un logement social et abordable,,,25.0
2018,Nouvelle-Écosse,Petits centres de population,Locataire habitant dans un logement social et abordable,,,44.0
2018,Nouvelle-Écosse,Régions rurales,"Total, mode d'occupation",,,6.6
2018,Nouvelle-Écosse,Régions rurales,Propriétaire,,,5.4
2018,Nouvelle-Écosse,Régions rurales,Propriétaire qui est un accédant à la propriété,,,3.8
2018,Nouvelle-Écosse,Régions rurales,Propriétaire qui n'est pas un accédant à la propriété,,,5.6
2018,Nouvelle-Écosse,Régions rurales,Locataire,,,16.4
2018,Nouvelle-Écosse,Régions rurales,Locataire n'habitant pas dans un logement social et abordable,,,11.0
2018,Nouvelle-Écosse,Régions rurales,Locataire habitant dans un logement social et abordable,,,41.0
2018,Nouveau-Brunswick,Province,"Total, mode d'occupation",,13,7.3
2018,Nouveau-Brunswick,Province,Propriétaire,,13,3.3
2018,Nouveau-Brunswick,Province,Propriétaire qui est un accédant à la propriété,,13,0.6
2018,Nouveau-Brunswick,Province,Propriétaire qui n'est pas un accédant à la propriété,,13,3.6
2018,Nouveau-Brunswick,Province,Locataire,,13,19.3
2018,Nouveau-Brunswick,Province,Locataire n'habitant pas dans un logement social et abordable,,13,17.6
2018,Nouveau-Brunswick,Province,Locataire habitant dans un logement social et abordable,,13,30.0
2018,Nouveau-Brunswick,Grands centres de population urbains,"Total, mode d'occupation",,,9.2
2018,Nouveau-Brunswick,Grands centres de population urbains,Propriétaire,,,3.0
2018,Nouveau-Brunswick,Grands centres de population urbains,Propriétaire qui est un accédant à la propriété,,,
2018,Nouveau-Brunswick,Grands centres de population urbains,Propriétaire qui n'est pas un accédant à la propriété,,,3.6
2018,Nouveau-Brunswick,Grands centres de population urbains,Locataire,,,20.0
2018,Nouveau-Brunswick,Grands centres de population urbains,Locataire n'habitant pas dans un logement social et abordable,,,18.4
2018,Nouveau-Brunswick,Grands centres de population urbains,Locataire habitant dans un logement social et abordable,,,32.0
2018,Nouveau-Brunswick,,"Total, mode d'occupation",,,9.9
2018,Nouveau-Brunswick,,Propriétaire,,,3.5
2018,Nouveau-Brunswick,,Propriétaire qui est un accédant à la propriété,,,
2018,Nouveau-Brunswick,,Propriétaire qui n'est pas un accédant à la propriété,,,3.8
2018,Nouveau-Brunswick,,Locataire,,,18.3
2018,Nouveau-Brunswick,,Locataire n'habitant pas dans un logement social et abordable,,,16.9
2018,Nouveau-Brunswick,,Locataire habitant dans un logement social et abordable,,,27.0
2018,Nouveau-Brunswick,Petits centres de population,"Total, mode d'occupation",,,6.1
2018,Nouveau-Brunswick,Petits centres de population,Propriétaire,,,1.3
2018,Nouveau-Brunswick,Petits centres de population,Propriétaire qui est un accédant à la propriété,,,
2018,Nouveau-Brunswick,Petits centres de population,Propriétaire qui n'est pas un accédant à la propriété,,,1.4
2018,Nouveau-Brunswick,Petits centres de population,Locataire,,,15.5
2018,Nouveau-Brunswick,Petits centres de population,Locataire n'habitant pas dans un logement social et abordable,,,12.9
2018,Nouveau-Brunswick,Petits centres de population,Locataire habitant dans un logement social et abordable,,,30.0
2018,Nouveau-Brunswick,Régions rurales,"Total, mode d'occupation",,,6.1
2018,Nouveau-Brunswick,Régions rurales,Propriétaire,,,3.9
2018,Nouveau-Brunswick,Régions rurales,Propriétaire qui est un accédant à la propriété,,,
2018,Nouveau-Brunswick,Régions rurales,Propriétaire qui n'est pas un accédant à la propriété,,,4.2
2018,Nouveau-Brunswick,Régions rurales,Locataire,,,25.0
2018,Nouveau-Brunswick,Régions rurales,Locataire n'habitant pas dans un logement social et abordable,,,24.0
2018,Nouveau-Brunswick,Régions rurales,Locataire habitant dans un logement social et abordable,,,30.0
2018,Québec,Province,"Total, mode d'occupation",,24,7.2
2018,Québec,Province,Propriétaire,,24,2.0
2018,Québec,Province,Propriétaire qui est un accédant à la propriété,,24,1.8
2018,Québec,Province,Propriétaire qui n'est pas un accédant à la propriété,,24,2.0
2018,Québec,Province,Locataire,,24,15.6
2018,Québec,Province,Locataire n'habitant pas dans un logement social et abordable,,24,15.6
2018,Québec,Province,Locataire habitant dans un logement social et abordable,,24,15.9
2018,Québec,Grands centres de population urbains,"Total, mode d'occupation",,,8.2
2018,Québec,Grands centres de population urbains,Propriétaire,,,1.7
2018,Québec,Grands centres de population urbains,Propriétaire qui est un accédant à la propriété,,,1.8
2018,Québec,Grands centres de population urbains,Propriétaire qui n'est pas un accédant à la propriété,,,1.6
2018,Québec,Grands centres de population urbains,Locataire,,,16.0
2018,Québec,Grands centres de population urbains,Locataire n'habitant pas dans un logement social et abordable,,,15.9
2018,Québec,Grands centres de population urbains,Locataire habitant dans un logement social et abordable,,,16.6
2018,Québec,,"Total, mode d'occupation",,,8.5
2018,Québec,,Propriétaire,,,1.5
2018,Québec,,Propriétaire qui est un accédant à la propriété,,,
2018,Québec,,Propriétaire qui n'est pas un accédant à la propriété,,,1.6
2018,Québec,,Locataire,,,19.1
2018,Québec,,Locataire n'habitant pas dans un logement social et abordable,,,19.5
2018,Québec,,Locataire habitant dans un logement social et abordable,,,14.8
2018,Québec,Petits centres de population,"Total, mode d'occupation",,,4.3
2018,Québec,Petits centres de population,Propriétaire,,,0.6
2018,Québec,Petits centres de population,Propriétaire qui est un accédant à la propriété,,,
2018,Québec,Petits centres de population,Propriétaire qui n'est pas un accédant à la propriété,,,0.7
2018,Québec,Petits centres de population,Locataire,,,11.2
2018,Québec,Petits centres de population,Locataire n'habitant pas dans un logement social et abordable,,,10.6
2018,Québec,Petits centres de population,Locataire habitant dans un logement social et abordable,,,14.8
2018,Québec,Régions rurales,"Total, mode d'occupation",,,5.2
2018,Québec,Régions rurales,Propriétaire,,,3.7
2018,Québec,Régions rurales,Propriétaire qui est un accédant à la propriété,,,3.4
2018,Québec,Régions rurales,Propriétaire qui n'est pas un accédant à la propriété,,,3.7
2018,Québec,Régions rurales,Locataire,,,15.0
2018,Québec,Régions rurales,Locataire n'habitant pas dans un logement social et abordable,,,15.3
2018,Québec,Régions rurales,Locataire habitant dans un logement social et abordable,,,12.7
2018,Ontario,Province,"Total, mode d'occupation",,35,13.4
2018,Ontario,Province,Propriétaire,,35,7.9
2018,Ontario,Province,Propriétaire qui est un accédant à la propriété,,35,8.2
2018,Ontario,Province,Propriétaire qui n'est pas un accédant à la propriété,,35,7.9
2018,Ontario,Province,Locataire,,35,26.0
2018,Ontario,Province,Locataire n'habitant pas dans un logement social et abordable,,35,26.0
2018,Ontario,Province,Locataire habitant dans un logement social et abordable,,35,30.0
2018,Ontario,Grands centres de population urbains,"Total, mode d'occupation",,,15.3
2018,Ontario,Grands centres de population urbains,Propriétaire,,,9.5
2018,Ontario,Grands centres de population urbains,Propriétaire qui est un accédant à la propriété,,,10.2
2018,Ontario,Grands centres de population urbains,Propriétaire qui n'est pas un accédant à la propriété,,,9.4
2018,Ontario,Grands centres de population urbains,Locataire,,,27.0
2018,Ontario,Grands centres de population urbains,Locataire n'habitant pas dans un logement social et abordable,,,26.0
2018,Ontario,Grands centres de population urbains,Locataire habitant dans un logement social et abordable,,,31.0
2018,Ontario,,"Total, mode d'occupation",,,9.4
2018,Ontario,,Propriétaire,,,4.7
2018,Ontario,,Propriétaire qui est un accédant à la propriété,,,
2018,Ontario,,Propriétaire qui n'est pas un accédant à la propriété,,,5.2
2018,Ontario,,Locataire,,,19.4
2018,Ontario,,Locataire n'habitant pas dans un logement social et abordable,,,18.6
2018,Ontario,,Locataire habitant dans un logement social et abordable,,,24.0
2018,Ontario,Petits centres de population,"Total, mode d'occupation",,,11.8
2018,Ontario,Petits centres de population,Propriétaire,,,4.5
2018,Ontario,Petits centres de population,Propriétaire qui est un accédant à la propriété,,,6.2
2018,Ontario,Petits centres de population,Propriétaire qui n'est pas un accédant à la propriété,,,4.3
2018,Ontario,Petits centres de population,Locataire,,,32.0
2018,Ontario,Petits centres de population,Locataire n'habitant pas dans un logement social et abordable,,,32.0
2018,Ontario,Petits centres de population,Locataire habitant dans un logement social et abordable,,,29.0
2018,Ontario,Régions rurales,"Total, mode d'occupation",,,6.8
2018,Ontario,Régions rurales,Propriétaire,,,5.3
2018,Ontario,Régions rurales,Propriétaire qui est un accédant à la propriété,,,1.1
2018,Ontario,Régions rurales,Propriétaire qui n'est pas un accédant à la propriété,,,5.7
2018,Ontario,Régions rurales,Locataire,,,17.9
2018,Ontario,Régions rurales,Locataire n'habitant pas dans un logement social et abordable,,,17.1
2018,Ontario,Régions rurales,Locataire habitant dans un logement social et abordable,,,27.0
2018,Manitoba,Province,"Total, mode d'occupation",,46,10.9
2018,Manitoba,Province,Propriétaire,,46,5.4
2018,Manitoba,Province,Propriétaire qui est un accédant à la propriété,,46,6.1
2018,Manitoba,Province,Propriétaire qui n'est pas un accédant à la propriété,,46,5.3
2018,Manitoba,Province,Locataire,,46,24.0
2018,Manitoba,Province,Locataire n'habitant pas dans un logement social et abordable,,46,21.0
2018,Manitoba,Province,Locataire habitant dans un logement social et abordable,,46,39.0
2018,Manitoba,Grands centres de population urbains,"Total, mode d'occupation",,,12.1
2018,Manitoba,Grands centres de population urbains,Propriétaire,,,5.2
2018,Manitoba,Grands centres de population urbains,Propriétaire qui est un accédant à la propriété,,,9.1
2018,Manitoba,Grands centres de population urbains,Propriétaire qui n'est pas un accédant à la propriété,,,4.6
2018,Manitoba,Grands centres de population urbains,Locataire,,,26.0
2018,Manitoba,Grands centres de population urbains,Locataire n'habitant pas dans un logement social et abordable,,,22.0
2018,Manitoba,Grands centres de population urbains,Locataire habitant dans un logement social et abordable,,,44.0
2018,Manitoba,,"Total, mode d'occupation",,,8.1
2018,Manitoba,,Propriétaire,,,2.6
2018,Manitoba,,Propriétaire qui est un accédant à la propriété,,,3.7
2018,Manitoba,,Propriétaire qui n'est pas un accédant à la propriété,,,2.3
2018,Manitoba,,Locataire,,,18.9
2018,Manitoba,,Locataire n'habitant pas dans un logement social et abordable,,,13.0
2018,Manitoba,,Locataire habitant dans un logement social et abordable,,,38.0
2018,Manitoba,Petits centres de population,"Total, mode d'occupation",,,8.7
2018,Manitoba,Petits centres de population,Propriétaire,,,4.2
2018,Manitoba,Petits centres de population,Propriétaire qui est un accédant à la propriété,,,
2018,Manitoba,Petits centres de population,Propriétaire qui n'est pas un accédant à la propriété,,,4.8
2018,Manitoba,Petits centres de population,Locataire,,,19.7
2018,Manitoba,Petits centres de population,Locataire n'habitant pas dans un logement social et abordable,,,16.6
2018,Manitoba,Petits centres de population,Locataire habitant dans un logement social et abordable,,,32.0
2018,Manitoba,Régions rurales,"Total, mode d'occupation",,,9.7
2018,Manitoba,Régions rurales,Propriétaire,,,7.5
2018,Manitoba,Régions rurales,Propriétaire qui est un accédant à la propriété,,,
2018,Manitoba,Régions rurales,Propriétaire qui n'est pas un accédant à la propriété,,,8.0
2018,Manitoba,Régions rurales,Locataire,,,25.0
2018,Manitoba,Régions rurales,Locataire n'habitant pas dans un logement social et abordable,,,27.0
2018,Manitoba,Régions rurales,Locataire habitant dans un logement social et abordable,,,22.0
2018,Saskatchewan,Province,"Total, mode d'occupation",,47,11.7
2018,Saskatchewan,Province,Propriétaire,,47,6.5
2018,Saskatchewan,Province,Propriétaire qui est un accédant à la propriété,,47,7.1
2018,Saskatchewan,Province,Propriétaire qui n'est pas un accédant à la propriété,,47,6.4
2018,Saskatchewan,Province,Locataire,,47,27.0
2018,Saskatchewan,Province,Locataire n'habitant pas dans un logement social et abordable,,47,19.8
2018,Saskatchewan,Province,Locataire habitant dans un logement social et abordable,,47,51.0
2018,Saskatchewan,Grands centres de population urbains,"Total, mode d'occupation",,,11.1
2018,Saskatchewan,Grands centres de population urbains,Propriétaire,,,4.4
2018,Saskatchewan,Grands centres de population urbains,Propriétaire qui est un accédant à la propriété,,,6.3
2018,Saskatchewan,Grands centres de population urbains,Propriétaire qui n'est pas un accédant à la propriété,,,4.0
2018,Saskatchewan,Grands centres de population urbains,Locataire,,,26.0
2018,Saskatchewan,Grands centres de population urbains,Locataire n'habitant pas dans un logement social et abordable,,,20.0
2018,Saskatchewan,Grands centres de population urbains,Locataire habitant dans un logement social et abordable,,,53.0
2018,Saskatchewan,,"Total, mode d'occupation",,,12.2
2018,Saskatchewan,,Propriétaire,,,4.6
2018,Saskatchewan,,Propriétaire qui est un accédant à la propriété,,,4.7
2018,Saskatchewan,,Propriétaire qui n'est pas un accédant à la propriété,,,4.6
2018,Saskatchewan,,Locataire,,,29.0
2018,Saskatchewan,,Locataire n'habitant pas dans un logement social et abordable,,,23.0
2018,Saskatchewan,,Locataire habitant dans un logement social et abordable,,,43.0
2018,Saskatchewan,Petits centres de population,"Total, mode d'occupation",,,10.7
2018,Saskatchewan,Petits centres de population,Propriétaire,,,5.9
2018,Saskatchewan,Petits centres de population,Propriétaire qui est un accédant à la propriété,,,11.0
2018,Saskatchewan,Petits centres de population,Propriétaire qui n'est pas un accédant à la propriété,,,5.1
2018,Saskatchewan,Petits centres de population,Locataire,,,27.0
2018,Saskatchewan,Petits centres de population,Locataire n'habitant pas dans un logement social et abordable,,,18.3
2018,Saskatchewan,Petits centres de population,Locataire habitant dans un logement social et abordable,,,49.0
2018,Saskatchewan,Régions rurales,"Total, mode d'occupation",,,13.9
2018,Saskatchewan,Régions rurales,Propriétaire,,,11.5
2018,Saskatchewan,Régions rurales,Propriétaire qui est un accédant à la propriété,,,6.3
2018,Saskatchewan,Régions rurales,Propriétaire qui n'est pas un accédant à la propriété,,,12.0
2018,Saskatchewan,Régions rurales,Locataire,,,32.0
2018,Saskatchewan,Régions rurales,Locataire n'habitant pas dans un logement social et abordable,,,17.2
2018,Saskatchewan,Régions rurales,Locataire habitant dans un logement social et abordable,,,53.0
2018,Alberta,Province,"Total, mode d'occupation",,48,10.2
2018,Alberta,Province,Propriétaire,,48,6.6
2018,Alberta,Province,Propriétaire qui est un accédant à la propriété,,48,4.7
2018,Alberta,Province,Propriétaire qui n'est pas un accédant à la propriété,,48,6.9
2018,Alberta,Province,Locataire,,48,20.0
2018,Alberta,Province,Locataire n'habitant pas dans un logement social et abordable,,48,17.5
2018,Alberta,Province,Locataire habitant dans un logement social et abordable,,48,45.0
2018,Alberta,Grands centres de population urbains,"Total, mode d'occupation",,,11.0
2018,Alberta,Grands centres de population urbains,Propriétaire,,,6.5
2018,Alberta,Grands centres de population urbains,Propriétaire qui est un accédant à la propriété,,,5.2
2018,Alberta,Grands centres de population urbains,Propriétaire qui n'est pas un accédant à la propriété,,,6.7
2018,Alberta,Grands centres de population urbains,Locataire,,,22.0
2018,Alberta,Grands centres de population urbains,Locataire n'habitant pas dans un logement social et abordable,,,18.6
2018,Alberta,Grands centres de population urbains,Locataire habitant dans un logement social et abordable,,,49.0
2018,Alberta,,"Total, mode d'occupation",,,9.0
2018,Alberta,,Propriétaire,,,5.1
2018,Alberta,,Propriétaire qui est un accédant à la propriété,,,5.1
2018,Alberta,,Propriétaire qui n'est pas un accédant à la propriété,,,5.1
2018,Alberta,,Locataire,,,19.4
2018,Alberta,,Locataire n'habitant pas dans un logement social et abordable,,,17.7
2018,Alberta,,Locataire habitant dans un logement social et abordable,,,38.0
2018,Alberta,Petits centres de population,"Total, mode d'occupation",,,7.4
2018,Alberta,Petits centres de population,Propriétaire,,,4.6
2018,Alberta,Petits centres de population,Propriétaire qui est un accédant à la propriété,,,2.5
2018,Alberta,Petits centres de population,Propriétaire qui n'est pas un accédant à la propriété,,,5.1
2018,Alberta,Petits centres de population,Locataire,,,16.2
2018,Alberta,Petits centres de population,Locataire n'habitant pas dans un logement social et abordable,,,12.9
2018,Alberta,Petits centres de population,Locataire habitant dans un logement social et abordable,,,37.0
2018,Alberta,Régions rurales,"Total, mode d'occupation",,,11.6
2018,Alberta,Régions rurales,Propriétaire,,,11.1
2018,Alberta,Régions rurales,Propriétaire qui est un accédant à la propriété,,,4.9
2018,Alberta,Régions rurales,Propriétaire qui n'est pas un accédant à la propriété,,,11.6
2018,Alberta,Régions rurales,Locataire,,,16.7
2018,Alberta,Régions rurales,Locataire n'habitant pas dans un logement social et abordable,,,14.7
2018,Alberta,Régions rurales,Locataire habitant dans un logement social et abordable,,,31.0
2018,Colombie-Britannique,Province,"Total, mode d'occupation",,59,14.8
2018,Colombie-Britannique,Province,Propriétaire,,59,8.7
2018,Colombie-Britannique,Province,Propriétaire qui est un accédant à la propriété,,59,12.1
2018,Colombie-Britannique,Province,Propriétaire qui n'est pas un accédant à la propriété,,59,8.2
2018,Colombie-Britannique,Province,Locataire,,59,27.0
2018,Colombie-Britannique,Province,Locataire n'habitant pas dans un logement social et abordable,,59,25.0
2018,Colombie-Britannique,Province,Locataire habitant dans un logement social et abordable,,59,46.0
2018,Colombie-Britannique,Grands centres de population urbains,"Total, mode d'occupation",,,16.8
2018,Colombie-Britannique,Grands centres de population urbains,Propriétaire,,,10.3
2018,Colombie-Britannique,Grands centres de population urbains,Propriétaire qui est un accédant à la propriété,,,16.7
2018,Colombie-Britannique,Grands centres de population urbains,Propriétaire qui n'est pas un accédant à la propriété,,,9.2
2018,Colombie-Britannique,Grands centres de population urbains,Locataire,,,28.0
2018,Colombie-Britannique,Grands centres de population urbains,Locataire n'habitant pas dans un logement social et abordable,,,25.0
2018,Colombie-Britannique,Grands centres de population urbains,Locataire habitant dans un logement social et abordable,,,47.0
2018,Colombie-Britannique,,"Total, mode d'occupation",,,12.4
2018,Colombie-Britannique,,Propriétaire,,,5.7
2018,Colombie-Britannique,,Propriétaire qui est un accédant à la propriété,,,
2018,Colombie-Britannique,,Propriétaire qui n'est pas un accédant à la propriété,,,6.7
2018,Colombie-Britannique,,Locataire,,,29.0
2018,Colombie-Britannique,,Locataire n'habitant pas dans un logement social et abordable,,,27.0
2018,Colombie-Britannique,,Locataire habitant dans un logement social et abordable,,,49.0
2018,Colombie-Britannique,Petits centres de population,"Total, mode d'occupation",,,10.0
2018,Colombie-Britannique,Petits centres de population,Propriétaire,,,3.9
2018,Colombie-Britannique,Petits centres de population,Propriétaire qui est un accédant à la propriété,,,
2018,Colombie-Britannique,Petits centres de population,Propriétaire qui n'est pas un accédant à la propriété,,,4.3
2018,Colombie-Britannique,Petits centres de population,Locataire,,,25.0
2018,Colombie-Britannique,Petits centres de population,Locataire n'habitant pas dans un logement social et abordable,,,22.0
2018,Colombie-Britannique,Petits centres de population,Locataire habitant dans un logement social et abordable,,,42.0
2018,Colombie-Britannique,Régions rurales,"Total, mode d'occupation",,,10.7
2018,Colombie-Britannique,Régions rurales,Propriétaire,,,8.8
2018,Colombie-Britannique,Régions rurales,Propriétaire qui est un accédant à la propriété,,,8.1
2018,Colombie-Britannique,Régions rurales,Propriétaire qui n'est pas un accédant à la propriété,,,8.9
2018,Colombie-Britannique,Régions rurales,Locataire,,,20.0
2018,Colombie-Britannique,Régions rurales,Locataire n'habitant pas dans un logement social et abordable,,,18.5
2018,Colombie-Britannique,Régions rurales,Locataire habitant dans un logement social et abordable,,,45.0
2018,,,,,,12.2
2018,Canada (provinces seulement),Région métropolitaine de recensement,Propriétaire,,,6.6
2018,Canada (provinces seulement),Région métropolitaine de recensement,Propriétaire qui est un accédant à la propriété,,,7.4
2018,Canada (provinces seulement),Région métropolitaine de recensement,Propriétaire qui n'est pas un accédant à la propriété,,,6.5
2018,Canada (provinces seulement),Région métropolitaine de recensement,Locataire,,,23.0
2018,Canada (provinces seulement),Région métropolitaine de recensement,Locataire n'habitant pas dans un logement social et abordable,,,22.0
2018,Canada (provinces seulement),Région métropolitaine de recensement,Locataire habitant dans un logement social et abordable,,,32.0
2018,"St. John's, Terre-Neuve-et-Labrador",Région métropolitaine de recensement,"Total, mode d'occupation",,1,9.4
2018,"St. John's, Terre-Neuve-et-Labrador",Région métropolitaine de recensement,Propriétaire,,1,3.4
