Year,Géographie,Catégorie de produits,GeoCode,Value
2015,Territoires du Nord-Ouest,Textiles,61,1.12
2015,Territoires du Nord-Ouest,Véhicules de transport,61,5.23
2015,Territoires du Nord-Ouest,Autres produits,61,1.69
2015,Nunavut,"Total, toutes les catégories de produits",62,1.98
2015,Nunavut,Matériaux de construction,62,1.04
2015,Nunavut,Équipements électriques et électroniques,62,1.12
2015,Nunavut,Emballages,62,1.38
2015,Nunavut,Textiles,62,0.74
2015,Nunavut,Véhicules de transport,62,5.26
2015,Nunavut,Autres produits,62,1.67
2015,Enclaves territoriales du Canada à l'étranger,"Total, toutes les catégories de produits",,6.35
2015,Enclaves territoriales du Canada à l'étranger,Matériaux de construction,,4.76
2015,Enclaves territoriales du Canada à l'étranger,Équipements électriques et électroniques,,6.73
2015,Enclaves territoriales du Canada à l'étranger,Emballages,,6.32
2015,Enclaves territoriales du Canada à l'étranger,Textiles,,6.3
2015,Enclaves territoriales du Canada à l'étranger,Véhicules de transport,,5.66
2015,Enclaves territoriales du Canada à l'étranger,Autres produits,,6.33
2016,Canada,Matériaux de construction,,1.17
2016,Canada,Équipements électriques et électroniques,,1.0
2016,Canada,Matériel électronique,,1.06
2016,Canada,Gros appareils électroménagers,,0.3
2016,Canada,Autres équipements électriques et électroniques,,1.06
2016,Canada,Emballages,,1.35
2016,Canada,Bouteilles,,1.36
2016,Canada,Films,,1.35
2016,Canada,Rigides non-bouteilles,,1.35
2016,Canada,Autres produits d'emballage,,1.35
2016,Canada,Films agricoles,,1.2
2016,Canada,Textiles,,1.09
2016,Canada,Véhicules de transport,,1.35
2016,Canada,Véhicules légers,,1.41
2016,Canada,Autres véhicules de transport,,1.26
2016,Canada,Autres produits,,1.81
2016,Terre-Neuve-et-Labrador,"Total, toutes les catégories de produits",10,2.16
2016,Terre-Neuve-et-Labrador,Matériaux de construction,10,1.18
2016,Terre-Neuve-et-Labrador,Équipements électriques et électroniques,10,0.97
2016,Terre-Neuve-et-Labrador,Emballages,10,1.35
2016,Terre-Neuve-et-Labrador,Films agricoles,10,1.42
2016,Terre-Neuve-et-Labrador,Textiles,10,1.1
2016,Terre-Neuve-et-Labrador,Véhicules de transport,10,6.81
2016,Terre-Neuve-et-Labrador,Autres produits,10,1.6
2016,Île-du-Prince-Édouard,"Total, toutes les catégories de produits",11,1.39
2016,Île-du-Prince-Édouard,Matériaux de construction,11,1.3
2016,Île-du-Prince-Édouard,Équipements électriques et électroniques,11,0.97
2016,Île-du-Prince-Édouard,Emballages,11,1.36
2016,Île-du-Prince-Édouard,Films agricoles,11,1.17
2016,Île-du-Prince-Édouard,Textiles,11,1.05
2016,Île-du-Prince-Édouard,Véhicules de transport,11,1.24
2016,Île-du-Prince-Édouard,Autres produits,11,1.78
2016,Nouvelle-Écosse,"Total, toutes les catégories de produits",12,1.37
2016,Nouvelle-Écosse,Matériaux de construction,12,1.18
2016,Nouvelle-Écosse,Équipements électriques et électroniques,12,0.97
2016,Nouvelle-Écosse,Emballages,12,1.35
2016,Nouvelle-Écosse,Films agricoles,12,1.17
2016,Nouvelle-Écosse,Textiles,12,1.08
2016,Nouvelle-Écosse,Véhicules de transport,12,1.24
2016,Nouvelle-Écosse,Autres produits,12,1.8
2016,Nouveau-Brunswick,"Total, toutes les catégories de produits",13,1.4
2016,Nouveau-Brunswick,Matériaux de construction,13,1.17
2016,Nouveau-Brunswick,Équipements électriques et électroniques,13,1.0
2016,Nouveau-Brunswick,Emballages,13,1.35
2016,Nouveau-Brunswick,Films agricoles,13,1.17
2016,Nouveau-Brunswick,Textiles,13,1.09
2016,Nouveau-Brunswick,Véhicules de transport,13,1.24
2016,Nouveau-Brunswick,Autres produits,13,1.78
2016,Québec,"Total, toutes les catégories de produits",24,1.39
2016,Québec,Matériaux de construction,24,1.17
2016,Québec,Équipements électriques et électroniques,24,0.99
2016,Québec,Emballages,24,1.35
2016,Québec,Films agricoles,24,1.21
2016,Québec,Textiles,24,1.09
2016,Québec,Véhicules de transport,24,1.23
2016,Québec,Autres produits,24,1.83
2016,Ontario,"Total, toutes les catégories de produits",35,1.41
2016,Ontario,Matériaux de construction,35,1.17
2016,Ontario,Équipements électriques et électroniques,35,1.0
2016,Ontario,Emballages,35,1.35
2016,Ontario,Films agricoles,35,1.2
2016,Ontario,Textiles,35,1.09
2016,Ontario,Véhicules de transport,35,1.25
2016,Ontario,Autres produits,35,1.82
2016,Manitoba,"Total, toutes les catégories de produits",46,1.41
2016,Manitoba,Matériaux de construction,46,1.17
2016,Manitoba,Équipements électriques et électroniques,46,0.98
2016,Manitoba,Emballages,46,1.35
2016,Manitoba,Films agricoles,46,1.21
2016,Manitoba,Textiles,46,1.1
2016,Manitoba,Véhicules de transport,46,1.24
2016,Manitoba,Autres produits,46,1.84
2016,Saskatchewan,"Total, toutes les catégories de produits",47,1.39
2016,Saskatchewan,Matériaux de construction,47,1.17
2016,Saskatchewan,Équipements électriques et électroniques,47,1.0
2016,Saskatchewan,Emballages,47,1.35
2016,Saskatchewan,Films agricoles,47,1.2
2016,Saskatchewan,Textiles,47,1.09
2016,Saskatchewan,Véhicules de transport,47,1.24
2016,Saskatchewan,Autres produits,47,1.77
2016,Alberta,"Total, toutes les catégories de produits",48,1.43
2016,Alberta,Matériaux de construction,48,1.17
2016,Alberta,Équipements électriques et électroniques,48,1.04
2016,Alberta,Emballages,48,1.35
2016,Alberta,Films agricoles,48,1.2
2016,Alberta,Textiles,48,1.09
2016,Alberta,Véhicules de transport,48,1.24
2016,Alberta,Autres produits,48,1.8
2016,Colombie-Britannique,"Total, toutes les catégories de produits",59,1.41
2016,Colombie-Britannique,Matériaux de construction,59,1.17
2016,Colombie-Britannique,Équipements électriques et électroniques,59,0.97
2016,Colombie-Britannique,Emballages,59,1.35
2016,Colombie-Britannique,Films agricoles,59,1.2
2016,Colombie-Britannique,Textiles,59,1.09
2016,Colombie-Britannique,Véhicules de transport,59,1.24
2016,Colombie-Britannique,Autres produits,59,1.81
2016,Yukon,"Total, toutes les catégories de produits",60,2.09
2016,Yukon,Matériaux de construction,60,1.26
2016,Yukon,Équipements électriques et électroniques,60,1.07
2016,Yukon,Emballages,60,1.36
2016,Yukon,Films agricoles,60,0.0
2016,Yukon,Textiles,60,1.19
2016,Yukon,Véhicules de transport,60,5.56
2016,Yukon,Autres produits,60,1.82
2016,Territoires du Nord-Ouest,"Total, toutes les catégories de produits",61,1.95
2016,Territoires du Nord-Ouest,Matériaux de construction,61,1.27
2016,Territoires du Nord-Ouest,Équipements électriques et électroniques,61,1.06
2016,Territoires du Nord-Ouest,Emballages,61,1.36
2016,Territoires du Nord-Ouest,Films agricoles,61,0.0
2016,Territoires du Nord-Ouest,Textiles,61,0.95
2016,Territoires du Nord-Ouest,Véhicules de transport,61,4.72
2016,Territoires du Nord-Ouest,Autres produits,61,1.68
2016,Nunavut,"Total, toutes les catégories de produits",62,1.95
2016,Nunavut,Matériaux de construction,62,1.03
2016,Nunavut,Équipements électriques et électroniques,62,1.1
2016,Nunavut,Emballages,62,1.36
2016,Nunavut,Textiles,62,0.73
2016,Nunavut,Véhicules de transport,62,4.91
2016,Nunavut,Autres produits,62,1.66
2016,Enclaves territoriales du Canada à l'étranger,"Total, toutes les catégories de produits",,6.34
2016,Enclaves territoriales du Canada à l'étranger,Matériaux de construction,,5.56
2016,Enclaves territoriales du Canada à l'étranger,Équipements électriques et électroniques,,6.73
2016,Enclaves territoriales du Canada à l'étranger,Emballages,,6.32
2016,Enclaves territoriales du Canada à l'étranger,Textiles,,6.44
2016,Enclaves territoriales du Canada à l'étranger,Véhicules de transport,,7.14
2016,Enclaves territoriales du Canada à l'étranger,Autres produits,,6.39
2017,Canada,Matériaux de construction,,1.17
2017,Canada,Équipements électriques et électroniques,,1.0
2017,Canada,Matériel électronique,,1.06
2017,Canada,Gros appareils électroménagers,,0.3
2017,Canada,Autres équipements électriques et électroniques,,1.06
2017,Canada,Emballages,,1.35
2017,Canada,Bouteilles,,1.36
2017,Canada,Films,,1.35
2017,Canada,Rigides non-bouteilles,,1.35
2017,Canada,Autres produits d'emballage,,1.35
2017,Canada,Films agricoles,,1.2
2017,Canada,Textiles,,1.09
2017,Canada,Véhicules de transport,,1.35
2017,Canada,Véhicules légers,,1.43
2017,Canada,Autres véhicules de transport,,1.26
2017,Canada,Autres produits,,1.82
2017,Terre-Neuve-et-Labrador,"Total, toutes les catégories de produits",10,2.56
2017,Terre-Neuve-et-Labrador,Matériaux de construction,10,1.17
2017,Terre-Neuve-et-Labrador,Équipements électriques et électroniques,10,0.97
2017,Terre-Neuve-et-Labrador,Emballages,10,1.35
2017,Terre-Neuve-et-Labrador,Films agricoles,10,1.39
2017,Terre-Neuve-et-Labrador,Textiles,10,1.1
2017,Terre-Neuve-et-Labrador,Véhicules de transport,10,7.18
2017,Terre-Neuve-et-Labrador,Autres produits,10,1.79
2017,Île-du-Prince-Édouard,"Total, toutes les catégories de produits",11,1.37
2017,Île-du-Prince-Édouard,Matériaux de construction,11,1.3
2017,Île-du-Prince-Édouard,Équipements électriques et électroniques,11,1.0
2017,Île-du-Prince-Édouard,Emballages,11,1.35
2017,Île-du-Prince-Édouard,Films agricoles,11,1.18
2017,Île-du-Prince-Édouard,Textiles,11,1.05
2017,Île-du-Prince-Édouard,Véhicules de transport,11,1.24
2017,Île-du-Prince-Édouard,Autres produits,11,1.79
2017,Nouvelle-Écosse,"Total, toutes les catégories de produits",12,1.37
2017,Nouvelle-Écosse,Matériaux de construction,12,1.18
2017,Nouvelle-Écosse,Équipements électriques et électroniques,12,0.96
2017,Nouvelle-Écosse,Emballages,12,1.35
2017,Nouvelle-Écosse,Films agricoles,12,1.18
2017,Nouvelle-Écosse,Textiles,12,1.09
2017,Nouvelle-Écosse,Véhicules de transport,12,1.24
2017,Nouvelle-Écosse,Autres produits,12,1.81
2017,Nouveau-Brunswick,"Total, toutes les catégories de produits",13,1.39
2017,Nouveau-Brunswick,Matériaux de construction,13,1.18
2017,Nouveau-Brunswick,Équipements électriques et électroniques,13,0.99
2017,Nouveau-Brunswick,Emballages,13,1.35
2017,Nouveau-Brunswick,Films agricoles,13,1.18
2017,Nouveau-Brunswick,Textiles,13,1.08
2017,Nouveau-Brunswick,Véhicules de transport,13,1.24
2017,Nouveau-Brunswick,Autres produits,13,1.79
2017,Québec,"Total, toutes les catégories de produits",24,1.39
2017,Québec,Matériaux de construction,24,1.17
2017,Québec,Équipements électriques et électroniques,24,0.99
2017,Québec,Emballages,24,1.35
2017,Québec,Films agricoles,24,1.19
2017,Québec,Textiles,24,1.09
2017,Québec,Véhicules de transport,24,1.23
2017,Québec,Autres produits,24,1.83
2017,Ontario,"Total, toutes les catégories de produits",35,1.41
2017,Ontario,Matériaux de construction,35,1.17
2017,Ontario,Équipements électriques et électroniques,35,1.0
2017,Ontario,Emballages,35,1.35
2017,Ontario,Films agricoles,35,1.2
2017,Ontario,Textiles,35,1.09
2017,Ontario,Véhicules de transport,35,1.25
2017,Ontario,Autres produits,35,1.82
2017,Manitoba,"Total, toutes les catégories de produits",46,1.4
2017,Manitoba,Matériaux de construction,46,1.16
2017,Manitoba,Équipements électriques et électroniques,46,0.98
2017,Manitoba,Emballages,46,1.35
2017,Manitoba,Films agricoles,46,1.19
2017,Manitoba,Textiles,46,1.09
2017,Manitoba,Véhicules de transport,46,1.23
2017,Manitoba,Autres produits,46,1.83
2017,Saskatchewan,"Total, toutes les catégories de produits",47,1.38
2017,Saskatchewan,Matériaux de construction,47,1.17
2017,Saskatchewan,Équipements électriques et électroniques,47,0.99
2017,Saskatchewan,Emballages,47,1.35
2017,Saskatchewan,Films agricoles,47,1.2
2017,Saskatchewan,Textiles,47,1.09
2017,Saskatchewan,Véhicules de transport,47,1.24
2017,Saskatchewan,Autres produits,47,1.77
2017,Alberta,"Total, toutes les catégories de produits",48,1.42
2017,Alberta,Matériaux de construction,48,1.17
2017,Alberta,Équipements électriques et électroniques,48,1.03
2017,Alberta,Emballages,48,1.35
2017,Alberta,Films agricoles,48,1.2
2017,Alberta,Textiles,48,1.09
2017,Alberta,Véhicules de transport,48,1.24
2017,Alberta,Autres produits,48,1.81
2017,Colombie-Britannique,"Total, toutes les catégories de produits",59,1.4
2017,Colombie-Britannique,Matériaux de construction,59,1.17
2017,Colombie-Britannique,Équipements électriques et électroniques,59,0.96
2017,Colombie-Britannique,Emballages,59,1.35
2017,Colombie-Britannique,Films agricoles,59,1.21
2017,Colombie-Britannique,Textiles,59,1.09
2017,Colombie-Britannique,Véhicules de transport,59,1.24
2017,Colombie-Britannique,Autres produits,59,1.82
2017,Yukon,"Total, toutes les catégories de produits",60,2.23
2017,Yukon,Matériaux de construction,60,1.11
2017,Yukon,Équipements électriques et électroniques,60,1.05
2017,Yukon,Emballages,60,1.36
2017,Yukon,Films agricoles,60,0.0
2017,Yukon,Textiles,60,0.98
2017,Yukon,Véhicules de transport,60,5.85
2017,Yukon,Autres produits,60,1.8
2017,Territoires du Nord-Ouest,"Total, toutes les catégories de produits",61,2.3
2017,Territoires du Nord-Ouest,Matériaux de construction,61,1.27
2017,Territoires du Nord-Ouest,Équipements électriques et électroniques,61,1.06
2017,Territoires du Nord-Ouest,Emballages,61,1.34
2017,Territoires du Nord-Ouest,Films agricoles,61,0.0
2017,Territoires du Nord-Ouest,Textiles,61,0.95
2017,Territoires du Nord-Ouest,Véhicules de transport,61,6.0
2017,Territoires du Nord-Ouest,Autres produits,61,1.72
2017,Nunavut,"Total, toutes les catégories de produits",62,2.12
2017,Nunavut,Matériaux de construction,62,0.99
2017,Nunavut,Équipements électriques et électroniques,62,1.08
2017,Nunavut,Emballages,62,1.37
2017,Nunavut,Textiles,62,1.41
2017,Nunavut,Véhicules de transport,62,4.37
2017,Nunavut,Autres produits,62,1.65
2017,Enclaves territoriales du Canada à l'étranger,"Total, toutes les catégories de produits",,6.34
2017,Enclaves territoriales du Canada à l'étranger,Matériaux de construction,,7.69
2017,Enclaves territoriales du Canada à l'étranger,Équipements électriques et électroniques,,6.67
2017,Enclaves territoriales du Canada à l'étranger,Emballages,,6.33
2017,Enclaves territoriales du Canada à l'étranger,Textiles,,6.46
2017,Enclaves territoriales du Canada à l'étranger,Véhicules de transport,,5.97
2017,Enclaves territoriales du Canada à l'étranger,Autres produits,,6.4
2018,Canada,Matériaux de construction,,1.17
2018,Canada,Équipements électriques et électroniques,,0.99
2018,Canada,Matériel électronique,,1.07
2018,Canada,Gros appareils électroménagers,,0.3
2018,Canada,Autres équipements électriques et électroniques,,1.06
2018,Canada,Emballages,,1.35
2018,Canada,Bouteilles,,1.36
2018,Canada,Films,,1.35
2018,Canada,Rigides non-bouteilles,,1.35
2018,Canada,Autres produits d'emballage,,1.35
2018,Canada,Films agricoles,,1.2
2018,Canada,Textiles,,1.09
2018,Canada,Véhicules de transport,,1.35
2018,Canada,Véhicules légers,,1.41
2018,Canada,Autres véhicules de transport,,1.26
2018,Canada,Autres produits,,1.82
2018,Terre-Neuve-et-Labrador,"Total, toutes les catégories de produits",10,2.52
2018,Terre-Neuve-et-Labrador,Matériaux de construction,10,1.17
2018,Terre-Neuve-et-Labrador,Équipements électriques et électroniques,10,0.97
2018,Terre-Neuve-et-Labrador,Emballages,10,1.35
2018,Terre-Neuve-et-Labrador,Films agricoles,10,1.37
2018,Terre-Neuve-et-Labrador,Textiles,10,1.1
2018,Terre-Neuve-et-Labrador,Véhicules de transport,10,6.28
2018,Terre-Neuve-et-Labrador,Autres produits,10,1.79
2018,Île-du-Prince-Édouard,"Total, toutes les catégories de produits",11,1.37
2018,Île-du-Prince-Édouard,Matériaux de construction,11,1.32
2018,Île-du-Prince-Édouard,Équipements électriques et électroniques,11,0.9
2018,Île-du-Prince-Édouard,Emballages,11,1.34
2018,Île-du-Prince-Édouard,Films agricoles,11,1.2
2018,Île-du-Prince-Édouard,Textiles,11,1.06
2018,Île-du-Prince-Édouard,Véhicules de transport,11,1.24
2018,Île-du-Prince-Édouard,Autres produits,11,1.79
2018,Nouvelle-Écosse,"Total, toutes les catégories de produits",12,1.37
2018,Nouvelle-Écosse,Matériaux de construction,12,1.18
2018,Nouvelle-Écosse,Équipements électriques et électroniques,12,0.93
2018,Nouvelle-Écosse,Emballages,12,1.35
2018,Nouvelle-Écosse,Films agricoles,12,1.2
2018,Nouvelle-Écosse,Textiles,12,1.1
2018,Nouvelle-Écosse,Véhicules de transport,12,1.24
2018,Nouvelle-Écosse,Autres produits,12,1.8
2018,Nouveau-Brunswick,"Total, toutes les catégories de produits",13,1.39
2018,Nouveau-Brunswick,Matériaux de construction,13,1.16
2018,Nouveau-Brunswick,Équipements électriques et électroniques,13,0.98
2018,Nouveau-Brunswick,Emballages,13,1.35
2018,Nouveau-Brunswick,Films agricoles,13,1.2
2018,Nouveau-Brunswick,Textiles,13,1.09
2018,Nouveau-Brunswick,Véhicules de transport,13,1.23
2018,Nouveau-Brunswick,Autres produits,13,1.77
2018,Québec,"Total, toutes les catégories de produits",24,1.39
2018,Québec,Matériaux de construction,24,1.17
2018,Québec,Équipements électriques et électroniques,24,0.98
2018,Québec,Emballages,24,1.35
2018,Québec,Films agricoles,24,1.19
2018,Québec,Textiles,24,1.09
2018,Québec,Véhicules de transport,24,1.23
2018,Québec,Autres produits,24,1.83
2018,Ontario,"Total, toutes les catégories de produits",35,1.41
2018,Ontario,Matériaux de construction,35,1.17
2018,Ontario,Équipements électriques et électroniques,35,0.99
2018,Ontario,Emballages,35,1.35
2018,Ontario,Films agricoles,35,1.2
2018,Ontario,Textiles,35,1.09
2018,Ontario,Véhicules de transport,35,1.25
2018,Ontario,Autres produits,35,1.83
2018,Manitoba,"Total, toutes les catégories de produits",46,1.4
2018,Manitoba,Matériaux de construction,46,1.17
2018,Manitoba,Équipements électriques et électroniques,46,0.98
2018,Manitoba,Emballages,46,1.35
2018,Manitoba,Films agricoles,46,1.19
2018,Manitoba,Textiles,46,1.09
2018,Manitoba,Véhicules de transport,46,1.24
2018,Manitoba,Autres produits,46,1.84
2018,Saskatchewan,"Total, toutes les catégories de produits",47,1.38
2018,Saskatchewan,Matériaux de construction,47,1.17
2018,Saskatchewan,Équipements électriques et électroniques,47,0.98
2018,Saskatchewan,Emballages,47,1.35
2018,Saskatchewan,Films agricoles,47,1.2
2018,Saskatchewan,Textiles,47,1.09
2018,Saskatchewan,Véhicules de transport,47,1.24
2018,Saskatchewan,Autres produits,47,1.77
2018,Alberta,"Total, toutes les catégories de produits",48,1.42
2018,Alberta,Matériaux de construction,48,1.17
2018,Alberta,Équipements électriques et électroniques,48,1.02
2018,Alberta,Emballages,48,1.35
2018,Alberta,Films agricoles,48,1.2
2018,Alberta,Textiles,48,1.09
2018,Alberta,Véhicules de transport,48,1.24
2018,Alberta,Autres produits,48,1.8
2018,Colombie-Britannique,"Total, toutes les catégories de produits",59,1.4
2018,Colombie-Britannique,Matériaux de construction,59,1.17
2018,Colombie-Britannique,Équipements électriques et électroniques,59,0.94
2018,Colombie-Britannique,Emballages,59,1.35
2018,Colombie-Britannique,Films agricoles,59,1.19
2018,Colombie-Britannique,Textiles,59,1.09
2018,Colombie-Britannique,Véhicules de transport,59,1.24
2018,Colombie-Britannique,Autres produits,59,1.81
2018,Yukon,"Total, toutes les catégories de produits",60,2.06
2018,Yukon,Matériaux de construction,60,1.11
2018,Yukon,Équipements électriques et électroniques,60,0.96
2018,Yukon,Emballages,60,1.37
2018,Yukon,Films agricoles,60,0.0
2018,Yukon,Textiles,60,0.98
2018,Yukon,Véhicules de transport,60,5.0
2018,Yukon,Autres produits,60,1.71
2018,Territoires du Nord-Ouest,"Total, toutes les catégories de produits",61,2.34
2018,Territoires du Nord-Ouest,Matériaux de construction,61,1.3
2018,Territoires du Nord-Ouest,Équipements électriques et électroniques,61,0.93
2018,Territoires du Nord-Ouest,Emballages,61,1.34
2018,Territoires du Nord-Ouest,Films agricoles,61,0.0
2018,Territoires du Nord-Ouest,Textiles,61,0.97
2018,Territoires du Nord-Ouest,Véhicules de transport,61,5.82
2018,Territoires du Nord-Ouest,Autres produits,61,1.71
2018,Nunavut,"Total, toutes les catégories de produits",62,2.13
2018,Nunavut,Matériaux de construction,62,0.92
2018,Nunavut,Équipements électriques et électroniques,62,0.62
2018,Nunavut,Emballages,62,1.34
2018,Nunavut,Textiles,62,1.31
2018,Nunavut,Véhicules de transport,62,3.78
2018,Nunavut,Autres produits,62,1.56
2018,Enclaves territoriales du Canada à l'étranger,"Total, toutes les catégories de produits",,6.35
2018,Enclaves territoriales du Canada à l'étranger,Matériaux de construction,,4.76
2018,Enclaves territoriales du Canada à l'étranger,Équipements électriques et électroniques,,6.54
2018,Enclaves territoriales du Canada à l'étranger,Emballages,,6.39
2018,Enclaves territoriales du Canada à l'étranger,Textiles,,6.18
2018,Enclaves territoriales du Canada à l'étranger,Véhicules de transport,,6.85
2018,Enclaves territoriales du Canada à l'étranger,Autres produits,,6.29
2019,Canada,Matériaux de construction,,1.17
2019,Canada,Équipements électriques et électroniques,,1.0
2019,Canada,Matériel électronique,,1.07
2019,Canada,Gros appareils électroménagers,,0.31
2019,Canada,Autres équipements électriques et électroniques,,1.06
2019,Canada,Emballages,,1.35
2019,Canada,Bouteilles,,1.36
2019,Canada,Films,,1.35
2019,Canada,Rigides non-bouteilles,,1.35
2019,Canada,Autres produits d'emballage,,1.35
2019,Canada,Films agricoles,,1.2
2019,Canada,Textiles,,1.09
2019,Canada,Véhicules de transport,,1.35
2019,Canada,Véhicules légers,,1.42
2019,Canada,Autres véhicules de transport,,1.26
2019,Canada,Autres produits,,1.81
2019,Terre-Neuve-et-Labrador,"Total, toutes les catégories de produits",10,2.56
2019,Terre-Neuve-et-Labrador,Matériaux de construction,10,1.19
2019,Terre-Neuve-et-Labrador,Équipements électriques et électroniques,10,0.99
2019,Terre-Neuve-et-Labrador,Emballages,10,1.35
2019,Terre-Neuve-et-Labrador,Films agricoles,10,1.36
